"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",4924.5,9.5,0.6,0,0,8445.9,966,125.2,60.9,5.2,10.9,12.6,68.8,3.4,0,0.2,0,0,0,1.4,0.1,1.1,0.1,0,2.9,26.3,0.4,0,0,0.2,0,205.5,0.7,0,0,0.4,0,6,0,13.4,21,9.8,30.8,20.9,0,4627.4,0,1.4,623.4,733.5,0,15.1,3405.3,0,24380.8
"DOM_A03",5.7,25.9,0.3,0,0.1,341.5,0.1,0,0.2,0.4,1,0.8,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0.3,0.6,1.7,0,0.7,0.4,0,92.1,0.1,0.2,0.3,0.2,0.1,0,0.1,0.8,0.9,0.9,1.3,0.9,0,368.6,0,0.7,0.5,25,0,1.7,79.2,0,953.8
"DOM_B05_06",1.6,0,589.2,0.2,19.9,0.7,0.1,0,0.4,4618.2,19.2,56.6,0,1,12.1,0.1,0.1,0.2,0,0.4,0.1,6.6,1995.5,0.1,12.5,0.3,8.9,0,0.2,0.8,0,4.3,0.1,0.3,0,22.6,16.8,0.2,0.1,1.2,0.9,0.5,0.5,0.2,0,529.8,0,0.2,124.2,257,0,0,2025.6,0,10329.6
"DOM_B07_08",0.3,0.1,101.7,294.7,0,3.7,2.2,0,2.1,122.5,24.7,31,1,74.2,397.7,2.1,0.5,0.2,0.3,2.2,0,0,0,7.9,255.6,0,0,0,0,0,0,0,0,7.2,0,0,0.1,0.1,37.3,0.3,1.4,0.4,0,0,0,35.3,0,0,0,127.4,0,0,96.1,0,1630.4
"DOM_B09",0,0,1280.5,0.1,131.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,47.3,0,0,0,0,0,0,0,0,0,0,0,0,84.2,44.5,0,0,0,0,0,0,0,0,0,757.5,0,0,0,1.1,0,2346.8
"DOM_C10T12",507.1,2.9,7.1,0.5,2.4,2243.3,34.4,1.4,23,10.7,45.8,21.5,4.8,4.2,5.3,5.7,2.3,4.8,8.2,16.6,0.5,2,4.3,1.3,23.5,33.8,11.3,0,10.7,3.4,0.2,1647.2,13.1,14,7.3,11.6,2.5,8.5,26.9,55.7,66.1,32.5,10,1.4,0,24318.9,0,52.2,24.6,723.1,0,66.3,5228.8,0,35353.8
"DOM_C13T15",82.2,7.7,7.1,0.8,23.9,200.6,1687,1.9,109.7,5.9,9.1,11.6,49.6,4.3,6.2,14.3,6.2,10.1,15.4,239.8,0.7,63.3,8.6,7.2,130.1,31.5,14.1,0,12.5,25,0.7,69.8,19.7,4,2.5,13.9,27.1,7.6,9.2,19.2,10.4,41.9,35.3,30.1,0,5480.6,0,12.2,15.5,229.5,0,53.6,1057.4,0,9926.4
"DOM_C16",36.1,0.3,0.1,0.2,0.1,45.4,6.6,57,2.9,0.2,9.2,1.7,4.4,6.1,0.9,5.7,1.9,4.1,3.8,8.9,0.6,122.1,0.1,34.7,558.6,24.9,0.4,0,0.1,0.6,0,0.1,0.2,0.2,0.2,0.2,11.3,0.2,41.4,0.4,2.3,0.9,1.3,0.9,0,66.4,0,0,92.4,28,0,2.1,61.5,0,1247.7
"DOM_C17_18",19.1,8.5,33.9,2.4,9.3,452.4,41.9,3,1080,8.9,46.4,73.3,41.2,33.2,13.5,12.1,15.3,15.8,15.1,26.5,1.1,15,10.9,9.4,33.5,301.9,42.4,0.1,24.3,38.4,0.6,54.4,211.2,15.3,1.3,84.2,24.6,103.2,31.1,48.2,55.1,65.3,116.6,54.6,0,1432.2,0,1.5,18.9,158,0,5.8,239.2,0,5150.2
"DOM_C19",659.1,38.2,51.4,49.8,50.9,74.5,17.6,8.8,11.7,280.2,147.3,9.5,11,26.2,24.9,6.9,2.8,7.2,12,27.2,0.5,3.9,111.7,34.4,141.4,115.5,2363.5,2.5,278.5,2.2,0.8,7.9,17.8,6.6,5.1,8.1,1.9,19.8,14.3,38.9,6,62.4,18.1,10.9,0,3578.4,0,0,6,203.5,0,24.6,615.8,0,9218.5
"DOM_C20",746.8,3.4,49.1,6.7,38.5,202.1,115.9,7.8,122.2,102.6,575.9,237.4,150.1,32.1,18.8,24.1,9.4,22.7,22.9,79.5,3.7,26,6.7,16.5,214.9,37.5,66.3,0.1,6.7,10.5,0.1,49.1,19.9,6.8,2.3,15.7,2.2,14.6,14.7,17.2,9.8,47,44.8,28.3,0,1650.2,0,1.5,19.1,115.6,0,4.4,629.2,0,5649.3
"DOM_C21",438.2,0.7,4.5,1.1,2.7,92.2,18.7,1.9,11.5,15.8,44.8,813.2,8.6,4.6,5.8,4.5,3.1,3.4,5.2,11.9,0.5,2.5,3,1.4,31,43.9,7.9,0,1.2,1.5,0.2,16.8,7.6,21.7,9,2.2,1,9.8,6.1,17.1,35.2,668.6,40.3,17.4,0,4725.5,0,15.7,34.8,333.5,0,7.6,266.8,0,7822.3
"DOM_C22",135.3,2.2,53.4,1.9,71.6,432.2,187.9,7.9,167.2,6.9,160.8,54.5,626.8,16.8,4.9,23.7,42.3,88.4,84.7,293.6,4.6,58.6,2.9,3.8,311.7,23.8,371.7,0,1.1,23.7,0,131.1,50.9,2.2,0.9,1.9,1.8,44.1,3.3,4,7.2,64.6,6.8,4.9,0,733.3,0,1,5.6,104.1,0,0.4,397.1,0,4829.7
"DOM_C23",2.3,0.1,1.3,0.6,14.1,137.3,2.9,1.4,1.7,3,20.2,31.2,30.9,163.8,17.7,13.1,10.1,20.5,9.9,92.7,0.6,1.3,13.5,8.9,2190.8,6,4.2,0,49.6,0.9,0,8.5,1.2,1.5,1.3,1.7,2.9,1.2,0.7,5.9,2.4,2.3,2.4,1.2,0,147.5,0,0,18.1,94.1,0,0.1,91.1,0,3234.9
