"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",3775.9,137.6,7.5,18.7,0.4,7495.5,360.2,648.9,4.1,1.1,52.1,24.8,24.5,2.8,1.1,4.1,0.5,0.6,0.8,2,1.7,1.4,4.2,21.8,239.6,509.6,20.2,12.5,5,24.6,3.8,304.4,19.3,12.1,6.8,14.9,80.5,63.3,84.6,54.8,43.4,35.7,115.1,124.1,0,2949.6,1.6,153.4,1505.5,204.6,0,113.1,6214.6,0,25508.9
"DOM_A03",31.6,17.1,0,0,0,1008.4,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,461.1,0,0,0,0,0,458.9,0,0,0,0,0,0,0,2.6,0,0,12.1,0,0,1363.1,0.8,22,0,111.5,0,8.1,328.1,0,3854.3
"DOM_B05_06",23.6,1.5,186.4,194.6,20.7,91.8,8,7.6,31.9,3103.2,68.8,3.3,9.5,77.3,266.5,54.5,2.1,2.4,3.7,7.4,10.9,3.4,440.8,5.5,136.1,483.6,30.2,4.2,2.5,29.7,20,79.5,4.5,9,2.5,6.9,28.8,34.2,17.9,18,10.3,34.1,8,12,0,608.4,0.1,10.6,336.9,114.8,0,4.7,11137.4,0,17810.4
"DOM_B07_08",19.1,0.9,53.6,63.4,1.2,98.6,4.3,5.4,3.7,3.5,128.5,15.8,3.4,572.6,5301.4,22.7,2.1,3.2,4.1,2.2,2,15.3,18.2,26.5,740.4,57.8,13.6,4,1.8,11.1,3,7.7,2.5,5.1,3.4,2.5,32,12.9,10.3,12.4,2.8,10.9,22.6,5.4,0,114.2,0.2,12.1,319.7,-29.4,0,8.8,4810.5,0,12570
"DOM_B09",10.8,0.3,951.9,1058.5,15.2,6.8,0.5,1.3,3.6,0.4,3.7,1.2,1.4,2,1.1,3.2,0.3,0.3,0.5,1.3,1.1,0.4,2.2,3.1,98.8,36.9,5.8,6.1,7.2,15.6,1.2,1.1,0.7,4.4,2,1.7,7.6,8.8,6.8,4.7,1.8,3.3,1.2,1.3,0,10.2,0.1,55.2,938.9,0.1,0,2.1,18,0,3312.7
"DOM_C10T12",763.5,38.4,17.9,22.9,6.8,4781.3,131.3,9.4,18.2,16.6,85.5,35.7,22.9,11.7,7.8,15.6,7.3,6.8,10.9,11.5,10.7,9.5,14.5,25.7,82.6,650.5,15.4,7.9,13.9,16.9,8.2,4423.9,8.7,9.3,4.4,32.1,21.6,112.9,68.1,103.5,123.5,274.9,362.5,75.3,0,15058.1,3.9,10.9,125.3,427.1,0,323.7,7307.7,0,35755.2
"DOM_C13T15",19.5,8.4,12.2,9.5,1.2,60,751.2,5.9,21.9,1.1,18.8,6.6,19.1,13.8,5.1,28.8,5.3,4.2,6,28.8,24.9,27.4,9.4,16.6,172.8,150.7,21.6,11,7.9,14.5,6.6,22.5,2.8,12.5,0,1.1,5.2,32.2,30.6,61.5,40.8,249.4,58.6,86.4,0,2578.7,0.6,0,73.1,73.5,0,102.9,532.2,0,5455.7
"DOM_C16",30.9,1.2,5.8,9.2,0.7,11.9,8,686.6,216.5,4.6,3.8,1,14.3,10.7,5.3,60.9,3.4,4.9,6.6,35.1,53.2,161.1,2.1,24.8,3232.1,74.8,22.9,5.5,1,77.9,5.5,13.5,5.2,1.5,0.6,3.7,4.2,4.3,4.2,14.7,63.6,10.1,26.4,17.9,0,172.1,0.3,2.9,99.7,-21,0,28,480.9,0,5715.3
"DOM_C17_18",51.3,2.1,16.3,18.5,8.3,538.2,74.4,31.8,1199.7,7.2,114.3,56,66.1,50.8,9.4,39.7,19.1,19.9,22.9,27.6,22.6,12.6,26.5,26.1,181,1359.4,35.8,24.1,35.4,15,41.9,120.1,1033.1,162.5,95.9,510.7,64.4,335,134.8,273.1,281.2,295.5,148.8,104.4,0,1139.2,0.7,6.4,60.4,106,0,56.2,476.3,0,9558.8
"DOM_C19",264.7,32.9,206.3,324.8,29.7,40.1,3.7,25.8,23.3,240.3,221.4,21.6,90.7,24.6,118.2,61.3,2.2,3.6,4.9,25,26.1,8.7,33.7,54.8,893.7,211.7,635.2,91.6,408.7,52.8,90.6,28.7,8.8,164.8,1.3,18.9,15.5,78.1,33.7,116.9,15.2,73.8,23.5,34.1,0,2413.3,0,0.6,12.5,97.8,0,116.4,715.1,0,8241.7
