"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",1048.8,0,0.5,1,0,2314,59.4,586.2,305.1,1.1,3.1,0.3,23.9,5.6,6.5,3.5,2.8,1.5,3.8,2.4,0.8,28.3,3.7,3.3,86.1,84.8,14.8,0.3,4.5,2,0.2,237,1.9,1.8,4.4,11.6,53.2,9.6,9.5,20.4,13.2,56.8,2.6,8.5,0,1909.3,0.4,94.9,436.9,80.8,0,130.1,539.7,0,8220.9
"DOM_A03",0,3.8,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,0,0,0,0.2,0,2.3,0.3,0,19.4
"DOM_B05_06",0.6,0,0.4,0.1,0,0.4,0.1,0.2,1.1,141.1,1.1,0,0.1,1.8,24.8,0.1,0.1,0.1,0.5,0.3,0,0.2,67.7,0.1,1.2,0.9,4.5,0,0.1,0.1,0,0.6,0,0.1,0,0.1,0.8,0.2,0.1,0.6,0.4,1,0.1,0.5,0,8.8,0,0,6.6,2.2,0,0.1,23.9,0,293.9
"DOM_B07_08",4.4,0,0.2,13.6,0,7.7,0,0.4,32.7,0,22.4,0,0.1,265.3,8.3,0.7,0.1,0,0.5,0,0,2.1,0.9,3.8,353.5,2.7,2.5,0,0,0.2,0.1,2.8,0,0,0,0,5.7,0.9,2,16.9,0.6,0.7,0.6,0.2,0,60.9,0,0,16.4,10.5,0,0,148.7,0,989.4
"DOM_B09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,4.9
"DOM_C10T12",337.5,0,0.6,0.1,0,1184.7,36.9,0.6,11.4,3,8,0.7,0.3,1,3,1,2.3,0.3,1.7,1.3,1.2,1.9,3.7,0.1,5.9,84.7,20.7,0.5,13.9,0.2,0,1248.8,1.2,0.3,6.2,17.4,0.1,16.8,1,16.9,43.1,233.6,1.4,14.3,0,7408.5,0,2.8,7.4,127.9,0,439.5,1623.3,0,12937.6
"DOM_C13T15",9.5,0,0.4,0.3,0,10.5,474.1,15.2,11.6,0.8,4.6,1.7,15.7,9.4,4.3,8.6,4.6,4.4,9.7,26,4.3,33,2.7,0.8,51.7,61.3,9.9,0.1,2.8,0.7,0.1,14.7,2,2.3,0.4,6.2,2.6,7.5,3.5,13.2,6.9,53.9,4.5,5.4,0,2061.6,0,4.5,46.6,42.5,0,108.9,1700.7,0,4866.7
"DOM_C16",30.4,0,1,2.5,0,9.7,4.4,950.6,199.7,0.6,8,0.9,8.1,20.4,24,14.8,6.4,8.1,15.5,12.4,3.8,435.6,5.7,2.5,609.8,45,5.7,0.1,0.7,0.6,0.1,7.4,1.6,1.3,1.8,5.5,48.4,10.6,2.6,23.8,6.4,16,5,10.2,0,360.3,0.1,5.7,653.8,42.8,0,27.2,1815.9,0,5473.6
"DOM_C17_18",14.4,0,0.1,4.3,0,222.9,48.7,16.2,1282.9,2,77,7.1,27.3,41.8,24.4,30,26.9,23.8,47.9,18.6,7.3,32.5,26.9,13.2,85.1,657.7,47.4,0.6,28.4,18.2,0.8,50.6,268.3,31.7,48.7,189.3,33.4,452.5,101,258.8,23.5,63.9,46.5,267.4,0,287.4,0.2,4.6,17.6,90.3,0,39.7,2785.1,0,7895
"DOM_C19",72.6,0,1.4,9.6,0,24.5,11.6,12.8,18.5,39.2,58.9,1.7,25.2,32.2,85.7,14,6.5,5.7,11.2,8.3,1.1,10.4,30.5,12.4,162.7,106,164.6,0.9,53.9,5.8,1.8,46.9,3.2,8.6,7.4,7.9,7.3,18.9,10.1,35.4,18.1,45.7,5,20.4,0,755.4,3.1,5.3,15.4,17,0,101.1,268.5,0,2390.8
"DOM_C20",115.9,0,3.8,5.7,0,22.7,63.1,37.7,139.5,12.3,232.5,6.6,291.1,61.2,48.3,31.3,62.9,35,27.4,27.1,5.9,47.8,3.4,3.4,129.7,92.5,9.4,0.1,2.6,1.4,0.1,23.7,13,1.5,1.4,12.2,14.1,30.7,12.7,20.9,11.4,116.6,10.3,23.5,0,315.5,0.8,4.2,34.2,29.2,0,21.9,1852.2,0,4070
"DOM_C21",3.3,0,1.2,1.7,0,9.6,20.5,2.1,2.3,0.6,24.3,287.3,2.5,1.6,15.7,1.8,1.6,1,2.4,1.5,2.5,1.9,1,1,6.8,9.3,1,0,0.3,0.1,0,8.3,0.4,0.5,0.4,1.3,0.8,10.3,1,5.8,0.8,153.9,0.3,0.6,0,244.3,0.1,426.3,14.4,17.4,0,21.5,787.2,0,2100.6
"DOM_C22",17.6,0,0.5,5.1,0,71.6,33.6,21.4,28.4,3.5,24.9,3.2,53.9,20.6,20,76.8,54.5,47.5,118,170.2,15,86.6,8.6,10.6,199.1,203.1,41.4,0.2,4,3.3,0.2,11.1,10.9,9.4,10.6,26.1,10.1,41,15.5,15.4,5.4,48.2,9.4,11.1,0,333.1,5.8,3.3,134.4,27.3,0,5.4,1737.4,0,3814.1
"DOM_C23",28.5,0,0.8,12.9,0.1,52.5,8.2,27.8,5.7,1.2,26.6,11,17.1,371.7,66.8,25.8,44,39.6,22.5,45.8,2,49.4,13,6.1,1549.1,51.5,17.6,0.1,2.1,1.2,0.3,28.2,3.2,3.4,2.5,11.9,88.7,28.4,6.8,41,4.7,30.5,3,5.6,0,267.7,5.8,5.4,914.5,42,0,9,1312.2,0,5315.5
"DOM_C24",3.3,0,0,0.6,0,2.5,0,18.5,1.1,0.3,11.7,0.2,5.8,52,1125.6,803.8,47.9,163.5,303.6,232.9,59.2,160.8,2.4,16,346.7,36.4,88.5,0,0,0.6,0,0,0.1,0,0,0,0.6,0.2,0,2.5,2.2,34.2,0.3,1.5,0,12.5,0,0,55.8,49.3,0,0,3742.6,0,7385.9
"DOM_C25",57.4,0,9.6,7.1,0,95.6,25.7,58.9,14.9,5.1,31.4,4.7,46.1,32.4,189.8,537.7,69.8,125.3,576.3,165,30.7,113.5,25.4,19,838.2,228.7,33.3,0.4,4,2.8,0.5,43.7,8.4,18.5,3.2,25.6,51.1,35.1,9.2,65,19.4,40.9,8.7,18.9,0,449.6,0.7,9.2,1170.2,61.3,0,12.2,2627.9,0,8028.1
"DOM_C26",16.8,0.1,0.5,2.4,0,21.2,7.5,7.4,10.4,2.7,7.5,3,5.2,8.6,12.8,18.9,311.2,60.8,87.9,27.6,4.8,36.2,21.9,4.9,66.3,99.2,20.7,0.2,8.7,1.8,0.2,12.5,7.6,69.6,38.8,34.7,17.1,51.7,12.5,38,10.3,115.8,3.3,12.3,0,624,0.2,50.2,1318,37.2,0,37.1,3256.5,0,6625.1
"DOM_C27",14.1,0,1.4,3.9,0,20.1,6.9,11.2,13.4,2.6,10.5,1.8,9.2,12.8,22.7,25.7,131.7,254.2,145.6,96.9,13.8,64.1,94.9,10,269.3,127.2,25.4,0.1,5.2,1.7,0.1,8,6.5,29,27.9,45.4,17.8,28.9,8.9,56,10.2,41.5,6.7,25,0,279.4,0,3.2,470,31.9,0,21.2,2461.4,0,4975.8
"DOM_C28",49.6,0.1,4.5,10.2,0.1,28.6,12.4,14,36.4,12.4,16.3,3.9,12.1,21.2,23.7,23.5,15.5,18.1,266.8,121.3,15,30.8,22.5,12.1,243.8,122.1,19.5,0.1,3.9,1.3,12.4,8.8,3.3,3.6,1.9,7.8,18.7,15.7,5.6,46,4.4,15.9,2.3,7.9,0,353,0.5,4.1,1574.5,39.1,0,2.6,6107.4,0,9396.9
"DOM_C29",4.3,0,0.7,2.2,0,3.3,0.9,1.7,1.3,0.5,1.2,0.2,0.9,4,1.4,2.2,2.2,1.5,18.6,632.3,7,2.7,4.1,2.6,14.3,189.8,36,0,1.9,0.9,0.2,1.8,0.7,0.6,2.7,4,2.5,6.3,4.8,19,1.1,3.3,0.7,2.3,0,1237.1,1.6,1.7,932.5,49,0,18.8,4544.5,0,7773.8
"DOM_C30",0.3,0,0,0,0,0,0,0,0,0,0,0,19.6,0,1.2,0.5,4.7,26.1,6,0.7,89.2,25,0,0,0,15,23.2,1.5,37.8,0.3,0,0,0,0.2,0,0,0,0,0.1,9.6,0,0,0,0.7,0,161.4,0,7.5,348.6,0.7,0,0,479.5,0,1259.5
"DOM_C31T33",40.6,0.3,1.2,5.3,0,22.5,17.3,36.4,17.7,4.2,7.5,3.3,6.3,11.5,9.4,18.7,20.3,11.4,31.8,62.9,2.1,100.8,23.3,8.4,66.9,105,30.4,0.4,16.4,1.9,0.8,16.9,12.9,21.8,6.9,21.6,12.9,33.8,12.9,28.7,10.5,42.4,6.7,10,0,2436.6,6.6,147.2,818.5,9.9,0,227.5,2240.9,0,6810.2
"DOM_D",106.3,0,2.6,42.4,0.1,203.6,71.9,92.1,186.4,7.4,181.4,7,65.3,174.5,240,84.1,51.8,48.4,72.4,82.1,10,53.3,3169.1,70.8,123.8,444.7,160.1,0.4,23.5,13.1,2,335.2,32.4,50.7,30.1,98.8,160.5,92.4,30.9,244.9,157.8,357.1,87.8,101.9,0,2811,3.8,2.6,186.8,0.6,0,4.5,374.5,0,10954.4
"DOM_E",15.2,0,0.6,5.4,0.1,70.9,23.7,19.4,14.6,2.6,22,1.4,52.8,51.1,105.2,31.2,32.7,15.9,36.1,14.2,5.4,26.7,26.2,616,67.5,237.2,64.2,0.2,7.2,5,0.3,140.9,13,9.7,13.1,149.9,1274.1,95.3,32.8,91.3,27.7,117.2,17.3,36.4,0,37.1,0.7,168,21.4,0.1,0,1,17.7,0,3835.5
"DOM_F",112.9,0,2.1,10.5,0.1,73,27.5,69.7,28,11.9,35.5,5.1,20.1,41.1,28.6,44,43,26.4,41.1,24.9,3.5,45,69.3,120.9,2290.2,231.9,174,2.3,14.5,48.5,6,295.9,12.4,50.5,36.3,232.5,3024.4,82.2,23.6,614.8,134,227.6,69.5,70.9,0,1008.6,2.7,30.7,21859.1,5.2,0,21,352.6,0,31806.2
