"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",607.2,0,0,1.4,0,4403.3,19.1,164.1,51.4,4.1,82.1,15,9.9,4.9,8.4,11,0.5,0.5,1.5,1,0.2,7,21.2,7.3,26.1,162.4,6.1,0,0.2,2.9,0.2,205,2.8,1.3,5.2,2.5,3.4,16.6,83.1,12.6,4,61.7,2.3,12.8,0,2197.9,0,7.7,71.3,157.1,0,20.5,2146.5,0,10633.5
"DOM_A03",0,1.4,0,0,0,8.8,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3.7,0.4,0,0.1,0.8,0,27.9,0.1,0,0,0.1,0,0.3,3.7,0,0,0.4,0,0.1,0,87.8,0,0.4,0.3,2.4,0,0.8,25,0,165
"DOM_B05_06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07_08",1.4,0,0,8.6,0,1.2,0.2,0.3,2,1.7,10.4,0.3,0.1,104.6,24.2,0,0,0.2,0.3,0.9,0,90.4,0,3.9,206.5,79.7,7.9,0,0,4.2,0,30.9,0,0,0.2,0,1.6,0.3,0.7,0.7,0,0.1,0.4,0.3,0,0.9,0,0.1,0.3,52.7,0,0,86.5,0,725
"DOM_B09",0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,1.8
"DOM_C10T12",1635,0,0,0.1,0,6675.2,3.8,2.1,31.1,68.5,451.3,14.1,6.3,1.3,2.1,23.2,0.7,1,4.1,3.4,0.1,4,14.1,46.8,38.2,446.9,11,0.1,1.3,60.8,1.2,2819,19.3,6.8,10.4,10,0.7,67.6,44.6,224.1,52.1,595.4,111.4,37.2,0,15389.3,0,0.4,3.3,717.3,0,144.3,14489.7,0,44290.8
"DOM_C13T15",3.9,4.6,0,0.7,0,37.6,543.1,2.8,54.5,7.2,37.8,5.8,42.9,7.1,7,9.2,2.7,2.1,7.1,97.6,1.3,109,1.4,6.3,133.4,83.5,2.9,0.1,0.5,7.9,0.4,19.4,3.8,2.5,4.6,3.1,10.6,28.3,37.5,15.7,4.6,73.4,7.5,33.3,0,1643.3,0,2.7,38.4,100.4,0,16.3,2045.8,0,5311.6
"DOM_C16",9.5,0.1,0,1.5,0,71.4,2.5,505.9,38.9,5.9,39.6,4,19.9,31,17.7,27.9,3.2,7.1,40,11.9,1.5,127.7,82.1,11.4,887.3,65,13.5,0.2,0.3,9.6,0.2,9.3,1.6,0.8,2.2,3.1,186.5,29.3,63.7,8.4,8.1,26.2,19.8,21.6,0,196.8,0,4.3,22.5,54.1,0,5.3,1107.6,0,3807.8
"DOM_C17_18",8.3,0.1,0,0.6,0,425.1,25,37.5,877.6,11.8,92.7,59.6,81.4,37,38.8,18.5,9,12.6,12.1,16.5,1.2,36.7,5.1,14.5,53.7,829.8,14.1,0.2,7.1,105.4,5.5,40.3,466,12.9,13.7,86.6,18.5,361.3,200.8,243,65.9,119.3,27.4,81.9,0,541.2,0,4.9,41.9,114.5,0,18.1,2565.9,0,7861.6
"DOM_C19",229.8,11.8,0,11.3,0,175.4,50.3,30.6,70.6,3967.9,1701,87.5,176,93.9,98.8,62.6,18.5,19.4,35.1,32,3.3,61.4,34.8,81.3,413.1,592.9,616.1,112.7,452.7,209.7,23.8,62.8,22.4,18,63.2,125.1,68.4,357.2,295.3,275,49.7,254.8,21.5,50.4,0,3186.3,0.5,17.2,157.3,305.7,0,56.5,9707.3,0,24568.7
