"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",915.7,10,0.7,0.1,0,2286.5,232.2,178.1,78.3,6.8,30.5,7.1,20.8,5.4,3,2.1,1.8,1.6,1.8,1.9,0.6,25.7,3.9,1.1,77,32.9,5.1,1.5,1.4,1.8,0.3,98.8,2.3,2.9,0.5,1.7,4,3.1,3.2,18.7,8,17,5.3,10.9,0,5740.2,1,14,299.9,115.1,0,0.8,112.7,0,10396.1
"DOM_A03",9.3,152.8,0.2,0,0,259.1,6.3,0.4,0.7,1.5,2.5,0.7,0.6,0.7,0.5,0.3,0.4,0.4,0.4,0.4,0.1,1.7,0.3,0.1,4.9,4.7,0.9,0.8,0.4,0.3,0.1,65.7,0.6,0.5,0.1,0.2,0.3,0.5,0.3,1.7,1.1,4.3,0.8,1.9,0,2156.8,0.6,0.9,19.1,68.9,0,0.1,19,0,2794.9
"DOM_B05_06",0.6,0.2,2.3,0,0,1,1.4,0.1,0.5,517.2,5.8,0.1,0.3,2.9,3,0.2,0.1,0.2,0.2,0.2,0.1,0.3,18.5,0.1,4,0.6,0.9,0.1,0.2,0.1,0,0.2,0.1,0.1,0,0.1,0.2,0.1,0.1,0.3,0.2,0.3,0.1,0.3,0,6.3,0,0,19.6,2.1,0,0,2.7,0,593.9
"DOM_B07_08",0.2,0,0,0.1,0,0.2,0.1,0,0.1,0.3,2.1,0,0.1,9.4,2.5,0.1,0,0,0.1,0,0,0.2,0.1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.5,0,0,0.8,0.1,0,0,0.1,0,30.5
"DOM_B09",0.1,0.2,0.9,0,0,0,0,0,0,6.3,0.2,0,0,0.3,0.1,0,0,0,0,0,0,0,0.2,0,2.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,10.7,0,0,0,1.5,0,23.1
"DOM_C10T12",230.2,18.4,0.3,0,0,665.9,55.8,0.5,4.8,4.8,33.2,8.5,4.2,2.5,2,1.1,1.5,1.2,1.2,0.9,0.3,2.6,1,0.7,11.1,18,2.7,2.3,2,1.4,0.2,314.5,1.9,2.1,0.5,1.1,1.2,2.9,2.1,15.6,12,34.5,5.3,10.8,0,4674.3,0.6,1.4,18.4,37.2,0,2.4,322.9,0,6541
"DOM_C13T15",5.6,2.2,0.5,0,0,12.5,1447.8,1.2,4.5,4.2,6.5,1.3,6.6,4.1,3,2.7,2.9,2.7,2.9,5.7,1,13.6,1.2,0.8,31,8.1,3.2,0.6,1.1,0.8,0.3,3.9,1.7,1.9,0.3,0.8,0.8,1.6,1.5,7.6,1.7,6.9,2.2,9.8,0,1207.5,0.3,0.8,40.4,52.3,0,1.4,5433.4,0,8355.7
"DOM_C16",3.3,0.8,0.1,0,0,4.8,6.4,52.3,9.8,0.7,2.7,0.4,2.1,6.7,2.1,2.4,1.1,1.9,1.5,3.7,1.6,69.4,0.7,0.3,254.1,3.1,1,0.1,0.1,0.6,0.1,0.8,0.7,0.4,0.1,0.1,2.5,0.7,0.5,1,0.7,0.6,0.6,4.7,0,64.5,0,0.1,20.8,3,0,0.1,5.6,0,541.6
"DOM_C17_18",6,1.5,0.3,0.1,0,74.3,76.3,4.1,282.8,5.3,27,9,13,23.4,4,4.4,8.7,8.9,4.9,4.5,0.9,15.8,1.9,1.7,31.6,27.2,4.7,0.7,1.1,2.5,2.4,7.3,77.7,8.4,2.3,9.7,3.2,14.8,6.7,18.2,13.7,10.5,5,16.8,0,289.1,0.1,0.6,20.8,9.1,0,0.3,16.1,0,1179.2
"DOM_C19",55.5,20.5,4.6,0.6,0.2,21.4,43.7,3,8.8,351.6,99.3,3.8,13.1,37.9,35,6.1,4.5,6.5,5.2,5.6,1.8,13.6,31.6,6.5,182,32,166.1,24.6,47.6,10.2,3.5,7.3,2.8,6.6,0.8,3.3,4,5.1,5.7,23.1,7.1,13.3,3,15.3,0,987.7,0,0.5,23.9,20.1,0,1,28.4,0,2405.6
"DOM_C20",75.9,1.9,1.9,0.2,0.1,27.3,138.5,7.1,39.5,83.6,408.1,33.1,181.7,42,20,13.5,15.6,21,10.8,13.2,3,25.3,2.8,3.6,105.4,9.7,4.4,0.8,0.9,1.1,0.3,4.2,5.5,1.3,0.4,0.9,2.7,4.3,3.5,7.4,3.7,32.9,2.3,16.3,0,416.1,0.2,0.9,21.4,14.1,0,0.3,79.3,0,1909.6
"DOM_C21",4.3,0.3,0.1,0,0,3.8,7.4,0.1,0.7,1.4,13.1,47.3,2.1,0.7,1.2,0.2,0.5,0.4,0.4,0.4,0.2,0.7,0.1,0.2,2.5,1,0.3,0.1,0.1,0.1,0,0.5,0.2,0.2,0,0.1,0.1,0.9,0.2,2,0.6,42.2,0.3,0.9,0,270.8,0.1,8.6,11.8,1.8,0,0.2,9.1,0,440.2
"DOM_C22",7.7,2.2,0.6,0.1,0.1,42.4,70.5,2.6,12.5,7.6,30.5,5.2,77.7,12.5,4.8,9.2,17.9,22.1,14.7,40.8,4.2,26.5,1.1,1.9,170.2,17.7,14.9,0.4,0.9,1.5,0.5,2.6,2.1,2,0.3,0.6,1.9,2.3,1.8,3.7,1.1,5.3,0.9,11.1,0,174.2,0,0.2,33.2,5.3,0,0,13.6,0,883.7
"DOM_C23",3.7,0.4,0.4,0.1,0,15.2,6.8,1.7,1.1,2.6,8.3,2,4.8,121.9,9,4.2,6.1,5.3,3.2,7.3,0.9,6.3,1.1,0.8,688.9,3.2,1.6,0.2,0.3,0.4,0.1,2.1,0.4,0.9,0.1,0.3,3.9,0.9,0.5,2.2,0.9,2.2,0.5,2.8,0,124.4,0,0.1,36.3,6.5,0,0,18.1,0,1110.9
"DOM_C24",1.2,0.2,1.7,0.1,0.1,4.1,6.3,1.2,2.3,4.1,10.7,0.8,9.5,18,482.5,176,38,106.9,87.2,86.2,16.3,46.4,2.1,5.6,275.5,4.4,2.4,0.2,0.2,0.5,0,0.3,0.4,0.6,0.1,0.1,0.8,0.9,0.4,0.9,0.3,0.6,0.2,4.2,0,4.8,0,0.1,77,12.5,0,0,15.5,0,1510.5
"DOM_C25",4.4,1.2,1.3,0.1,0.1,14.2,18.8,2.3,2.2,5.8,7.5,1.1,6.2,9.4,19.7,43.3,10.4,15.1,27.6,26.7,6.1,16.8,2.2,1.2,230.3,5.2,2.3,0.4,0.5,0.9,0.1,1.2,0.6,1.7,0.2,0.3,1.3,1.3,0.8,3.4,0.8,1.2,0.5,5.5,0,102.1,0,0.3,164.4,2.9,0,0,7.1,0,778.8
"DOM_C26",0.8,0.3,0.2,0,0,1.7,4.1,0.2,0.7,1.5,1.4,0.4,0.9,1.1,0.9,1.1,73.6,8.8,3.9,4.4,1.2,4.5,1,0.3,17.4,2.8,1.1,0.2,0.5,0.4,0.2,0.6,1.3,11,1.2,0.8,0.4,1.9,0.7,3.5,1.2,7.5,0.6,9.7,0,172,0.1,0.4,291.1,1.4,0,0.4,16.1,0,657.1
"DOM_C27",1.2,0.4,0.3,0,0,2.2,5.2,0.3,0.8,2.4,1.8,0.3,1.5,2.1,3.2,2.9,24.3,57.1,12.3,14.6,2.7,7.8,5.5,0.4,91.4,3.6,2.6,0.3,0.4,0.6,0.2,0.9,0.6,5.9,0.3,0.4,0.8,1.1,0.6,2,0.7,1.6,0.7,8.5,0,163.1,0,0.1,195.1,2.3,0,0.2,29.5,0,663.2
"DOM_C28",5.8,1,1.5,0.1,0.1,5.3,12.9,0.7,2.8,6.1,3.9,0.7,3,5.6,5.5,4.9,4.8,6.1,31.1,13.7,3.1,12.6,2.4,0.8,53.5,3.4,2.3,0.6,0.9,0.6,0.1,0.8,0.5,1.4,0.1,0.3,0.6,0.8,0.7,4.8,0.5,1.1,0.4,4.4,0,60,0,0.1,442.8,2.7,0,0,12.6,0,730.6
"DOM_C29",1.3,0.2,0.2,0,0,1.7,3.5,0.2,0.4,0.9,1.1,0.2,1.3,1.4,5.3,2.1,1.9,2.9,3.8,120,1.3,3.5,0.4,0.5,10.5,9.5,10.2,0.2,0.3,0.7,0.2,0.3,0.2,0.6,0.1,0.2,0.3,0.4,0.6,1.6,0.2,0.4,0.2,2.6,0,379.1,0,0.1,434.6,4.1,0,0.2,3.9,0,1015.2
"DOM_C30",0.1,2.1,0,0,0,0.1,0.2,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,1,18.4,1.1,0,0,1.1,0.3,2.7,4.1,4.5,0.2,0,0,0,0.1,0,0,0,0.1,0.1,4.5,0,0.1,0,0.5,0,40.5,0,0.1,153,0.5,0,0,26.3,0,263.3
"DOM_C31T33",9.7,2.9,2.1,0.1,0.1,10.8,62,2.7,5.3,12.9,6.8,1.9,5.1,13.9,5.7,5.3,6.6,7.5,6.7,9.6,3.9,54.2,5.9,2.1,70.8,10.1,10.7,2.8,6.9,1.9,0.6,4.8,2.1,7.8,0.7,2.6,2.8,3.5,2.9,9.1,5,11.2,4.2,10.4,0,386.6,0.1,2.8,259.1,0.7,0,1.4,23.8,0,1089
"DOM_D",12.7,2.1,3,0.3,0.1,21.1,53.7,2.9,15,34.8,29.2,2.7,11,31.1,33.8,6.5,5.3,5.8,5.8,6.1,1.9,7.3,71.7,3.7,23.3,13.8,9.7,0.6,0.8,3.4,0.9,11.2,2.9,8.1,0.6,3.1,8.4,3.1,2.1,15.8,11.7,12.6,4.2,12.8,0,389.6,0.1,2.2,11.5,0.1,0,0,2.7,0,922.8
"DOM_E",6.1,1.2,1,0.1,0,15.4,32.4,1.7,16.9,12.9,13.2,2.1,8,13.1,92.9,9.7,3.1,3.1,3.7,3.3,1.1,5.6,6.3,63.4,48,15.6,7.9,1,0.8,2.5,0.5,10.5,2.6,4.9,0.7,1.8,14,4.3,2.1,35.2,6.2,15.8,2.6,12.7,0,370.1,2.9,37.6,29,0.1,0,0,3.3,0,948.9
"DOM_F",13.9,1.8,2.3,0.2,0.1,12.4,28.6,1.7,3.6,13.6,8,1.7,3.7,14,6.6,4.5,4.1,4.1,4.1,4.2,1.4,8.7,16.4,5.1,1085,17.2,14.3,1.4,2.2,7.5,1.1,8,2.6,13.9,0.9,5.8,94.6,7.1,2.8,42.2,12.4,11.7,4.9,11.6,0,248.6,0.4,4.2,7151.4,0.5,0,0.1,23.1,0,8940.3
"DOM_G",135.3,26.2,2.9,0.4,0.2,355.8,522.9,20.4,48.7,84.9,96.5,22,45.2,49.5,47.1,26.6,36.9,30.7,29.4,63,8.8,50.4,10.9,6.2,264.6,109,79.6,7.1,11.7,8.9,2.9,66.3,18.9,18.8,2.6,7.5,6.6,12.7,11.5,25.6,10.3,29.5,7.2,31.5,0,2415.8,0.6,4,529.9,38.1,0,1.5,898.5,0,6342.1
"DOM_H49",36.9,7.2,3.7,0.4,0.1,101.2,94.5,8.5,19.5,50.6,34.5,4.4,15.3,33.4,24.9,11.7,9.1,10.9,10.3,14.5,2.6,14.7,5.4,3.1,112.6,48,61.3,4.7,5.2,17,4,14.1,5.2,3.9,0.7,2.5,1.8,3.9,3.7,10.9,6,7.4,2.1,13,0,1046.8,0.2,5.2,77.4,9.9,0,3.7,82.4,0,2071.3
"DOM_H50",5.6,3.1,1.6,0.1,0,14.8,24.2,1.4,4,29.2,10.7,1.2,3.3,6.3,7,2.5,2.4,2.7,2.8,3.4,0.7,2.9,1,0.3,15.1,16.9,12.2,56.6,1.7,8.3,1.2,2.1,0.8,1.3,0.2,0.6,0.3,1,1.7,3.8,0.8,1.4,0.4,1.9,0,266.3,0,0.7,24.4,13.5,0,0.9,104.9,0,670.1
"DOM_H51",5.5,0.7,0.4,0,0,12.7,26.6,0.6,2.6,9.3,6.7,1.1,3.1,2.8,3.8,2.1,2.7,2.4,2.4,2.6,0.8,2.5,0.8,0.3,15.3,5,2.5,0.7,6.9,2.3,1.2,2.4,1.1,1.4,0.4,1.4,0.4,1.6,3.6,4.7,1.2,2,0.8,2.9,0,267.5,0,0.3,23.1,17.7,0,2.7,55.5,0,516.9
"DOM_H52",8.3,4.9,0.8,0.1,0.1,25.4,32.3,2,5.7,23.8,11.9,2,4.8,10.2,7.9,3.8,3.8,3.6,3.2,5.7,1,4.5,1.7,0.9,25.6,41.2,60.1,28.5,40.6,33.8,1.7,3.6,1.9,3.2,0.3,0.9,0.8,1.9,2,4.4,1,1.6,0.6,3.8,0,188.8,0.1,6.4,14.3,1.6,0,0.1,24.9,0,662.2
"DOM_H53",0.6,0.2,0.1,0,0,1.6,7.2,0.2,0.6,1.3,1.7,0.4,0.6,0.8,0.6,0.5,0.8,0.7,0.7,0.5,0.1,1.2,0.8,0.3,3.9,7.1,1.9,0.3,0.4,1.2,10.7,1.2,2.6,10.6,0.5,3.5,0.9,2.2,1.4,6.5,1.2,1.7,1,4.2,0,53.4,0,0.2,1.3,0,0,0.1,0.5,0,140
"DOM_I",1.2,0.6,0.5,0,0,5.6,19.8,0.5,1.8,4.3,5.1,1.7,2.2,3.3,2.3,2.1,3.3,2.3,2.2,2.1,0.7,3.3,1.3,0.7,19.8,12.5,6.3,1.1,6.8,3.1,0.6,5.6,3,4.3,1.3,5.1,2,5.9,6.1,13,5.5,10.5,3.4,10.3,0,1796.3,0.9,2.5,5.3,0.1,0,19,2.5,0,2019.8
"DOM_J58T60",1.1,0.2,0.2,0,0,7.3,14.7,0.4,4.5,2.2,4.6,1.6,1.5,2.3,1.1,1.1,2.4,1.4,1.3,1.7,0.5,2.5,1,0.7,8.9,13.1,2.8,0.4,1,1.2,0.7,3.6,50.3,13,2,5.5,1.9,20.7,4.1,10.4,10.4,4.1,7.7,10.9,0,284.4,1.2,3.9,96.8,0.1,0,0.3,17,0,630.5
"DOM_J61",2.6,1.1,0.7,0,0,6.7,29.3,0.7,2.5,4.4,5.1,1.4,2.5,4.2,2.4,2.4,5.2,3,3.2,2.8,0.8,5.4,2.8,1.4,29.8,22,8.6,1.2,2.1,3.5,1.5,5.9,9,126,3.2,12.2,4,10.6,6.1,19.1,6.4,9.2,4.4,17.5,0,893.2,0.1,1.5,23.6,0.2,0,1,38,0,1350.6
"DOM_J62_63",0.5,0.1,0.2,0,0,2.5,9.1,0.2,0.9,2.2,1.9,0.8,0.8,1.2,1.2,0.8,2.7,1.1,1,1.3,0.4,1.6,1.4,0.5,7.4,6.2,2.1,0.3,1,1,0.6,0.9,2.6,9.9,5.6,6.8,1,3.9,1.7,9,2,2.5,0.9,5.3,0,49.4,0.1,0.4,149.6,0.1,0,0,39,0,341.6
