"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",1227.3,0.1,2.9,8.9,0,748.3,34.4,78.5,23.9,12.2,4.5,1.9,1.5,9.7,12.9,5,0.6,5,8,0.5,0.4,28.6,18.4,6.6,72.8,512.3,46.6,1.4,3,24.1,11.7,28.7,9.2,12.2,4.1,22.5,16.1,24.7,108.6,29.3,17.1,25.5,16.2,8,0,891.1,0,16.1,70,77.6,0,26.9,335.9,0,4652
"DOM_A03",0.1,0.4,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.7,0,0,0,0.9,0,0.6,0,0,0,0,0,0,0,0,0,0.1,0,0,0,14.7,0,0.2,0,0.4,0,1.7,0.5,0,23.6
"DOM_B05_06",1,0,4.7,0.7,0,0.6,1,0.1,0.2,29.4,0.9,0.4,0.1,3,43.2,0.2,0.1,0.1,0.3,0,0,0.7,146,0.4,2.3,2.2,1.5,0.2,0.2,1.3,0.2,0.3,0.2,0.2,0.1,0.2,0.4,0.3,0.9,1,0.6,0.2,0.3,0.1,0,33.9,0,0.2,4.6,3.9,0,0.4,6.6,0,295.6
"DOM_B07_08",4.2,1.1,0.2,31.1,0,14.7,0.8,0.2,0.5,0.8,19.6,5.3,0.2,41.5,166.8,78.9,0.1,0.1,1.9,0.2,0.2,2.4,1.2,2.8,40.1,8.6,0.7,0.1,0.2,8.6,1.9,4.7,0.6,0.4,0,0.1,1,0.8,4.1,1.5,0.1,2.4,1,0.1,0,11.9,0.1,1.1,14.5,7.9,0,1.9,65.2,0,554.2
"DOM_B09",0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"DOM_C10T12",66.6,0.1,0,0.2,0,509.7,6.5,0.2,0.1,0.3,4.9,2.1,0.1,0.2,0.3,0.3,0.1,0,0.2,0,0,0.2,0.3,0.1,0.8,63.1,0.4,0.5,0.2,0.1,0.4,35.1,0.1,0.1,0.1,0.1,0.2,0.6,2.5,28.4,15.1,22.9,0.3,0.1,0,1898.6,0,0.1,0.7,50,0,80.9,291.1,0,3084.9
"DOM_C13T15",6.8,0,0.5,1.1,0,7.5,232.4,1.6,1.1,2.7,2.1,1,3.3,1.5,5.6,1.1,0.7,0.9,1.5,5.6,0.1,6.8,2.1,2.1,9.1,11.1,3.8,0.5,0.4,1.6,0.9,7.9,1.6,1.1,0.1,0.5,9.8,0.7,8,12.8,1.8,6.6,3.1,0.3,0,579.8,0,0.4,6,36.4,0,69,588.4,0,1649.7
"DOM_C16",4.6,0,0.3,0.4,0,5.9,1,41.1,1.9,0.4,0.3,0.1,0.6,2.9,4.1,2.2,0.1,0.4,0.3,0,0.5,99.1,0.5,0.3,46.8,5.9,1.2,0.1,0.1,3.8,0.1,1.1,0.5,0.1,0.1,0.6,4.1,0.3,1.3,1.1,0.6,1.6,0.3,0.4,0,19.2,0,0.3,3.3,6.4,0,4.1,84,0,354.5
"DOM_C17_18",5.3,0.3,0.2,0.5,0,23.6,9.8,3.1,88.6,0.9,6.6,2.8,2.8,6.3,1.2,2.7,1.5,1.7,1.6,0.6,0,4.8,2.1,0.4,10,33.1,0.9,0.1,0.2,3,7.3,7.2,44.8,7.9,4.6,9.1,0.1,5.1,5.9,11.3,9.2,5.4,2.5,2.5,0,60.7,0,1.7,2.7,7.8,0,7.9,77.5,0,496
"DOM_C19",63,1.4,5.2,27.2,0,31.9,27,9.8,6.3,96.2,30.7,23.7,25.1,23.1,39.4,21.1,2.2,4.5,5.8,0.8,0.8,6.8,60,20.5,56.1,52.7,393.4,39.4,53.8,27,9.2,4.2,5.4,9.6,3,11.5,4.6,6.4,15.7,28.5,6.6,30.2,3,4.4,0,350.4,0,12.1,6.3,27,0,33.6,369.1,0,2095.5
"DOM_C20",33.1,0,0.2,2.5,0,10.8,22.7,4.7,7.1,5.8,44,19.9,46,7.8,7.7,6.3,1.4,2,3.4,0.1,0.5,5.6,1,0.7,16.2,10.1,2.3,0.3,0.2,1.1,0.2,0.8,5.1,0.2,0.1,0.4,0.2,3.3,6.7,6.3,3.8,47.6,1.9,2.8,0,96.3,0,20,2.2,10,0,6.3,208.4,0,686.2
"DOM_C21",12.6,0,0.1,0.8,0,3.7,7.5,1.7,2.7,2.2,16.6,7.3,6.9,3,2.6,2.4,0.5,0.8,1.3,0.1,0.2,2.1,0.4,0.3,6.3,3.6,0.9,0.1,0.1,0.4,0.1,0.3,1.9,0.1,0,0.1,0.1,1.5,2.3,2.4,1.5,16.3,0.7,1.1,0,103.1,0,33,1,4.8,0,3.8,55.9,0,317
