"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",1992.9,2.4,2,0.6,0.5,3712.4,64.2,193.2,19.8,1.6,71.5,6.7,15.1,3,2.9,1.4,1.4,1.3,3.1,1.8,0.6,8.4,5.5,1.4,20.1,27,4.6,4.9,4.3,1.8,0.3,112.6,2,2.8,1.9,2.7,2,4.2,4.8,14.3,5.2,11.4,4.3,6.5,0,3632.3,4,108.8,292.1,176.6,0,11.3,793.3,0,11369.5
"DOM_A03",0.8,2,0,0,0,35.7,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0.1,0.1,0,0,3.6,0,0,0,0,0,0,0,0.2,0,0.1,0,0.1,0,90.2,0.1,0.8,0.8,0.6,0,0.4,3.9,0,140.8
"DOM_B05_06",1.9,0,6.3,0.7,0.6,5.2,0.7,0.5,1.4,165.5,20.2,0.4,0.7,4.8,9,0.5,0.2,0.2,0.6,0.2,0.2,0.4,56.7,0.3,3.7,1.4,1.2,0.6,0.7,0.3,0.1,0.5,0.1,0.2,0.1,0.1,0.2,0.4,0.2,0.8,0.4,0.4,0.2,0.4,0,1.9,0,0.3,13.5,7.3,0,0,586.8,0,899
"DOM_B07_08",2.5,0,0.5,2.2,0.3,1.8,0.2,0.2,0.7,0.6,13.4,0.2,0.3,37.7,17.6,0.4,0.1,0.3,0.3,0.1,0,0.4,1.1,0.3,31.4,0.4,0.3,0.1,0.1,0.1,0,0.1,0,0,0,0,0.2,0.1,0.1,0.4,0.1,0.1,0,0.1,0,1.9,0,0.2,4,1.9,0,0,160.7,0,283.6
"DOM_B09",1.6,0.2,28.5,4.9,5.8,0.6,0.1,0.1,0.7,19.5,5.2,0.1,0.2,5.6,7.4,0.4,0,0,0.1,0,0,0.1,2.8,0.2,13.1,0.1,0.9,0.2,0.4,0.2,0,0,0,0,0,0,0.1,0.3,0.1,0.3,0,0,0,0,0,0.3,0,0.1,39.2,0,0,0,10.6,0,150.3
"DOM_C10T12",917.4,7.9,0.5,0.3,0.1,1888.9,21.2,3.4,8.3,1,109.6,12.7,3.8,2.8,3.1,1.5,1.6,1.4,3.7,1.4,0.5,4.2,2.6,1.5,7.1,31.5,4,12.3,7.1,1.8,0.2,522.1,3.6,2.7,2.3,3.1,1.4,4.7,3.7,26,17.7,34.2,10.8,13.8,0,4955.6,6.3,41.7,31.9,186.1,0,31.1,4654.3,0,13616.9
"DOM_C13T15",19.8,1.1,1.3,0.4,0.4,22.1,981.5,7.6,13.4,0.7,14.3,3.5,16.7,5.9,4,3.7,3.6,3.2,8.3,13.8,2.9,46.9,2.5,2.8,19.9,27.9,5.1,4.5,5.7,1.8,0.7,10.4,2.7,2.7,1.5,2.1,0.9,7.1,6.3,29.9,5.8,22.8,7.9,25.3,0,1596.6,3,15.9,28.8,88.9,0,20.4,1275.5,0,4400.3
"DOM_C16",6.2,0.1,0.2,0.1,0,7.2,2.1,117.7,7.6,0.2,3.5,0.4,2,2.9,1.5,1.7,0.7,1.1,2.1,1.8,0.9,28.9,1.5,0.4,44.6,3.9,0.8,0.6,0.6,0.4,0,0.8,0.5,0.4,0.3,0.3,1,0.8,0.5,1.1,0.6,1.1,0.4,1.8,0,28.5,0.2,2.3,18.4,6.8,0,1.2,1410.3,0,1718.9
"DOM_C17_18",28.4,0.5,0.6,0.5,0.2,226,24.8,28.8,557.3,0.7,65.2,17.5,26.9,24.2,5.8,6.4,9.4,11,11.9,5.4,1.7,26.6,4.1,2.8,13.1,61.1,6.5,4.1,3.5,4.7,2.7,12.5,111.8,11.2,15.2,24.3,3.4,38.1,15.2,47,28.1,18.8,11.6,20.9,0,303.8,1.2,17.1,33.4,41.4,0,3.7,341.3,0,2282.4
"DOM_C19",168.2,5.7,6.6,5.7,2.8,57.5,15.2,18.2,10.8,106.8,154.5,5.3,11.9,37.7,37.1,5.9,5,6.9,8.8,6.2,2.1,13.2,31.7,8.1,59.3,46.3,212.4,183.8,263,12,2.8,10.1,3.3,5.8,3.5,6.7,2.7,10.1,8.4,29.7,6.6,12.3,4.4,13.6,0,321.2,0.3,7.3,31.8,48.4,0,7.1,5694.1,0,7738.9
"DOM_C20",145.8,0.3,2,1.3,0.5,40.1,36.8,22.7,28,8.8,364.4,20.7,112.6,19.4,13.2,7.1,6.5,11.7,10.2,8.1,2.6,15.8,4.4,3.4,26.9,14.4,4.5,3.6,4.1,1.3,0.2,3.9,3.2,1.9,1.5,1.4,1.6,4.3,3,5.2,2.3,16.9,1.6,7.5,0,115.6,0.6,19.5,35.5,21.9,0,2.1,4900.1,0,6091.2
"DOM_C21",16.7,0.1,0.1,0.1,0,8.5,1.5,0.7,0.7,0.2,9.4,52.5,1.5,0.5,0.7,0.3,0.5,0.4,1,0.3,0.1,1.1,0.2,0.1,1.1,2.7,0.4,0.6,0.6,0.2,0,0.4,0.3,0.4,0.2,0.3,0.1,2.2,0.3,2.6,0.8,80.4,0.5,1,0,176.7,0.6,177.6,15.9,7.5,0,2.2,275.6,0,848.6
"DOM_C22",25,0.4,1.1,0.6,0.3,98.3,20.4,11.9,17.6,0.9,43.5,8.1,105.6,11.3,4.6,8,13.6,19.7,26.4,33,6.2,28.4,1.5,2.6,78.1,22.9,14.9,2,2.8,2,0.3,3.8,2.4,1.8,1.4,1.3,1.4,3.7,2.3,4.3,1.5,5.2,1.2,5.9,0,87.4,0.1,3.3,30.8,17.4,0,0.3,1054.2,0,1841.6
"DOM_C23",22.6,0.2,1.2,1.9,0.7,61.2,5,18.8,2.6,0.6,29.3,5.8,15,265.4,21.9,11.9,9.1,13.8,13.3,16.7,4.1,14.3,4,2.8,686,11.3,2.9,2.1,1.3,1.3,0.1,4.6,0.7,1.6,0.7,0.7,7.5,4.5,1.7,4.4,2.1,4.3,1.1,4.2,0,140.1,0.1,4.1,62.9,33.1,0,0.4,649,0,2174.8
"DOM_C24",3.5,0,2.3,0.4,0.5,10.1,2.4,5.4,4,0.5,22.9,1.2,13.3,14.5,541.2,194.6,30.2,150.9,150.4,65.5,23.7,61.9,2.3,5,110.7,5.1,1.6,1.1,0.6,0.6,0,0.4,0.3,0.5,0.3,0.3,0.7,1.9,0.5,1,0.3,0.6,0.3,2.5,0,3.1,0,0.9,61.8,31,0,0.1,1459,0,2991.9
"DOM_C25",15.4,0.3,3,0.8,0.6,34.5,6,13.7,3.7,0.9,16.8,1.6,9.9,8.9,24.1,58.2,9.4,18.6,65.4,30.2,12.1,25.9,2.7,1.8,114.1,8.2,3.2,2.4,2,1.6,0.1,1.8,0.7,1.8,0.9,0.7,1.3,3.3,1.7,6.4,1.2,1.8,1,5.3,0,60.2,0.3,5.2,143.5,11,0,0.2,871.9,0,1616.4
"DOM_C26",2.9,0.1,0.3,0.1,0.1,4.6,1.5,1,1.6,0.3,3.1,0.8,1.4,1,1.3,1.8,97.8,13.4,11.9,6.1,3,6.8,1.7,0.6,9.6,6.7,1.4,1.4,1.9,0.8,0.2,0.8,2.5,17.2,8,1.5,0.3,4.9,1.5,4.8,1.8,8.3,1.2,12.1,0,124.2,0.5,9.5,321.1,9.7,0,2.5,544,0,1261.4
"DOM_C27",3.9,0.1,0.4,0.2,0.1,5.3,1.7,1.5,1.4,0.3,3.5,0.6,2.2,1.8,4.2,3.4,21,59.1,24.5,13.6,3.9,10,7.1,0.8,46.1,7.5,2.4,1.6,1.5,0.7,0.1,1.1,1,5.6,1.7,0.7,0.7,2.6,1.2,2.8,0.8,1.6,0.9,6.1,0,74.4,0.2,1.5,137.3,9.5,0,0.9,943.2,0,1424.1
"DOM_C28",18.5,0.3,2.5,0.9,0.6,14.9,4.1,4.7,4.3,1,9.5,1.4,4.3,5.1,6.4,6.7,5.9,8.2,63.3,14.1,5.1,12.5,4.5,1.4,26.9,9.2,4.5,4.2,5.3,1.4,0.2,1.2,1.1,2.5,1.3,0.9,0.6,2.6,1.8,3.6,0.9,2.2,0.9,3,0,38.3,0.3,2.7,318.4,10.8,0,0.4,2295.7,0,2940.8
"DOM_C29",6.8,0.1,0.7,0.4,0.1,6.7,2.1,1.8,1.2,0.3,3.6,0.6,3.2,2.8,11.3,5.4,3,6.5,18.5,325,4.8,9.8,0.8,1.6,9.4,45.7,28.9,1.9,1.9,2.3,0.3,0.7,0.5,1.1,0.6,0.6,0.3,1.9,2.6,3.9,0.7,1.2,0.6,3.9,0,393.7,0.4,4.1,690.4,39.2,0,1.8,1103.4,0,2759.3
"DOM_C30",0.2,0.3,0,0,0,0.3,0.1,0.1,0.1,0,0.2,0,0.1,0.1,0.1,0.2,0.2,0.2,0.5,0.7,28.9,2.3,0.1,0,0.5,0.4,1.2,13.9,5.4,0.3,0,0,0,0.1,0,0,0,0.1,0.1,3.8,0,0.1,0.1,0.4,0,19.1,0,0.8,180.9,3.6,0,0,435.7,0,701.4
"DOM_C31T33",34.7,0.9,3.4,1.4,0.8,28.4,16.1,11.2,8.5,1.9,19.2,3.7,6.6,8.6,11.4,6.4,6.8,5.5,16.3,6.4,4.4,60.4,10,3.6,34.1,14,13,14.8,23.7,3.6,0.5,4.9,2.9,5.9,3.8,5,1.8,7.5,4.9,14.9,7.6,38,6.5,9.2,0,268.3,0.5,29.6,250.9,4.7,0,12.1,936.8,0,1995.7
"DOM_D",297.9,2.9,22.4,14,3.5,275.5,83,90.9,108,32.8,323.7,19.9,78.4,130.4,189.7,37.2,22.2,25.6,53.6,30.2,11.5,35.3,725.2,41.8,50.7,106.3,63.4,13.8,8.8,21.6,2.9,82.8,15.8,50.1,13.2,25.1,33.3,27.6,15.5,126.8,60.3,83.5,37.2,52.4,0,818.8,1.9,135.8,49.2,0.4,0,0.7,176.8,0,4730.4
"DOM_E",13.9,0.2,0.8,0.4,0.2,17.3,3.7,3.1,8.8,0.8,11.3,1.1,3.4,4.6,38.2,3.4,0.9,1,2.5,1,0.6,1.7,5.9,24.8,6.1,6.8,2.5,1.5,0.8,1.2,0.2,7,0.7,1.1,0.6,1.6,3,2,1.5,17.2,5.4,8.1,2.3,4.2,0,126.9,3.7,143.7,8.5,0.1,0,0.1,5.6,0,511.7
"DOM_F",41.7,0.4,3.5,1.6,1,20.3,5.2,8,4.7,2.2,15.2,2.1,4.7,9.9,5.8,5.2,2.4,3.2,7.7,3.1,1.8,8.1,26.5,10.9,640.3,25.8,17.4,6.6,5.8,11.1,0.9,10.6,3.1,12.5,3.2,8.3,56.1,14.6,5.2,90.5,17.7,16.6,7.4,10.1,0,139,2.2,67.8,6508.9,0.7,0,1.3,61.6,0,7940.4
"DOM_G",249.6,3.1,5.1,3.8,2.1,662.4,223.8,96,89.6,25.7,218,59.6,76.7,65.7,81.1,40.1,63.4,50.7,138,170.4,17.5,87.8,29.2,10.1,104.2,497.2,72.4,52.2,49.3,15.9,3.2,62.9,42.9,53.8,24.6,13.3,6.4,34.5,24.3,40.4,12.3,31.5,17.8,29,0,1006.8,2.7,46.5,852,54.4,0,11.6,1864.7,0,7496.2
"DOM_H49",93.4,0.9,10.8,9.1,2.4,172.9,27.3,48.6,35.3,13.9,99.5,7.7,25.5,54.7,31.3,14.1,9.7,11.8,24.1,18.4,4.2,20.7,18.1,8,58.5,151.9,215.5,24.7,13.4,41.3,9.1,8.3,10,6.5,5.7,10.6,2,14.9,11.6,33.2,17.2,13,6.2,19.2,0,971.1,1.5,188.8,53,7.5,0,51.2,306.3,0,3014.7
"DOM_H50",3,0.1,0.4,0.1,0.1,6,2.1,0.9,1.1,4.6,2.9,0.4,0.8,1.2,1.6,0.7,0.8,0.7,1.2,1.4,0.3,0.8,1.8,0.2,2.5,3.8,2.5,15.7,3.2,1.7,0.1,0.8,0.4,0.5,0.4,0.5,0.1,0.6,0.5,0.9,0.3,0.7,0.3,0.5,0,29,0.3,4.5,7.5,50,0,11.4,1716.3,0,1888.3
