"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",3263.2,77.1,4.2,4.4,0.2,38308.1,1144.7,341.7,496.9,4.2,2744.7,25.6,156.5,20.4,77.8,1.2,0.3,0.7,1.2,4.1,0.1,93.3,2.9,5.3,65.8,902,1.1,0.2,0.3,0.4,0,701.6,106.4,1.6,0.1,3.3,31.1,4.8,29,36.9,72.3,71.3,14.7,192.9,0,4616.6,0,80.9,4051.5,133.3,0,28.8,8190.3,0,66116
"DOM_A03",1.7,10,0,0.1,0,352.6,0,1.7,7,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,47,1.5,0,0,0,0,0,0,8.2,7.4,6.8,0.1,1.5,0,6310.6,0,0.8,0,14.3,0,2.3,31.1,0,6806.9
"DOM_B05_06",11.6,1,805.4,65,13,142.4,51.3,13.3,127.3,24439.8,71.1,8.4,26.1,65.7,566.9,83.8,2.4,8.1,7,55.3,1.1,2.9,1227.5,121.1,13.1,19.3,60.2,1.1,7.2,2.3,0.2,6.5,0.9,3.6,0.7,1.9,1.5,21.5,2.3,8.1,2.2,2,0.8,6.1,0,115.8,0,0,3.4,83.4,0,0.7,4296.8,0,32579.4
"DOM_B07_08",301.4,13.9,57.2,856.6,4.2,25.4,13,6.7,30,48.1,2098.4,5.4,13.7,604.4,2616.2,146.7,1.8,36.1,87.7,35.5,2.9,21.1,1.5,30.7,955,10.3,2.2,0,0.2,0.6,0.1,3.2,1,1.2,0.1,1,47.9,1.5,0.6,6.6,2,1.8,0.6,12.6,0,113.7,0,0,16.7,27.3,0,0.1,7782.3,0,16047.6
"DOM_B09",8.7,2.9,475.9,188.8,19.3,7.4,0.4,0.5,8.8,222.9,33.7,0.5,1.5,26.7,16.9,5.6,0,0,0.5,0.3,0,0.1,93.1,0.5,175.6,1.5,14.6,0.2,0,2.9,0,0.6,0,0,0.1,0.1,17.3,1.1,3.4,2.2,0.3,0.8,0.3,2.2,0,0,0,0,0,0,0,0,50.5,0,1388.9
"DOM_C10T12",3045.9,350.9,20.6,16.7,0.7,13849.4,946.9,17,122.7,113.8,540.8,202.4,155.4,29.2,40.6,41.9,13.8,34,26.7,43,2.4,51.8,87,12.1,125.5,121.1,39.2,0.2,39.5,5.1,0.5,1571.4,437.4,10.3,1.2,41.4,8.2,4.9,4,578.5,27.1,58.3,2114.7,6872,0,50808,0,21,50.7,184.4,0,109.9,18573.7,0,101573.9
"DOM_C13T15",115.7,1.9,28.1,165.3,0.9,172.7,9279.6,60.1,154.2,18.2,113.6,18.8,151.6,100.9,5.5,26.7,14.3,7.9,73.9,59.9,10.1,244.7,22.2,3.2,114.3,230.9,131.7,22.6,50.1,21.6,1.5,297.6,37.2,31.4,1.4,65.7,9.5,145.4,266.8,18.7,10,131.3,5.4,1067,0,17411.2,0,1.7,17.2,70.9,0,80.7,4380.8,0,35472.6
"DOM_C16",44.3,1.2,3.5,3.8,1.1,30.7,12.5,1083.2,67.6,1.8,130.2,8,8.9,190.9,3.2,76,28.2,5.7,46,6.5,0.5,977.5,47.8,0.7,2147.1,8.7,0.2,0,0,6.3,1,0.2,5.4,2.9,0.4,0.7,60.3,0.3,30.6,1.9,2.8,0.7,0.3,16,0,123.7,0,0,86.2,11.1,0,3.5,1939.2,0,7229.5
"DOM_C17_18",6.5,0.5,10.5,112.9,0.7,693.2,221.3,70,2618.7,19.6,273.8,111.2,240.3,187.2,40.1,141,81.1,137.9,78.7,89.7,9.2,297.3,16.9,9.3,122.1,496,45.5,9,11,46.7,30.1,1245.8,679.3,236.6,426.1,491.7,84.9,2597.8,1781.7,137,448.4,1659.8,18.2,472.8,0,1737.8,0,0.1,67.6,27.6,0,10.1,3158.1,0,21509.4
"DOM_C19",3439.1,173.4,560.3,1034.7,26.3,1400.9,1362.6,359.1,1025,16063.9,5386.5,582.4,2615.1,1100.7,1747.3,892.2,307.5,763.5,508.8,524.1,169.6,512.1,764.8,123.7,2495,2063.6,8687.4,162.1,1033.2,204.8,17.4,611.1,111.4,53.7,16.1,145.9,131.4,157.7,211.9,850.4,159.3,251.7,48.1,833.7,0,13760.4,0,13.8,37.1,159.7,0,53.9,3303.2,0,77017.5
"DOM_C20",8359.4,124.9,227.6,349.5,10.8,961.8,1762.2,453.2,2223.2,3529.7,10563.2,808,5373,809,1050.6,1025.8,306.9,1044.7,616.2,909.3,61.3,877,118.4,237.5,3383.5,1188.5,178.4,2.5,8.4,24,2.6,173.7,162.2,55.6,6.4,89.5,148.6,55.5,49,574.6,91.4,357.1,45.8,876.4,0,3181.1,0,0.8,104.8,148.4,0,14.8,3556.7,0,56283.5
"DOM_C21",376.2,4.2,5.9,8.7,0.3,82.6,28.2,1.7,7.3,10.6,109.4,179.3,5,14.8,40.2,17.3,11.2,2.8,23.3,29.6,1.2,3.5,20.2,2.3,24.3,29.7,14,0.6,1.7,3.1,1,0.9,2.2,22.5,1.9,12.4,10.3,11.2,1.5,497.2,9.7,97.3,92.8,605.2,0,7422.3,0,684.1,14.6,15.2,0,7.6,619.6,0,11188.7
"DOM_C22",177.6,16,44.2,268.2,4.1,1235.4,307.3,96.2,448.1,85.7,582.5,130.1,718.4,54.5,301.9,478.8,240.5,294,554.2,3286.1,182.6,458.3,46.7,49.8,2377.2,725,1036.7,39.7,154,18.8,439.6,292.7,162.5,5.7,381.9,16.8,90.9,383,333.4,10.8,6.3,569.7,12.5,545.4,0,1218.4,0,0,64.5,32.9,0,0.3,1673.7,0,20653.6
"DOM_C23",33.1,0.8,139.1,14.1,4,158.8,21.9,75.8,17.2,4,239.5,53.5,4.4,980.2,179.7,58.6,36.3,123.2,26.1,305,1.7,131.6,4.8,1.4,8851.8,77.4,0.4,0,0,0.6,0.2,63.9,1,1.2,0.2,1.3,256.7,1,13.8,39.8,10.9,15.8,28.9,307.4,0,284.7,0,0,15.6,16,0,0.1,1521.5,0,14124.8
"DOM_C24",75.6,3,160.8,80.2,10.4,125.8,16.5,38.4,111.9,45.8,222.7,15.2,146.6,169.4,2812.6,3562.4,276.6,1290,3296.3,3220.5,288.3,613.4,43.2,45.4,2023.7,130.2,6.5,0.2,0.3,0.9,0.8,2.6,5.9,24.1,3.3,12.4,15.9,7.8,30.4,24.2,7.8,9.3,0.9,18.9,0,222.3,0,0,227.9,-1.8,0,0.3,13035.4,0,32480.8
"DOM_C25",172.7,11.6,855.3,284.9,10.7,1006.9,142.2,117.3,263.6,280.5,638.7,49.1,159.8,137,1852.7,1342.8,370.3,609.6,2028.5,1498.4,78.8,386,261.2,56.1,2986.5,202,5.9,0.1,0.1,0.7,1.5,17.2,12.4,141.8,1.6,3.8,49.7,7.8,60.9,197.3,3.5,21.8,1.6,161.6,0,738.2,0,7.1,3577.8,37.6,0,0.2,1190.5,0,22043.9
"DOM_C26",6,0.1,14.5,22.2,0.9,6.5,5.6,1.2,28.5,9.6,21.8,7.8,9.1,7.8,18.4,3,1463.1,86.1,126.9,136.1,2,265.6,19.4,1.2,66.7,76.3,10.7,0.1,1.1,21.6,10.1,189.1,14.9,177.1,281.7,25.7,8.6,188,103.4,33.8,23.8,140.8,2.7,121.1,0,3054.2,0,0.1,6301.6,19.1,0,12.8,3032.3,0,16181.1
"DOM_C27",8.6,0.5,195.7,31.9,1.5,129.7,30,9,11.9,93.2,71.5,20.3,53.5,61.6,46.2,19,781.6,932.5,616.1,920.3,53,250.5,582.2,11.7,817.9,133.2,253.9,3.4,0.3,14.9,1.1,115.5,23.2,226.9,4.1,23.3,27.7,162.8,128.3,23.4,8.3,6.1,10.4,570.6,0,3593.3,0,0,1208.8,18.5,0,6.4,1941.6,0,14255.9
