"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",8.7,0,14.1,0.4,0.1,0.9,0,0.2,0,0.3,0,0,0,0,0,0.3,0.8,0,0.6,0,0.2,0.4,0,0.1,2.7,0.9,0,0,0,0,0,4.5,0,0,0,0.1,0,1.1,0.1,40.8,5.6,3.8,0,0,0,32.3,0,0,6.1,0,0,0.5,0.1,0,125.6
"DOM_A03",0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,2.1,0.2,0.1,0,0,0,1.3,0,0,0,0,0,0,0.1,0,4.2
"DOM_B05_06",0,0.1,1016.1,63.6,8.5,0.1,0.1,0,0,834.9,3.6,0.2,0.2,0,0,0,0.3,0,0.6,0,0.1,0.3,4.9,0.1,4.4,5,0.1,0,0.6,0.3,0.7,0.1,0,0.1,0,0,0.6,0.5,0.2,0,0,0.6,0,0.1,0,22.4,0,0,193.6,9.2,0,0,6198.6,0,8370.9
"DOM_B07_08",4.3,0,138.5,339.4,43.8,1.7,0.5,1,9.7,0.1,10.7,2.8,1,38.9,15.5,13.4,0,10.5,2.7,0,10.8,1.6,8.8,5.6,686.9,50.6,12.2,97,5,0.2,0.1,21.5,4.6,142.9,33.3,110.2,18.8,48.7,7.6,172.9,32.6,10.5,0.7,0.7,0,23.6,0,0,16.2,105,0,0,93.4,0,2356.3
"DOM_B09",0.2,0,22.2,6.5,2.1,0.1,0,0,0,10.8,0.1,0,0,0,0,0.4,0,0,0,0,0,0,0.1,0,1.5,1.7,0.5,0,0,0,0,0,0,0,0,1.9,0.6,0.2,0.1,5.4,1,0,0,0,0,0.7,0,0,515,0.1,0,0.6,75.5,0,647.5
"DOM_C10T12",1.9,0.1,0.5,0.5,0,2.4,0.1,0,0,2.8,0,0,0,0,0,0.1,0,0,0.1,0,0,0.1,0.6,0,1,3.1,0,0.1,0.3,0.3,0,5.3,0,0.1,0.1,0.5,0.4,0.5,0.2,7.9,2.4,0.9,0,0,0,9.7,0,0,2,-0.2,0,0.3,0.3,0,44.4
"DOM_C13T15",0,0,22.3,0.1,0.3,0,11.9,0,0,0.6,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,1,0.3,0,0,0.1,0,0.3,0,0,0,0,0.1,0.1,0.2,0.1,1.5,0.4,0.1,0,0,0,8.7,0,0,0.5,-0.6,0,1.3,16.1,0,65.8
"DOM_C16",0,0,0.1,0.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.3,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0,0.2,0.1,0,0,0,0,0.2,0,0,2.1,-0.1,0,0,0.4,0,4.5
"DOM_C17_18",0,0,1.7,0.7,0.1,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1,0,0,0,0,0,0,0,0,0,0.1,0,0.4,0.1,1.1,0.4,0,0,0,0,1,0,0,11.4,0,0,0,0,0,19
"DOM_C19",11.4,1,656.1,356.4,23,2.9,1.1,0.5,0.7,267,1,0.1,1.5,0,0,1.3,3.8,0,3.1,0,1.5,1.8,70.4,1,85,143.8,20.1,26,135.4,12.2,0,3.2,0.2,2.9,2.9,12.1,1.6,25.6,25.5,298.8,20,11.9,0.4,0.5,0,204.1,0,0,0,1.9,0,3.5,0.2,0,2443.5
"DOM_C20",0.1,0,10.7,1.4,0.2,0.1,0.2,0,0,5.1,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.3,0.6,0.5,0.1,0.1,0.3,0,0.1,0.1,0,0,0,0.1,0.4,0.4,0.2,4.3,0.1,3.7,0,0.2,0,3.4,0,0,0.1,-0.4,0,0.1,0.8,0,33.4
"DOM_C21",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.3,0,0,0,0.3,0,6.2,0,0,0,0,0,0,7.6
"DOM_C22",0.1,0,4.1,0.2,0.1,0,0.1,0,0,0.4,0,0,0.3,0,0,0,0.1,0,0,0,0,0,0,0.1,0.9,0.9,0,0,0,0,0.8,0.1,0,0.2,0,0.3,0.2,0.2,0.1,2.3,0.2,1,0,0.1,0,1,0,0,2.9,0,0,0,0,0,16.6
"DOM_C23",0.2,0,2.2,1,0.1,0.1,0,0,0,0.4,0,0,1.3,0,0,0.2,0.3,0,0.2,0,0.1,0.2,0,0.2,3.4,4.1,0,0,0.1,0,0,0.2,0,1.7,0,1.5,0,0.2,0.5,10.7,0.7,1.2,0,0.1,0,1.7,0,0,19.4,0,0,0,0,0,52.3
"DOM_C24",0,0,1,0.6,1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.4,0,0,14.7,-0.8,0,0,1.1,0,19.4
"DOM_C25",0,0,12.5,2.6,2.2,0.2,0.1,0,0,0.9,0,0,0,0,0,0.1,0,0,0.1,0,0,0.1,0,0.1,1.6,2.7,0,0,0.1,0.2,0,0,0,0.2,0,0.2,0,0.2,0.1,2.7,0.2,0.2,0,0,0,3.4,0,0,1.7,-0.1,0,0,0.2,0,32.6
"DOM_C26",0,0,1,0.2,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.8,0,0,9.1,0,0,0,0,0,12.4
"DOM_C27",0,0,2.7,1.2,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1,0.5,0,0,0.1,0,0,0,0,0.2,0,0.1,0,0.1,0,0.2,0.6,0.2,0,0,0,2.1,0,0,7.7,0,0,0,0,0,17.5
"DOM_C28",0,0,0.8,0.6,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.5,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0.1,0,0,0,0,0.6,0,0,16.7,0,0,0,0,0,20.4
"DOM_C29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C30",0,0,1.8,1.4,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,1.1,0,0,0,0.1,0,0,0,0.1,0,0.1,0,0.1,0,1,0.1,0.1,0,0,0,1.6,0,0,16.4,-0.5,0,0,0.8,0,25.3
"DOM_C31T33",0,0,2.2,0.5,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0.1,0,0,0,1,0,0,8.8,0,0,0,0,0,14.7
"DOM_D",0.2,0,34.4,4.4,0.2,0.3,0.2,0,0,37.5,0.2,0,0.1,0,0,0,0,0,0.1,0,0,0.1,4.4,0.1,0.7,7.9,0.1,0,0.2,0,0,1,0,0.6,0.1,0.8,1.5,0.9,0.7,10.3,1.6,1.4,0.2,0.2,0,38.6,0,21.7,0,0,0,0,0,0,170.6
"DOM_E",0.1,0,7.8,1.7,0.1,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.9,0,0,0.1,0,0,0.1,0,0.1,0,0.2,0.4,0.3,0.2,5.4,0.5,0.1,0,0,0,9.5,0,3.7,8.8,0,0,0,0.1,0,42.5
"DOM_F",0.5,0,13.7,9.1,1.3,0.5,0.2,0,0,8.1,0.1,0,1.1,0,0,0.2,0.3,0,0.3,0,0.2,0.2,0.3,0.6,20.1,8.9,0.1,0.3,0.8,0.3,0,1.2,0,2.3,0.6,3.4,5.7,4.7,2,22.8,4.6,3.1,0.1,0.1,0,15.5,0,0.1,1042.5,0,0,2.8,0.4,0,1179.5
