"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",5797.5,116.4,13,8.3,2.5,9451.4,101.5,5963.3,855.2,9.7,10.8,5.7,144.7,4.6,8.4,8.7,4.6,3.1,5.1,17.1,3,30.6,17.4,1.2,432.3,108.5,35.9,0.6,1.3,6.6,5,514.1,6.8,3.7,3.4,25.2,8.8,26,5.8,272.6,20.5,32.6,4.4,8.3,0,4543.6,0.1,0.8,57.9,236.8,0,40.9,6376.3,0,35362.4
"DOM_A03",140.7,66.3,0.1,0.1,0,1313.2,0.2,0,0.1,0,0.1,10.5,0.2,0,0,0,0.1,0,0,0.2,0.1,0.1,0,0,0.6,1.5,0,0,0,0,0,58,0.1,0.1,0.1,0.6,0.2,0.3,0.1,2.3,0.1,0.5,0,0,0,548.6,0,0,2.2,38.1,0,0.4,685.9,0,2872
"DOM_B05_06",145.2,30.2,673.8,62.8,53.4,155,21.1,78.4,349.6,9674.1,893.2,9.9,33.7,157.3,456,80,7.8,13.7,53.7,86.9,16.5,48.5,911,26.8,181.9,650.8,458.6,50,207.1,30.2,29.2,54.9,24.9,17.3,5.7,195.9,374.1,76.3,67.9,165.1,195.5,129.8,15.3,42.6,0,2015.1,0.1,0,357.7,272.3,0,32.1,27814.6,0,47503.8
"DOM_B07_08",33.8,5.3,497,111.8,49.9,99.3,13.8,24.5,90.5,27.8,66.5,21.3,23.1,178.3,354.2,70,54.4,37.1,39.4,134.5,35,80.9,29.6,7.6,631.1,404.6,35.3,1.9,30.5,20.1,9.2,71.7,48.4,52.8,105.6,857,97.4,117.1,87.1,213.9,33.2,79.5,27.5,17.6,0,511.7,1.4,7.4,1047.7,9.6,0,9.6,4696.7,0,11311.4
"DOM_B09",0.8,0.2,1967.3,226.6,153.4,0.7,0.1,0.1,0.1,0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,4.2,2.3,0.1,0.2,1,0.1,1886.6,1.8,0.1,0,0.2,0.1,0,0.3,0.8,0.3,1.3,4.2,0.6,0.9,0.9,0.9,0.3,0.9,0.6,0.2,0,55.2,0,0,1830.8,0.8,0,8.3,128.2,0,6282.9
"DOM_C10T12",1497.3,36.3,51.7,32.2,12.2,5933.1,79.3,43.7,113.4,22.2,163.1,83.7,171.9,25.8,42.5,62.7,68.1,25.6,54.7,126.7,34.1,73.4,28.4,6.2,188.2,469.4,27.3,3.5,16,13.9,6.1,4321.5,36.8,38.5,36.4,178.3,74.2,122.1,71.9,186.2,132.7,645.7,39.4,29.7,0,23819.1,0.4,27,356.8,348.9,0,90.8,9677.4,0,49746.3
"DOM_C13T15",83.1,84,9.6,17.8,2.3,45.1,1587.3,21.5,105.3,4.1,31.1,5.9,201.6,15.6,12.9,21.1,18.5,11.6,18.8,220.3,9.5,299.4,4.7,2.1,330.7,158.9,19.2,7.1,3,11.2,3.9,86.8,9.6,5.5,5.7,25.4,9.2,32.8,10.6,104,38.2,291,8.3,28.6,0,5552.1,0.1,4.3,137.6,141.8,0,149,1899.4,0,11907.6
"DOM_C16",74.4,34.2,12.2,8.3,2.5,46.2,23.7,2492.9,2094.8,7.6,23.7,5.9,47.4,32.4,30.5,91.8,17.7,24.3,53.5,82.2,19.2,1235.2,17.4,1.4,2939,155.1,14.1,0.4,2.8,3.9,4.7,10.2,16.3,6.1,6.8,38.8,11.6,17,13.1,33.5,6.1,13.9,5.8,64.9,0,357.3,0.1,1.5,153.8,136.6,0,3.4,12068.8,0,22564.9
"DOM_C17_18",70.4,25.2,74.4,30.3,11.9,948.4,139.7,112.9,3833.7,36.3,188.3,80.9,154.5,123.6,60.4,99,128.6,78.6,67.7,120,43.3,336.4,41.4,21.9,303.2,815,38.2,4.7,11.7,37.5,33.3,165.2,867.4,465.7,252.7,523.4,115.1,203.8,123.1,138.4,280.8,232.5,255.9,102.8,0,3345.7,1.7,2.5,1441.9,174.8,0,51.1,17445.5,0,34261.4
"DOM_C19",539.5,161.1,258.4,216.7,126.3,61.9,11.7,66,134.7,828.7,2167.4,8.7,17.1,66.4,143.2,41.3,16.7,7.4,34.2,102,13.5,118.6,173.7,99.5,956.2,1457.7,2287.2,206.5,1234,55.3,119.8,67.8,21.6,56,11.2,295.4,114.5,106.4,260.8,309.9,142.1,109.5,24,61.7,0,4362.4,0.7,0.7,175.2,184.2,0,193.7,4222.1,0,22451.5
"DOM_C20",599.5,64,149.5,134.8,44.5,257.3,450.4,163.2,565.4,274.2,1785.9,116.8,1361.1,104.7,134.1,190.9,159,84.2,121.3,296.7,39.6,293.8,109.4,29.7,676.4,478.7,539,49.1,279.6,30.8,35.8,109.6,36.3,46.3,33.4,146,83.7,82.9,200,173.5,103.5,225.7,33.8,101.9,0,2825.3,0.1,27.4,639.5,151.4,0,117.2,8708.8,0,23465.8
"DOM_C21",21.5,5.8,13.2,6.4,2.5,64.3,16.3,10.6,23.9,6.9,46,419.2,35.2,5.9,10.1,13.5,16.9,6.3,11,38.6,5.3,15.8,6.5,1,39,74.7,7,0.7,2.8,2.7,1,23.6,13.7,5.7,8.4,271.4,14.8,52.4,14.5,739.5,14.9,384.4,10.5,4.9,0,1239.4,0,846,237.7,41.2,0,3.4,985.7,0,5842.8
"DOM_C22",67.6,41.4,45,63.2,19.3,574.9,59.9,99.5,201,22.3,338.5,69.8,582.5,80.4,22.4,149.3,56,63.2,158.7,1054.9,29.8,398.7,56.8,8.6,1096.2,545.1,144.7,6.9,8.3,22,12.1,41.8,21.5,11.4,24.5,82.1,38.1,35.9,48.8,41.1,42.9,59.5,77.9,44.8,0,1082.5,0.1,5.3,342,115.8,0,14.6,8069.6,0,16299.3
"DOM_C23",47.9,5.6,41.1,44.1,69.8,116,4.4,76.6,40.4,32,80.7,45.4,85.8,1126,237.5,127.4,39.4,212.4,31.2,453.5,46,85.1,5.5,3.4,2840.1,72.3,43.7,3,17.5,5.8,2.6,45,5.9,7.1,7.4,31.8,17.4,26.7,59.2,29.5,12.2,22.9,6,7.7,0,706,0,1.8,87.4,77.6,0,5.1,1966.9,0,9166
