"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",1094.7,1,2.2,0.2,0,4046.3,28.5,11.6,23.4,0.8,9.7,6.9,7.1,5,13.6,2.6,0.6,0.3,0.6,0,0,6.1,8.2,8.7,9.2,13.9,1.3,3.6,0.3,11.4,0.1,305.8,0,0.3,0,7,43.2,6.8,9.6,76.8,9.8,45.4,14.3,0.6,0,2644,0,0,80.4,32.9,0,67.9,160.4,0,8823.5
"DOM_A03",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,0,0,0,-1.5,0,1.2,5.8,0,23.2
"DOM_B05_06",1.1,0,6.2,0.3,0,1.4,1.2,0.1,4.4,109,134,0.2,0.5,30.5,20.7,4.5,1.8,0,0,0,0.3,0.2,132.4,1.8,94.1,4.3,2.3,1.4,0.3,0.5,0.1,1.7,0,0,0,2.7,0,1.8,0.3,8.5,0.5,4,1.1,1,0,80.1,0,0,0,3.8,0,0,90,0,749
"DOM_B07_08",0.3,0,0.3,0.1,0,0.2,0.2,0,1,17.1,101.4,0.1,0.1,19.1,5.9,1.6,0.5,0,0,0,0.1,0.1,15.8,0.5,85.5,1,0.3,0.4,0,0.1,0,0.4,0,0,0,0.4,0,0.9,0,1.7,0.1,0.4,0.2,0.2,0,15.6,0,0,0,0.3,0,0,84.2,0,355.8
"DOM_B09",0.1,0,0.1,0,0,0,0,0,0.2,1.7,6.6,0,0,0.3,0,0.2,0,0,0,0,0,0,1.7,0.1,2.8,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,10.3,0,24.8
"DOM_C10T12",342.3,0,0,0,0,1833.6,9.3,0.3,7.5,17.7,93.7,116.8,0.4,0.1,0,0,0.5,0.4,1.7,0.1,0,0.2,0.6,0.3,3.7,124.3,1.4,4.1,0.6,0,0.2,1901,0.5,0.2,8.7,0.5,0,1.9,2,84.4,50.8,452.3,18.1,9.9,0,12862.4,0,0,0,100.1,0,281.2,2300.1,0,20633.7
"DOM_C13T15",4.9,0,0.6,0,0,11.2,283.3,0.6,10.8,26.8,152,26.3,11.3,1.5,3.8,5.9,18.4,11.3,22.5,0.7,5.1,38.1,0.3,0.4,78.6,170.3,0.4,0.5,0.1,2.7,4.7,23.6,5.3,0.6,0.2,3.2,0.1,8.5,9.8,7.6,9.3,21,4.2,5,0,1347.5,0,0.5,19.7,12.3,0,68.6,1007.7,0,3448
"DOM_C16",11.9,0,1.8,0.2,0,39.9,1.3,946.3,148,0.2,1.5,1.6,2.3,21,5.7,76.2,51.8,22.1,32.3,0.9,38.5,529.1,1.2,7.5,1406.6,56.2,1.2,1.6,0.3,8,0.1,4.5,0.6,0.4,0.6,13.7,25.7,4.7,2.8,53.4,5.7,8.6,14,0.7,0,197.4,0.1,0.2,5.3,16.6,0,11.2,349.5,0,4131.2
"DOM_C17_18",6.4,0,5.9,1.3,0,111.7,16.4,8.4,558.2,2.8,36.9,70.8,14.3,23.5,1.9,37.1,86.9,52.9,68.2,1,3.8,16.2,12,5.7,45.3,2434.1,21.4,21.5,4.5,52.9,14.9,33,311.9,56.6,30.9,118.2,25.5,567.7,264.7,106.2,15.9,36,11.5,67,0,635.9,1,0.6,6.9,20.3,0,23.5,1352,0,7422.3
"DOM_C19",34.8,0,2.4,0.5,0,9.2,16,12.9,39.7,173,333.6,138.6,130.9,25.1,6.6,39.4,49.1,57.8,44.4,1.4,2.8,8.8,22.7,1.7,161.2,183.1,66.4,62.5,17,27.9,6.6,40.9,18,3.1,4.1,3.3,0.3,24.8,17.6,27.8,13,50.7,8.7,6.5,0,554.1,0,0,0,5,0,24.9,53.1,0,2531.9
"DOM_C20",74.9,0,5,0.9,0,19.9,34.1,34.4,217.2,49.3,1144.2,635.7,771.4,33.6,13.4,113.6,210.7,239.6,102.3,4.2,5.9,18.5,21.8,4,139.9,81.9,130.3,171.3,21.9,23.5,1.7,47.6,49.5,1.5,3,5.5,0.7,51.9,30.7,13.4,15.2,64.8,15.6,18.3,0,984.5,0,0,0,120.5,0,13.2,4384.2,0,10145.3
"DOM_C21",384.2,0,56.6,4.4,0.2,103.2,174.3,0.1,82.9,0,0.1,5254.3,3.2,0,68.4,0.1,1.5,0.4,1.1,0,30.4,89.1,81.7,19.2,0.4,19.6,535.3,1035.3,155.2,70.8,0,3.7,98.4,0.3,0,27.2,3.5,339.6,168.6,137.3,1,498,30.2,133.3,0,2623.8,0,277.1,4.9,153.7,0,29,7753.2,0,20454.9
"DOM_C22",12.2,0,1,0.1,0,90,11.9,11.5,47.2,5.2,51.9,128.7,54.8,12.7,2.9,52.7,198.2,159.1,361.3,14.7,13.5,63.8,4.1,8.2,202.2,500.6,2.9,0.8,0.3,22.7,6.1,8.3,20.6,17.5,13.1,2,0.6,56.6,30.9,26.3,4.4,11,3.2,5.3,0,267.3,0,0.1,3.2,10,0,0,1898.2,0,4420
"DOM_C23",16,0,1.2,0.2,0,153.1,6,19,1.4,0.5,3.5,71.7,2.3,327.7,27.7,81,127,121,31.8,4.3,2.6,26.6,6,1.8,1643.4,60.9,57.6,44.7,9.7,3.6,0.8,34.3,0.4,3.3,0.1,0.4,0.2,10.9,5.4,14.5,3,7.7,3.2,0.8,0,202.5,0.2,0.2,23.3,14.1,0,0.1,521.3,0,3699.3
"DOM_C24",0.4,0,1.1,0.1,0,7.1,0.2,6.9,1.3,17.4,96.7,2.7,10.5,20.8,324.7,1007,260.8,240.5,422.3,7.7,44.6,71.1,11,0.8,233.8,48.5,7.5,9,1.2,1.9,0,0,0,0,0.2,0,0,7.6,0.6,4.5,1.1,0.5,1,0,0,8.5,0,0,0,15,0,0,1831.2,0,4728.1
"DOM_C25",51.4,0,11.8,1.5,0.1,104.9,10.5,55.3,2.9,20.2,132.6,225.9,18.4,32.2,315.5,1120.2,1524,849.9,2382.6,19.6,172.6,106.5,27.1,63.4,1536.7,487.5,2.1,2.6,0.4,90,13.3,71.7,2.4,42.5,0.5,6.3,10.4,117,39.9,82.4,25.2,22.7,13.1,13.1,0,335.7,0,0.1,40.8,46.7,0,0.1,2564.8,0,12817.1
"DOM_C26",2.9,0,1.7,0.2,0,22.3,1.1,4.3,3.1,0.6,3.1,29.7,1.7,7.6,1.1,22.8,3959.9,680.2,476.8,7,13.8,112.5,22.7,2.2,73.6,407.3,29.1,30.4,8.3,5.4,1.6,5.3,10.4,745.8,5.7,2.6,1.3,80.8,26.8,79.1,13.8,703.1,0.7,12.5,0,1025.2,0,124,5421.6,97.8,0,58.3,9250.1,0,23598.2
"DOM_C27",9.1,0,2.3,0.2,0,11.6,2,2,6.3,0.5,2.8,13.4,5.4,5.1,4,40.2,88,1254.8,789.5,10.6,16.1,52.2,28.3,24.2,543.8,675.2,151.2,125.5,22.2,174.1,0.4,12.3,1.2,161.7,61.4,42.8,7.1,157.9,77.6,128.3,24.7,126.1,1.8,36.3,0,520.4,0.2,5.1,2672.8,32.3,0,13.4,4782.6,0,12927.2
"DOM_C28",75.1,0,9.4,1.2,0.1,38.6,10.3,8,18.1,0.7,4,33.8,4.5,14.4,19.8,59.8,86.9,73.9,1466,35.2,37.4,40.2,52.2,10.5,285.9,439.8,2.6,3.9,0.7,22.1,16.2,14.2,1.3,3.1,0.8,0.5,17.3,25.3,15.4,72.5,6,10,1.1,7.7,0,807.2,0,0.5,6319.3,62.7,0,0.3,12423.5,0,22659.9
"DOM_C29",0.4,0,0,0,0,0.4,0,0.1,0,0.9,5,0,0,0.3,0,0.7,0.6,0.4,4.6,25.7,0.3,0.3,0.1,3.7,0.8,58.5,13.2,1.6,0.8,0.1,0,0,0,0,0.6,0,0,1.6,0.3,1,0.1,0,0,0.3,0,468.8,0,0,184.5,2.8,0,3.3,222.2,0,1004.4
"DOM_C30",0.1,0,0,0,0,2.1,0.1,0,0.1,0,0.1,0.1,0,0,0,0.7,0,0,0.2,1.3,46.5,7.9,0.8,0,0.1,9.5,140.2,60.9,141.6,0.9,0.1,0,0,0,0,0,0,2.2,0.4,4.1,0,0,0,0,0,108.6,0,0,631.6,-0.8,0,0,450.6,0,1610.2
"DOM_C31T33",172.5,0,16.8,1.9,0.1,65.6,11.5,11.8,48.7,12.9,46.6,69.4,13.4,17,6.9,81.7,380.8,140.4,205,13.9,13.2,366.1,422.1,31.4,115,957.4,330.1,248.4,104.8,16.5,10.6,39.8,21,129.6,20.7,6.3,0.5,105.3,48.4,82.2,25.9,89.6,33.7,11.6,0,1474.1,0,1.6,1055,0,0,119.4,2010,0,9207.4
"DOM_D",119.8,0,30.1,4.4,0.1,381,58.2,90.5,223.3,34.7,233.7,359.4,155.9,257.3,398.6,361.6,176.6,147.7,197,7,17,53.8,11065.7,109.3,107.7,1309.3,361.3,140.1,39.9,18,22,504.9,73,137.4,34.4,247.3,52.1,222.8,100,267.2,218.5,268.7,163.6,45.8,0,3577.6,0,2.5,29.5,0,0,0.1,2.4,0,22428.7
"DOM_E",3.2,0,11.7,1.4,0.1,26.8,4.1,12.6,87.9,1,7,12.3,3.2,11.8,335.1,22.2,18.5,17.5,37.7,0.8,2,13.2,147.8,330.9,78.5,200.9,13.7,15.1,1.9,1.8,3.1,63.6,2.6,6.8,15.4,32.5,49.5,68.6,33.1,162.7,14.3,43.9,22.3,13.6,0,467.7,0.4,447.5,29.3,0,0,0.7,0.6,0,2899
"DOM_F",99.6,0,55.8,7.3,0.4,38.6,11.1,26.3,38.6,3.3,12.6,32.2,6.5,27.7,3.4,49.7,90.7,34.3,52.8,2.1,5.8,61.7,268.7,73.6,1713.4,439,332.5,160.4,52.3,27.5,62.4,315.1,32.9,42.5,53,236.9,1723.7,46.1,18.7,311.7,153.7,265.7,118.3,32.8,0,1119.9,0.2,12.2,24607.5,0.6,0,1.5,47.7,0,32931
"DOM_G",1104,1.1,52.8,6.9,0.4,3563.1,475.3,292.6,752.1,233.4,949.9,2388,423.7,349.7,411.9,900.8,1939.4,1582.2,2806.4,116.6,151.3,1978.1,624,129.5,3082,7998.2,1077.4,906.9,209.2,296.8,53.4,1909.7,706.5,540.2,112.8,179.3,49.6,1030.4,502.2,689.4,185.1,1132.6,186.1,210.5,0,13471.7,1.7,276,9030.3,173.5,0,377.6,12536.8,0,78158.9
"DOM_H49",88,0.2,12.7,2.1,0.1,399,34.6,63.7,117.9,47.8,172.6,219,38.5,74.3,64.4,183.1,271.5,153.2,266.8,11,17.2,73.3,124.3,9.5,551.2,776.7,65.8,57.8,17,19.3,13.5,133,63.1,27,11.8,21,6.4,73.1,44.3,57.1,15.3,87.8,10.5,14.4,0,2943.4,0,26.9,533.5,7.5,0,1011.8,4310.9,0,13344.9
