"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",1572.2,2,0.1,0.5,0,3423.2,16.9,556.9,269.7,0.2,4.1,0.8,33.5,0.4,0.3,0.1,0,0.1,0.1,0.3,0.1,15.6,27.3,0,52,3.5,1,9.4,0.2,6,0,112.7,1.3,0,0.9,0.6,0.8,8.7,21.8,10.6,1.8,5.1,8,23,0,1813,0,78.5,321.4,4.6,0,8.2,1705.9,0,10123.7
"DOM_A03",4,170.5,0,0.2,0,1288.9,0.1,0,0.1,0,1,24.7,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.7,0,5.4,0,0,0,28.1,0,0.1,0.1,0.2,0,0.1,0.1,0.6,0.2,0.5,0.5,1.6,0,227.1,0,0.3,0.5,6.1,0,1.1,881,0,2644.2
"DOM_B05_06",0.1,0,1,6.6,0.2,3.2,0.1,0.1,0.4,196.5,3.5,0.4,0.1,3.8,16.1,0.2,0,0.1,0.2,0.1,0,0.1,20.2,0,5.1,1.7,0.6,0,0,0.1,0.1,0.2,0.1,0.2,0.3,0.3,0.4,2.5,0.9,0.1,0.1,0.2,0.1,0.1,0,9.5,0,0,29.9,0,0,0,1.3,0,306.6
"DOM_B07_08",80.9,1.9,22.7,5050.5,2.9,112.9,10.2,20,32.2,50.2,265.9,7.3,129.5,247.8,912.6,521.6,3.4,83.4,143,33.4,13.4,148.2,8.5,1.6,739.6,91.1,8.7,2.5,0.9,5.8,1,7.8,10.9,10.1,13.7,33,19.7,226.6,42.7,12,9.6,21.2,10.4,18.1,0,219,0,3.5,541.3,7,0,0.9,20251.7,0,30212.8
"DOM_B09",0.7,0,1.4,1,0.2,0.3,0,0,0.1,0,2.3,0,0.1,4.6,1.2,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.5,0,0,48.1,0,0,0,21.5,0,89.5
"DOM_C10T12",736.9,575.9,0.9,20.8,0.1,1939.4,17.5,4.1,11.9,7.1,56,12.3,7.3,8.7,5.8,3.6,0.1,0.9,2.1,1,0.4,4,6.1,0.2,33.1,123,8.9,59.7,4.1,3.1,0.3,826.9,3,3.9,4.6,14.3,12.4,17.6,19.4,31.8,12.5,24.5,13.2,39.2,0,9196,0,47.4,42.6,-10.6,0,45.6,4237.1,0,18236.6
"DOM_C13T15",6.9,4.8,0.1,10,0,17,72.2,0.9,8.7,1.3,6.1,1.3,6.9,2,1.5,1.4,0,0.5,1.2,0.4,0.2,9.3,1.3,0.2,42.5,25.5,4.2,4.7,1.1,0.9,0.1,4.8,2.3,0.6,0.9,7.4,1.6,5.6,5.1,6.3,1.5,3.6,2.1,3.9,0,1277.4,0,1.8,19.4,-0.4,0,11.3,192.6,0,1781.1
"DOM_C16",14.1,1.5,0.3,5.9,0,27.9,0.9,161.5,40.3,0.9,2.7,0.3,1,5.1,0.9,1.3,0,0.3,0.5,0.5,0.2,19.3,8.2,0.2,245.5,17.5,1.1,0.4,0.2,0.6,0.1,1,1.1,0.7,0.5,2.5,1.2,2.1,2.6,2.2,0.7,0.9,0.3,2.5,0,53.3,0,0.3,21.1,-9.3,0,1.9,1930.3,0,2575
"DOM_C17_18",25,6.1,0.2,37.5,0.1,264.4,9.1,67.1,580.2,10.7,78.4,16.1,18.4,30.9,3.7,5.3,0.2,3.6,5.3,0.9,0.8,11,62.2,1.4,111.4,325.9,15.6,5.3,3.3,36.1,3,18.3,148.2,51.9,9,95.3,30.1,186.7,85,38.3,30.9,14.9,6.3,33.3,0,619.8,0,0.8,29.1,-5.5,0,5.1,1605.1,0,4741.9
"DOM_C19",239.6,79,3.2,211.5,1.1,112.8,4.7,10.9,37.4,154.7,79.4,2.3,10.1,63,35.7,9.9,0.1,3.6,5.7,2.4,1,10.1,144.7,2.6,190.9,154.1,1146.4,415.4,179.3,13.7,0.9,26.1,2.4,2.7,1.7,6.5,6.2,52.9,83.6,44.4,10.5,37.6,4.2,18.9,0,1305.8,0,0.5,18.9,0.8,0,13.5,685.6,0,5649.1
