"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",255831.3,3589.6,458.9,268.7,26.4,608611.8,159053.8,43423.2,31761.2,36.2,37639.9,67970.1,14476.3,631.3,289.9,468.4,6.6,45.8,363.8,28.8,11.4,7575.6,152.2,344,34927.4,1056.5,4469,173.3,1684.7,7276.9,196.7,29077.7,133.9,1664,4.8,7.3,273.5,11102.5,1038.3,13.5,2646.9,2188.6,3170.6,197.3,0,247801.5,160.2,20589.8,55457.8,4542.7,0,613.8,13696.9,0,1677231.5
"DOM_A03",6755.8,59634.8,0,7,2.5,33596.7,791.2,319.5,1085.8,1,3801.7,115.5,48.1,26.6,44.9,0,0,0,55.4,5.4,1.5,421.1,18.4,862.3,0,136.1,0,2418.1,0,0,297.1,28232.1,11.3,104.1,0,0.9,33.4,2782.2,147.1,1.7,617.1,145.1,271.1,24.3,0,40010.6,33.3,0,0,522.3,0,45.2,1120.4,0,184548.9
"DOM_B05_06",150.8,9.7,67946.1,2136.7,323.7,1578.6,1619.7,389.3,3163.2,201916.4,42317.4,279.7,1544.3,28431.1,41498.9,1763.2,599.3,416.7,1470.2,311.7,132.8,302.3,159362.3,853.1,804,143.3,2334.5,214.6,108.7,75.9,121.4,387.5,38.6,0,1503.5,733.7,49.5,461.7,40.5,498.5,308.7,458.6,34.7,121.6,0,5578.3,0,0,0,1650.6,0,0,2614.2,0,576799.8
"DOM_B07_08",7.3,1,34957.4,26020,64.1,603.6,10.2,28.8,422.2,93.5,16114.1,812.9,1313.7,60484.3,168333.6,2840.4,161.9,1397.9,562,130.1,26.5,228.9,729.6,250.5,18039.7,223.2,15.5,1.3,1.6,5.3,1.1,3.2,1.4,0,0,135.3,224,260.7,43.8,0,0.2,0.9,0.8,18.3,0,1055.6,0,0,0,738.9,0,0,2425.3,0,338790.5
"DOM_B09",0,0,21439.8,992.4,135.4,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.9,0,1949.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499.2,0,25587.3
"DOM_C10T12",240443.3,11645.5,3556.9,4682.4,21.6,383444.1,26247.9,1514.2,3119.5,5814.9,72944,7285.5,1576,7673.8,14152.1,4995.4,9219.9,6161.1,9279.3,1609.7,547.5,2235.8,5125.5,2888.3,12414.6,16203,5444.8,1950.2,8925.4,5969,1001.2,132701.5,4334.3,3318.2,2749.2,2654.7,4540.4,18514.3,1824.6,11418.4,11705.2,10820.2,1816.3,5223.4,0,578202.4,410.8,0,0,4322.1,0,2571.1,41360.8,0,1716580.2
"DOM_C13T15",1064.3,11,3210.5,2771.4,420.6,2817,569687.6,2020,11997.6,759.8,12442.4,9168.6,23762.3,14758.8,4780.9,5080.6,2111.1,4891,8748,13160.5,1939.2,25999.7,1355.7,3199.2,23089.3,5992.9,4285,159.7,809.6,1815.3,662,4896.3,5352.9,842.3,83.4,4006.4,2928.9,11552.9,2320.3,24398.3,1082.8,10953.8,1115.9,1351.9,0,231122.5,171.2,0,0,3665.9,0,1828.1,275991.6,0,1346637
"DOM_C16",62.4,6.9,10187.6,803.8,8.9,420.7,1037.4,76136.2,5391.2,94.7,1496.8,45.7,943.2,4978.6,1535.2,5595.6,698.5,1386.2,4600.4,233.3,36.6,35587.1,27.6,231.4,71010.8,478.4,103.9,9,3.2,28,25.7,41.7,2.9,0.3,0.3,10.5,543.5,227.9,20.7,21.9,0.3,3.2,30.5,187.8,0,5227.5,28.2,0,0,646.8,0,95.8,13537.3,0,243831.9
"DOM_C17_18",127.5,13.6,222.9,718.2,21.9,13157.5,4866.9,1507,108047,160.9,6955.9,2597.4,2839.3,14681.5,931.3,2856.4,8042.5,8683.9,6001.8,940.6,141.5,6595.7,1309.8,585.8,3627.8,36427.9,1153.4,39,172.8,493.2,2437.8,889.4,6553.8,1493.1,18584.1,12088.5,4667.1,59435.2,3284.2,10220.1,5183.1,387.5,206.9,1857.2,0,28417.3,55.4,0,1973.4,1022.5,0,267.3,17850.6,0,410795.3
"DOM_C19",13602.4,1693.4,24050,12844.9,1450.4,746.5,623.8,530.8,580,41490.2,97336.9,236,2775.2,22163.2,66905,2546.7,1290.3,1351.8,3399,1228.5,478.3,630.1,26514.8,1498.1,27384.4,6493.9,66039.1,20052.5,11639.7,16278.6,1265,618.5,218.2,429.4,176.5,1194.2,817.7,24387.9,7025.7,5701.4,1301.3,441.1,221,346.2,0,36955.7,0,0,0,1391.6,0,862.2,17465.4,0,574674
"DOM_C20",132863.4,392.9,12183.8,21389.1,2231.5,8774.3,57179.8,13234.7,34139.7,14349.5,437537.6,7443,133108.3,65555.1,23964.4,25177.5,28698.6,39418.5,16278.8,5854.8,1344.9,11715.6,1200.1,6506.1,88630.5,1710.9,2186.1,217,801.9,2001.1,368.7,1616.4,1985.8,36.1,1824.2,273.5,743.6,37137.4,859.1,4262.4,5427.2,46503.2,1296.4,4537.1,0,25783.7,78.2,0,0,3091.6,0,388.9,94929.9,0,1427232.6
"DOM_C21",20891.8,884,60.9,26.1,7.5,264.3,42.1,0.3,224.3,5.7,5731.4,103074.7,336.9,361.8,140.4,119.9,276.7,42.1,260.1,2.8,1.6,34.3,68.4,68.2,1114.3,140.2,194,42.8,47.7,65.7,112.2,52.9,9.1,476.2,104.6,47.1,67.2,2277.2,253,80.4,135.1,112564.4,2.1,410.8,0,74521.2,95.9,18782.5,0,866.8,0,329.3,11175.7,0,356894.7
"DOM_C22",9143.6,65.1,1970.7,3855.8,1164.5,11845.9,12004.1,2483,11005.9,1169.1,41844.6,1160.9,110238.1,16495.8,2482.5,11036.5,35805.4,40610.1,32455.3,22700.6,2423.3,12188.6,428.2,5671.5,42154.9,5525,8301.9,32.4,43.4,997.9,685.3,1129.6,215.1,1457.1,493.9,61.7,261.5,5446.2,646.2,362.9,30.1,2122.3,407.8,1335.3,0,6745.7,0,0,0,1175,0,0,62706.4,0,532586.5
"DOM_C23",381,72.6,1939.6,4968.6,1083.7,5671.5,644.4,568.5,684.8,2996.2,8290.1,2206.1,2934.8,188407.3,31404.5,7780.8,16734.3,27233.3,8231.2,13866.3,552.4,2286.1,709.4,1195.2,560735.6,224.5,836.1,83.2,247.4,417.7,212.7,125.9,461.6,248.8,67.8,51.1,96.2,2864.5,69.4,1747.2,746.3,244.7,333.1,7.9,0,10722.1,0,0,0,2326.9,0,0,47364,0,961077.3
"DOM_C24",21.6,2.6,18213.1,5166.5,2071.6,154.1,305.2,282.9,10418.8,75.7,9290,70.8,3723.3,20736.4,511537.2,179129.6,33665.9,197090.1,166991.1,46933.4,7885.1,17882.5,547.2,4177.1,341905.6,174.2,1316.5,262.5,232.2,242.1,70.9,1.5,24.1,0.1,0.1,25.4,1.9,879.9,29.1,0,41,0,20.8,158.2,0,363.4,0,0,0,3694.8,0,0,76659.3,0,1662475.3
"DOM_C25",733.2,27.7,10949.5,12423.9,945.2,3108.4,1105.3,4344.9,1686.4,344,6270.1,614.3,7321.8,29276.5,10461.6,84722.4,19012.1,35067,54060.7,19833.3,6363.3,8808,416.7,2130,137656.8,847.7,560.8,371.9,67.4,2804.5,129.4,219.4,46.7,56.7,42,47.2,1270.6,39237.1,1498.2,1075.2,612.1,92.9,77,959.3,0,5644.5,29.6,0,44264.7,1382.4,0,0,81134.7,0,640155.1
