"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",135.1,0,0,0,0,259.2,0.1,0.9,0.2,0,1.7,0.9,3.9,0,0.2,0.4,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0.4,0,0,0,954.9,0,0,12,1.3,0,0.5,1436.6,0,2867.4
"DOM_A03",0,2,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,61.2,0,0,0,0,0,0,0.6,0,81.9
"DOM_B05_06",0,0,0,0.1,0,0.3,0,0,0,57.1,0,0,0,0.3,0.4,0.3,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.8,0,0,0,0.4,0,0,31.3,0,91.4
"DOM_B07_08",0.1,0,0.6,11.2,0.5,7.6,0,0,0,0,1.3,0.2,0,12.3,76.2,50,0,1.6,0,0,0,13.5,0.2,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,4.4,0,0,0,0.4,0,0,167.5,0,356.5
"DOM_B09",0,0,0.6,2,0.3,1,0,0,0,10.6,0.1,0,0,0.5,2.9,3.3,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,3.3,0,25.6
"DOM_C10T12",14.1,0.8,0,0,0,152.3,0.1,0,0.6,0,9,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,234.8,0,0,0,0,0,0,0,4,0.8,0.2,0,0,0,974.3,0,0,0,0.1,0,1.1,260.6,0,1656.2
"DOM_C13T15",1.9,0.2,0,0,0,0.1,7.3,0,0.6,0,0,0,0.1,4.3,0,0,0,0,0,0,0,2.4,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,8.3,0,78,0,0,0,0,0,0.6,5.9,0,110.1
"DOM_C16",0.2,0,0,0,0,4.6,0,3.8,0,0,0.1,0,0,0,0,0,0,0,0,0,0,6.7,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0.1,0,0,0.1,24.9,0,48.8
"DOM_C17_18",2.1,0,0,0.1,0,4.4,0.1,0,7.6,0.3,1.3,0.7,0.1,0.2,0,0,0,0,0.2,0.1,0,0,0.2,0,0.3,27.2,0.1,0,0,0.2,0.1,6.7,0.2,0,0.1,1.2,0.1,0.2,0.1,2.5,2.5,1.8,0,0,0,28.6,0,0,0,0,0,0.1,0.9,0,90.5
"DOM_C19",22.4,2.4,0.2,1.6,0.1,17.1,0.1,1.1,0.2,9.1,1.9,0.2,0.8,0.3,0.9,1.1,0.1,0,0.1,0.1,0,0.6,0.5,1.5,4.9,14.3,61.3,19.4,38.4,17,7.6,9.2,0,0,0,0.7,0.4,0.1,1.2,4.6,0.3,0.3,0,0.2,0,88.7,0,0,0,0.1,0,0.6,225.6,0,557.3
"DOM_C20",13.9,0,0,0,0,7.6,1,0.1,1.4,0.1,12.9,1.7,7.4,0.3,0.1,0.2,0,0.1,0.1,0,0,0.8,0,0.5,6.1,13.9,0.1,0,0,0.1,0,6.5,0.1,0,0,0.1,0,0.1,0.2,0,0.1,0.1,0,1.2,0,63.6,0,0,0,-0.1,0,0,35.9,0,176.5
