"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",108.2,1.9,2.9,0,0.6,807.9,42.4,108.8,0,0,1.3,0.4,0,1.4,0.3,0.1,0,0,0,0.1,0.1,6.5,0,0.1,148.9,4.5,0.1,0.1,0,0.1,0,92.9,0.8,0.5,0.5,0,3.8,1.7,0.5,1.9,0.4,9.3,1.4,3.4,0,2801.7,0,0,262.3,0.8,0,1,1206,0,5625.6
"DOM_A03",4.7,4.3,0,0,0,71.7,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3.4,0,0,0,0,0,29,0.1,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0,435.9,0,0,1,0,0,0.1,5.1,0,556
"DOM_B05_06",66,0,93.6,4,2.9,1.5,8.4,0.1,1.2,249,4.7,0,0,28.5,14.7,0,0,0,0,0,0,0,63.1,1.2,0.4,8.8,1.5,0.4,0.4,0.7,0.5,0.3,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,2.4,0,0,0,-1.9,0,0,1305.9,0,1859.2
"DOM_B07_08",2.8,0.3,10,6.5,2,2.4,0,0,0,0,0,0,0,12.9,0.5,0,0.4,0,0,0,0,0,0,0,118.3,0,0.1,0,0,0.1,0,3.4,0,0,0,0,0,0.6,0,0,1.4,0.1,0.1,0.1,0,45.8,0,0,37.3,0,0,0,1.8,0,246.8
"DOM_B09",0.4,0,73.2,0.1,9.7,2.6,0,0.5,0.1,6.9,0,0,0,0.9,0,0,0,0,0,0,0,0,4.3,0.1,6.6,41.8,7.9,1.1,0.8,3.8,3.9,0.9,0.1,0,0.1,0.1,0.1,0.7,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,46.4,0,213.5
"DOM_C10T12",46.5,1,0.1,0,0,377.2,2,0.3,0,0,16.2,4.2,0.1,0,0.1,0,0,0,0,0,0,0,0,0.1,1.6,12.7,0,0,0,0,0,507.1,3.8,2.4,1.1,0.3,0,0.4,0,80.3,0.8,5.2,0.2,1.7,0,3195.2,0.5,0.6,6,0.1,0,3.9,214.4,0,4486.4
"DOM_C13T15",1.1,7.6,16,0.1,2.5,1.1,144.6,0.5,0,0,0.8,0.2,0.2,0.1,0,0,0.1,0,0,0,0,0.6,0,0,15.2,4.7,0.2,0.1,0.1,0.2,0,1.7,0.2,0.1,0.1,0,0,0.8,0.2,31.7,2.6,17.5,11.5,14.9,0,849.8,0,0,0.8,-0.2,0,2.9,191.9,0,1322.6
"DOM_C16",39.6,0.2,0.1,0,0,16.4,8.2,137.2,0,0,5.4,0.6,0,0.4,0.1,0,0,0,0,12.1,6.2,71.3,0,0.1,128.3,0.6,0.4,0.2,0.1,0.8,0.1,5.1,0.9,0.5,0.4,0,1.3,6.6,49.9,6.9,0.2,6.3,4,5.3,0,148.2,0,0,10.7,-0.2,0,0.2,298.4,0,973.5
"DOM_C17_18",3,0.1,0.2,0.8,0,2.8,1.1,0.1,4.6,0.4,0.6,0.2,0.1,1.1,0,0,0,0,0,0,0,0.9,0.2,0,2.1,4.2,0.4,0.1,0.1,0.6,0.2,0.1,4.1,1,0.8,2.9,0.2,2.1,0.5,11.3,8.3,0.6,0.9,0.5,0,67.2,0,0,0,0,0,0.3,19.6,0,144
"DOM_C19",79.5,38.6,25.2,1.6,3.4,47.5,3,11.3,2.1,0.3,1.9,0.1,0.3,0.2,1.1,0.1,0,0,0,0,0,6.9,0.9,6.8,47,31.5,210.4,65.7,116.9,59.3,14.1,9.5,1,1.7,1,16.6,0.1,13.7,4,97,11.3,6.4,0.5,4.4,0,300.9,0,0,0,0.7,0,1.6,509.9,0,1756.1
