"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",1445.2,113.3,382.6,17.7,0.4,11027,130.2,112.7,58.4,7.6,91.6,14.8,49.4,18.5,19.4,8.4,0,2,6.7,1.8,0.7,22.2,162.5,45,212.9,162.2,6.6,0.8,1.1,1,1,1657.9,8.6,0.1,3,22.1,6.6,3.2,10,143.1,35.7,43.2,15.9,9,0,11223,0.3,11.6,1226.6,329.9,0,38.5,2569,0,31480.9
"DOM_A03",9.3,2.3,24.8,1.1,0,53,43.5,0.1,2,0.4,30,11.2,1.4,1.2,1,0.4,0,0.1,0.4,0,0,0.4,10.5,2.8,0.2,5.8,0.4,0,0.1,0,0.1,34.4,0.1,0,0.2,1.3,0.2,0.1,0.6,81.8,5,7.3,4.2,4.7,0,621,0,0,5.3,10.7,0,2.4,20.1,0,1002.1
"DOM_B05_06",530.6,23.2,1433.7,66.1,2.3,246.2,46.6,6.6,119.8,4303.9,72.6,1.3,82,82.7,70.1,25.3,0.1,5.9,24.3,2.1,1.4,24.5,2089.6,159.7,26.5,331.4,30.6,2.7,5.2,3.8,3.7,58.5,5,0,10.6,72.7,13.7,5.1,35,211.8,63.3,36.1,40,18.7,0,1.6,0,0,330,224.4,0,0,17705.9,0,28657
"DOM_B07_08",33.5,0.8,38,19.7,0,14.7,2.1,0.1,3.4,12.7,54.5,1.9,2.2,157.9,1225.6,279.1,0,0.9,0.7,0.2,0.1,19.4,11.5,3.1,898.9,6.4,0.9,0.1,0.1,0.1,0.1,6.4,0.1,0,0.2,1.4,0.5,0.1,0.7,4.7,1.4,0.7,0.8,0.4,0,23.2,0,0,15.2,29.1,0,0,149.6,0,3023.3
"DOM_B09",11,0.5,29.1,1.3,0,4.7,0.8,0.1,2.3,0.5,1.5,0,1.7,1.8,1.2,0.5,0,0.1,0.5,0,0,0.5,12.3,3.3,2.6,6.8,0.5,0.1,0.1,0.1,0.1,0.8,0.1,0,0.2,1.5,0.3,0.1,0.7,4.4,1.3,0.7,0.8,0.4,0,0.1,0,0,6.2,0,0,0,0.5,0,102
"DOM_C10T12",1886.5,57.1,8.7,2.7,0.3,4551,11.6,6.3,36,5.2,233.6,30.5,4.4,21.9,19.5,6.5,0.1,2.3,2.7,0.4,0.2,9.9,219.9,5.7,90.5,34.3,5.5,0.1,2.5,0.6,0.3,3870.1,0.3,1.8,4.1,13.1,0.9,17,11,34.8,51,84.2,4.9,5.9,0,21707.3,0,260.5,79.6,431.5,0,122.2,3503,0,37460.2
"DOM_C13T15",52.3,0.5,12.8,1.7,0.3,25,1046.8,0.8,103.9,2.1,16.3,2.7,10.1,3.4,13,10.5,0.1,2.4,1.1,6.9,2.2,74.6,36.9,6.5,156.8,85.2,23.4,0.2,4.1,10.7,1.5,107.6,3.9,7.1,3.5,5.2,1.7,10.2,24.2,41.8,56.6,22.9,9.7,15.2,0,5456.8,0,20.1,32.9,99.2,0,74.3,548.1,0,8255.9
"DOM_C16",37.5,0.2,4.9,9.8,0,8.9,8.1,105.1,1.5,0.8,1.9,0.2,2.7,3.5,3.9,4.9,0.1,5.1,0.9,0.8,0.2,108.9,8,0.2,340.3,75.8,0.7,0.2,0.5,1.7,0.2,2.9,0.3,0.6,0.2,0.9,0.1,11.2,0.1,10.4,0.8,3,2.8,4.4,0,88.4,0,1.2,29.2,-3.4,0,5.8,24.4,0,920.8
"DOM_C17_18",142.2,1.6,10.6,6,0.1,311.6,64.9,36.9,1028.8,10.5,160.3,31.5,44.6,11.6,11.1,7.5,0.5,16.7,9.8,1.6,0.6,81.6,208.1,4.6,21.2,206.9,13.1,0.3,3.3,8.6,4.5,60.8,18.7,28.7,11.6,41.5,12.7,56.9,119.9,681.3,168.9,69.5,26.8,20.9,0,1437,0,37.3,35.4,62,0,12.1,416.2,0,5779.2
"DOM_C19",326.3,7.7,1274.1,31.8,1,98.1,33.6,4.5,28.2,7323.2,114,5.4,13.3,506.6,18.1,7.7,0.3,16.7,1.5,4.3,1.8,41,297.5,67.7,422.1,448,2755.1,29.1,649.4,88.6,20.4,40.9,7.2,32.3,9.4,26.8,4.6,40.3,23.8,321.4,5.8,51.8,9.4,11.9,0,2598.2,0,8.1,24.4,264.7,0,53.2,3432.8,0,21604.3
