"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",297.7,1,0.1,3.7,0,1338.3,10.9,17.2,0.5,0.1,2.4,0.3,7.6,0.1,0.7,0,0,0,0,0,0,4.9,0.1,2.9,0.2,0.3,0,0,0,0.2,0,103.4,0.1,0,0,0.1,0.2,1.2,0.2,5,17.4,10.6,0.7,1.7,0,504.4,0.1,0.4,62.3,1.9,0,8.6,1314,0,3722.1
"DOM_A03",0,1.7,0,0,0,40.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,14.7,0,0,0,0,0,0.5,4.5,0,69.1
"DOM_B05_06",0,0,0,0.5,0,0.1,0,0,0,1.2,0.3,0,0,0.4,0,0,0,0,0,0,0,0,0.1,0,1.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4.2
"DOM_B07_08",2.9,0,0,0.5,0,3.5,0,0.1,0,0.5,1,0,0,43.3,0,0,0,0.3,0,0,0,0.1,0.4,0.2,153,0.4,0.1,0.1,0,0,0,0,0,0.2,0,0,12.5,0.4,0.1,0.1,0.1,0,0,0.1,0,3.2,0,0,0,0,0,0,2.3,0,225.6
"DOM_B09",0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
"DOM_C10T12",117.9,11.3,0,0.2,0,573.3,0.6,0.6,1.2,2.5,46.6,4.8,1.6,0.4,1.1,0.1,0.1,0.2,0,0,0,1.9,0.6,2.3,7.6,3.3,0.2,0.2,0.1,1,0,436.4,0.4,0.5,0.1,2.4,3.7,2.8,3,5.6,17.4,18.4,3.7,6.4,0,2737,10.1,13.3,2.5,0.4,0,30.1,1580.2,0,5654.2
"DOM_C13T15",1.9,0,0,0,0,3.9,29.6,0.6,8,0.3,1.4,0.1,0.4,0.2,0.2,0.1,0.4,0.1,0,0,0,7.4,0.6,0.5,1.9,3.2,0.1,0.1,0,0.3,0,2.5,0.1,0.3,0,0.9,1,1.1,1.2,1.3,1,3.6,0.5,1.2,0,229.1,0,0,0.2,-0.2,0,16.4,93.2,0,414.7
"DOM_C16",4.7,0,0,0,0,4.7,1.5,10.4,0.2,0.1,0.2,0,0.2,1.1,0.2,0,0,0.7,0,0.1,0,10.3,0,0.1,23.8,0.1,0,0,0,0.1,0,0.1,0,0,0,0,10.7,0.4,0,0.2,0.1,0.2,0,0.2,0,5.1,0,0,3.5,-3.6,0,1,23.4,0,100
"DOM_C17_18",42.1,0,0,0.1,0,39.2,2.9,0.1,114.4,4.3,7.5,1.8,2.6,5.6,0.8,0.4,1,1.6,0.1,0.1,0,31.4,1.1,1.5,12.2,31.4,0.4,0.4,0.1,2,0.3,17.4,11.1,1.2,0.6,5.4,6.4,30.3,11,4.9,15.9,25.2,0.7,4.2,0,214.6,0,0,0,-0.2,0,3.3,119.7,0,777.1
"DOM_C19",39.3,2.1,0.1,5.7,0,29,1.2,1.1,2.4,1.7,4.7,0.2,2.8,15.5,2.3,0.7,0.1,0.2,0,0.1,0,9.3,24,2.8,23.9,29.5,39.5,41,10.9,5.8,1.4,12.1,0.3,1.2,0.3,1.1,2.4,9.4,10.4,4.4,4.3,5.2,1.1,2.7,0,261.1,0,0,0,0.1,0,6.1,48.1,0,667.9
