"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",69.4,0,0,0,0,326.6,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0.3,0,0,0,0.4,0,8.6,0,0,0,0.2,0.2,0.6,0.5,5.7,0.3,3.2,0.2,0.2,0,264.7,0,38.3,8.1,-0.1,0,4.9,75.2,0,811.5
"DOM_A03",0,0.8,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0.1,0,0,0,0,0,0,1.2,0,2,0.1,0,0,0.3,0,0,0,0,0,0.4,32.3,0,59.1
"DOM_B05_06",0,0,0,0,0,0,0,0,0,6.9,0,0,0,0.8,0.1,0,0,0,0,0,0,0,10.4,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.2,0,0,6.5,0,0,0,0,0,26.8
"DOM_B07_08",0.1,0,0.1,0.6,0,0.1,0,0,0,10,0.5,0.3,0,8.7,1,0,0,0,0,0,0,0,0,0,28.5,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0.8,0,0,0,0,0,3.3,0,0,26.6,0,0,0,13.3,0,95.1
"DOM_B09",0,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
"DOM_C10T12",64.3,0.1,0,0,0,192.7,0,0,0,0,0.9,0.7,0,0,0,0,0,0,0,0,0,0.9,0,0.1,0.8,4.8,0.5,1,0,0.3,0,213.9,2.4,0.5,0.1,0.3,1.2,0.5,0.1,8.7,3.5,21.4,6.7,1.8,0,738.8,0,0,15.7,-13,0,13.1,285.4,0,1568.6
"DOM_C13T15",0.1,0,0,0,0,0.4,2.4,0.2,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0.5,0,0,1.1,0.3,0,0,0,0.3,0,3.5,0.1,0,0,0.1,0.2,0.1,0.1,0.6,0,1.1,0.2,0.1,0,34.5,0,0.2,0.3,-0.4,0,0.2,0.5,0,47.3
"DOM_C16",0.3,0,0,0,0,6.1,0.1,27.2,0,0,0.3,0,0,0.4,0,0.4,0,0,0.1,0.1,0.1,3.9,0.6,0,37.8,13.6,0,0.4,0,4.5,0,18.5,1.6,0.2,0.1,0.2,2.1,1.7,0.2,1.4,0.3,2.4,1.6,0.1,0,22.9,0,0.2,9.2,-6.8,0,0.9,2.2,0,155
"DOM_C17_18",0.1,0.7,0,0.1,0,1.8,0.1,0.1,10.5,0.2,0.1,1.6,1.5,0.3,0.1,0.3,0,0.2,0.1,0.1,0,0.4,0.2,0.9,2.4,9.6,0.3,0.3,0,4.3,1.9,1.6,3.5,2.1,1.5,6.8,1.9,21.4,4.2,2,2.8,1.6,2.9,2.2,0,27.6,0,0.2,0.4,-0.4,0,1.5,2,0,124.1
"DOM_C19",0.4,0,0.1,0.5,0,0.9,0,0.1,0,1.6,0.2,0,0.4,0.8,0,0.1,0,0,0,0,0,0.1,26.7,0.6,1.4,2.3,1.9,0.2,0.3,0.8,0.2,0.6,0.1,0.1,0.1,1,0.2,0.2,0.5,1.2,0.2,0.4,0.1,0.2,0,35,0,0,0,0,0,0,0,0,79.5
