"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",1135.8,1.2,3.1,6.3,0.9,3155.9,112.2,754.2,104.1,7.8,25.8,17.7,16.9,2.9,9.8,4,7.4,2.4,5.7,25.1,3.1,20.3,131.1,10.6,20.9,329.8,11.3,0.2,0.7,4.4,0.2,324.2,3.7,1.4,1.4,5.3,22.8,29,45.3,7.8,2.4,19.2,35.7,6.2,0,2326.3,6.4,12.9,193.6,94.2,0,74.3,1967.8,0,11111.4
"DOM_A03",1.4,0.1,0,0,0,6.5,0.2,0,0,0,0.1,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.2,0.1,0.1,0.6,0.1,0,0,0,0,0.5,0,0,0.1,0,0.1,0.3,0.1,0.2,0.1,0.1,0.1,0.3,0,16.6,0,0.2,0.5,0.2,0,0.9,41.8,0,72.3
"DOM_B05_06",5.8,0.1,6.8,1.9,1.5,9,2.2,1.3,7.1,57.6,34.8,0.6,3.8,20.2,244.9,3.8,4,1.7,6.6,8,0.4,1.6,648.3,1.7,4.2,8.7,6.8,0,0.3,6.4,0.3,2.5,0.8,0.7,0.7,1.4,15.9,4.8,3.2,11.1,7.6,5.8,1.8,1.5,0,274.8,0,1.8,2.5,14,0,3.3,367.5,0,1822.3
"DOM_B07_08",7.1,0.2,0.8,30.4,0.1,4.9,0.7,0.5,1.1,0.7,25,0.3,3.2,113.7,113.4,3.8,3.1,4,4.9,3.9,0.9,2.7,5.9,14.3,205,9.6,4.7,0.1,0.1,5.7,0.1,0.6,0.2,0.1,0.1,0.3,5,6.2,6.1,2.2,0.5,1.2,0.8,0.8,0,34.6,0,1.1,21.4,7.3,0,2.4,151.7,0,813.8
"DOM_B09",27.6,0.2,10.6,0.1,13.7,0.3,0,0.1,0.1,2.1,2.8,0.2,1.1,1,18,0.6,0.1,0.2,0.3,1.6,0,0.2,22,0,1.2,0.6,5.4,0,0,1.2,0,0.1,0,0,0,0,0.2,24.8,2.6,0.1,0.1,0.4,0,0.1,0,1.2,0,0.2,0.9,0.1,0,0.4,5,0,148.1
"DOM_C10T12",675.5,2.1,1.9,1.4,0.1,1125.8,12.6,6.9,10.3,3.1,55.6,7.9,60.9,12.1,13.3,26.7,28.1,14.9,25,61.5,2.7,13.6,20.4,8.8,20.8,213.3,16.1,0.5,4,7.4,0.6,531.8,6.7,2.6,6.4,9.2,40.1,35.8,41,42.8,40.8,70.3,14.6,13.9,0,7358,8.1,12,56.3,122.7,0,160.9,3936.5,0,14964.8
"DOM_C13T15",26.2,0.1,3.9,0.7,0.1,10.4,283.4,2,12,0.8,14.4,34.2,76.6,4.8,3.9,18.4,12.1,14.1,27.5,365.2,5.7,45.1,16.4,9.6,19,81.3,12.6,0.1,0.2,2.3,1.4,11.5,15.5,0.7,1.7,2,19.5,16.9,36.3,10.2,3.8,54.7,14.2,8.9,0,710.1,0.7,12.7,18.6,26.3,0,33,1270.4,0,3372.1
"DOM_C16",49.8,0.1,5.1,2,0.1,14.4,1.6,577.5,135.1,1.2,10.7,0.8,34.9,37.2,119.4,32.9,20,8.3,23.6,266,4.8,269.2,33.8,11.5,145.9,63.9,6.5,0,0.5,11,1.3,18.1,10.3,1.5,6.5,3.4,381.6,38,17.6,2.3,6.4,9.3,3.7,10.9,0,171.2,0.1,2.6,19.5,31,0,9.9,1361.6,0,3995
"DOM_C17_18",8.9,0.1,0.6,1.1,0.1,108.9,14.3,27.9,906.1,0.6,37.6,22,41.8,28.3,13.7,20.5,35.7,25.7,27.7,68.8,1.2,39.5,18.7,6.8,24.4,147.6,8,0.6,0.9,14.7,2.1,35.9,323.6,2.1,6.9,85.2,52.7,485.3,109.6,30.1,46.4,29.2,23.3,31.8,0,238.5,0.4,10.3,11,34.5,0,19.3,1900.6,0,5131.7
"DOM_C19",211.5,0.2,4.3,4.1,1.3,30.4,9.9,26.4,10.2,21.1,232.9,1.9,62.6,40.5,52,46.1,10.5,17.7,38.8,119.9,3.3,35.4,32.7,69.2,272.7,453.1,856.4,5.8,117.8,49.6,11.9,12.4,4.7,7.3,11.3,23.2,105.3,50.3,83.3,65,7.9,19.9,9.8,9.9,0,297.8,0,1.2,0.3,13.3,0,15,224.8,0,3813
"DOM_C20",163.8,0.5,10.1,11.5,0.8,62.8,72.7,58,73.2,30.5,693.2,33.1,971.1,85.5,47.2,69.4,101.6,132.8,83,225.2,7.5,87.8,55.1,20.4,54.7,83.7,54.1,0.5,7.3,26.5,1.2,4.2,2.7,1,1.9,3.7,45.9,34.1,26.1,12.6,7.4,34.7,2.9,11.1,0,531.4,0.1,23.9,43.1,43.9,0,15.7,3226.8,0,7398
