"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",2131.8,0.6,31.8,16.3,0.5,26131.9,147.1,2556,731.5,35.2,114.7,41.1,440.2,16.7,17.7,42.5,15.5,12.2,34.9,71.1,3.3,53.4,33.5,21,101.5,419,43.8,36.3,8.7,70.2,2.6,818.3,8.6,10.4,6.7,24.9,692,37.6,97.4,864.1,60.7,747.2,105.7,51.3,0,18092.8,0,29.6,3047.8,869.3,0,137.4,4919.7,0,64003.7
"DOM_A03",0,20.7,0,0,0,144.1,0,0,0.7,0,0.4,0.1,0,0,0,0,0,0.7,0.8,0.5,0,1.3,0,0,0.6,2.5,0,0.7,0,0,0,31.8,0,0,0,0,0,0,0,0.5,0,21.1,1.2,0,0,233.2,0,0,0,7.6,0,4.4,70.8,0,543.5
"DOM_B05_06",45.2,0.1,122.4,13.4,1.7,134,30.4,18.1,140.7,2421.4,310.2,25.4,42.3,149,339.1,62.5,15.1,22.8,63.3,70.1,6.8,24.5,3116.6,33.1,29.2,132.3,32.9,11,13.4,19.8,4.2,26.4,9.3,8.8,3.4,24,13.3,33.8,17.7,73.6,35.3,71.7,9.9,17,0,1576,0,2.9,70.7,109.6,0,1.9,516.9,0,10073.1
"DOM_B07_08",335.5,0.7,4.1,457.4,8.8,45.8,8,15,50.8,34.7,44.5,8.6,15,2074.5,33.6,20.7,23.8,17.1,43.6,53.7,3.2,58.5,99.2,82.1,1833.3,36.1,35.4,0.5,0.7,3.1,1,5.6,1.8,4.8,0.2,0.6,4,4,1.3,311.1,2.5,8.8,1.8,6.9,0,312.3,0,7.2,76.5,134.1,0,0.6,1426,0,7759.1
"DOM_B09",1.4,0,27.7,12.8,5.3,3.2,0,0.4,3.1,71,14.2,0.5,1.1,11,16.8,10.4,0,0.2,2.5,0.2,0,0.2,55.4,1.8,68.6,0.7,3.3,0.4,0,6.2,0,0.2,0,0,0,0,7,0.9,1,1.4,0.2,0.4,0.4,0.3,0,0,0,0,0,0,0,0,464.2,0,794.5
"DOM_C10T12",3697,0.1,6.5,12.6,0.6,24840.1,70.9,16.6,44.6,122,1392.7,223.1,45,26.6,54.9,69.4,69.8,63.9,138.8,192.6,27,43.2,29.4,7.1,166.3,504.4,9.8,125.1,27.3,8.7,2.1,11405.5,38.8,7.3,2.2,10.8,3.9,173.5,13.3,1150,351.1,5727.7,140.4,151.6,0,131199,0.1,364.4,146.5,3522.9,0,819.5,26142.1,0,213408.9
"DOM_C13T15",32.1,15.8,2.6,2.2,0.5,60.5,3015.7,15.2,30.6,26.9,59.2,48,347.2,17.1,24.2,82.1,70.9,70.1,145,482.3,41.5,464.2,25.3,12.8,275.4,215.5,14.6,4.9,4.8,20.9,25.4,79.3,14.2,11.2,28.9,27.6,7.2,28.8,39.5,71.8,11.8,215.8,54.2,23.1,0,19951.7,0,150.6,300.5,453.7,0,140.4,7330.3,0,34593.9
"DOM_C16",102.2,0.6,14.2,12.4,1.2,313.9,50.2,5367.4,484,38.2,324.9,27.1,186.8,118.8,126.1,480.4,163.5,133.2,636.6,634.7,286.6,3660.6,186.6,119.1,5000.8,287.8,21.5,1.8,2,51.4,11.1,61.7,13.8,51.8,6.3,18.3,401.8,70.3,33.2,228.3,164.1,76.1,35.3,640.6,0,1694.1,0.1,12.2,2979.5,407.3,0,38.9,7457.4,0,33236.6
"DOM_C17_18",93.2,4.3,25.6,79,1.3,3076.2,717.2,235.1,15526.6,187.3,1558.1,489.2,678.3,293.7,462.4,603,872.9,587.6,1223.4,1157.3,76.3,1055.7,214.8,152.2,582.8,5555.9,207.3,11.3,17.7,371.2,627.9,355.8,5750.7,1051.9,99.4,835.3,111.9,2018.8,745.7,683.6,349.6,511.6,80.9,164.7,0,8571.5,3.4,86,1883.7,1294.3,0,115,20647.5,0,82106
"DOM_C19",1258,6.6,43.2,79.8,19.2,1173.3,228.4,288.4,298.1,3797.9,3476.7,257.8,1180.8,452.7,2086.5,540.8,349.9,355.9,664,978.3,91.7,366.9,1214.3,457.7,2306.7,3045.3,3125.7,787.4,2726.3,2124.3,327.3,214.9,330.2,157.2,114.9,197.4,149.2,974.9,510.5,1303.3,865.3,905.5,289,424.1,0,25846.4,6.2,159.3,654.6,986.4,0,346.1,14589.6,0,83134.6
