"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",3130.4,0.5,50.4,16.8,6.3,6728.8,47.8,0.9,8.3,0.3,17.5,10,2,0.5,0.6,0.6,0.2,1.4,0.2,0.2,0,0.5,0.7,0.1,7.6,2.4,2.3,3.3,1.5,1.9,0.1,260.2,0.2,0.1,0.1,2.7,2.8,1,1.3,8.4,1.4,14,0.2,0.4,0,23383.9,0,0,1157.4,530.8,0,87.3,1527.3,0,37023.4
"DOM_A03",0,12.9,0,0,0,28.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.9,0,0,0,0,0,0,0,0.1,0.1,0.7,0,0,0,3319.1,0,0,0,72,0,8.2,15,0,3578.8
"DOM_B05_06",0.5,79.2,3027,2.2,4,685.4,140.3,169.6,25.5,12793.1,72.7,3.5,3.6,230.5,317.7,9.1,0.4,5,0.1,25.9,0.1,76.5,3971.9,57.8,79.3,101.1,1042.1,403.3,490.3,162.4,0.7,579.8,14.1,74.6,4.5,15.2,2.1,16.1,17.1,35.4,6.5,45.4,32.2,59.3,0,3326.5,0,0,0,1333.7,0,0,3545.4,0,33088.7
"DOM_B07_08",0,0,0.5,32,4.2,0.3,6.6,0.8,6.2,4.3,764.3,47.9,2.6,232.5,545.8,4.4,0.9,10.8,0.9,3.1,0,11.7,0,0,479.3,4,0.4,0,0,0,0,26.8,0,0,0,0.3,0,0.1,0.1,0.5,0.6,0.1,0,0.1,0,418.6,0,0,0,56,0,0,198.2,0,2865.2
"DOM_B09",699.3,16.3,24,64.8,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,5.6,3,0,0,0,0,59.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,897.7
"DOM_C10T12",1027.5,34.6,12.5,1.7,0.5,1338.3,38,0.6,1.4,0.3,2.5,1.2,1.1,3.2,2.3,2.6,0.2,1.6,1.2,0.9,0.1,4.1,5.1,0.6,9.3,6.7,14.4,3,12.3,26.7,0.2,257.1,0.3,2.5,0.1,5.4,2.1,6.1,2.3,26.4,27.1,122,6.5,3.4,0,20128.8,0,0,685.8,411.7,0,451.3,1722.5,0,26416.1
"DOM_C13T15",0.3,0.2,0.4,0.1,0.2,0.7,1241.4,2,10.7,0.2,3.5,2.6,2.6,0.3,3.7,1.4,0.8,0.7,0.2,2.6,0.3,31.4,0.1,0.2,7.5,0.4,0.2,0.2,2.4,0.5,0,15.7,0.3,0.7,0.1,0.4,0.1,4.4,1.1,1.2,2,9.4,0.3,1.3,0,4023.9,0,0,172.6,102.9,0,245.3,2369,0,8268.4
"DOM_C16",0.3,0,0.4,0.1,0.1,6.1,1.8,108.5,5.1,0.1,1,0.8,1.1,1.3,17.6,5.3,0.7,6.9,0.8,0.9,0.6,599.2,0,0,115.9,0.9,0.1,0,0,0.1,0,0.6,0,0,0,0.3,0.2,2.8,0.7,0.5,1.8,2.3,0.1,2.6,0,988.2,0,0,140.5,45.2,0,10.7,28.5,0,2100.7
"DOM_C17_18",1.6,0.6,1.1,0.2,0.2,19,5.4,0.4,188.1,0.1,2,2.8,0.8,1.3,4.7,2.1,0.3,2.2,0.6,7.4,0.1,1.8,1.6,0.8,21.4,3.5,6,6,1.2,36.3,16.3,37.4,169.3,1,0.4,63.9,14.3,31.6,8.5,3.7,82.4,58.4,12.2,5.7,0,1873,0,0,534.3,90.6,0,39.7,218.6,0,3580.6
"DOM_C19",532,130.4,87.1,27.7,1.9,995.2,124.4,7.3,61.9,20.1,185.6,17,129.2,445.6,827.8,48.5,1.3,27.5,6.8,1.7,3.4,17.8,1668.7,59.8,162,178,762.3,1042.8,250.6,367.3,7.4,510.5,26.9,15.8,0.8,11.8,18.2,40,39.2,40,45.3,59.2,18.4,65.9,0,11588.8,0,0,2.1,405.5,0,192.1,2623,0,23902.5
"DOM_C20",342.8,0.2,4,1.3,4,12.1,319.6,106.5,190.7,27.2,627.6,294.7,392.6,41.4,47.1,49.2,27.4,160.8,13.6,24.2,3.1,53.5,0.2,6.3,20.9,1.3,0.1,0.7,0.1,0.7,0,9.2,0,0,0,1.1,5.9,0.1,2.7,2.4,7.6,199.8,4.3,7.4,0,1614.8,0,0.4,381.5,138.3,0,33.4,2683.4,0,7866.4
