"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",2997.8,18,0.6,3.4,0.1,22152.6,512.7,396.3,585.9,5.8,127.6,52.1,299,10.5,12.8,13.7,5.5,6.7,6.6,17.1,17.6,26.7,54.2,20.4,232.8,1624.2,7.9,1,1.6,26.6,2.6,1290.8,20.3,37.8,6.1,25.3,40.6,49.3,74.5,140.2,82.9,179,271.9,11.5,0,13208.5,54.8,460.4,1782.2,482.8,0,468.4,10234.4,0,58161.9
"DOM_A03",0,46,0,0,0,190.1,0.2,0,0.1,0.3,1.2,2,0.2,0.1,0.2,0.1,0.5,0.4,0.4,1.2,1.4,0.5,0.5,0,0.1,1.4,0,0,0,0.1,0,259.5,0.1,2,0.7,0.1,0,3.1,0.1,4.5,9.6,12.1,0.1,0.4,0,2146.1,0.1,157.2,408.5,21.5,0,8.9,153.2,0,3434.9
"DOM_B05_06",0.7,0.2,0,1.6,0.2,1.4,0.3,0.1,0.3,82.3,8.6,0.1,1.6,1.2,53.1,0.3,0.1,0.2,0.4,0.5,0.1,0.3,1111.1,0.6,9.4,8.6,5.6,0.4,2.3,2.3,0.1,2.9,2.5,0.2,0.1,1.8,1,0.5,0.9,7,1.1,0.6,7.7,0.2,0,37.8,0,2.2,35.7,22.3,0,2,134.2,0,1555
"DOM_B07_08",3.8,8.5,1.5,72.4,2,42.5,4.1,1.1,71.4,1.4,327,10.4,20.8,1168.8,1700.9,19.4,0.7,10.9,8.9,5,1.2,15.5,4.2,42.1,1624.2,25.5,1.3,0.1,0.4,10,0,10.8,6.3,1.7,0.6,1.2,1.9,7,3.1,11.1,1.2,3.7,5.4,0.9,0,69.8,0,6.7,55.4,43.8,0,1.7,953.4,0,6391.8
"DOM_B09",0.2,0,0.5,1.9,0.2,0.1,0,0,0.2,7.3,0.6,0,0.1,1.2,2.5,0.3,0,0,0.1,0,0,0,5.4,0.3,10.5,0.1,0.2,0,0,0.4,0,0.1,0,0,0,0,0.2,0.1,0.1,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,133.3,0,166.5
"DOM_C10T12",7571.7,158.3,3.8,19.3,0.4,25977.3,416.5,23.9,274.6,48.2,618.7,273.2,80.3,78.5,73.7,68.1,33.9,53.9,42.5,94.7,49,67.3,283.8,64,325,2027.8,71.9,8.1,20.5,156.3,12.5,19844.3,75.3,135,73.6,149.4,143.7,391.7,257.3,594.1,390.3,1151.4,361.2,97.9,0,53108.2,12.9,87.2,291.9,899.5,0,2073.2,18774.7,0,137910.5
"DOM_C13T15",20.1,30.8,1.6,1.6,0.1,118.1,2977.8,23,109,4.1,119.9,33.7,162.6,20.5,57.1,58.6,7.9,25.3,26.8,381.4,31.2,171.3,15.5,26.9,173,244,6,0.6,12.8,12.9,1,425.6,120.3,29.9,2.7,5.1,3.6,152.8,58.6,70.1,21.9,118.3,151.7,143.1,0,12492.1,0.1,39.2,185,182.3,0,609,5688.9,0,25375.6
"DOM_C16",67,11.5,37.7,24.5,0.2,395.2,35.1,1341,97.7,2.6,102,24.9,58.8,113.3,88.8,142.6,18.2,90.4,43.2,83.6,63.3,916.8,46.9,127.3,1389.9,290.2,10.2,1.1,1.5,114.6,1.9,257.6,120.1,20.8,9.1,21.1,23.8,159,135.4,52.5,22.8,98.8,54.1,99.1,0,649.8,4.2,12.7,145.6,51.8,0,86.9,1178.6,0,8945.9
"DOM_C17_18",53.7,3.1,2,12.9,0.3,1223.8,167.3,80.7,4185.8,10.9,473,446.3,397.1,188.4,78.3,184.7,77.9,122,51.8,189.9,63,175.9,205.5,627.8,244.9,930,31.2,2.1,5,95.4,16.1,274.5,2251.5,120.6,867.4,418.3,153,2791.2,514.9,374.2,303.1,294,562.4,233.7,0,2759.1,6.4,56.9,233.6,174.4,0,242.3,4804.6,0,27783.1
"DOM_C19",412.7,103.7,19.7,143.3,4.4,233.4,54.7,44.9,93.2,2644.7,2286.7,137.2,185.5,105.8,225.5,99,15.3,57.9,47.8,103.9,38.2,60.2,3100.1,160.6,349.5,1009.9,3474.7,269.6,1425.4,238.4,32.6,245.3,88.6,54.1,12.4,109.5,44.1,210.2,199,310.8,231.7,274.2,27.4,85.8,0,12791,0.1,93.2,218.9,265.1,0,656.3,9460.7,0,42556.9
