"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",307,0,0.5,0.5,0,380.6,3.2,431.5,31.2,0.1,0.4,0,0.3,0.4,0,0.9,0.6,0.3,0.3,0.2,0.1,18.9,2.1,2.6,5,13.7,1.5,1.1,0.2,2.9,0.2,21.6,0.3,0.2,0.4,0.7,3.6,7,3.6,3.1,2.7,1.2,2.2,0.6,0,273.8,1.4,9.2,31.8,28.8,0,16.9,417.1,0,2032.8
"DOM_A03",0.1,0.1,0,0,0,25.5,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.1,0.1,0.4,0.8,0.3,0.7,0.1,0.3,0,4.4,0,0,0.1,0.1,0.1,0.3,0.3,0.1,0.2,0.1,0.1,0,0,3.1,0,0,0,0.8,0,0.7,56.2,0,95.7
"DOM_B05_06",4.3,0,0.7,0.2,0,0.1,0,0,0,92,0.8,1.6,0,0.4,0,0,0,0,0,0,0,0,212,0.2,0,0.1,0.1,3.3,0,0.1,0,0,0,0,0,0,1.2,0.2,0.3,0,0.1,0,0.1,0,0,1.9,0,0,0,4.8,0,0,76,0,400.6
"DOM_B07_08",2.6,0.1,3,5,0,0.6,0,0.4,0.5,0.1,3.1,0,0.2,21.7,0.1,0.3,0.1,0.1,0.2,0,0,0.3,25.4,1,105.6,1,1.7,2.3,0,1,0,0.1,0,0,0.1,0,5.4,0.6,1.3,1.3,0.3,0.1,0.4,0.5,0,1.8,0,0.4,6.5,2.8,0,0.8,18.1,0,217.4
"DOM_B09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3.1
"DOM_C10T12",59.8,0.9,0.1,0,0,195.6,1.8,0,0.2,0,10.4,0.4,0,0,0,0,0,0,0.1,0,0,4.6,0.2,0.1,0.4,5.6,0.4,0,0.1,0.3,0,109.1,0.8,0,0.2,0.3,0.7,5.1,2.5,5.2,15.2,8.6,3.3,0.7,0,1195.7,0,1,0,33.4,0,33.5,529.1,0,2225.6
"DOM_C13T15",1.5,1.1,0.4,0.3,0,1.8,58.8,1.7,1,0.4,0.3,0,2.4,0.8,0,1.7,1.1,2.1,0.7,4.7,0.2,18.6,0.5,0.2,4.4,5.6,0.8,0.2,0.1,1.3,0.1,3.5,0.6,0.1,0.3,0.3,1.2,5.2,7.3,2.4,0.8,2.9,2.8,1.9,0,207.6,0,0.1,2,9,0,14,261.3,0,635.8
"DOM_C16",12.1,0.1,1,1,0,4.3,1.9,386.7,2.7,0.4,1.4,0.1,3.1,7,0.1,3.1,2.6,2.1,1.3,2.2,1.7,76.6,35.9,1.3,149.4,17,3.9,0.5,0.2,10,0.1,1,0.3,0.3,0.7,0.6,13.9,5.3,1.9,1.2,0.5,1.1,0.7,0.7,0,22,0.1,1.5,16.3,25.2,0,4.5,1541.5,0,2369
"DOM_C17_18",3.6,0.1,0.9,0.4,0,21.5,4.8,10.2,53.2,0.1,1.9,0.6,1.1,1.5,0.1,1.5,2.3,1,1.1,0.3,0.1,2.8,0.7,1.6,1.2,36.8,0.4,0.2,0.1,2,1.5,2.6,42.6,6.3,14.9,8,1.1,48.6,9.3,1,6.4,2,3,15.8,0,22,0.1,0.5,0.3,9.3,0,6.1,222.9,0,576.3
"DOM_C19",25.4,2.7,4.9,3.5,0,3.8,0.8,5.1,0.8,1.5,3.7,0.1,0.9,2.1,0.2,1.8,0.3,0.4,0.6,0.3,0.1,3.8,10.8,3,36.5,13.7,102.6,20.1,11.2,6.8,0.6,0.6,0.3,0.3,0.8,0.7,2.1,4.7,3.9,8.3,2.8,1.9,1.8,1.3,0,72.8,0,1.9,7.2,4.5,0,4.9,79.4,0,468.4
"DOM_C20",24.9,0.3,4.4,2.9,0,12.1,12.2,14.1,7.4,1.2,85.2,1.3,19.4,4.5,0.2,5.7,2.9,2.7,1.7,2.1,0.3,7.8,2.5,2.5,14,5.4,5.9,2,0.7,3.1,0.1,1.9,0.4,0.1,0.4,0.5,8,4.4,4.4,1.9,2.4,2.3,1.6,3.1,0,56.9,0,2.1,5.1,7.5,0,3.5,446.8,0,802.6
"DOM_C21",0.5,0,0.4,0.1,0,0.3,0.4,0.1,0,0,0.1,2.2,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.7,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,1.1,0.1,0.2,0.1,17.2,0,0,0,18.9,0,11.7,1.2,0.9,0,1,16.7,0,74.8
"DOM_C22",2.6,0.3,0.9,0.9,0,12.3,2.7,4.7,1.4,0.2,3,0.3,16.8,4.1,0.1,2.1,4.8,3.8,1.6,2.7,0.7,6.1,0.6,2.4,32.9,16.9,4.1,0.1,0.1,1.7,0.1,0.8,0.1,0,0.4,0.6,4.8,2.2,0.7,1.1,0.5,1,0.5,0.7,0,16.7,0,1.4,8.5,3.6,0,0.3,275.6,0,450.5
"DOM_C23",2.8,0,0.4,0.5,0,4.2,0.2,11.8,0.4,0.7,1.2,0.5,6.9,35.7,0.1,4.6,0.9,3.5,0.3,0.4,1.1,3.1,1.7,0.8,162.5,12.4,3.1,0.5,0.1,3.8,0,1.1,0.2,0.1,0.5,0.1,10.9,1.9,1.8,1,0.5,0.6,0.5,0.3,0,25,0,0.5,5.1,6.2,0,1.3,216.9,0,538.9
"DOM_C24",0.1,0.4,0,0,0,0.1,0.1,0.2,0.3,0.1,1.2,0,0.2,0.4,1.7,29.1,1.2,5.3,5.2,1.5,0,4.1,0,0.7,3,0,0.1,0,0,0.2,0,0,0,0,0,0.1,0.5,0.4,0.1,0.1,0,0,0,0.1,0,0,0,0,0.1,0.9,0,0,19.4,0,77.3
"DOM_C25",13.4,0.5,3.5,2.5,0,17.5,4.3,19.7,3.7,0.9,9,1,4.9,12.3,0.6,117.2,14.5,31.4,36.2,9.2,4.4,32.2,10.4,6.2,134,21.9,4.7,0.6,0.5,16.8,0.1,1.4,0.2,0.3,0.9,0.7,15.8,5.9,7.8,10.8,0.8,1.6,1.6,1,0,27.3,0.1,2.9,124.4,13.7,0,1.6,731.6,0,1484.7
"DOM_C26",2.3,0.2,0.4,0.3,0,2.1,0.7,2.5,1,0.6,0.9,0.1,0.6,0.9,0.2,3.6,263.5,9.9,2,2.9,0.4,4.3,2.1,1.6,10.6,7.2,2.2,0.6,0.4,3.3,0.1,0.8,0.3,3.2,1.5,0.7,1.6,2.8,2.6,4.6,0.7,1.6,0.6,1.5,0,45.8,0.1,2.6,92.9,11.8,0,4.2,1900.9,0,2408.1
