"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",1367,0.5,0.5,0.3,0,1625,1.8,1887.6,975.5,0.3,4.2,1.2,71.6,3.5,0.9,2.2,2.5,1.1,3.5,0.4,2.3,7.3,53.9,1.2,36.2,65,11.3,54.5,38.6,1.8,1.5,129.3,3.2,3.1,6.2,3.3,24.9,15.2,7.7,56,28.2,40.3,6.4,3.8,0,1918.5,4.7,11.4,309.3,162.8,0,20.2,386.6,0,9364
"DOM_A03",0.3,23.4,0,0.1,0,24.3,0.1,0.3,0.4,0.1,0.3,0,0.1,0.1,0.1,0.3,0.6,0.2,0.8,0,0.1,0.1,0.2,0.2,0.5,1.9,0.3,0.5,1,0.9,0,41.5,0.2,0.6,0.7,0.8,0.6,1.2,1,2.6,1.1,2.2,0.4,0.7,0,82.3,0,0,0,3.5,0,1.2,7,0,204.7
"DOM_B05_06",1.5,0,27.5,0,0,0.9,0.1,9.9,19.1,0.2,0.9,0,0.1,5.3,53.6,0.2,0.3,0.1,0.3,0,0.1,1.9,265.2,0,23.5,0.4,0.1,0,0,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,2.8,0,0.1,0.3,7.6,0,0.1,41.3,0,464.4
"DOM_B07_08",11,0,7.9,150.6,0.1,8.5,0.2,0.4,163.2,0.5,91.4,0,2.1,130.9,310,0.5,2,0.1,1.6,0.1,0.2,1.9,8.6,0.8,245,0.6,0.1,0,0,0.2,0,0.2,0.1,0.1,0.1,0.2,0.4,0.2,0.1,0.5,0.3,0.2,0.1,0.1,0,5.3,0,0.2,1.7,15.7,0,0,150,0,1314.2
"DOM_B09",0,0,0.1,0.3,0,0,0,0,0.2,0.9,0.1,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0.5,0,1.1,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,4.4
"DOM_C10T12",337.4,0.1,0.1,0.4,0,1475,2.9,2.4,69.6,17.9,27.6,0.3,3.1,1.2,0.6,1.5,3.3,1,4.4,0.1,0.6,1.5,23.1,10.8,31,74.6,12,92.4,21.6,32.9,1.2,1020,1.8,30.8,34.2,40.7,20.8,58.4,47.4,221.2,89,161.8,29.6,40.3,0,6418.8,0,0,0,209.1,0,62.4,706.3,0,11443.2
"DOM_C13T15",1.8,0,0.1,0.3,0,4.5,110.9,5.3,22,1.2,3.9,1.9,9.3,10,1,5.5,5.9,1.4,10.7,0.7,3.9,16.3,1.5,3.8,29.2,52.6,1.5,15.3,1,2.6,0.1,5.8,1.3,1.5,3.7,4.7,2.7,14.1,9.6,14.3,1,14.9,0.7,6.4,0,954,0,1.5,22.2,28.4,0,22.2,346,0,1779.1
"DOM_C16",4.3,0.1,8.5,1.6,0,16.3,1.1,1053.3,366.8,2.6,12.1,1.4,10.4,14,12.9,14.9,19.2,7.9,18.2,2.1,9,202.9,129.8,3.4,2563.4,33.3,3.5,1.1,4.5,4.6,0.6,3.4,2.6,6.6,5.6,5.4,8.9,14.8,6.6,9,7.9,4.3,2,7.4,0,66.1,0.1,4.9,16.5,122.2,0,5,3244.9,0,8068.3
"DOM_C17_18",32.2,0.4,1,5.2,0,174.8,17.8,45.1,2861.6,14.1,95.7,4.5,63.7,33,20.3,25.4,111.2,14.5,63.9,2.9,9.6,25.4,55.9,20.2,161.8,874.4,29.3,5,31.6,73,8.6,38.1,929.7,212,63,60.7,91.1,239.2,105.8,234.7,158.9,171.5,75.1,75.5,0,530.6,0.2,10.5,75.6,316.4,0,15.3,12461.2,0,20747.1
"DOM_C19",249.2,6.3,2.2,18.8,0,25.1,6.5,13.6,104.9,730.7,356,0.7,13.6,36.3,77.6,10.7,13,3.7,11.3,2,4.1,7.5,187.2,33.2,343.3,187.9,681.5,163.2,251.2,470.3,16.9,5.4,4.1,32.6,3,31.1,214.5,26.5,32.1,104.3,35.2,51.4,44.5,40.3,0,1791.7,0.1,3.1,14.3,145.2,0,39.3,2308.7,0,8956
