"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",9098.4,0,1.6,1.7,0,19779.2,239.7,3881.6,1181.6,0,67.3,0,157.1,0,0,0,0,0,4.3,0,0,4.6,85.9,5.8,1620.7,3.5,0.1,0,0,0,0,658.9,2.8,0,0,8.4,0,7.6,12.4,784.8,366.2,12.5,30.9,52.4,0,15223.3,0,2.2,1660.2,1058.3,0,339.9,7989.3,0,64343.4
"DOM_A03",0.3,3.3,0,0,0,318,5.2,0,0,0,8,2.5,3.2,0,0,0,0,0,0,0,0,0.6,3.1,0.5,25.5,0,0,5.2,0,0,0,113.2,4.5,0.2,0,0,0,0.4,0.4,0.2,0,22.4,6.2,5.8,0,1075.3,0,0,0,21.8,0,13.4,202.6,0,1841.8
"DOM_B05_06",1.6,0.5,2.9,0.2,0,4.2,0.4,0,1.6,348.6,7.5,0.1,0.3,2.2,33.7,0.4,0.2,0.1,0.2,0.5,0.1,0.4,139.8,0.4,2.2,5.7,5.3,0.9,1.3,0.8,0,1.1,0.4,0.4,0.3,0.5,0.5,1.3,0.9,1.4,1.1,0.8,0.4,0.3,0,59.9,0,0,0,7.3,0,0.6,9.9,0,649.2
"DOM_B07_08",71.4,4.6,0,109.2,0.1,59.7,15.1,0.4,75.5,0.3,363.3,2.8,25.1,889.8,164.3,59.6,16.6,16,19.8,10.3,5.4,21.2,3.5,19.4,1134,13.7,0.4,0.2,1.1,0.7,0.6,24.3,0.5,4.4,0.8,6.2,0.2,12.5,10.4,0,0,5.7,1.3,4.5,0,98.9,0,0,0,37.6,0,0,401.4,0,3712.8
"DOM_B09",0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2,0,40.6
"DOM_C10T12",3822.5,2,2.9,9.8,0,15891.8,362.9,2.2,91.3,19.9,755.9,101,32.7,6.6,30.8,42.4,50.5,15.8,27.7,20.5,7.3,98.9,14.4,36.6,61.9,723.4,64.8,24.7,119.5,39.3,6.5,7951,92.1,48.5,54.4,42,81.9,521.4,212.2,113.9,1442.7,1464.7,221.8,73.6,0,58501.5,0.1,0.6,0,1487.9,0,1226.5,15919.3,0,111942.5
"DOM_C13T15",61.3,23.4,0.8,2.9,0,32.4,3831.3,0.9,73.6,3.1,158.9,36.2,93.8,28.5,27.8,20.5,98.6,28.7,38.2,364.2,49.8,365.6,2.1,17.2,287.1,237.7,9.5,6.7,5.2,5.9,10.3,71.8,47.3,55.5,0.9,21.1,42,16.8,9.9,137.4,64.3,161.8,40.1,43,0,12445.5,0,1.4,0.3,334.2,0,453.4,6221,0,26090
"DOM_C16",360.8,2.2,0,28.2,0.1,218.4,15.5,602.5,186.5,1.3,38.7,23.2,42.1,218.1,54.3,81.4,71,26,56.8,125.3,67.3,1351.1,1.1,27.2,2646,138.8,5.1,4.5,4.3,34.8,0.3,25.2,90.3,40.3,5.8,5,40.8,31.1,15.3,6.3,18.4,1.3,42,64.3,0,773.1,0,0,0,112.7,0,52.4,1399.2,0,9156.1
"DOM_C17_18",64.2,7.8,0,22.1,0.1,1224.9,164.3,24.9,5295.9,10.8,594.9,277.1,208.4,246.4,29.8,73.7,267,101.4,127.9,128.4,50.1,160.3,19.8,147.3,250.4,2590,38.1,10.4,10.7,144.7,5,105.3,3397.4,225.3,193,652.4,377.2,2489,1140.2,517.2,485.1,271,181.8,328.2,0,1693.8,0.3,2.6,0,455.8,0,132.4,4520.3,0,29465
"DOM_C19",808.2,254,7.6,72.5,0.5,316.6,96.2,12.8,72.8,3694.8,1461.6,13.8,60.5,193.9,331.9,84.8,71.1,26.6,88.8,121.1,27.6,96.7,791.3,142.9,1153.9,2494.3,2860.2,522.5,747.5,379.2,18.4,266.3,145.1,172.2,163.5,155.2,98.1,543,354.5,324.5,130.7,146.7,118.7,71.2,0,9590.6,0,0.1,0,301.1,0,357.8,3155.7,0,33119.6
