"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",3792.4,0.6,7.1,8.9,3.3,10535.5,35.5,572.4,222.5,2.3,34.4,144.4,32.4,7.8,6.5,13.7,4.2,4,10.4,12.3,11.1,16.3,472.3,13.6,313.6,242.5,43.9,4.6,26.6,18.5,4.2,89.1,22.4,11.1,32.9,99.6,68.6,168.2,88.9,70.4,43.2,117.2,42.1,12.6,0,19140,25.9,56.4,1556.7,366.6,0,277.8,2169.7,0,41077.6
"DOM_A03",0.1,270.8,0.2,0.1,0,759.4,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,1.2,3,0.5,0.8,0.6,0.8,0.1,191.5,0.6,0.1,0.4,1.5,6.1,3.5,2.2,1.1,0.8,1.2,1,0.1,0,396.1,1.7,5.8,9.3,23.5,0,56.6,865.6,0,2608.3
"DOM_B05_06",23,0,284.8,5.7,0.5,2.7,0,0,0.9,6523.3,266,2,0.4,18.1,156.1,0,0,0.5,0,0,0.5,3.2,3938.8,0.1,4.5,2.9,0.5,0.5,0.1,3.5,1,0.2,0.7,1.5,0.8,3.3,23.9,42.7,5.4,5.8,4.3,4.7,8.2,28.9,0,89.7,0.1,0,5.7,156.3,0,0.1,29778,0,41400
"DOM_B07_08",6.9,0.2,1.6,656.7,6.9,63.2,1.5,3.4,6.1,1.1,82.3,6,29.3,997,28.9,304.4,4.7,13.5,4.1,65,7.2,42.8,4,11.2,3251.9,87.7,29.3,1.9,6.4,10.9,2.4,13.4,5.4,2.9,9.5,21.9,32.3,36.1,91.6,25.6,25.8,24.6,13.6,10.5,0,523.6,1.5,0.9,31.4,72.8,0,8.2,1373.3,0,8063.7
"DOM_B09",5.1,0.2,2360.6,475.9,1184.7,26.8,1.7,2.2,6.4,1.8,8.4,3.4,5,8.9,4.5,6.8,2.4,2.6,7.4,9.5,8.4,5.5,7.9,5.7,373.4,98.5,51.8,1.4,2.5,8.3,3.1,8.4,7.4,3,11.7,38.9,8.5,96.7,25.1,20.4,14.4,36.9,5.8,3.4,0,281.6,2.2,1.6,77.4,-8.5,0,13.2,1314.5,0,6653.5
"DOM_C10T12",1482,253,33.9,18.3,13.9,17749.5,61.1,32.4,108.8,22.7,349.7,75.2,140.3,41.7,33.5,61.8,212.7,164.4,465.5,204.6,53,66.2,111.1,54.3,274.2,1887.4,1005.8,60.1,48.8,838.6,76.6,12619.1,530.9,61.1,276.2,478.5,286.9,329.8,516.9,213.1,1777.9,2092.2,718.6,269,0,70172,28.6,25.8,605.5,1544,0,989.4,13065.4,0,132602.1
"DOM_C13T15",15.6,1,3.3,2.6,2.5,45.5,815.7,7.6,57,2.4,44.1,12.4,54.3,13.2,6.4,18.4,11.1,7.2,18.4,209.9,16.2,155.9,10.9,8.7,279.8,505.3,13.1,1.1,6.5,9.9,2.8,24.8,26,4.9,13.7,48.7,27.2,140.7,22.7,90,46,145,19.7,52.5,0,11187.4,1.8,6.2,359.7,173.8,0,223,1527.2,0,16499.6
"DOM_C16",4.5,0.3,15.6,5.4,1.5,28.2,4.6,1746,387.3,0.9,12.8,7.6,11,52.1,6.2,141.4,4.9,16.9,11.6,125.7,72.6,1138.8,6.2,7.2,4495.5,76.8,8.5,1.2,3.6,9.4,2.5,11.3,15.3,3.4,12.5,40.7,44.9,29.6,289.5,24.3,66.5,41.2,22.9,75.1,0,1547.1,0.8,3.1,101.2,88.2,0,49.9,646.2,0,11520.5
"DOM_C17_18",70.1,2.5,10.6,7.2,2.5,1005.1,46.2,56.6,3986.3,3.1,311.7,75.5,291.5,66.7,17.5,81.7,62.2,51.1,61.9,98.2,35,160.9,43.7,114.5,306.5,2319.6,69.3,7.9,15.1,237.7,87.1,182.8,2485.7,205,405.3,2390.7,112.4,989.3,574.8,1594.2,2123.8,2049.7,680.3,220.4,0,5373.3,2.9,5.1,307,307.7,0,109.8,2342.5,0,32168
"DOM_C19",854.4,27.9,112.6,82.2,6,157.3,10.1,26.1,31.2,903.7,414.5,2,29.1,192.2,16.9,76.1,4.8,10.5,24.5,20.6,12.2,213.3,5.2,136.8,1727,2893.3,2524.6,354.9,3443.1,566.6,259.5,93.9,23.3,71,33.1,615.7,76.9,421.1,579.9,669.1,274.8,488.9,68.7,98.1,0,14668.4,0.1,0,9.3,412.6,0,103.9,7672.7,0,41520.7
