"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",2132.8,1.7,0.7,1,0,3199.6,68.2,224.4,6.3,0.5,4.9,1.4,4.2,2.7,2.2,2.9,0.1,0.5,0.5,0.4,0.3,8.5,0,12.1,0,0,0,20.5,0,0,0,424.8,0,0,0,0,0,0,0,7.5,207.1,1.9,0,4.9,0,7493.5,0,0,62.9,208.2,0,107.8,1257.1,0,15472.2
"DOM_A03",0,31.9,0,0,0,14.1,0.9,0,0,0,0,0,0.5,0.9,0,0.4,0,0,0,0,0,0.7,0,0,0,0,0,2.1,0,0,0,63.7,0,0,0,0,0,0,0,0.1,0,0,0,0,0,669,0,0,0,9.3,0,6.6,254,0,1054.3
"DOM_B05_06",0,0,0.1,0,0,0.1,0,0,0.1,27.7,0.1,0,0,0.5,1.9,0,0,0,0.1,0,0.1,0,152.5,0,0.5,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0.6,0,0.7,0.5,0.9,0,0,7.5,0,194.7
"DOM_B07_08",2.8,0,0,18.1,0.3,9.5,0.3,17.2,2,297.8,13.3,1.9,0.3,180.5,98.7,1.6,0.6,0.1,0.1,0,0.1,0.3,0.6,0.5,608.7,1.8,1.3,2.8,1.9,0.1,0.2,8.5,0.4,0.6,0,1.2,1.5,1.4,0.9,1.8,0.4,1,1,0.3,0,14.4,0,2.8,18.9,13.3,0,1.4,159.7,0,1492.7
"DOM_B09",0.4,0.4,0.5,1.9,0.1,0,0,0,0.1,12.2,0.3,0,0,0.6,0.1,0,0,0,0,0,0,0,2.3,0.1,12.8,0.1,0.2,0.1,0,0.2,0,0.1,0,0,0,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,7.9,0,41.1
"DOM_C10T12",269.5,3.7,0,0,0,968.1,10.3,24.6,1.8,0.2,3.9,3.6,0.9,0.4,8.2,17,2.7,12.9,7.7,0.2,0.5,0.4,0.1,0.4,0.9,2.7,0.2,108.7,0.3,0,0,2479.4,13.1,0.1,0,1.1,0,6.7,3.4,55.3,3.8,101,0.4,4.7,0,10896.4,0,0.3,0.7,187.1,0,390.4,1615.8,0,17210
"DOM_C13T15",7.4,6.3,0.1,0.3,0,81.9,229.8,1.8,2.5,2.9,2.7,3.6,3.3,2.4,1.4,10,0.3,0.7,0.5,0.1,0.2,19.3,1.2,11.5,23.1,68.4,0.9,6.9,1.4,0.1,0.2,47.4,1.2,6.9,0.1,1,0,5,1.9,21.6,1.5,9.7,2.7,3.7,0,2011,0,5.1,18.3,30.3,0,159.4,1295,0,4112.8
"DOM_C16",14.5,4.3,0,1.3,0.1,218.9,10,485.1,48.4,2.9,51.7,40.9,89.6,10.1,1.3,4.4,5,3.1,3.3,0.6,0.3,312.7,3.6,1.4,265.2,7.1,0.9,6.1,0.8,4.5,1.6,152,7.5,1,0.2,1,0.1,17.2,6,21.2,0.9,3.7,0.9,25.7,0,196.6,0,5.4,20.7,33.5,0,20.5,74.9,0,2188.7
"DOM_C17_18",3.4,1,2,3.4,0.1,186.7,19.5,4.8,356.9,2.1,24.7,38.2,8.6,24.2,4.1,5.5,0.5,1.9,0.9,0.3,0.3,2.7,6.5,1,392.8,302.1,18.4,35.4,11.6,1.3,6.5,148.8,145.7,15.3,21.1,137.3,0.5,509.5,80.5,349.3,29.4,19.5,124.9,186.2,0,372.1,0.1,4.5,18.3,114.5,0,34.2,103.9,0,3883.2
"DOM_C19",322.5,33.6,4.8,29.4,0.6,223.3,33.8,11.5,11.9,386.6,58.7,6.8,9.9,71.6,31.3,32.3,2.1,7.5,6.1,1.2,1.4,10.2,247,47.1,1107.3,331.8,218.4,125.9,137.9,47.5,1,352.6,9.1,80.6,1.2,21.8,0.8,71.2,34.5,95.5,7.9,89,10.9,25.4,0,1551,0,16,55.2,66.7,0,174.3,1173.4,0,7398.3
"DOM_C20",104.1,0.3,1.4,5.3,0.1,39.5,13.4,4.9,41.2,21.1,146.8,21.1,75.6,15.5,26.2,90.4,1.3,11.4,5.2,0.5,0.8,7.8,1.9,0.6,41.3,284.2,3,10.8,1.6,0.8,0.1,30.7,7.9,2,0.3,2.9,0.1,17.9,8.3,31.4,3.6,144.2,12.9,7.6,0,601.1,0,13.9,11.7,18.3,0,23.4,494.4,0,2411
"DOM_C21",4.7,0.4,0.8,3.1,0,24,8.1,0.9,1,1.7,7.4,134.8,0.8,0.7,15.3,1.2,0.1,0.3,0.2,0,0.5,0.7,0.7,0.4,11.5,9.1,1.1,5.2,1,0.5,0.1,18.1,3.5,1.4,0.2,1,0,14.9,2.2,20,6.8,345,1,1.1,0,521,0,1041.2,28,30,0,25.2,417.4,0,2714.5
