"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",0.1,0,0,0,0,7.7,0.3,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1.9,0.5,0.8,8.7,2.6,10.1,15.9,0,0.4,19.4,0.1,0.7,0,0.8,0.5,0.2,0.6,0.6,0.7,0.7,0.7,1.3,0,266.5,0,0.4,2.2,2.6,0,0.6,10.7,0,358.5
"DOM_A03",0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.1,1,0.3,2.3,3.4,0,0.1,3.6,0,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.2,0,42.2,0,0,0.3,0.3,0,0.1,0.9,0,56.4
"DOM_B05_06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07_08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B09",0.2,0.1,0,0,0.1,1.3,0.3,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0.5,0,0,0,0.1,0,0,0.3,0.6,0,0.3,0.2,0.2,0,0.1,0,0,0.7,0.2,0.6,0.6,0.1,0.5,0.1,0.1,0.1,0,0.1,0,0,1,0.1,0,0,15.1,0,24.4
"DOM_C10T12",6.2,1,0,0,0,496.4,128.8,22.1,26.8,2.7,29,12.5,0,2,0.4,0.4,5,7.1,4.8,1.6,0.8,0.2,40.8,19.9,175,993.4,89.7,273.6,295.1,2.3,52.5,447.4,15.5,87.5,5.8,185.2,99.1,33.5,66.4,29.3,34.6,100.4,42.5,101.5,0,5395.9,0.1,0.2,131.6,-5.6,0,525,5532.9,0,15519.1
"DOM_C13T15",0.1,0,0,0,0,7.2,145.4,0.6,0.8,0.1,0.6,0.2,0,0.3,0.1,0.1,0.7,1.3,0.8,0.9,0.3,0.1,1.1,2.2,2.6,166.6,15,16.1,15.5,0.4,9.4,2,1.9,12.7,0.9,36.1,15.6,4.8,12.1,5.5,3.9,3.8,4.2,16,0,1981.2,0,0.1,23.3,1.5,0,42.8,2874.2,0,5431.4
"DOM_C16",1.6,0.3,0,0,0,44.2,0.3,0,0.1,0,0.2,0.1,0,0.1,0,0.1,0.2,0.5,0.3,0.2,0.1,0,0.9,1.4,66.5,23.5,13.6,46.8,7.7,0.4,2.7,1.3,0.8,5.4,0.1,4.3,2.5,1.3,1.2,2,4,32.5,2.2,4.6,0,535.7,0,0,69.7,10.3,0,6.3,29.8,0,926
"DOM_C17_18",1,0.3,0,0,0,216.1,26.5,0.7,14.5,0.1,1.4,0.8,0,1.5,0,0.1,2.2,3.6,1.4,0.5,0.2,0.3,1,2.1,22.4,189.5,10.5,15.5,9.4,0.4,5.9,0.9,4,12,0.6,46.1,12,5.6,5.6,3.2,6.5,30.2,4,8.8,0,214.1,0.1,0.1,7.3,2.4,0,47.2,87.9,0,1026.6
"DOM_C19",0,0,0,0,0,0.9,0.4,0.1,0.1,4.8,11.1,1.3,0,1.8,1.5,0.7,0.7,1.6,1.1,0.7,0.3,0.1,0.8,1.2,0.2,247.5,5.7,12.8,11.7,0.4,1,0.5,0.4,1.3,0.2,11.7,3.9,1,3.3,5.8,2.9,0.6,0.9,2.3,0,146.2,0,0.1,2,14.4,0,5.8,12.7,0,524.6
"DOM_C20",0.7,0,0,0,0,10.2,13.4,1.8,4.5,5.8,95.1,16,0,10.5,0.9,1.1,15.8,32.4,9.6,4.5,1.7,0.9,1.6,12.6,1.5,240.1,2.1,3.4,4,2.2,1.9,2.7,4,4,0.3,17.1,13.4,3.4,9.6,9.5,20.5,7.4,7.7,32.6,0,516.1,0.1,0.1,30.4,49.5,0,7.5,265.5,0,1495.8
"DOM_C21",0.1,0,0,0,0,1.9,1,0.2,0.2,0.4,4.7,26.5,0,0.5,0.1,0.1,1.1,1.4,0.7,0.3,0.1,0,0.2,0.8,0.4,34.1,0.4,0.7,1.1,0.2,0.4,0.6,0.4,0.9,0.1,3.5,1.5,0.9,0.8,3.4,3.9,9.3,2,3.5,0,359.3,0,0.1,13.7,7.3,0,15.4,95.5,0,599.6
"DOM_C22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C23",0,0,0,0,0,26,0.8,0.3,0.2,6.4,7.6,4.4,0,105.6,5.1,4.3,33,63.7,15.3,20.1,7.6,0.7,0.6,4.3,10,126.7,1.3,1.4,2,0.2,2.3,0.8,0.9,6.1,0.1,9.4,4.5,1.2,2.3,20.9,15.4,1.2,3.4,8.4,0,241.8,0.1,0.1,21.5,24.9,0,1,42.3,0,856.3
"DOM_C24",0,0,0,0,0,1.7,0.2,0.3,0.2,1.4,3.4,0.6,0,8.7,54.4,42.6,41.1,164.5,117.3,23,5.7,2.3,0.6,6.5,1.8,145.8,0.7,0.9,0.6,0.1,0.4,0.1,0.6,1,0.2,6.3,4.9,1.8,2.1,1.6,1.9,0.2,1.2,4.2,0,12.2,0.1,0,56.6,50.4,0,0.2,44.4,0,814.8
"DOM_C25",0,0,0,0,0,3.7,0.7,0.5,0.2,1.4,2.9,0.8,0,3.8,4.9,11,20.5,55.7,43,13.1,5.9,0.8,0.6,2.7,2.9,152.5,1.3,2.5,3.3,0.1,0.6,0.7,0.7,2.2,0.3,9.2,9,1.9,3.9,3.3,3,0.9,2.1,3.8,0,86.8,0.1,0.1,140,-1.1,0,0.7,479,0,1082
"DOM_C26",0.1,0,0,0,0,5.4,2.3,0.3,0.7,0.3,1,0.4,0,0.4,0.2,0.3,57.2,20.4,8.2,3,1.4,0.2,1.3,2.6,2.3,1056.4,3,4,6.6,0.1,3.5,1.7,3.1,50.1,1.3,17.4,6.6,3.5,4.6,5.3,5.6,2,4.4,11.2,0,596.1,0.1,0.1,369.8,96.4,0,3.1,711.9,0,3075.8
"DOM_C27",0.1,0,0,0,0,6.8,2.7,0.3,0.7,0.4,1.2,0.5,0,1.4,1,1.2,23.5,84.8,18.9,6.9,2.7,0.3,2,3.2,3.8,967.5,4,5.2,8.7,0.1,2.3,2,2.3,26.4,0.6,11.9,9,2.8,5,4.3,3.9,2.1,3.5,9.5,0,316.7,0.1,0.2,182.4,-291,0,24.1,6171.9,0,7638.1
"DOM_C28",0.1,0,0,0,0,5.7,1.4,0.4,0.5,0.9,1.9,0.8,0,2.4,1.2,1.7,6.3,14.2,39.9,13.2,5.8,0.3,1.3,1.9,3.6,134.1,3.4,8.4,14.4,0.2,1.5,1.8,0.7,6.5,0.2,16.6,6.8,1.4,3.6,3.7,2.4,3,1.9,3.1,0,74,0.1,0.1,689.5,-99.4,0,2,1994.2,0,2977.7
"DOM_C29",0.1,0,0,0,0,2,0.8,0.1,0.1,0.2,0.5,0.2,0,0.6,0.5,0.8,2.2,6.5,7.1,77.3,4.8,0.3,0.3,3.6,0.7,344.1,4.6,5.3,3.8,0.1,3.2,0.6,1.3,4.1,0.2,8.5,2.4,1.2,3.7,6.1,1.3,0.6,3.1,5.9,0,485.6,0.1,0.1,698,1.3,0,4.1,78.5,0,1776.3
"DOM_C30",0,0,0,0,0,0.2,0.1,0,0,0,0.1,0,0,0.1,0,0,0.3,0.5,1.2,26.5,24.8,0.1,0,0.7,0.1,105.9,1.3,7.3,5.4,0,0.6,0.1,0.7,0.7,0,2.4,0.7,0.4,1.2,4.6,0.4,0.1,1.8,2.8,0,78.9,0,0,553.9,4.2,0,0.1,25.4,0,853.9
"DOM_C31T33",0.2,0.1,0,0,0,13.7,2.3,0.8,1.4,0.1,0.6,0.2,0,0.4,0.2,0.3,1.1,2,1.8,1,0.8,0.2,4.8,4.5,9.9,131,12.8,31.8,56.9,0.4,2.6,5.1,1.2,17.4,0.5,32.1,16.4,3,13.2,12.5,4.5,7.6,5,5.9,0,55.6,0,0.4,25.6,3.2,0,0.6,67.9,0,559.6
"DOM_D",0.8,0.2,0,0,0.1,78.9,13.1,6.3,9.1,0.8,1.8,0.4,0,0.8,0.3,0.2,0.5,1,1.5,0.3,0.2,0.1,80.5,42.7,23.3,476.8,60.6,23.4,37.2,4.7,13,165.3,22.1,65.8,3.3,283.1,607.3,20.5,31.1,103.9,81.7,83.2,67.6,96.2,0,1310.8,3.5,1.1,35.8,6.3,0,3.4,98.5,0,3969
"DOM_E",0.6,0.1,0,0,0,46.1,10.6,3.4,6.2,0.2,1.3,0.4,0,0.7,0.3,0.2,0.8,1.6,1.1,0.6,0.3,0.1,16.3,131.4,25.5,751,30.9,25.8,28.9,1.6,20.4,60.4,13.4,57.5,3.6,215.2,579.3,23.4,57.8,61.2,43.2,35.3,36.7,68.9,0,1020.5,37.9,3.2,87.2,3.1,0,4.4,20,0,3538.6
"DOM_F",0.8,0.1,0,0,0,16.1,2.9,0.8,1,0.4,0.8,0.4,0,4.3,0.3,0.4,2.1,4.2,2,1.5,0.7,0.2,3,5,3133.2,132.5,20.2,16.6,57.6,0.6,3.9,9.3,2.4,17.1,0.8,40.2,235.1,5.5,8.2,293.9,23.1,17.7,6.8,12.2,0,52.7,0.9,1.1,11910,8.2,0,13.3,64.5,0,16134.4
"DOM_G",215.5,29.6,0,0,13.7,9175.3,3530,409.1,519,276.2,794.9,394.6,0,468.2,190.8,169.6,1153,1741.3,1188.8,955.6,540.6,228.2,1051.6,705,3247.7,58176.5,2203.4,3337,5526.1,60.8,464.2,3050.8,509.1,1651.8,143.7,4862.6,1926.1,710.1,1533.7,1022,1272.1,2119.2,1025,1573,0,28180.4,21.9,35.6,26514.9,2807.8,0,1467.1,17408.5,0,194601.4
"DOM_H49",0.7,0.1,0,0,0,67.2,27.3,4.9,5.4,1.5,4.1,1,0,3.9,2.1,2.1,5.8,13.4,6.6,5.1,1.5,0.6,3.1,14.1,37,952.3,599.2,215.1,23.8,5.1,33.8,29.2,6.9,39.1,6.8,406.8,68.5,39.7,77.6,19.9,20.4,22.3,14,64.2,0,4010.3,0.2,2.6,151.6,2.6,0,2152,785.4,0,9956.9
"DOM_H50",0.5,0.2,0,0,0,78.6,36.6,6.3,8.5,3,7.9,1.6,0,3.4,8.5,12.7,26,87.8,23.4,9.1,3.3,1.3,3.5,13.2,35.8,2521.2,44.3,1606.8,913.5,17.7,363.2,20,6.5,425,6.5,412.6,46.2,40.7,104.8,25.4,21.5,19.9,17.3,63.2,0,1196.4,0.5,0.5,150.7,311.3,0,1406.8,6317,0,16430.8
"DOM_H51",0.8,0.2,0,0,0.1,54.2,21.7,2.4,4,4.5,12.4,2.7,0,9,10.2,13.6,30.1,92.1,28.5,15.2,5,1.5,3.7,8,15.4,928.9,21,317.3,192.9,4.1,78.9,16.7,4.4,88.8,2.7,121.9,26.2,14.8,26.9,14.9,12.4,11.7,8.8,24.1,0,676.5,1,1.2,202,408.3,0,1350.6,13446.6,0,18338.8
"DOM_H52",0,0,0,0,0,1.3,0.5,0.1,0.1,0,0.1,0,0,0.1,0,0,0.1,0.2,0.1,0.1,0,0.1,0.1,0.2,0.9,34.1,1.3,19.3,10.6,0.4,3.9,0.5,0.1,5.6,0.1,6.4,1.2,0.6,1.6,0.4,0.4,0.4,0.3,0.9,0,11.2,0.1,1.3,3.5,1.9,0,4,500.1,0,614.6
"DOM_H53",0.2,0,0,0,0,28.8,12.6,2.3,2.6,0.1,0.3,0.1,0,0.1,0,0,0.4,0.5,0.4,0.2,0.1,0,1.9,6.8,6.5,787.8,13.1,173.4,26.9,0.7,281.7,9.4,8.7,273.5,4.5,422.1,95,27.8,41.2,30.4,15.9,12.5,14.6,42.2,0,330.4,4.7,0.4,157.3,3.7,0,30.3,1286.3,0,4158.4
"DOM_I",0.1,0,0,0,0,5.6,1.8,0.4,0.4,0.1,0.3,0.1,0,0.1,0,0,0.2,0.2,0.1,0.1,0.1,0,0.6,1.3,2.9,90,3.8,9.2,4.1,0.2,2.6,13,2,8.8,0.7,38.1,20.8,3.3,5.6,3.6,8.4,4,4.7,7.8,0,2180.9,0.8,1.4,15.3,1,0,11348.5,35.8,0,13828.8
"DOM_J58T60",0.2,0,0,0,0,13.7,3.2,0.3,0.7,0,0.2,0.1,0,0.1,0,0,0.4,0.5,0.2,0.1,0,0,0.5,0.8,4.5,123.8,3.9,6.8,6.9,0.2,1.9,2.4,20.3,17.4,0.8,39.3,19.7,8.1,4.3,3.1,4.2,8,7.9,5.4,0,139.9,1,0.3,26.6,0.5,0,19.9,1775.9,0,2273.9
"DOM_J61",0.6,0.2,0,0,0,76.9,39.2,7.6,7.2,0.2,0.8,0.4,0,0.3,0.1,0.1,2.2,1.7,1.3,0.5,0.3,0,5.1,20.3,32.8,2127,51.9,701.1,123.9,2.5,40,46,48.5,1126.4,26.9,1163,299.9,99.4,135.2,81.1,54.4,52.4,56.7,120.5,0,1756.7,7.3,0.4,363.6,9.4,0,847.2,2818.4,0,12357.5
