"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",688.5,6.6,3.5,0.1,0.4,1093.2,23.8,103.6,30.8,1.9,11,2.1,1.2,3.6,0.4,2.9,1.9,1.2,2,0.2,3.7,1.9,9.5,3.4,22,323,14.6,0.3,2,9,0.4,26.6,7.4,5.7,3.3,11.1,7.4,28,16.8,18.1,6.5,9.4,14.8,23.6,0,1408.5,10.2,143.2,236.7,73.9,0,64.9,270.3,0,4755.3
"DOM_A03",14.9,18.5,0,0,0,50.8,0.5,0,0,0.1,0.2,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0.1,0,0.7,7.9,1.1,0,0.2,0.2,0,3.4,0,0.1,0,0,0.1,0.3,0.1,0.2,0.2,0.2,0,0.1,0,82.3,6.2,1.6,5.2,4,0,5.4,36.3,0,241.3
"DOM_B05_06",0,0.7,164.3,4.7,19.1,53.6,0,0.1,0,621.3,4.3,0,0.1,0,4.4,0.1,0,0.1,0,0,0,0,194.4,0.9,6.3,0.4,0.3,0.8,0,3.3,0,0.9,0,0,0,0,0.3,4.4,0.2,0,0,0.2,0,0.1,0,77.5,0.5,0,0.1,17.1,0,0,34.2,0,1214.7
"DOM_B07_08",0.2,0.1,4,8.6,0.1,4.2,0.1,0.1,0.9,0,1,0.1,0,15.3,0.3,0.2,0,0.2,0,0,0.1,0.1,0,0.5,39.7,1.1,0,0,0,0.2,0,0.3,0,0,0,0,0.5,2.4,0.1,0.2,0,0.1,0,0.5,0,13.2,0,0,0,1.7,0,0,11.5,0,107.5
"DOM_B09",0,0.1,19.5,0,3.8,8.3,0,0,0,79.6,1.4,0,0,0,0.6,0,0,0,0,0,0,0,15.4,0.1,9.4,0.4,0.4,0.1,0,0.6,0,0.1,0,0,0,0,0,0.8,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,5.2,0,146.3
"DOM_C10T12",139.4,0.7,0,0,0,243.9,19,0.1,2.3,0,14,3.7,0.2,0.4,0,0.1,0,0.1,0,0,0.1,0.1,0.3,0.1,6,53.9,0.2,0.8,0.1,2.6,0,284.2,0.7,0,0,0.7,1.4,11.4,4.1,13.5,10.3,26.1,8.3,2.1,0,4047.8,6.2,0,0,90.2,0,217.1,804.9,0,6017.5
"DOM_C13T15",0.9,0,0,0,0,1.3,54.7,0.1,0.3,0,0.2,0.1,1,2.9,0.3,0.3,0.2,0.8,0.2,0.1,0.6,12.4,0.8,0.6,2.8,6.3,0.5,0.1,0.3,1.6,0.3,3.3,0.1,0.6,0.1,1.7,0.8,1.8,1.7,59.6,0.8,16.8,1,1.3,0,674.3,12.6,4.1,2.7,21,0,77.7,207.8,0,1179.7
"DOM_C16",2.6,0.6,0.7,0.1,0,14.4,2.9,56,2.8,1.9,2.3,1.1,6.1,10.8,1.2,7.1,1.1,4.7,2.8,0.7,6.1,18.7,5.3,1.1,64.7,15.7,8.9,0.7,1.5,5,0.1,2.2,0.6,0.5,0.2,3.7,19.9,8.2,1.4,4.5,0.7,17.2,2.1,3.9,0,67.8,5.1,13,51.2,5.6,0,16.7,243.3,0,715.5
"DOM_C17_18",4.1,0.6,3.4,0.2,0.4,55.9,6.4,5.3,74.1,1.9,17.1,4.6,3.3,9.5,0.6,4.8,1.6,4.3,1.7,0.4,4.5,2.3,4.5,1.7,10.3,59.7,11.4,0.5,1.8,4.6,0.7,23.6,46.8,7.9,2.5,23.5,1.5,20.9,4.7,13.9,5.8,7.5,8.7,18.6,0,286.8,3.6,24.1,41.2,9.4,0,16.6,120.7,0,990.5
"DOM_C19",70,5.2,20.1,2.1,0.4,19.3,5.5,2.7,1.9,65.6,7,0.8,1.3,15.5,8,6.3,0.4,5,1.5,0.7,1.9,2.6,807.3,12,170.8,118.6,102.7,52.6,29.3,21.1,3.9,15.3,1.9,7.6,1.4,9.8,17.2,34.5,12.9,65.2,2.9,18.1,7.1,6.3,0,588.3,5.5,11.2,3,39,0,103.2,622.8,0,3135.4
"DOM_C20",87.3,0.2,0.8,0.1,0,28.4,34.4,6,17.3,29.2,89.2,13.1,29.8,17.8,5.7,11.4,3.6,7.4,1.7,0.5,3.4,3.6,10.7,8.9,38,36.8,2.6,0.9,0.1,4.3,1.4,13.7,2.1,0.5,0.3,2,20.4,12.8,3.2,7.6,3.1,17.3,3.6,8.1,0,157.9,7.8,2.7,3.7,11.3,0,19,298.1,0,1089.8
"DOM_C21",7.7,0.2,0.7,0.2,0.1,10.1,3,0.9,1.5,4,7.1,39.9,2.4,3.1,0.7,2.5,0.9,1.6,1,0.3,3.2,1.1,4.6,0.6,10.4,36.9,17.4,0.9,3.2,2.8,0.1,2,0.5,0.1,0.2,1.1,1.1,3.7,0.8,2.7,0.4,101.6,0.3,0.7,0,151.6,1.4,114.8,10.6,7.6,0,10,142.9,0,723.3
"DOM_C22",5,3.1,0.1,0.2,0,66.7,10.8,2.8,22,1.7,8.8,7.2,43.4,54,0.7,8,1.8,11.1,5.4,2.2,15.6,7.2,1.2,3.8,41.9,32,4.9,0.1,0,2.1,0.5,7.8,6,2,0.1,19.1,2.8,4.5,2,5.6,0.3,11.8,2.9,14.2,0,187.8,0.4,7.9,11.6,10.7,0,13.9,70.3,0,746
"DOM_C23",9.8,5.2,5.3,10.3,0.3,36.6,4.3,4.9,3.6,3.9,5.7,5.1,2,71.9,1.9,15,3,12.8,5.2,1.4,9.9,8.1,11.1,10.6,630.2,33.3,7.2,0.5,1.9,8.4,0.4,14,4.1,11.9,0.5,17.9,4.2,38.8,2.4,11.5,11.9,6.3,2.6,20.4,0,51.4,0.5,4.5,152.4,17,0,2.3,223.9,0,1528.2
