"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",2502.1,4.5,0.2,0.3,0.1,3478.8,8.4,89.5,12.8,13.4,15.7,11.5,62.7,5.5,4.4,6.8,9,4.2,14.2,20.5,0.6,14.4,68.6,11.3,28,364.1,17.9,0.7,4.8,19.4,0.5,99.8,9.1,5,1.9,3.8,17.9,18.8,20.8,14.8,4.6,22.3,5.4,13.2,0,2062,0.7,24.1,377.9,171,0,65.9,3395.2,0,13128.9
"DOM_A03",1,4,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,6.6,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,19.2,0.4,0.5,1.3,0.4,0,3.4,9.1,0,48.6
"DOM_B05_06",0.8,0,0,0,0,1.3,0.1,0.1,0.2,38.8,1.7,0.3,0.3,0.6,2.3,0.6,0.5,0.2,0.9,1.7,0.1,0.2,12.8,0.5,3.1,1.9,0.9,0,0.1,1.2,0.1,0.7,0.1,0.3,0.2,0.4,2.2,0.6,0.5,2.2,1.1,1.1,0.5,0.2,0,16.7,0,0.7,38.1,1.4,0,0.3,20,0,158.6
"DOM_B07_08",9.5,0,0.2,0.6,0.3,3.3,0.8,0.6,3.4,0.4,10.4,0.4,3.2,26.7,9.6,1.5,2.5,2.4,4.2,4.1,0.1,1.1,2,2.1,37.5,4.2,1.3,0.1,0,1.8,0,0.1,0.1,0.1,0.4,0.1,12.4,3.5,0.7,1.9,2.1,1.5,1.3,2.7,0,20.6,0,0.8,14.6,1.7,0,0.3,19.4,0,218.6
"DOM_B09",0.1,0,5,0,0.9,0.2,0,0.1,0.1,60.2,0.4,0.1,0.3,0.1,2.5,0.1,0.1,0.1,0.4,1,0,0.6,4.4,0.3,4.8,0.6,0.2,0,0,0.2,0,0.1,0,0.1,0.1,0.1,0.2,0.5,0.2,0.2,0.2,0.5,0.2,0.1,0,2.4,0,0,19.3,0.3,0,0,57.4,0,164.9
"DOM_C10T12",697.3,2,0.2,0.1,0.1,1208.9,3.6,1.3,10.9,9.8,73.4,15.8,10.4,2.9,3,4.9,4.5,3.4,5.7,9.3,0.4,3.1,17,6.9,8.9,146.9,5.4,1.4,4.8,1.7,0.6,949.9,6,1.2,1.1,3.2,17.4,22.2,32.1,20.7,4,95.4,10.1,12.8,0,6074.7,5,10.8,19.1,164.1,0,180.8,3539.8,0,13435.5
"DOM_C13T15",3.1,0,0.1,0.1,0,4.6,178.7,0.7,7.6,1,1.9,2,23.8,2.8,2,2.1,11,5.5,13,53.1,0.4,40.7,2.1,3.2,11.2,20.9,3.7,0.1,0.4,2.5,1,3.5,0.7,1,1.1,1.3,3.3,3.3,3.9,6.5,1.8,14.4,7.6,20.3,0,630.7,0,5.6,12.7,-0.2,0,57.8,649.5,0,1823.8
"DOM_C16",14.1,0,0,0.1,0,11.6,1.7,95.8,3,1.2,9.9,0.8,6.7,12.6,3.4,16.4,4.7,9.7,14,19.4,0.5,71,24.4,2.2,110.9,37.1,5.7,0.2,0.4,1.1,0.2,1.7,0.4,1.2,0.2,0.6,19.2,8.7,4.9,1.8,0.5,1.8,1,3.9,0,25.8,0,1.7,17.2,8.8,0,5.9,486.9,0,1070.9
"DOM_C17_18",14.3,0.1,0.1,0.2,0,144.5,5.9,12.7,526.6,2.1,34.6,18.9,32.6,10.7,3.6,9.7,32.3,27.5,15.2,13.9,0.7,19.4,2.9,2.9,7.2,301.4,10.8,0.1,0.8,5.1,6.3,8.4,237.8,3.9,7.6,73.8,56.9,41.4,42.5,68.8,21.6,9.9,12.3,11.9,0,235.5,0,3,13.7,27.7,0,15,1017.4,0,3172
"DOM_C19",305.3,1.7,2.9,5,2.5,107.1,10.9,10.3,22,953.8,929.9,29.1,61.2,63.5,162.5,26.5,29.1,24.5,48.8,62.6,2.4,19.2,176.3,65.7,159.2,368.6,988.9,41.5,313.2,118.9,11,26.9,7.7,8.6,8.6,31.2,53.6,59.7,59.7,63.1,27,54.9,21.9,25.1,0,1844.9,0.1,14,68.8,92.2,0,63.2,2004.4,0,9659.6
"DOM_C20",231.1,0.1,0.4,1.2,0.9,95.7,23.2,12.4,45.8,184.2,355.7,113.7,348.5,58.7,23.4,21.8,43.4,72.4,46.1,66.8,1.8,26.1,36.3,18,44,95.4,32.4,1.5,8,7.3,1.3,11.8,3.4,2.1,1.9,4.5,21.1,24.7,20.1,10.2,9.9,77.5,12.2,13,0,276.2,0,6.7,20.7,45.9,0,14.3,3083.9,0,5677.7
"DOM_C21",27.2,0,0.1,0.1,0.1,20.6,2,1,3.6,13.4,25,132.1,24.2,4.7,3.9,2.5,9.1,6,9,17.9,0.2,2.5,4,1.6,6.3,17.1,4.3,0.5,1,1.1,0.2,2.6,1.8,1.4,3.1,2.3,2.7,10.6,4.8,3.4,1.6,166.1,2.6,2.8,0,377,0.9,557.8,188,29.3,0,12.9,2399.2,0,4112.5
"DOM_C22",26.1,0.1,0.2,0.2,0.2,104.3,42.2,17.3,47.6,12.7,43.6,20.9,280.1,16.6,6.3,25.3,202.4,94.8,69.3,245.3,3.1,58.7,11.3,20,128.3,77.5,33.2,0.3,1,7.9,1,6,1.9,2,1.1,8.5,21.6,15.5,8.8,12,1.8,21.9,2.7,3.7,0,176.5,0,6.8,46.5,28.5,0,6.6,3561.6,0,5531.6
