"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",2910.4,161.6,3.2,1.1,1.6,14212.6,899.6,1253.1,334.6,74.4,435.2,101.1,1457.6,8.6,0,5.4,4.1,0,0.5,0,35.8,140.6,0,56.1,1793,43.4,0.5,1.7,5.3,0.2,0,1267,49.6,0,1,0.6,0.2,19.4,7.7,7.3,10.7,1899.3,83.8,64,0,23323.5,216.8,0,3841.5,-32.1,0,35,4505.4,0,59242.3
"DOM_A03",1.1,171.6,0,0,0,1023.1,0.1,0.1,0,0,0.5,0.4,0,0,0,0,0,0,0,0,0,6.6,0,5.4,0,0,0,0.3,0,0,0,282.9,0,0,3.9,0,0,3.9,21.5,0.9,7.2,155.1,0,4.6,0,6757,0,0,0,-1.1,0,2.9,472.2,0,8920.1
"DOM_B05_06",0.2,0,2130,26.2,37.2,16.1,56.9,4.6,16.8,6508.5,468,2.5,30,842.4,281.8,712.7,2.8,112.2,0.4,2.3,1.4,3.1,2553.8,0,0,0,3,0,0,1.1,0,1.1,0,0,0,0,1.7,33.5,1,0,0,0,0,0,0,0.1,0,0,69.5,-1.7,0,0,25597.9,0,39517.5
"DOM_B07_08",0.2,1.2,0.1,297.8,327.2,92.9,4.6,2,0,165,1483.9,6,57.6,595.5,1675.6,481.7,5,41,2.9,0.4,11.7,32.5,0,9.9,3583.9,43.9,0,0,0,0,0,0,0,0,1.6,0,0,3.2,0,5.2,56.9,0,0,0,0,16.1,0,0,0,12.5,0,0,6289.3,0,15307.5
"DOM_B09",0,0,1252.6,261.8,51.8,0.1,0,0,0,15.4,18,0,2.4,6.7,36.4,7.5,1.6,5.7,0,0,0,6.6,0,0,1.2,0,0,0,0,0,0,0,0,0,0.1,0,0,107.5,0.5,0,0,0,0,0,0,0,0,0,2305.3,0,0,0,139.4,0,4220.6
"DOM_C10T12",1204.2,208.9,12.5,8.1,0.5,4840.9,176,9.7,21.8,24.9,129.7,19.1,1.2,68.9,3.6,5.2,5.5,4.9,1,1.6,6.1,7.6,1.5,94.1,1264,139.8,1.4,47.6,25.4,10.4,7.1,1777.5,4.4,4.6,7,11,347.2,27.4,70.7,6.3,1.9,1404,253.8,6.2,0,40260.4,431.6,1314.5,0,-29.6,0,161.5,10160.9,0,64574.6
"DOM_C13T15",28.2,1.5,8.9,3.5,3,7.4,5063.4,5.4,13.6,6.9,18.3,2.6,57.6,1.2,0.6,55.4,11.2,11.3,3.1,7.8,7.1,37,1.8,5.8,54,1028,5.7,2,0.9,9.7,6.7,55,9.6,9,10.2,1.4,157.2,19.7,112.3,33,13.1,39.1,2.2,108,0,9461,95.8,0,164.9,-3.8,0,109.1,9054.8,0,25921.3
"DOM_C16",9.1,2.1,0,2.7,2.1,10.5,5.5,398.2,6.8,284.2,8.6,0.1,4,8.8,0.1,69.3,19.7,3.5,1.7,2.3,71.2,354.8,0,0.6,2047.7,645.1,0.2,0,0.1,1.3,0.5,0.9,0.9,0.1,0.1,0,20.4,1.5,2.9,1.7,2.8,0.2,0.2,45.1,0,400.8,1.8,0,5.5,-11.7,0,6.6,2715.9,0,7156.7
"DOM_C17_18",10,0.5,30,6.6,1.7,73.1,33.9,3.6,1611.2,8.3,22.2,5.7,11.1,7.1,3.7,12.3,75.7,26.9,1.4,1.7,6.6,9.2,4.1,10.2,43.6,2841,15.3,0.9,0.8,2.6,63.7,3,516.3,27.8,53.6,95.4,278.1,62.7,337.8,199.5,323,12.4,9.3,15.6,0,917.4,13.5,0,0.3,-6.5,0,17.2,3291.4,0,11112.7
"DOM_C19",151,189.6,211,261.9,250.6,214.5,500.1,76.3,347.6,987.3,265.1,14.4,138.5,137.6,258.1,519.5,66,103,10,24.4,106.8,101.2,1823.4,27.6,3263.1,9567.4,1350.3,492.6,866.8,69.1,241.3,31.1,74,17.1,82.9,18.8,645.1,76.7,1006.6,160.3,42.6,57.6,29.8,39.3,0,6378.7,106.8,0,0,-6.2,0,73.3,2576.7,0,34047.3
