"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",73321.3,446.2,0,0,2.2,115537,31542.8,4163.3,1440.6,131,2254.7,2184.8,5582.7,133,0,0,0,0,0,0,0,2963.1,308,0,17261.5,0,3012.9,0,0,0,0,16565.1,0.8,0,0,0,0,0,0,6911.4,0,0,0,0,0,105677.8,4.1,0,1149,11552.4,0,159.5,7905.6,0,410210.8
"DOM_A03",0,784.1,0,0,0,5011.5,0,0,0,0,0,83.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,10058.7,0.9,0,0,534.5,0,11.6,195.9,0,16934.5
"DOM_B05_06",0,0,9.3,16.3,17.8,177.5,129.9,0.5,108.9,46588.5,155.9,7,129.2,1107.1,5789.4,8.9,0,8.4,1520,184.9,56.4,0.2,2188.4,147.1,0,0,100.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6,0,0,0,851.1,0,0,295.7,0,59715.9
"DOM_B07_08",0,10.1,167.2,13.4,27.4,0,0,0,0,0,0,0,0,2217,10619.6,2575.4,0,0,0,0,0,414.2,0,0,917.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.1,0,0,0,363.3,0,0,3358.8,0,20798.5
"DOM_B09",113.7,10.5,2525.9,557.2,572.4,7.3,1.2,1.5,17.5,7594.7,91.8,2.7,5.5,320.6,823.5,25.7,0.2,1,11.6,0.9,0.4,0.9,564.4,11.8,1516.6,9.6,45.5,0.4,0,18.1,0.1,2,0.4,0,0.7,0.4,30.1,0.6,10.1,22.5,2.8,1.5,0.5,2.6,0,0,0,0,0,0,0,0,96.1,0,15023.6
"DOM_C10T12",17233,521.7,670.1,175.9,31.5,5643.9,946.6,16.4,229.2,1125.2,5146.4,2086.1,662.8,178.1,745.7,222.4,65.1,233.2,310.7,452.7,112.9,111.5,13.7,9,2618.1,364.4,50.7,4.2,16.6,28.7,1.7,11250.9,25.5,65.8,10.6,63.8,16.7,10.9,57.7,16079.1,8.6,479.6,7,78.3,0,95145.2,14.2,13.1,281.9,5313,0,752.2,17977.5,0,187680.1
"DOM_C13T15",808.9,954.3,1116.3,121.7,31.8,125.5,25109,67.5,276.9,928.5,3381.7,749.2,1201.7,221.4,383.2,83.3,129.5,263,295.8,691.6,160.5,326.6,112.8,25.3,1948.2,1297.3,301.1,21.3,89.6,1316.4,5,48.6,64.1,72,25,410,71.9,14,112.2,168.6,28.1,422.9,96,741,0,46115.5,6.6,0.9,526,4158.2,0,530.3,27117.1,0,123274
"DOM_C16",442.3,59.6,433.2,13.4,10.8,44.3,73.8,916.2,560.1,129.2,153.6,5.5,28.1,68.9,86.1,176.2,25,41.5,162.8,212.7,94.7,2079,48.6,4.1,817.4,749.6,59.4,3.4,12.4,15.9,1.4,3.4,13,27.3,5.9,25.6,18.6,23.4,175,17.4,10.9,4.6,8.4,36.1,0,1087.2,0.4,0.3,214.1,191.9,0,34,3109.8,0,12536.3
"DOM_C17_18",800.2,10.3,60.4,80.7,17.9,95.6,69.5,14.4,3751.2,76.7,100.6,188.3,117.4,89.4,189.5,51.2,84.9,65.8,166,69.2,17.9,64.7,2503.1,59.1,342.2,665.9,3128.3,209.6,782.4,868,67.6,12.5,2553.6,901.4,290,846.1,418.9,189.4,883.7,174.2,1674,77.4,166.9,804.8,0,2546.7,2,0,45.5,1052.4,0,65.2,859.4,0,28372.4
"DOM_C19",6037.3,328.8,2868.7,1359.1,249.5,906.9,2468,57.7,2249.3,31418.5,13483.4,2349,1977.1,5117.3,7697.7,1494.8,188.3,671.2,774.6,16626,3439,368,14688.7,1301.7,10813.2,11728.3,27140.7,366.7,1432.7,2307.4,579.2,403.1,242.2,5334,543.6,4164.2,4118,546.5,5035.8,110.2,681.5,62.4,690.1,4079.5,0,16966.3,0.6,0,8.4,5352.1,0,290,33988.5,0,255105.9
"DOM_C20",4352.2,117.3,3264.1,554.3,100.7,401.2,5349,49.5,1188,5656.3,23495.3,5821,3422.9,858,1588.9,405,233.9,735.8,845,1617.4,423.3,559.9,106,54.3,11179.4,1422.1,214,5.9,29.5,112.2,1.8,278.7,130.9,58.5,17.6,49.2,34.4,3.8,42.1,157,21,1405.6,11.8,320,0,6907,1.5,61.6,225,2398.9,0,70.3,10446,0,96804.9
"DOM_C21",702.9,105.3,478.6,79,14.9,64.3,757.5,6.5,192.9,838.8,4025.3,5984.4,550.2,117.9,248.8,63.3,63,115.9,136.6,248.7,61.5,99,2.7,12.7,1691.8,201.1,45.3,0.3,1.8,13.5,0.1,81.7,26,3.1,0.6,1.7,2,0.2,1.4,291.4,1.4,7857.3,2.3,54.5,0,6601.1,2.1,350.3,86.6,893,0,82.1,6872.1,0,40135.2
"DOM_C22",248.8,15.7,134,145.1,38.7,68.1,564.7,15.1,1477.9,1137.8,765.2,195.8,3142.7,119.6,2665.3,175,1657.4,817.3,1523.9,1195,159.6,1371.7,41.2,425.4,5174,376,1985.8,2.5,11.9,136.4,1.2,76.2,529.9,30.2,13,8.2,79,5,39.5,36.7,51.8,84.8,104.3,770.2,0,4567.8,0.1,3.4,2695.7,1057.9,0,4.2,5104.5,0,41051.1
"DOM_C23",180.5,12.6,66.5,34.8,56.4,30.7,70.8,8.7,52.9,138.2,323.3,109.4,356.5,8210,802.2,857,474.8,759.2,329,203.6,54.2,138.7,58.7,6.7,36384.2,61.3,70.3,3,15.4,13.2,0.5,15.6,5.1,22.9,8.5,8.5,15.7,1.4,19.9,27.2,6.2,7.7,2.4,12,0,410.5,0,0,272.1,1310,0,3.2,1921.5,0,53953.8
"DOM_C24",523.6,46.6,2025.1,321.6,126.5,89.4,100,47.3,302.7,282.6,851.2,84.3,154.6,1323.4,38413.3,13730.6,3032.9,9574.8,11845.1,13884.1,1965.3,3372.4,7787.4,24.7,36622.8,277.4,264.3,13.1,62.7,57.4,3.6,30,37.4,131.3,36.2,82,61.5,6.8,80.7,97.6,28,25.7,16.5,66.7,0,420.4,0.2,0,2053.2,3887.5,0,18.2,16373.6,0,170664.4
"DOM_C25",1240.4,124.2,646.1,962.4,135.4,235.4,187.9,121.2,121.5,638.8,300.1,86.1,117.3,438.1,8882.1,2718.9,489,1671.1,2978.6,2547.5,607.5,338.1,1159.9,55.5,9226,644.3,605,24.8,126.4,109.8,5.4,37.6,28.7,268.9,72.6,77.3,85.7,13,185.7,224.9,56.8,61.3,19.8,82.8,0,522.9,0.5,3.1,6890,991.5,0,6.7,4901.2,0,52075.7
"DOM_C26",81.1,3.8,59.4,74.4,20.4,31.7,35.7,11.1,61.8,138.6,54.7,33.6,53.1,64.8,609.2,212.5,919.4,927.2,866.6,956.5,219.8,45.9,212.8,5.2,1314.3,67.7,422.8,26.1,143,136.4,3.8,2.8,59.6,399.5,38.9,51.3,21.7,6,28.6,62.8,29.7,10.7,6.8,45.6,0,767.7,1.1,0.1,9180.8,570.2,0,72.4,3356.3,0,22526.1
"DOM_C27",100.7,4.7,107.1,164.3,32.7,61.8,51.8,26.3,71.3,214.5,90.8,38.1,94,150.7,1447,774.4,1270,2674.6,2253.2,2834.4,597.2,163.3,314.7,10.7,3685.2,156.6,362.7,15.1,69.3,81.6,7.2,5.7,32.6,665.8,25.7,98.9,38.8,6.1,35.8,118.2,19.3,5.7,15.6,104.6,0,1589.8,0.6,0,15093.9,1108.4,0,43.1,7025.2,0,43960.3
"DOM_C28",344.1,16.6,642.1,520.5,135.5,343.3,92.1,150.4,148.9,729.8,122.7,44.6,252.8,144.9,2132.1,758.9,696.3,1136.2,3539.2,1495.6,440.4,248.1,271.8,37.7,2272.1,261.9,412.5,26.3,67.8,91.9,15.8,16.7,61.1,401.5,31.5,75.2,43.2,7.4,61.8,149.2,29.6,10,24.8,144.6,0,2114.7,0.8,0,37634.5,2016.6,0,22.9,10411.8,0,70850.9
"DOM_C29",211.6,3.9,192.1,228,51.4,86.9,31.5,30.9,79.5,209.9,467.9,10,160.4,28.6,288.4,87.9,181,172.6,2373.4,5430.4,169.3,93.7,1001.9,66.6,546.4,1174.8,1390.7,90.4,334.5,528,39.4,14.6,67.7,364.6,169.5,173.1,285.5,19.6,207.6,228.1,115.3,26,137.4,654.6,0,13515,0.9,0,43641.6,2803,0,68.5,8186.4,0,86441
"DOM_C30",99.9,42.7,71.5,49.4,16.7,42.7,13.9,15.2,39.6,103.3,15.5,5.4,79,14.1,142,43.3,72.2,84.9,378,294.9,4219.5,45.9,11.5,11.5,145,236.7,210.8,344.3,10.7,38.4,1.7,5.2,15,32.9,2.9,7.3,10.5,2.1,15.2,286.5,3.6,1.3,13.6,34.6,0,3864.9,0.1,0,8020.6,1956.4,0,0,4353.2,0,25526.1
"DOM_C31T33",832.2,79.5,303.8,167.5,49.7,119.9,169.8,331.3,317.9,369.8,199.1,69.3,138.2,215.2,1076.7,396.9,181.5,265.6,519.6,400.5,136.7,3744.9,413.5,42.3,2269.2,568.4,519.9,27.6,111.1,111.3,9.3,23.5,60.5,221,54.1,169.3,134.1,22.5,203.1,139.4,64.3,71.8,55.2,234.7,0,1918.3,0.5,1.5,2024.9,236.7,0,132.2,19393.6,0,39319.5
"DOM_D",2914.3,0,788.1,1191.8,164.2,249.6,1065.2,42.2,708.7,2220.7,780.2,212,477.7,1473.6,7032.3,511.7,1603.3,2933.8,3395.3,4446.8,836.9,856.4,1070.5,311.1,7262.9,5073.1,4525.1,395.2,1562.5,1779.6,154.6,2066.6,462.4,6043.9,970.3,6126.6,1514.7,156.3,703.8,1937,732.8,268.4,629.7,2455.9,0,20753.5,2.4,0,0,0,0,0,70,0,100933.9
"DOM_E",127.4,16.3,130.9,22.7,15.2,2.6,1.2,0,0,0,1.8,0,0,15.3,17,7.9,0,0.1,0,0,0,0,2452.6,72.7,890.7,386.7,1740.9,110.4,480,591.3,2.8,256.3,75.5,56.7,188.4,799.7,328.4,31.8,185.6,1748.6,178.2,48.4,109.7,546.5,0,1232,12,0,0,0,0,0,0,0,12884.2
"DOM_F",2233.3,0,426.5,149.9,120.6,95.1,115.6,1,1744.9,3961,346.4,128.4,941.6,3005.1,4315.8,712.1,62.9,1456.1,543,779.3,290.6,22.8,5581,339.9,49067.8,9293,1874.3,50,357,949.8,94.2,59.6,91.1,3065,2068.6,1509.6,20183.9,403.4,1814.4,5514.3,743.5,194.4,1111.2,4474.1,0,3570.2,5.3,0,306349.1,0,0,0,0,0,440216.7
"DOM_G",13340.6,589.2,1398.6,456,337.1,17971.3,11863.4,743.3,1294.1,5711.9,5047.6,1864.9,2068.3,2564.3,8875.8,1942.9,779.1,1566.5,2352.3,4293,1177.6,1723.2,3121.7,216.4,17051.4,6865.9,6044.8,132.8,362.2,1104.5,76.7,4126.7,489,936.9,164.4,923.6,754.5,166.7,1937.5,2991.7,1351.8,1161.7,201,1216.9,0,48161.4,10.9,38.3,9077.8,5733.6,0,337.9,23866.5,0,226586
"DOM_H49",7831.6,172.4,1109.3,581.3,315.6,5536.4,2744.6,359.9,429.1,3012,1407.7,475.7,615.9,2830.9,7602.6,1467.1,365.1,573.2,1142.4,1416.4,347.6,675.5,1227.9,1095.1,11813.3,9573.2,1076.6,30.8,87.4,592.8,66.6,1006.1,382.7,598.6,667.6,366.9,557.2,73.6,516.6,2240.1,282.7,127.3,120.5,695,0,60730.7,4.7,4.7,2005.1,1670.6,0,1060.6,6176.7,0,145863.9
"DOM_H50",92.5,3.4,28,8.9,0,92.5,68.6,9,23,925.3,110.1,28.1,30.7,50.9,222.8,47.7,24.8,42.8,75.1,78.7,20.8,43.3,66.7,3.8,0,0,43.4,1.3,2.8,0.5,0.3,21,6.3,7.6,1.7,8.5,0,0.1,0,0,0,0.8,0,0,0,0,0.1,0.4,423.3,709.8,0,174.8,788.1,0,4288.8
"DOM_H51",131.5,5,110.9,53.5,8.7,110,103,14.6,41.1,1838.2,204,50.8,53.8,79.1,364.6,79.5,46.9,79.3,137.2,139.8,37.3,79.3,123.4,45.3,556,223,88.1,3,10.5,71.6,4.1,32.6,18.4,47.4,2.9,354.4,20.9,16.8,105.8,751.8,287,46.6,10.9,60.7,0,698.1,0.3,0.4,830.9,887,0,790.2,2462.8,0,12319
"DOM_H52",1179.5,40.2,418.9,78.8,90.7,1630.5,751.8,77.7,113.4,846.3,399.7,128.3,174.2,501.8,2100.1,357.5,70,154.1,310.8,410.7,102.4,174.2,375,22.9,3397.3,2515.5,383.6,12.6,976.3,392.2,7,321.8,53.1,84.4,28.5,260.7,79.8,21.4,170.6,747.1,45.4,36.3,43.7,254.9,0,3101.3,1.3,1.4,587.1,497,0,16.1,6167.3,0,30713.3
"DOM_H53",23.8,0,20,9.6,8.7,7.3,4,1.1,1,0.1,0.8,1.7,4.8,12.5,1.8,5,1.8,0.9,3.2,1.1,0.2,1.4,616.2,80.8,428.5,201.3,735.7,16.8,60.8,320.1,127.9,13.8,19.4,941.6,115.6,234.4,58.6,39.8,164.9,0,59.4,6.6,7.5,44.7,0,657.6,0.3,0,0,0.5,0,17.6,137.3,0,5218.5
