"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",1166.3,15.8,0.1,0.1,0,3941.1,0.6,151,0.4,0,0.7,18.9,0.4,0.4,0,0.3,0.8,0,0.2,0.1,0,1,5.1,1.5,55.9,15,0.2,0.8,0.9,0.4,0.4,96.4,2.7,0.7,2,1.4,2.5,3.7,1.7,2.1,25.9,14.4,2.1,13.5,0,875.4,12.1,281.7,31.2,68.9,0,38.3,921.9,0,7776.8
"DOM_A03",0,15,0,0,0,135,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.6,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,124.3,0.4,6.3,0,3.9,0,2.7,144.2,0,447
"DOM_B05_06",0,0,0.1,0.2,0.1,0,0,0,0,52.9,0,0.2,0,0,1.3,0,0,0,0,0,0,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.8,0,0,0,5,0.1,0,1.5,-1,0,0,19.3,0,116.7
"DOM_B07_08",46.7,0.1,0.3,209,1,13.2,0.2,0.5,2.1,30.4,3.8,86.8,4.3,191.7,95,2.1,10.5,1.2,2.2,0.1,0.1,16.8,0.8,4.6,702.1,17.9,1,0,0.5,5,0.4,4.8,5.2,1.4,2.1,0.8,23.7,2.7,0.4,2.4,0.4,2.5,3.2,0.9,0,26.7,0,0.2,3.7,9.8,0,0.2,794.8,0,2336.9
"DOM_B09",0.3,0,0.4,3.1,0.6,0.9,0,0,0.3,2.8,1.9,1.1,0,1,0.2,0.2,0,0,0,0,0,0,4,0.1,11.2,0.1,0.2,0,0,0.2,0,0,0,0,0,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.1,0,116.4
"DOM_C10T12",901.7,14.6,0,0.8,0.1,2848.4,5.9,1.7,6.9,0.5,20,300.2,5.6,1.5,0.2,0.9,38.8,0.4,1,0.2,0.1,2.2,7.7,5.8,28.9,246.1,8.1,2.2,11.8,13.7,8.6,1594.1,11.9,11.7,59.8,50.8,1,86.3,30.2,19.3,2.7,48.6,29.1,14.3,0,5162.8,15.9,29.4,220.6,301.6,0,117.2,13678.9,0,25971.1
"DOM_C13T15",2.4,1.2,0,0.1,0,2.7,46.9,2.9,6,0.4,1.3,12.3,1.2,0.7,0.1,0.6,8.1,0.2,0.9,0.2,0,9.2,0.6,0.8,35.3,24.2,0.6,0.1,0.8,0.3,0.6,7.6,7.2,0.8,4.7,2.4,6.3,11.4,2.3,3,0.5,18.7,3.4,2.2,0,356.7,0,0.1,34.6,8.9,0,5.9,163.6,0,801.3
"DOM_C16",2.6,0.1,0.1,0.1,0.1,37.9,0.6,326.2,8.7,0.5,0.7,12.8,29.9,6.2,0.7,7.5,18.3,0.4,4.5,0.7,0,274.1,1.8,0.7,719.5,11.1,0.9,0.1,0.4,1.1,0.4,8.5,7.6,2.6,6.8,6.2,67.2,11.1,2.4,1,11.3,3.5,3.6,2.7,0,64.3,0,0.2,20.3,18.3,0,4.3,448.6,0,2159.4
"DOM_C17_18",10.5,0.4,0,0.4,0.1,141.8,2.2,5.8,376,0.4,14.2,174.9,4.8,11.2,0.9,2.4,139.5,1.7,3.1,0.9,0.2,17.9,17.2,19.3,128.7,197.4,9.7,0.2,2.9,21.8,9.3,28.9,859.2,8.5,86,178.9,21.4,327.9,16.1,22.9,104.5,53.6,33.5,12.1,0,882.8,0,0.7,34.8,104.9,0,10.9,1070.4,0,5174.2
"DOM_C19",200.7,21.7,0.3,34.7,2.4,156.7,1.4,5.8,2.7,216.9,1.3,42,26.5,31.5,52.5,3.9,74.7,5.7,6.7,2.4,0.1,207.9,470.1,13,274.2,172.7,176.6,17,173.8,24.9,6.4,77.4,3.8,30.7,23.8,11.9,13.5,29.2,11.4,22.4,17.1,69.4,12.4,5.5,0,1163,1.1,0,11.1,61,0,27.5,1086.7,0,5105.9
"DOM_C20",18.7,0,0,0.2,0.1,6.2,0.5,3.6,9.5,0.2,30,181.7,6.2,1.9,0.3,0.9,74.1,0.6,1.1,0.4,0,2.3,2,0.9,11.4,4.5,0.3,0,0.2,0.2,0,0.9,7.5,0.1,1.6,0.7,0.3,6.6,1,0.6,0.4,17,1.2,0.8,0,38.5,0,1.5,38.3,16.6,0,0.6,2997.1,0,3489.4
"DOM_C21",59.5,0.3,0.1,1.5,0.2,50.1,4.3,6.6,29.5,3.7,96.6,1052.1,12.3,4.5,2.7,3.6,139.8,1.5,4.3,1.2,0.2,27.1,6.9,5.7,49.5,15,1.8,0.2,1.5,0.8,0.2,7.3,55.3,1.2,15.7,5,2.6,48.5,2.3,4,4.8,221.7,3.6,2,0,438.4,0.1,298.5,613.8,89.5,0,11.2,24174.6,0,27583.3
"DOM_C22",7.2,1.5,0.1,2,0.2,85.2,3.7,7.4,11.4,4.2,1.2,74.7,129.9,6.3,1.7,7.2,172.2,18.4,23.3,7.8,0.7,37.3,9.4,4.5,245.2,52.8,11.5,0.5,3.6,2.8,3,3.7,6.1,26.1,20.3,3,11.4,27.8,4.1,4.3,1.8,97.6,2.6,2,0,185.9,0,0.1,11,14.8,0,0.9,727.5,0,2088.1
"DOM_C23",13.3,0.1,0.2,49.5,0.8,50.6,1,2.9,7.9,6.9,2.1,46.3,23.6,314.5,2.3,11.6,46.2,7.4,7.9,0.6,0.1,90.5,2.9,10.7,1545.4,59.6,3.6,0.2,2.2,2.5,0.7,4.6,17.5,7.5,5.2,1,99.6,4.1,0.7,10,1.1,5.2,9.6,2,0,106.4,0,0.3,7.8,23.2,0,0.3,436.4,0,3056.3
"DOM_C24",0.3,0,0.3,0,0.5,18,0.1,4,2.5,0.1,0.4,10.6,15.2,12.2,29.5,169.3,123.5,15,55.5,23.1,2.5,23.6,0.3,13.2,43.1,4.3,1.5,0,0.1,0.1,0.2,0,3.2,2.2,3.3,0.3,0.2,0.5,0.1,0.7,0.1,0.1,0.1,0.2,0,1.5,0,0,1.1,7,0,0,831.6,0,1421.1
"DOM_C25",70.7,1.1,0.6,2.4,1.1,87.5,3.4,37.9,14.8,1,3.1,81.2,62,21.1,16.4,142.5,228.3,12.2,187.5,23.2,1,91.6,30.3,5.5,801.4,27.8,4.6,1,1.3,1.6,0.8,3.2,25.7,4.6,12.5,11.1,13.7,12.6,2.2,10.1,22.7,7.2,2.9,1.5,0,135.7,0,0.3,110.3,28,0,0.5,718,0,3087.8
"DOM_C26",54.5,4.5,0.2,7.5,0.7,106.4,6.9,8,62.9,39.7,7.5,124.7,13.6,14.8,10.6,13.7,1713.1,80.6,30.9,75.6,2.6,72.5,88.3,11.7,222.5,91.1,32.1,3.2,31.2,11.7,11.3,36.6,160.3,211.2,257.6,58,17.8,106.7,12.1,17.3,36.7,186,18.8,6.2,0,859.5,0.6,6.7,402.1,259.6,0,34.6,32847.3,0,38490.1
"DOM_C27",2.4,0.2,0,0.4,0.1,2.9,0.1,0.2,0.6,2,0.3,2.6,1,0.5,0.5,0.5,148.1,48.7,3.9,4,0.1,3.8,6.2,0.3,51.6,3.7,2.9,0.5,1.7,0.4,0.3,0.9,1.2,7.2,10.8,1.1,0.6,3.4,0.8,0.8,0.3,4.9,0.7,0.5,0,51.6,0,0.1,40.2,3.5,0,1.8,1019.7,0,1440.3
"DOM_C28",41.8,0.4,0.3,3.3,1.5,39,1.3,8.6,11.7,2.6,2.7,54.6,22.6,9.5,5.5,31.1,204.3,13.1,185.9,8,1.1,24.6,11.1,9.1,187.6,32.9,6.3,3.2,2.8,1.2,1.2,1.4,15.6,8,21.8,7,5,13.6,12.3,8,1.9,9.4,2.9,3.2,0,197,0,0.3,455.7,21.3,0,0.2,2174.9,0,3888
"DOM_C29",0.5,0,0,0,0,1.6,0,0.1,0.4,0.1,0.1,2.2,1.3,0.2,0.1,0.3,9.1,0.4,1.1,13.8,0,0.7,0.4,0.4,5.6,9.3,1.9,0,0.1,0.3,0.3,0.4,1,1,4.7,0.5,0.6,2.9,1.4,0.2,0.2,1.6,0.2,0.2,0,581.9,0,0.1,221.7,3.9,0,0.6,149.4,0,1023.2
"DOM_C30",1.1,2.3,0.5,0.2,0,0,0,0,0,0,0,0.6,0,0,0,0,3.7,0,0.3,1,20.1,0,0,0.6,7,1.7,4.3,2.6,21,3.7,0.5,0.7,0.1,0.7,4.6,1.8,0.2,3.3,2.6,3.4,0.1,0.7,1.2,0.5,0,10.8,0,0,232.8,-32.4,0,0,244.6,0,547
"DOM_C31T33",23.6,1.8,0.2,3.3,1.4,53.3,2.9,22,8.2,8.6,1.9,28.2,28.8,7.6,5.5,37.5,227.7,17.1,53.3,12,4.2,1240.2,22,7.7,495.8,400.4,10.6,4.7,9.3,3.1,1.6,170.4,14.7,10.4,333.1,42.2,7.3,405.4,61.8,61.5,111.9,474.3,26.4,7.4,0,3558.8,0,17.8,383.5,13.3,0,70.3,1767.6,0,10282.5
"DOM_D",124.8,12.4,1.4,31.6,1.9,397.6,12,50.8,43.2,3.6,33.1,571.7,52.8,128.2,105.9,22.2,457.5,13.8,29.7,10.7,5.7,81,1100.1,66.5,129.8,348,18.1,1.5,11.2,19.9,1.8,138.1,84,41.9,186.7,103.4,46,120.8,40.5,69.6,182.5,92,55.2,11.6,0,1274.6,14,107.8,28.6,2.6,0,1.8,368.5,0,6858.5
"DOM_E",15,5.5,0.2,0.8,0.6,179.4,8.5,32,66.4,0,10.1,270.2,6.9,5.1,121.1,91.5,30.4,0.5,5.1,13.9,1.2,13.8,48.1,617.7,147.8,202.6,25.1,2.2,8.4,10.7,3.6,75.6,110.1,20.5,95,50.6,33.3,66.1,19.4,20.8,14.2,41.1,25.8,56.5,0,440.5,0,415.4,13,0,0,0,0.3,0,3442.7
