"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",31.4,0,0,0,0,233.5,2,1.1,0,0,0,0,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0.8,0.7,0,0,0,0,73.1,0.7,13.7,0,0.8,0,10.4,22.2,0,397.7
"DOM_A03",0,32.1,0,0,0,611.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,9.7,0,4.5,686.2,0,1344.8
"DOM_B05_06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
"DOM_B07_08",0,0,0,2.2,0,1.7,0,0,0,0,0,0.1,0,1.2,5.5,0,0,0,0,0,0,0,0,0.7,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,24.2
"DOM_B09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"DOM_C10T12",53.3,16.2,0,0.1,0,308.9,0.7,0.1,0.6,0,0.2,0.5,0.3,0.5,4.8,0.4,0.1,0.6,0.8,0,0.1,0.4,1.9,0.4,5.8,8.6,1.1,2.1,11.4,1.8,0.3,93.1,1.5,2,1.4,4.6,6.6,5.3,3.6,7.2,4.2,13.6,1.3,1.7,0,645.1,1.8,0,0,6.5,0,33.2,1638,0,2892.7
"DOM_C13T15",0.3,17.6,0,0,0,0.8,7.4,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.7,0,0,0.2,0.1,0,0,0.1,0,0,1.5,0,0,0,0.3,0,0,0.2,0.4,0,0.9,0.7,0,0,27.2,0.1,0,0,0.1,0,0.6,21.5,0,81.6
"DOM_C16",0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0.1,0,0,0,0,2.4,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,3.8,0,0,7.2,0,0,0,0.2,0,26.5
"DOM_C17_18",0.2,0.1,0,0,0,1.3,0,0,17.1,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0.2,0.1,0,3.5,0.1,0.2,0.5,0.1,0.2,0.3,12.5,0.2,1,3.9,6.2,1.4,1.4,10.8,48.9,0.3,3.8,0.6,0,18,0.1,0,0,0.2,0,0,2,0,135.6
"DOM_C19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"DOM_C20",1.7,0.6,0,0,0,1.1,0.4,0,1.1,0,2,4.3,2.1,0.1,0.8,0.1,0,0.1,0.2,0,0,0.4,0.2,0.7,3.9,0.6,0,0.1,0.5,0.1,0,0.2,0.6,0,0.9,0.2,0.2,0.8,1.8,0.2,0.1,0.8,0.1,1.1,0,8.4,0.1,0,0,0,0,0.1,13.9,0,50.9
"DOM_C21",0.1,0.1,0,0,0,0.7,0,0,0,0,0,3.9,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0.2,0.3,0,0,0.2,0,0,0.1,0.1,0,0.1,0.1,0.2,1.1,0.1,0.2,0.7,70.1,0.3,0.1,0,24,0.2,11.7,0,0.2,0,0.1,6.9,0,122.3
"DOM_C22",1.4,3.2,0,0,0,9.1,0.1,0,0.1,0,0.1,0.2,2.7,0.2,0.3,0.1,0.3,0.4,0.3,0,0.1,0.9,1,0.5,9.8,8.6,1.9,0.3,0.9,0.4,0.1,0.8,0.4,0.3,0.3,0.4,0.5,0.7,0.6,0.5,0.4,0.7,0.4,0.2,0,9.1,0,0,0,0.1,0,0,14.4,0,73.3
"DOM_C23",0,0,0,0,0,2.5,0,0,0,0,0,0,0,10.2,4.6,0,0,0.3,0,0,0,0.5,0.1,0.1,56.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0,11.8,0,0,0.5,0.1,0,0,2.9,0,90.5
"DOM_C24",0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,425.4,26.5,1,1.8,11.6,0.6,0.6,13.8,14.4,2.6,68.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.6,0,0,1256.9,0,1824.6
"DOM_C25",1.6,3.8,0,0,0,4.1,0,0,0,0,0.1,0,0,0.6,2.8,8.4,0.4,1.5,6.4,0.3,1,3.4,12.5,1.1,59.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.3,0,0,0,0,12.1,0.1,0,47,0.3,0,0,5.8,0,173.6
"DOM_C26",0,0.5,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0.1,0,0,0.2,0.1,0.3,0.6,0,0,0.1,0.1,1.8,0.5,0.2,0.4,0.3,0.2,0.2,0.4,0.8,0,0.1,0,1.9,0,0,9.9,0,0,0,0.4,0,19.8
"DOM_C27",0,0.1,0,0,0,0.4,0,0,0,0,0,0,0,0.1,49.4,0.1,0,7.7,0.3,0,0,0.8,9.1,0.1,2.2,0.3,0,0,0.2,0,0,0,0,0.6,0.1,0,0.2,0.1,0.6,0,0,0,0,0,0,7.3,0,0,10.9,0.1,0,0.2,11.6,0,102.7
"DOM_C28",4.7,10.7,0,0.3,0,16.7,0.2,0.3,0.5,0,0.2,0.3,0.4,1.6,10.1,0.9,0.1,2.3,15.6,0.1,0.3,3,5.9,1,33.1,0.8,0.1,0.6,1.4,1.2,0,0.8,0.3,0,0,0,0,0,4.3,0,0,0.3,0,0.3,0,1,0.1,0,43.4,0.3,0,0,83.3,0,246.4
