"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",160.8,3.2,0,0,0,1418,0.8,0,0,0,6.9,0.3,0,0,0,0,0,0,0,0,0,0.2,0,0.2,2.8,2.4,0,0,0,0,0,97.4,1.2,0,0.2,0,0.5,1.1,0.7,2.1,1.4,0.2,6.7,0,0,1237,0,0,19.1,26.3,0,36,769.2,0,3795.1
"DOM_A03",0,0,0,0,0,7.3,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0.4,1.2,0,0,0,0,0,0,0,0.3,0.8,0,0,0,1.3,0.1,0,4.8,1,1.7,4.9,0.8,0,20.2,0,0,0,0.2,0,0.5,8.2,0,55.3
"DOM_B05_06",0.1,0,0.1,0,0.2,0,0,0,0,147.7,0.1,0,0,1.3,0,0,0,0,0,0,0,0,15.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,2.5,1.3,0,0,0.6,0,172.9
"DOM_B07_08",0.7,1.3,0,9.2,0,4.6,0,0,0,0.4,49.9,0,0.2,50.9,1.5,0.1,1,0.1,0.1,0,0.1,316.1,0.1,0,133.4,0.1,0,0,0,0,0,0.2,0.3,0.1,0.1,0,0.5,0.5,0.1,1.6,0.1,0,1.3,0,0,0,0,0,0.3,9.1,0,0,246.4,0,830.6
"DOM_B09",0,0,7.9,0.3,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0,94.4
"DOM_C10T12",83.1,0.6,0,0.3,0,935.3,2,0,0.2,0,10.2,3.3,0,0,0,1.8,0.2,0,0,0,0,0.1,0,0.3,0.3,9.8,0.1,1,0.6,0,0,393.4,3.5,0.2,1.7,0,2.3,0.9,0.4,4.9,0.3,4.5,15,0.5,0,5375.9,0,0,0,88.6,0,116.4,559.7,0,7617.7
"DOM_C13T15",0.7,0,0,0.2,0,1.9,79.9,0,4.8,0.1,3,0.1,4.1,0.2,0.6,1.5,1.3,0.4,2.2,1,0.3,1.2,0.2,0.5,0.4,4.5,1.1,0,0,0,0.1,12.2,6.7,0.2,0.4,0.3,1.1,3.7,1.8,21.8,1.8,7.7,30.4,0.1,0,374.1,0,0,0.7,4.9,0,14.2,381,0,973.6
"DOM_C16",4.6,0,0,0.4,0,4.1,0.8,24.7,1.5,0,2.7,0.5,1.7,2.5,1.8,2.5,1.5,0.5,1.6,1.1,0.1,18.5,0.2,0.1,77.3,1.1,0,0.1,0,0,0.1,0,0.1,0,0.1,0,0.4,0.4,0.2,1,0,0.2,0.3,0,0,4.5,0,0,2.5,1.4,0,0.1,13.7,0,174.7
"DOM_C17_18",32.5,0,0,0.6,0,53.6,4.2,1.9,155.4,0.5,15.1,8.6,10.5,2.9,1.1,2.6,10.2,0.4,3.2,0.5,0.7,1.4,0.4,1.4,6.2,35.8,1.1,0.3,0.3,2.2,0.6,8,66.6,3,8.7,8.4,6.2,70.3,19.7,11.3,12.5,6.1,122.1,3.5,0,191,0,0,22.1,7.5,0,17.4,157.5,0,1095.6
"DOM_C19",106,2.9,0.1,27.7,0.2,63.5,85.1,1.7,27.7,655.5,171.7,13.6,329.3,73.2,14.1,21.7,47,21,10.7,1.7,2.1,19.9,171.1,83.7,95.3,83.8,363.9,62.1,89.2,10.6,0.5,13.2,6.2,14.2,45.9,12,12,51.7,81.7,175.8,17.4,10.5,20.9,9.2,0,1374.3,0,0,0,58.1,0,3.4,1090.2,0,5653.7
