"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",4814.5,3.9,6.9,4.6,0.6,18358.3,846.4,624.8,159.3,23.6,120.5,95.3,452.3,101.8,181.3,109.7,81.3,62.8,51.6,42.6,23.7,129,1651.4,121.4,140.2,2492,174.1,11.5,6.9,61.4,11.3,1971.1,26.4,39.7,22.9,57.6,36,308.2,641.2,262.8,65.1,203,183.6,127.7,0,26559.2,24,854.6,361.6,-10.4,0,132.8,4858.4,0,67690.6
"DOM_A03",0.6,5.8,0,0,0,104.6,0.6,0,0,0,0.7,0.7,0,0,0,0.1,0,0,0.1,0,0,2.8,0,1.7,0.1,15.4,0,25.6,0,0.3,0,81.6,2.3,0,0.2,0,0.3,0.6,1.1,0.6,0.1,0.4,0.2,0.6,0,1106.9,0,0.1,0.2,-0.3,0,4.1,72.4,0,1430.7
"DOM_B05_06",2,0,17.9,15.5,0.5,85.6,4.9,0.6,6.4,2027,112.1,17.2,2.6,8,223.9,3.9,1.6,3,31.1,24,5.5,7.7,577.3,20.9,53.9,47.7,3.8,1.4,2.6,133.5,7.7,69.7,2.6,3.4,7.8,19.1,18,32.2,20.3,83.4,26.6,170,18.5,4.9,0,48.2,0.1,99.9,459,-3.4,0,0.1,339.9,0,4870.3
"DOM_B07_08",13.3,0.1,0.1,0.5,0.6,23.9,2.6,4.4,61.4,1,8.7,1.8,9.9,113.7,10.1,13.8,6.9,13.4,24,22.8,6.2,12.5,6.6,31,212.5,308.3,152.6,0.8,0.1,2,0.1,3.7,0.3,0.5,4.2,3.3,8.7,14,4.5,0.3,0.7,2.7,1.3,11.5,0,1400.6,0,0.4,21.7,-1.5,0,0.1,482.9,0,3025.6
"DOM_B09",1.1,0.2,39,8.1,4.8,1,0.1,0,1.4,62.3,5.9,0.2,0.5,11.1,12.5,3.8,0,0.1,0.4,0,0,0.1,8,1.3,29.4,0.3,4.7,0.2,0.3,3.2,0,0.1,0,0,0,0.1,1.8,1.7,1.2,0.5,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,186.9,0,392.8
"DOM_C10T12",3452.7,97.9,0,66.9,0.2,29890.5,1049.3,3.7,62,33.9,841.5,527.8,81,126.4,271.2,2.7,1.6,1.2,19.6,1.4,0.5,17.8,166.7,31.1,19.4,2456.6,719.4,393.1,6.1,92.4,4.3,10495.2,6.4,0.3,2,1.2,69.1,215.4,99.9,47.3,29.8,523.8,86.7,119.1,0,84011.9,0,9.1,7.8,-32.5,0,676.1,24232.5,0,161040.1
"DOM_C13T15",95.7,18.8,0.5,0.1,0.6,56.5,13159.1,157.9,406.4,6.2,145.2,55.1,329.5,49.4,36.7,131.6,20.8,29.7,102.8,379.8,76.2,580.8,24.9,33.6,96.6,511.7,48.9,3.7,0.7,31.6,8.3,24.2,9,6.6,11.7,9.8,65.6,127.9,146.9,54.4,21.1,91.4,75.7,126.5,0,29505.8,0.1,44.6,547.4,-90.8,0,361.4,31185.8,0,78924
"DOM_C16",66.1,2.7,3.6,3.4,0.3,331.9,66.7,1957,695,9.1,26.6,46.7,50.3,53.1,61.1,129.7,26,43.8,125.9,113.9,65.1,2460.6,81.6,29.6,1406.4,378.4,84.9,9,3.3,51.6,5.8,40.8,10.7,6.7,13.6,15.9,55.6,133.7,117.9,140.5,7.6,138.7,22.4,90.7,0,1858.1,11.8,45.8,945.3,-72.2,0,34.6,2246.8,0,14254.6
"DOM_C17_18",83.9,4.6,4.1,3.1,0.7,1247.5,128.6,167.7,5681.9,26.3,262.4,150.1,453.7,124.6,304.8,321.8,36.1,227,408.1,283.3,55.7,370.8,254.4,238.8,373.3,987.1,660,34.6,8.6,684,81.6,504.9,476.5,448.2,325.4,1085.9,252,2861.2,3369.6,687,224.1,454.4,684.3,329,0,5213.5,1.6,66.2,218.5,-13.8,0,78.3,6113.5,0,37049.6
"DOM_C19",928.1,28.1,23.5,147.6,8.2,145.1,47.2,34.2,38.7,1793.2,1872.1,29.8,32.7,146.6,276.2,124.6,10.7,18,233.4,44.6,6.1,109.8,461.4,221.9,1010.5,1273,3071.5,1043.9,538.7,174.7,10.3,76.8,7.2,5.9,26.5,79.7,28.5,122.9,140,118.8,70.7,94.2,40.2,52,0,13219.3,0,4.3,30.8,3,0,180.7,3669.1,0,31875.1
"DOM_C20",1188.1,5.9,70.9,30.7,5.8,1290.9,877.2,268.8,846.7,528.1,6148.6,989.5,4322,543.8,428.5,716.1,484.4,501.9,593.6,614.7,295,905.1,200.8,237.9,727.4,952.9,200.2,16.2,5,96.6,24.9,68.1,37.7,32.5,125.7,48.4,175.4,564.2,226.7,44.6,42.7,1105.1,72.4,424,0,5984.8,0.4,366.6,998,-65.2,0,60.9,20416.2,0,54847.3
"DOM_C21",162.6,0.7,11.4,4,0.6,423.7,216.3,17.8,53.8,37.7,681.8,1299.8,301,56,161.1,53,41.7,36.1,65,104.1,41.6,84.2,26.8,33.5,87.9,185.2,27.6,7.8,3.1,17.3,3,57.5,13.6,15.1,38.6,16,14.5,161.2,37.1,19.1,10.6,4064.4,13.6,30,0,6714.8,0.4,3117.2,1036.5,-16.3,0,43.5,9966.3,0,29599.7
"DOM_C22",256.5,8.7,4.5,3.8,2.3,1423.9,947,182.1,556.2,52.4,606.5,745.6,4730.5,561.2,466.1,1672.1,240.9,939.2,2364,2208.5,295,772.9,215.8,188.3,2469,1283.6,1205.1,34.6,10.9,273.1,34.5,183,50.8,169.1,189,276.7,170.1,1209.6,1093.5,70.5,41.5,607.8,141.7,197.1,0,5561.2,0.4,138.7,1010.3,-72.5,0,14.5,14227.5,0,50035.3
"DOM_C23",310.9,3.5,3.8,21,3.5,1111.8,94.9,123.4,49.8,27.8,485,96.5,270.3,4099.1,491.8,624.8,227,433.7,362.3,895.3,302,448.7,318.9,248,6035.9,912.7,122.4,36.8,4.2,104.7,5,169.7,15.6,12,72.7,30.8,434.2,324.1,233.4,35.6,37.9,151.9,71.3,86.5,0,2663.2,0.1,51,865.8,-63.7,0,6.5,9269.2,0,32743.1
"DOM_C24",24.4,3.2,31.5,2.2,4,249.8,68.3,37.9,60.8,10.7,875.7,146.4,363.6,674.2,11141.7,6656.2,399,1933.6,3359.9,1803.5,523,1209.9,34.5,231.7,1135.4,462.8,373.7,0.9,0.3,178.7,0.4,5.6,0.2,1.2,91.6,8.5,220.5,585.4,137,0.1,0.8,914.7,11,46.6,0,0,0,0,3.9,-3.1,0,0,26283.7,0,60305.4
"DOM_C25",292.3,11.8,13,5.4,10,498,315.7,128.4,330.3,27.1,418.6,87.3,859.1,496.6,1231,15969,822.5,1953,17052.1,6455.8,851.1,1686.9,643.6,612.6,5218.6,1238.2,898.8,298.5,10.1,416.4,28.2,128.5,36.7,261,338.5,111.1,458.9,1028.9,733.9,107.9,31.7,339.6,165.5,149.7,0,5139.7,0.5,196.4,7062.9,-448.9,0,18.6,21166.2,0,95907.6
