"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",93.8,0.2,0,0,0,155.7,0,0.6,0,0,0.8,0,0.2,0,0,0,0,0,0,0,0,0.4,0,0.1,0.1,2,0,0,0,0,0,5.1,0,0,0,0,0.1,0,0,0.5,0,0,0.2,0.2,0,180.8,0.3,0,0,6.7,0,8.1,113,0,569
"DOM_A03",0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,1.7
"DOM_B05_06",0,0,1.3,0.2,0,4.1,0,0,0.2,46.5,0,0.1,0,15.6,0.1,0.2,0,0,0,2.6,0.4,3.7,2.5,0.3,0.4,0.5,8.7,0.1,3.7,0.3,0,0,3.8,7.7,0.7,6.6,0,0,0.1,0,0,2,0.1,0.1,0,0.1,0,0,1.5,2.2,0,0,5.3,0,121.5
"DOM_B07_08",0,0,0.1,0.8,0,5.2,0,0,0,0,32.9,0.2,0,12,3.1,0.3,0,0,0,0,0,0.2,0,0,4,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1.2,0,0,1,0.1,0,0,182.6,0,244.3
"DOM_B09",0,0,18,0.3,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,45.8
"DOM_C10T12",16.7,0.1,0,0,0,115.4,0,0,0.3,0,3.6,0.4,0.1,0,0.1,0.8,0,0,0,0,0,0.7,0,0.5,0.4,0.8,0,0,0,0.1,0,32.1,0.1,0,0.2,0,0.4,0,0,6.3,1.2,0.2,1.6,0.3,0,629.1,2.2,0,27.5,5.3,0,32.8,129.2,0,1008.5
"DOM_C13T15",0,0,0.4,0.9,0.1,0.5,25.1,0,0.3,0,0,0,0,0,0.1,0,0,0,0,0,0,0.8,0,0.2,0.2,0.3,0.1,0,0.9,0.6,0,0.7,0.1,0,0,0.3,0,0.1,1.5,0.4,0.8,0.1,1.4,0.5,0,230.6,3.4,28.2,0.8,6.5,0,38.1,152.1,0,496.3
"DOM_C16",0.3,0,0,0,0,0,0,1.7,0.8,0,0.1,0,0,0,0,0,0,0,0,0,0,4.3,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.1,0,0,0,0,0.3,0,0,1.6,0.1,0,0,2.3,0,22.4
"DOM_C17_18",0.2,0,0.1,0.3,0,4.5,0.1,0,15.9,0,1,1.4,0.4,1.5,0.1,0.8,0,0.3,0.1,0.1,0,0.5,0.2,0.2,2.7,2.7,0.1,0,1.1,0.7,0.9,0.6,3.6,1.3,0.3,4.7,0.3,1.3,5.1,2.3,15.1,0.5,0.5,0.3,0,14.6,1.9,5.4,5.6,0.5,0,0,22.3,0,122.1
"DOM_C19",23.3,0.2,7.3,36.4,1.6,24.6,0.7,0.2,2.5,10.5,6.9,1.1,2.8,26.6,7,3.1,0.1,0.6,0.4,0.2,0.6,1.1,67.7,16.4,19.8,18.1,55,8.2,145.9,4.8,1.2,7.7,0.9,2,0.5,1.5,1.3,1.2,8,35.8,12.4,2.8,2.5,2.6,0,198.2,2.8,0,4.1,3.9,0,0.4,0.9,0,784
