"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",11698.2,3.4,0.2,1.9,0.1,35104.2,115.9,2028.5,29.9,2.5,258.6,111.6,642.6,8.1,13.9,30.3,36.3,25,27.5,42.3,10.6,380.5,9.4,7.6,448.5,3568.4,15.4,14.5,2.4,24.8,8.3,5160.7,13.6,7.9,6.5,58.9,11.7,155.2,110.8,52.4,387.9,1525.6,223.6,226.6,0,37045.2,0,0,1366.6,-0.4,0,2.8,405.6,0,101432.6
"DOM_A03",4.5,533.8,0,0.4,0,5453.1,0.8,0.1,0.8,0.6,6.9,4.7,6.2,0.6,2.1,3.4,10.1,6.5,3.3,10.3,3.1,1234.9,2.2,1.4,10.8,101,6.2,5.7,0.5,4.6,1.8,1283.7,3.2,1.8,4.2,13.5,2.6,4.6,2.5,7.8,15.3,361.2,6.7,26.3,0,4151.8,0,0,0,0,0,1.3,257.8,0,13564.7
"DOM_B05_06",0.8,0,0,0.1,0.1,3,0.5,0.1,8.8,479.1,14.5,0.4,1.2,7,10.4,0.4,0.4,1.1,0.8,1.5,0.2,0.8,461.8,1,6.7,2.3,0.8,0.1,0.1,0.1,0,1,0.1,0.1,0.1,0.2,0.2,0.4,0.3,0.5,0.3,0.8,0.2,0.2,0,5.8,0.1,1.5,0.4,0,0,0,2.5,0,1018.8
"DOM_B07_08",0.6,0,0,14.6,3.4,1.1,1.2,0.1,21.2,24.3,113.8,7.4,12.4,441.5,3547.9,13.7,44,23.2,7.1,14.1,0.8,47.9,0,0,42.6,0.7,1.7,0,0,0,0,0,0,0.2,0,0,0,13.7,0,0.2,0,0,1.1,1.3,0,0,0,0,0,0,0,0,79.3,0,4481.1
"DOM_B09",5,7.5,10.8,41.5,43.4,4.7,0,0.2,9.5,518.3,56.7,1.2,3.1,38,135.7,11.2,0.1,0.7,2.5,0.2,0.1,0.6,67.8,9.9,232.3,2.4,22.6,1.1,2.4,9.2,0,0.8,0.2,0,0,0.5,12.3,12.9,4.8,3.9,0.5,1,0.5,0.1,0,0,0,0,0,0,0,0,303.5,0,1579.9
"DOM_C10T12",4633,645.8,0.7,9.6,0.4,25684.2,112,21.6,116,18.8,663.9,187.1,58.4,28.7,47,41.8,89.1,73.8,104.9,104.9,20.5,264.8,51.8,47.3,274,4557.7,115.6,119.3,12.9,144.6,44.1,27509.5,49.1,246.2,83.8,270,107.6,265.3,169.6,321.7,798.6,3883.5,125.4,370.3,0,205849.3,0,0,0,-4.1,0,264.3,3451.1,0,282055.2
"DOM_C13T15",148.2,201.6,0.7,4,1.2,184.8,3957.1,20.2,356.1,3.3,46.2,16,442.8,153.2,41.2,60.7,92,151.9,155.8,313.8,59.7,2076,23.2,30,667.4,1397.3,135.5,269.1,22.4,129.1,26.8,146.1,49,113.8,136.8,198.7,20.3,308.5,231,406,79.5,566.5,289.7,268.8,0,12723.6,0,0,509.6,-51,0,92.7,2517.5,0,29794.2
"DOM_C16",94,9.7,0.2,0.2,0.5,62.8,6,2133.2,1244.6,0.1,24,3.8,37.6,88.7,34.8,75.1,24.7,20.2,45.5,53.8,39.3,4910.2,193,0.8,8841.4,535.5,4.6,2.5,0.2,352.9,1.3,93.9,8.3,4.6,2.6,20.8,2,34.1,28.9,12,6,11.5,31,27.7,0,390.1,0,0,56.6,-3.4,0,46.7,118.1,0,19732.8
"DOM_C17_18",2790.3,31.7,0.8,9.6,1.7,5096.9,181.2,241,20470,20.5,1750.5,748.7,784.6,613.8,181.4,419.7,1292.5,1211.9,822.1,821.5,172.5,3622.3,382.5,233.2,1656.5,13342.1,699.6,279,87.5,1784,347.9,818.7,5196.2,1862.7,2489.5,5619.8,258.3,3700.1,1679.5,3623.3,2652.4,4409.8,345.4,619.8,0,3109.8,0,43.7,77.3,-5.7,0,1.1,2518.5,0,99117.7
"DOM_C19",1394.8,485.2,8,263.5,41.7,646.9,135.6,74.8,278,3888.5,6202.2,590.3,189.8,442.3,1078.1,243.2,96.6,177.1,181,412.4,91.8,719.8,4363.6,436.4,6611.4,8634,7129.1,4135.5,2766.8,369.7,104.5,759.2,245.1,233.5,502,731.4,558.3,2299.2,2990.6,3841.6,614.4,1423.4,784.2,696.5,0,38166.1,0,0,0,0.5,0,30.5,3488.3,0,109557.5
