"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",1379.3,0,0.7,0.8,0,668.8,24.6,1.6,0.6,2,1.3,1.5,0.1,0.1,0.1,0,0,0,0,0,0,2,1.1,0.1,8.3,7.4,0.8,0.1,0,0.5,0.2,93.8,0,0,0,8.2,0.8,1.6,16.3,288.8,144.7,30.6,0.8,0,0,2574.2,0,157.9,150.3,120.3,0,5.1,424.3,0,6119.7
"DOM_A03",0.2,1.6,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0,0,0,11.7,0,1.5,0,0.2,0,0.5,0.2,0,21.1
"DOM_B05_06",70.2,0,1367.9,68.1,6.2,34.8,0.1,0,0.6,861.4,10.3,3.9,2.9,27.2,42.4,4.1,0,0.1,0.8,0.1,0,4.7,279.4,5.1,8.2,13.5,153.6,0,0,5,0.5,0.5,0,0.5,0,0,1.7,4.3,0.5,2.3,5.9,11.8,0.6,5.2,0,216.2,0,0,0,321.1,0,0,15685.2,0,19227.3
"DOM_B07_08",0.1,0.1,380,156.8,0.2,0.7,0,0.1,0,66.4,93.7,0.3,0.1,50.2,1107.4,0.7,0,0.1,0,0,0,0.7,2.1,1.3,107.2,0,3.4,0,2,0.8,0.1,0,0,0,0,0,6,0.3,1.5,0.5,0.4,0.7,0.5,0.4,0,16.6,0,0,0,42.3,0,0,847.2,0,2891
"DOM_B09",0,0,758,0.3,8.8,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.2,0,0,0,0.2,0.1,3.6,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9,0,821
"DOM_C10T12",34.3,0.2,0.9,0.2,0.3,125.2,1.1,0,0.3,0.2,0.3,0,0,0.1,0.2,0,0,0,0,0,0,0,0.1,0,0.3,162.3,0.3,0.2,2.6,1.8,0.1,77.9,0,0,0,8.3,1.1,0.9,7.3,2.4,119.7,23,1.6,0.2,0,1983.2,0,0,0,38.7,0,20.6,284.3,0,2900.3
"DOM_C13T15",0.3,0.2,1.1,0.4,0.1,1,18.7,0,0.1,0.1,0.1,0,0,0.1,1.4,0.1,0,0,0,0,0.1,0.8,0.2,0.4,0.5,3,1.7,0.2,0.1,0.1,0.4,3.8,0.1,0.4,0,0.2,0.2,0.9,3.2,0.5,0.6,1.1,2,0.9,0,64.9,0,0,2,2.1,0,8.2,122.2,0,244.6
"DOM_C16",0.3,0,1.2,0.3,0,0.1,0,0.8,1.3,0,0,0,0,0.3,0.1,0.1,0,0,0,0,0,3.7,0.1,0,16.7,1.8,3.1,0,0,0.3,0,0.2,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.3,0,5.1,0,0,0.1,0.8,0,0.1,0.2,0,37.7
"DOM_C17_18",0.9,0,0.2,0.1,0,8.3,0,0,7,0.1,0.2,0.3,0.1,0.6,0,0,0,0,0,0,0,0.2,0.1,0.2,0.2,100.7,1.4,0,0.1,0.1,1.1,1,12.3,0.3,3.7,1.1,0.2,13,1.6,2,5.8,2.4,0.6,0.1,0,8.7,0,0,0,1.7,0,1.7,6.7,0,185
"DOM_C19",196.4,1,103.5,63.2,23.8,14.2,4.9,0.5,1.3,4.8,9.5,0.1,0.9,25,207.1,1,0.1,0.3,0.7,0.7,1.7,5.4,30.1,11.1,34.5,74.3,295.4,8.8,119.7,5.6,2.5,6.9,2.7,2.5,1.8,2.7,1.3,9.9,19.9,26.6,13.9,42.4,3.8,8.2,0,258.1,0,0,0,57.8,0,13,873.3,0,2592.9
"DOM_C20",31.6,0,27.9,14.7,3.4,3.6,1.8,0.4,2.8,5.9,19.8,5.2,32.3,5.1,9.3,1,0.3,1.2,0.5,0,0.2,3.1,2.1,4,4.1,0.9,3.4,0.1,0.4,0.2,0,6.5,2.6,0.4,0.7,0.7,0.5,18.9,6.6,2.2,22.8,26.8,0.8,4.7,0,66.5,0,0,4.1,8,0,1,150.1,0,509.3
