"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",191.6,0,0,0.5,0.1,254.7,0.4,9.4,1.7,0,4.3,0.8,3.2,0.2,0,0,0,0,0,0,0,0.6,12.8,6.7,20.8,45.4,2.8,1.6,0.7,1.1,0.2,213.8,1.3,0.7,0,0.1,2.5,0.3,0.4,5.4,1.4,12.1,3.3,4.9,0,2096.9,4.1,0,20.2,7,0,28.3,1329.8,0,4291.9
"DOM_A03",127.6,140.7,0,0.2,0,99.5,0.2,3.5,0.5,0,1.4,0.5,1.2,0.1,0,0,0,0,0,0,0,0.1,4.6,2.2,0,17.1,0.8,0.7,0.4,0.3,0.1,80.6,1,0.2,0,0,0,0,0.2,0,0.8,5.2,1.4,1.8,0,1181,2.3,0,0,3.7,0,2.1,3,0,1685.1
"DOM_B05_06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07_08",2.4,0,0,0.2,0,1.3,0.1,0,0.2,0.6,0.1,0,0.1,7.7,8.7,4.3,0,0,0,0,0,0,13.1,5.4,6.8,0.3,0.3,0,0.1,0.1,0.2,2.2,0.9,0.6,0.1,0.2,9.2,0.8,0.4,1.5,0.2,0.1,0.8,1.8,0,78.2,0,0,0,0.6,0,0,4.9,0,154.6
"DOM_B09",2,0,0,0.1,0.1,0.7,0,0,0.1,0.2,0,0,0,0.8,2.5,2.2,0,0,0,0,0,0.1,8.7,2.9,1.5,0.1,0.1,0,0,0,0.3,0.6,0.6,0,0,0.1,7.2,0.5,0.1,1.3,0.2,0.2,0.3,0.6,0,0,0,0,0,0,0,0,1.8,0,35.8
"DOM_C10T12",9.7,0.1,0,0.1,0,167.4,0.5,0,1.5,0,0.1,0,0.1,0.1,0.8,1.4,0,0,0,0.1,0.1,0.6,1.2,0.9,9.3,18.1,1.8,1,1,0.6,0.3,69.8,0.6,0.9,0.1,0.1,3.1,0.3,0.3,1.6,0.4,0.3,0.5,0.7,0,900.9,2.7,0,5.7,3.1,0,87.5,313.9,0,1609.1
"DOM_C13T15",17.1,0.1,0,0,0,41,1134,0,38.1,0,0.3,0,37.2,0.1,2.1,4.7,0,0,0,0.1,0.1,5.1,1.7,1.9,39.1,36.1,10.3,2.4,3.9,3.2,0.7,50.9,5,1.6,14.5,0,0,26.7,17.8,25.6,5.7,0.1,0.5,1.9,0,309.7,0,0,0.7,9.1,0,66.5,4962.2,0,6878.2
"DOM_C16",8.2,0,0,0,0,0.3,0.4,5.9,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.3,0.4,0.1,1.3,2.2,0,0,0,0,0,1.4,0,0,0.8,0,0,2.4,0.9,0,0,0,0,0.1,0,20.5,0,0,0,0.3,0,2.1,18.9,0,66.7
"DOM_C17_18",0,0,0,0,0,0.5,0.6,0,6.2,0,0.1,0,0,0,0.3,0.9,0,0,0,0,0,0.7,0.2,0.2,1.9,1.4,0.5,0.1,0.1,0.2,0.1,3.4,2,0.2,0,0,0,0.1,0.1,2.3,0.6,0,0,0.1,0,23.9,0,0,0.6,-0.9,0,4.5,195.6,0,246.8
"DOM_C19",13.5,0.1,0,0.9,0.1,4.3,0,0.4,0,0.8,0,0,0.1,0.2,0.2,0.2,0,0,0,0.1,0.1,0.3,5.6,1.3,0.5,6,10.3,1.8,3.5,0.7,0,0.7,0.2,0.1,0.1,0.1,0.3,0.1,0.3,1.3,0.1,0.1,0.2,0.4,0,40,0,0,0,0,0,39.8,0,0,134.8
