"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",2612.9,108.1,2.7,1.5,0,25551.5,531.6,998,6.1,3,92.9,305.1,566.2,2.5,7.5,9,12.9,4.3,9.8,13.1,5.8,10.6,1.6,1.5,469.9,43.2,2.6,0.6,1.3,7.6,0.3,4127.3,5.4,3.9,10.6,26.8,6.6,62.4,6.8,41,223.8,614.3,39.4,27.8,0,12261.6,58.1,0.6,579.5,286.9,0,130.8,415.7,0,50313.2
"DOM_A03",0.3,146.7,0,0.1,0,2043.7,0.7,0.3,0.1,0.4,2.8,0.3,0.3,0,0.5,0.2,0.4,0.2,0.2,0.3,0.1,5.1,0.4,0,2.2,2.4,0.1,0,0.3,0.1,0.1,2054.1,0.7,0.8,0.1,1.9,0.4,12.6,0.3,33,122.8,88.7,11.1,2.1,0,2255.8,10.9,0.1,0.8,35.4,0,10.5,189.5,0,7039.7
"DOM_B05_06",0,0,0,0.1,0,0.4,0.4,0,0.3,104.2,6.2,0.1,0.1,18.5,130.6,0.2,0.5,0.2,0.2,0.2,0.1,0.1,189.5,0.7,0.5,3.2,0.2,0,0,0.3,0,4.6,0.3,0.3,0.6,1.5,1.4,5.2,0.3,0.3,1,1.7,0.1,0.7,0,2.2,0.3,0,3.9,2.3,0,0.3,3.7,0,487.3
"DOM_B07_08",2.6,0.5,0,2.9,0.1,26.3,12.8,0.7,25.9,25.7,523.5,1.4,21.4,1548.7,238.5,32.5,37.2,10.3,19.5,13,5.9,7.2,1.6,1,574.2,2.2,0.9,0.4,0.5,0.6,0.1,17.1,0.6,0.3,0.5,0.9,0.7,7.4,0.8,3,1.9,7.6,0.8,2.6,0,28.2,0.1,0.6,6.8,16.2,0,0.3,225.9,0,3460.4
"DOM_B09",0,0,0,0.2,0,0,0,0,0,4.2,0.3,0,0,0.4,1.8,0.1,0,0,0,0,0,0,0.8,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,31.4
"DOM_C10T12",5914.8,349.2,0.5,4.7,0,13153.6,677.9,6.2,57.9,36.6,817.6,179.7,61.7,26,69.1,59.4,136.1,40.2,82.6,93.8,37.4,16.7,16.5,9.4,58,383.8,27.2,6.8,7.7,77.5,2.8,26213.3,43,29.2,101.4,150.8,50.5,484.3,92,125.8,1212.3,1202.7,1134.9,177.7,0,41810.1,139.8,1023.8,53.7,520.8,0,532.6,5051,0,102560.9
"DOM_C13T15",206.6,159.7,1.6,9.6,0,342.3,22664.6,22.7,488.1,106.7,581.3,56.6,1457.7,160.9,356.9,457.9,927.7,268.3,420.5,1354.2,366.6,1228.2,108.7,173.7,556.8,1401.1,409.7,44.7,13.3,761.1,44.7,836.7,115.8,86.9,75.7,651.1,154.3,519,317.9,545.3,271.5,1081.2,241.2,1023.6,0,27461.8,81.2,5.5,622.7,583.9,0,425,13279.6,0,83532.4
"DOM_C16",35.9,127,2.3,6.2,0,80.3,39.6,1433.8,94.2,13.7,92.8,4.4,49.6,99.8,171.3,223.3,74.9,88.9,129.1,229,221.6,726.7,92.7,5.9,1857.6,85.4,11.7,1.6,0.8,245.5,0.3,173.8,6.8,1.4,2.3,6,5.5,156.5,13,9.1,43.1,41.1,43.5,17.1,0,168.8,9.4,1,24.7,40.8,0,19.2,198.4,0,7227.7
"DOM_C17_18",199.2,8.4,0.5,5.8,0,1768.2,817.1,33.7,8108.9,135.8,880.4,347.7,504,240.7,192.7,365.6,879.5,579,307.5,302.3,114.1,175.2,32.8,63.2,278.2,1697.2,136.8,10.7,5.3,215.3,355.4,732.7,1957.5,82.2,282.8,986.8,71,2009.6,153,573.6,1026.3,649.9,234.4,402.7,0,930.8,23.5,1.8,56.1,157.7,0,67.2,3570.5,0,32731.2
"DOM_C19",1143.8,425.6,2,146.7,0.3,608.4,1466,78.9,689.8,7415.6,17604.8,372,3943.1,1257.5,1180.6,1143.3,2034.1,809,624.5,761.3,599.1,217.5,1499.5,176.2,1314.3,1420.3,5198.7,2557.2,3303.1,368.4,267.4,1431.9,196.7,67.2,107,209.1,246.5,1452.6,517.3,453.4,1119.9,926.1,302.2,822.3,0,5656.1,7,0.9,12.1,477.2,0,172.3,58847,0,131653.9
