"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",5.5,0,0,0,0,33.3,0,4.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,-0.2,0,0.8,67,0,523.9
"DOM_A03",3.8,1.4,0,0,0,3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,65.6,0,0,0,0,0,0,0,0,74.9
"DOM_B05_06",0,0,0.8,0.5,0.1,0.3,0,0,0,0.2,0,0,0,0.8,0,0,0,0,0,0,0,2.3,0.9,0,0.4,20.1,3.3,0,0.5,0.5,0.6,3,0,2.4,0,2.7,1,0,0.2,4.7,0.8,0.5,0,0.1,0,24.3,0,0,0,33,0,0,0.6,0,104.6
"DOM_B07_08",0.1,0,2.5,7.9,0.9,1.1,0.1,0.1,0,0.7,0.3,0.1,0.3,5.8,0,0,0,0,0,0,0,0,3.5,0.4,9.7,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,51.5,0,0,0,0,0,0,1.7,0,87
"DOM_B09",0.1,0,6.7,2.9,2.2,0.7,0,0.2,0,0.6,0.2,0,0.2,1,0,0,0,0,0,0,0,0,1.9,0.3,2.9,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,20.3
"DOM_C10T12",2.1,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,181.2,0,0,0,0,0,1.4,7.8,0,200.7
"DOM_C13T15",1.1,0.1,0,0,0,0,6.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.1,0,0,0,0,0,26.1,0,0,0,0,0,1.9,51.6,0,89
"DOM_C16",0.3,0,0,0,0,0.9,0.1,6.6,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.5,0,0.1,0.5,0.5,0,0,0,0,0.1,0.2,0,0.2,0,0.2,0,0,0,0.8,0,0,0,0.1,0,6.8,0,0,0,-0.7,0,0.1,57.1,0,74.8
"DOM_C17_18",0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.3,0,0,1.1
"DOM_C19",3,0.1,0.2,0.4,0,0.8,0.1,0.4,0,0.3,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0.7,0.7,0.4,1,0.3,0.3,0,0.2,0,0,0,0.2,0,0.1,0.1,0.4,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,15.5
"DOM_C20",0.9,0,0.1,0.1,0,0.2,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,2.8,0,0,0,0,0,0.2,0.7,0,6.5
"DOM_C21",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,2,0,0,0,0,0,0.3,0,0,2.8
"DOM_C22",0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1.5,0,0,0,0,0,0,1.2,0,3.7
"DOM_C23",0.1,0,0.1,0.1,0,0.6,0,0,0,0.1,0,0,0,1.1,0,0.1,0,0,0,0,0,0.1,0,0.1,24.9,0.1,0,0,0,0,0,0.1,0,0.2,0,0,0.5,0,0,0.3,0,0,0,0.1,0,1.5,0,0,0,0,0,0,0.2,0,30.6
"DOM_C24",0.1,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.5,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.4,0,0,0.5,0,0,0,0,0,2.6
"DOM_C25",0.2,0,0,0.1,0,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,6.9,0,0,2.9,0,0,0,0.1,0,12.1
"DOM_C26",0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.4,0,0,0,0.2,0,1.9
"DOM_C27",0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.2,0,0,0,0,0,1.3
