"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",412.4,2,0.4,0.2,0,259.8,21.2,30.2,3.8,3.3,11.6,2.3,0.9,1.4,0.2,1.1,1.4,0.6,0.6,1,0.5,8,4.4,1.3,30.3,32.4,5.4,0.6,1.3,2.9,0.1,3.3,2,0.8,0.1,0.5,5.3,2.4,1.6,18.6,1.9,7.4,1.1,2,0,404.4,0,3,26.2,-2.6,0,9.3,145.1,0,1473.8
"DOM_A03",0,0.7,0,0,0,1.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.1,0.1,0.7,0.1,0,0,7,0,0,0,0,0,0.1,0.2,0,11.9
"DOM_B05_06",0.2,0,0.1,0.1,0,0.3,0.2,0.2,0.1,27,3.8,0,0.7,0.2,0,0,0,0,0,0,0,0,8.8,0,0,0.1,0,0,0,0,0,0,0,0,0,0,2.1,0,0.1,0.2,0,0,0,0,0,0.8,0,0,0,0,0,0,4.2,0,49.2
"DOM_B07_08",1.8,0,0,0.1,0,0.4,0.2,0,0,1.1,0.2,0,0,10.7,0,0,0,0,0.1,0,0,0,0.1,0.5,4,0.4,0.8,0,0.1,0.4,0,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0.2,0,0.3,0,0,0,0,0,0,0.9,0,22.9
"DOM_B09",0.1,0,0.6,0.2,0.1,0,0,0,0,5.7,0.1,0,0,0.3,0,0,0,0,0,0,0,0,0.5,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,9.5
"DOM_C10T12",33.5,0,0,0,0,225.4,1.4,0,0.1,0,5.5,0,1.6,0,0.3,0.4,3.1,0,0.4,0.2,0,0.1,0.6,1.8,19,29,0,2.3,1.6,4.2,0.1,24,0.4,6.6,0,1.1,0.2,2.2,0.9,24.7,3.1,36,1.4,0.1,0,796.7,0,9.9,0,0,0,13.3,121.4,0,1372.8
"DOM_C13T15",2.4,0.1,0.1,0.1,0,5.3,157.9,3,0.7,0.9,1,0,0.2,0.4,0.1,0.1,1.3,0.3,0.3,0.5,0.4,4.8,9.6,0.6,7.9,32.5,6.6,0.7,2,1.9,0,1.5,1.4,1.3,0,0.1,3.1,0.6,0.4,18,0.7,2.6,2.2,6.2,0,231.4,0,0.3,1.8,0.2,0,15.9,375.2,0,904.3
"DOM_C16",2.9,0,0.3,0.1,0,7.2,4.1,24.9,7.8,0.3,8.9,0,0.5,0.3,0.1,0.3,1.2,0.5,0.3,1.1,0.5,22.4,3,0.5,46.6,3.9,1.2,0.1,0.1,0.4,0.3,0.2,4.8,0,0.1,0.5,3.6,3.5,2,4.5,1.6,0.4,0.1,0.5,0,20.7,0,0.5,2,-0.1,0,1.2,92.9,0,279.1
"DOM_C17_18",2.7,0,0.1,0.2,0,8,1,1.7,4.6,0.8,1.8,0,0.2,1,0.1,0.1,1.4,0.3,0.4,0.5,0.2,3.4,3.3,0.4,5.4,14,1.4,0.3,0.5,1.4,0.7,0.5,8.3,0.5,1.1,4,8.4,5,1.2,10.5,7.9,2,4,2,0,17.7,0,0,0.6,0,0,1.4,21.1,0,152.2
"DOM_C19",9,0,0.5,0,0.1,4,7.4,0.4,1.1,19,1,0,0,1.6,0.1,0.1,0.1,0.1,0,0.4,1.2,0.7,0.8,1.2,19.5,13.6,1.1,0.3,0.6,5,0,0.5,6.1,0.3,0,0.1,3.3,1.8,1,5.3,0,4.8,1.3,2,0,321.6,0,0,18.1,-0.2,0,9.9,116,0,581.3
