"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",54.8,0,0,0,0,125.6,0.7,6.2,0.8,0,1.7,0.6,62.2,0.5,1.9,0.7,0.1,0.1,0.7,0.1,0,0.4,12.3,0.1,2.2,3.9,0.3,0.1,0.7,0.2,0,4.7,0.1,0.2,0.2,0.2,0.9,1.1,0.7,0.5,0.2,1.7,0.2,0.5,0,57.9,0,0.2,11.3,0.2,0,7.3,279.3,0,644.1
"DOM_A03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B05_06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07_08",0,0,0,1,0,0,0.1,0,0.1,0,0.6,0,0.7,22.6,41,0.5,0,0,0.4,0,0,0.1,11.2,0.2,9.4,0,0.4,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,95.2
"DOM_B09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",27.7,0,0,0.4,0,97.6,0.5,0.3,3.2,0,15.1,5.7,34.9,4.7,24.7,7.7,1.9,1,10,0.5,0.1,2.1,0.6,0.2,62.5,7.9,0.4,4.1,29.9,3.9,1,166,0.1,0.2,0,0,11.4,10.3,17,6.7,10.2,54.4,1.7,2.3,0,887,0,0.2,0,0.1,0,23.8,155.7,0,1695.6
"DOM_C13T15",0.7,0,0,0.1,0,0.7,126.6,0.1,2,0,0.4,0.2,86.4,3.7,13.7,5.5,1,0.6,6.7,2.8,0.2,5.8,0.4,0.6,8.6,30.6,2.3,0.3,2.6,0.6,0.8,0.2,0.1,0,0.1,0,1.3,3.1,4,2.7,0.1,2.5,0.3,3.5,0,481.1,0,0.2,0,-0.3,0,41.4,589.9,0,1434.1
"DOM_C16",0.1,0,0,0.3,0,1.1,0.3,53.2,2.8,0,0.4,0.1,18.7,7.6,31.1,11.1,1,1.1,8,1.4,0.6,14.5,1,0.2,112.9,5.7,0.2,0,0.3,0.8,0.1,0,0.1,0,0.1,0.2,6.2,0.6,1.1,2.2,4.7,0.2,0,0.6,0,9.1,0,0.1,5.9,-0.1,0,3.8,236.9,0,546.5
"DOM_C17_18",0,0,0,0,0,2.3,0,0.1,48.1,0,0.7,0.5,27.4,4.2,11.2,5.2,2.4,1,7.1,0.6,0.1,1.2,0.1,0,0.8,126.1,0.4,0.1,2.7,1.4,3.1,0,3.4,0.3,22.4,1.9,4.1,4.7,15,0.6,0.1,0.2,0.1,0.2,0,3.1,0,0,0,-2.7,0,12.3,55.3,0,368.1
"DOM_C19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C20",0.3,0,0,0.1,0,0.3,7.2,1.6,1.3,0,3.3,0.4,115.6,3,13.1,3.4,0.8,0.7,2.8,0.3,0.1,0.5,0,0.2,1.5,2.5,0,0,0.1,0.1,0,0,0.3,0,0.2,0.1,0.5,0.4,0.5,0.1,0.1,0.3,0,0.2,0,11.8,0,0,0,0,0,1.8,100.7,0,276.2
"DOM_C21",0.2,0,0,0,0,0.1,0,0,0,0,0.3,3.7,3.5,0.1,1,0.1,0.1,0,0.3,0,0,0,0,0,0,0.9,0,0,0.1,0,0,0,0,0,0.1,0,0,0.5,0.1,0,0.1,18,0,0.2,0,11.3,0,30.9,0,0,0,3.3,36.6,0,111.8
"DOM_C22",0,0,0,0,0,2.2,18.2,0.2,2,0,0.9,0.4,284.6,5,12.9,10.5,4.2,3.8,22.6,4.9,0.3,2.9,0,0,11.3,28.6,3.8,0.1,1.7,0.6,0.3,0,0.9,0,0.9,0,1.2,0.3,1.4,0,0,0,0,0,0,76.2,0,0,0.1,-1.1,0,0,3791.5,0,4293.5
"DOM_C23",0,0,0,2.6,0,1.5,0.4,0.3,0.1,0,0.4,0.3,26.7,114.2,65.3,13,3.1,2,9.7,1.7,0.3,1.3,0.1,0,182,8.6,1.7,0,0.3,0.2,0,0.1,0,0,0.4,0,5.7,1.1,0.7,2.1,0,2.8,0.1,0.3,0,12.7,0,0,0,-0.2,0,0,731.1,0,1192.9
"DOM_C24",0,0,0,0,0,0,0,0,0.1,0,0.1,0,5.1,1.4,326.7,52.8,1.5,3.7,30.7,2.1,0.3,1.5,0,0,5.8,0.7,0.1,0,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,44.2,0,0,0,-18.4,0,0,5343.9,0,5802.8
"DOM_C25",0,0,0,0.4,0,0.5,0.4,0.3,0.2,0,0.2,0,11.3,2.2,47.2,48.6,1.9,2.1,33.7,2.3,0.4,2.8,3.4,1.7,16,5.7,1.2,0,0.3,0.2,0,0.1,0.2,1,0.3,0,0.7,3.4,0.5,1.2,0.3,0.6,0.1,0.5,0,13.5,0,0,16.3,-3.7,0,0,1152.8,0,1371.2
"DOM_C26",0,0,0,0,0,0,0.3,0,0.2,0,0,0,2.5,0.3,3.3,2,34.1,2.4,9.7,0.8,0.2,1.8,0.5,0.1,2.8,6.2,0.1,0,0.5,0.2,0.2,0,0.3,3.4,8.9,2.6,0.2,2.2,0.8,1.5,0.1,5.1,0,0.2,0,14.3,0,1.7,85.4,-8.4,0,8.1,290.3,0,484.8
"DOM_C27",0,0,0,0.1,0,0.1,0,0,0.1,0,0,0,3.1,0.6,10.1,4.2,7.3,12.6,23.3,1.9,0.2,3.1,0.5,0,35.6,5.5,2.3,0,0.5,0.2,0.1,0.3,0.1,0,1.4,0.1,0.7,1.7,0.6,0.6,0,0,0,0.1,0,13.8,0,0.1,56.1,-4.7,0,0.7,42.3,0,225.4
"DOM_C28",1.9,0,0,1.3,0,0.5,3.1,0.8,0.8,0,0.3,0.1,16.9,4.6,41.6,15.4,3.6,2.9,179.3,4.7,1,8.8,5.4,2.1,28.5,15,7.2,0.2,1.7,0.7,0.2,0,1.9,3.1,1.9,0.7,1,3.5,2.3,0,0.2,1.6,0.2,1.1,0,10.3,0,0,351.4,-9.8,0,0,1275.2,0,1993.1
"DOM_C29",0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.2,0.7,0.5,0.1,0.1,2.4,8.2,0,0.4,0,0,0.3,3.6,0.1,0,0.4,0.1,0.1,0,0,0,0.1,0,0,0.1,0.4,0,0,0,0,0,0,36.3,0,0,164.7,-33.2,0,0.3,26.5,0,213.3
"DOM_C30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.4,0.2,0,0,0,0.1,0.2,0.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,76.4,-69.1,0,0,16.5,0,29.3
"DOM_C31T33",0,0,0,0,0,0.7,0,0.1,1.1,0,0.4,0.2,14.3,5,46.8,9.6,2.4,1.2,15.1,1,0.4,10.1,0.2,0,1.2,20.6,0.6,0.9,20.1,1.4,0.5,0,0.2,0,3.2,4.4,2.2,1.2,4.4,0.1,0.1,16.6,0,0.1,0,39,0,5.4,38.6,-1.4,0,6.3,96.9,0,371.4
"DOM_D",0.7,0,0,1,0,2.8,44.6,10.9,5.5,0,3.8,0.6,99.7,36.8,401.6,29.8,4.9,2.6,25.4,2.4,0.4,3.4,254.4,40.9,15.5,71.5,9,0.3,3.6,4.5,1.6,1.4,2.4,5.8,2,18.3,24.6,7.8,5.9,11.3,1.9,21.6,1.8,3.3,0,131.3,0,0.2,96.3,0.6,0,0.7,298.8,0,1714.3
"DOM_E",0.5,0,0,1.1,0,2,2.8,1.3,1,0,0.3,0.1,11,3.3,198.4,6.4,0.5,0.3,3.6,0.3,0,0.5,19.1,5.6,26.6,43.5,3.1,0.1,0.9,0.7,0.3,1,1.2,1.3,0.8,9.4,7.3,2.3,1.7,8.7,0.8,4,0.5,1.3,0,50.5,0,2.7,61,-2.5,0,5.1,18.7,0,509.2
"DOM_F",0.7,0,0,0.6,0,3,2.6,1.5,1.7,0,0.8,0.3,29,8.2,54.9,18.3,2.7,1.5,16.2,0.9,0.3,4.8,76.7,62.9,456,103.4,78.8,0.5,6.4,7.8,1.9,1.8,3.8,6.3,11.7,48,161,19.2,11,77,3.4,23.3,1.8,9.6,0,64.8,0.2,1.5,5735.5,0,0,16.2,67.6,0,7206.1
"DOM_G",90.2,0,0,12,0,293.5,158.6,18.1,35.7,0,40.9,21,604.4,120.4,616.8,129.6,52,22.2,202.5,27.3,2.9,35.8,58.3,17.5,477.6,2281.4,341.9,15.7,220.4,33,23.8,285.1,66.5,119.1,195.5,120.9,63.5,204.5,154.2,54.9,30.4,183.6,17.9,20,0,2806,0.4,68.7,421.9,4.2,0,204.4,6922.4,0,17897.3
"DOM_H49",3.3,0,0,0.5,0,9.6,2.6,1.1,2.1,0,1.9,0.6,36.4,13.2,53.7,9.2,2.1,1.2,11.4,2,0.2,1.9,14.9,3.3,32.7,55.5,16.9,0.8,10.8,5,2.4,7.3,1.7,2.5,2.9,5.1,9.7,7.2,4.9,4.7,1.9,5.9,1.2,1.2,0,87.3,0,130.3,306.1,-206.9,0,419.5,1444.3,0,2532.1
"DOM_H50",0.4,0,0,0,0,1.3,0.3,0.1,0.4,0,0.4,0.1,7.2,3.4,25.8,3.2,0.7,0.4,3.9,0.4,0.1,0.4,1.3,0,0.8,26.9,0.5,11.7,3.2,3.8,0.8,0.7,0.3,0.4,1,0.1,0.3,0.6,2,0.1,0.1,0.5,0.2,0,0,9.4,0,0.3,4.4,8.6,0,67.8,24.4,0,218.8
"DOM_H51",1.7,0,0,0.1,0,5.3,1.4,0.5,0.9,0,0.8,0.4,14.4,3.6,20,3.9,1.8,0.7,6.1,0.9,0.1,1.1,3.9,0.3,5.9,28.1,3.2,0.4,46.2,3.2,3.1,3.9,0.9,1.1,5.7,2.2,1.3,7.2,10.7,0.5,0.3,2.3,0.5,0.3,0,41.3,0,0.8,22,21,0,6.1,2220.4,0,2506.4
"DOM_H52",0.1,0,0,0,0,0.3,0,0,0.2,0,0.1,0,3.1,0.9,6.4,1.1,0.2,0.1,1.2,0.2,0,0.2,0.1,0,0.1,18.7,3.6,1.4,18.5,3.4,0.4,0.1,0.1,0,0.4,0,0.1,0.2,0.5,0.9,0,0.1,0.1,0.1,0,1.8,0,0,0.6,2.7,0,0,449.9,0,518
"DOM_H53",0,0,0,0,0,0.1,0,0,0.1,0,0,0,1.2,0.3,1.3,0.6,0.2,0.1,0.7,0.1,0,0.1,0.3,0,0.3,13.5,0.2,0,0.5,0.3,5.3,0,0.3,0.8,1.6,11.2,0.5,1.6,1.3,1.9,0,0.4,0,0.2,0,0.3,0,0,0,1.3,0,2.3,268.7,0,317.7
