"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",607.9,0.9,0,0.3,0,269.6,1.1,434.2,0.4,0,61.8,0.4,0.3,1.1,0.8,0.6,0.1,0.1,0.8,0.1,0.2,5.3,8.7,0.8,5.8,8.1,1.5,0,0.6,1.9,0.1,3.5,0.2,0.3,0.3,0.4,2.7,2.4,3,9.9,8.9,2.8,2,1.6,0,555.3,0.8,20,7.6,53.3,0,6,739.6,0,2834.1
"DOM_A03",0.5,2.2,0,0,0,12.9,0,0.4,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,1.9,0,0.5,1.6,1.3,0.1,1.6,0.5,0,0.3,0.1,0.1,0,0.1,0.1,0.2,0.4,0.4,0.1,0.4,0.1,0.1,0,15.7,0,0.4,0.1,1,0,0.4,42.5,0,86.8
"DOM_B05_06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.7
"DOM_B07_08",2.3,0.3,0,16.8,0.1,1.6,0.1,0.1,0,0,1.8,0,0.1,41,8.5,0.6,0,0,0,0,0.2,1.4,82,1,62.5,0.5,0.3,0,0,2.9,0,0.1,1.4,0,0.5,0,1.2,0.1,9.5,1.4,1.5,0.4,0.4,0.2,0,3.4,0,0,0.6,6.8,0,0,4,0,255.5
"DOM_B09",0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,2.6
"DOM_C10T12",2,2.5,0,0,0,293.5,0.1,0,0,0,4.8,0.3,0,0.2,0.1,0.3,0,0,0,0,0,0,0,0.1,0.2,20,2.1,0.1,1.7,0.2,0,85.9,0.6,0,1.3,0.5,0.9,3,0.2,1.8,17.2,8.4,5.8,2.4,0,1399.1,10.1,2.9,0,50.5,0,15.1,640.7,0,2575.1
"DOM_C13T15",1.4,0.1,0,0.1,0,1.4,51.9,0.6,0.5,0,0.1,0.1,0.2,0.8,0.3,0.5,0.6,0.2,0.1,0.1,0.2,4.7,1,0.3,2.3,6.6,0.7,0,0.2,1.9,0.1,0.5,0.3,0.4,0.1,0.1,0.8,1.5,3.4,2.2,0.9,2.3,1.3,3.2,0,179.5,0,0.1,1.9,12.5,0,6.8,205.3,0,499.9
"DOM_C16",121.9,0.1,0,2.2,0,8.8,0.8,589.1,2.9,0,0.3,0.2,0.3,7.4,6.7,4.5,0.4,0.7,0.6,0.3,0.7,58.6,28.1,29.4,113.7,21.6,2,0.1,0.8,6.2,0.1,0.9,0.2,0.3,0.3,0.4,17.1,2.7,2.3,11.6,3.8,2.6,1.5,2.2,0,81,0,6.4,11.5,44.5,0,1.4,1370.7,0,2570.4
"DOM_C17_18",3.2,0.1,0,0.1,0,21.6,0.7,10.6,57.8,0,1,1.3,1.1,2.4,0.4,0.5,0.1,0.3,0.2,0.1,0.1,2.6,1.1,0.9,2.9,24.1,2.5,0.1,1,1.9,13.2,1.7,46.2,2.1,0.4,3,2.2,32.2,7.8,12.3,6.9,1.8,4.8,3.5,0,58.5,0.1,0.8,1.3,6.6,0,2.7,55,0,401.9
"DOM_C19",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1.1
"DOM_C20",32.6,0.1,0,1.4,0,2.4,2.1,15,4.5,0,6.3,2.8,8.9,7.1,0.7,1.8,0.1,0.3,0.8,0.1,1.1,2.9,3,0.8,9.4,3.8,4.4,0.1,0.7,1.3,0.1,0.6,0.2,0.2,0.2,0.2,3.1,2.4,3,1.9,3.1,12.4,0.7,2.4,0,66,0,6.5,7.2,5.9,0,0.7,113.5,0,344.7
"DOM_C21",4.5,0,0,0.3,0,0.9,0.3,1,0.2,0,1.1,1.9,0.1,0.4,0.6,0.4,0.1,0.1,0.1,0.2,0.1,0.2,0.7,0.1,3,0.4,0.4,0,0.1,0.2,0,0.3,0.1,0,0.1,0.1,0.2,1.4,0.4,0.2,0.1,22.4,0.2,0.1,0,50.8,0,23,7.3,3.5,0,0.5,109.1,0,237.4
"DOM_C22",1.1,0.3,0,1.1,0,17.2,0.2,2.9,5.1,0,0.6,0.5,17.5,0.9,4.5,4.5,0.6,1.3,1.4,1.3,0.2,2.5,1.9,3.8,37.9,8.5,15.6,0,0.1,1.9,0.1,0.7,0.1,0,0.2,0.7,1.4,0.9,1.9,0.3,0.6,0.3,0.1,0.2,0,25.5,0,0.1,1.6,5.6,0,0.1,99.2,0,273.2
"DOM_C23",1.2,0.1,0,1.6,0,26.5,3.6,2.3,0.3,0,3.7,0.5,4.9,44.7,15.5,2.9,2.4,2.8,0.2,0.1,0.5,8.5,31.7,4.7,258.7,10,2.9,0,0.4,3.8,0.2,1.2,0.3,0.1,0.3,0.8,21,2.1,2.3,2.1,2.7,3.9,0.8,0.5,0,49.2,0,0.8,2.5,14.5,0,0.2,156.8,0,696.8
"DOM_C24",0.1,0.1,0,0,0,4.2,0,0.3,0.4,0,0,0,2,2.3,162.1,114.7,0.5,3.3,15.4,6.1,3.7,4.9,1.5,0.8,23.4,1.2,0.2,0,0,0.2,0.1,0.1,0,0.2,0,0.1,0.1,1.3,0.2,0,0.1,0.1,0.2,0.2,0,0.8,0,0,8.9,11.7,0,0,543.3,0,914.8
"DOM_C25",2.3,0.1,0,0.2,0,23,0.2,11.5,2,0,0.2,0.3,1.3,4.7,7,6.4,0.5,4.7,7.2,10.2,17.8,13.1,15.8,1.1,209.2,26.3,4.1,0.1,0.9,5.9,0.1,1.5,0.4,0.7,0.4,0.8,12,7.4,5.1,10,3.6,2.9,2.7,2.3,0,29,0.2,1.3,36,13.6,0,0.5,268.1,0,775
"DOM_C26",0.2,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0.1,0,6.1,0.3,0.1,0,0.1,0.4,0.8,0,0.8,4.1,0.2,0,0.2,0.4,0,0.1,0.1,3.6,2.1,0.5,0.5,2.2,0.4,1.6,0.5,0.4,0.3,1.8,0,47.2,0.1,1.3,28.2,3.1,0,0.5,92.6,0,201.3
"DOM_C27",3.1,0,0,0,0,0.3,0.1,0.7,0,0,0.1,0,0,0.1,0.4,0.1,0.4,10.2,1.4,0.1,2.6,0.7,2.2,0.3,10.9,0.5,0.3,0.1,0.1,1.1,0,0.1,0.1,0.6,0.1,0.3,1.5,1.1,1,0.6,0.8,0.2,0.5,0.4,0,26.1,0,4.2,35,2.6,0,0.4,102.1,0,213.4
