"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",1716.7,0.6,0.1,5.9,0,6079.1,52.4,83.8,43.5,0,75.3,17.8,5.1,2.2,0.4,0.2,0,0,0,0.4,3.1,6.7,0,0,4.3,122.5,1.4,1,0.7,0.8,0,110.3,1.6,0,0.4,0,0.7,2.6,7.1,7.4,4.3,3.5,3.4,9.2,0,6614,0,118.9,517.6,1832.6,0,52.7,1242.2,0,18752.4
"DOM_A03",0,67.9,0,0,0,306,0.6,0,0,0,3.4,1.3,0,0,0,0,0,0.8,0,0,0,0,0,0,0,4.6,0,0,0,0,0,20.8,0,0,0,0,0,0,0,1.8,0.4,0.6,0,0,0,572.2,0,0,0,109.3,0,4.4,311.9,0,1406.2
"DOM_B05_06",0,0,0,0.1,0,0,0,0,0,21.8,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,2.3,0,0,0.1,0,27.3
"DOM_B07_08",0.1,0.1,0,1.3,0.1,2.6,0.1,2.8,0.2,4.6,887.7,38,0.4,41.2,95.5,98.7,0.1,94.9,0.2,0.6,0.1,0.6,0,0,142.7,3.2,0,0,0,0,0,0.1,0.1,0,0,0.1,0,0.1,0,7.5,0,0,0,0.1,0,19.6,0,0,33.2,209.6,0,0,1532,0,3218.3
"DOM_B09",0.5,0.1,0.1,10,0.1,0.2,0,0,0.1,23.6,1.2,0,0,2.3,1.6,0.1,0,0,0,0,0,0,1.6,0.1,7.1,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,13.9,0,63.3
"DOM_C10T12",958.2,3.8,0,0,0,1921.9,6.4,0.1,0.5,0,4.5,0.9,0.2,0.4,0,0.1,0.1,0,0,0,0,0.3,0,0,0,61.8,0.9,0.8,1.4,0.6,0,444.3,2.3,0,0.1,0,0.1,0.4,0.6,28.4,8.5,5.2,2.7,8.2,0,10463.4,0,0,0,1749.9,0,259.8,1671.3,0,17608.1
"DOM_C13T15",6.9,0.5,0,1,0,5,500.9,1.5,2.4,2,2.7,0.5,5.8,0.9,0,0.6,0.4,1.8,0.8,3.2,0.1,22.3,0,0,5.8,7.2,0.7,0.2,0.5,0.3,0,1.9,1.2,0.1,0.2,0,0.3,1.2,2,11.5,1.5,1,0.5,1.8,0,1044.5,0,0,23.6,277.6,0,148.2,3413.5,0,5504.9
"DOM_C16",2.9,0,0,0.4,0,3.7,2.6,73.2,5.7,0.5,0.3,0,1.2,4,0.3,7.6,0,2.6,0.3,2.7,7.3,34.2,0,0,265,10.1,0.1,0,0,0.1,0,0.1,0.7,0.1,0.2,0,0.6,0.8,1.9,0.1,0,0,0.6,2.3,0,20.5,0,0,52.9,49.6,0,5.9,30.6,0,592
"DOM_C17_18",2.8,0.4,0.1,7.1,0,150,23.6,0.8,168.7,1.3,26.2,7.3,6.1,31.7,2.6,3.2,2.3,10.4,2.1,5.7,0.4,5.2,1.4,0.2,11.4,61.3,2.6,0.5,1.2,1.8,0.8,5,40.4,5.4,1.3,20,1.2,8.4,10.9,25.1,28,12.7,6,19.4,0,170,0,0,15.1,116.9,0,19.6,116.1,0,1160.5
"DOM_C19",148.8,68,1.1,113.2,0.2,137.3,11.2,0.9,7.3,3,69.4,3.2,2.6,166.8,29.9,9.3,1.1,2.7,1.2,22.8,0,7.1,167.7,15,244,153.8,285.4,78.5,228,36.8,4.4,15.8,4.1,16.5,0.8,0,2,4.1,11.7,108.3,18.8,13.3,3.8,12.6,0,962.1,0,0,0,514.6,0,45,508.2,0,4262.7
