"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",3258.3,9.7,0.2,0.4,0.1,15033.1,765.7,1226.6,1.5,0.3,170.8,46.5,147.2,57,0.3,0.1,2.4,0.3,0.1,0.8,0.2,24.7,0.1,0.1,165.8,555.3,0.5,0.2,0,0,0,17.3,0,0,0,0.3,4.8,0.3,0.6,2.9,16.6,2.7,0.3,0.4,0,11021.5,33.3,0,1080.9,863,0,84.4,3634.3,0,38231.9
"DOM_A03",0.1,4.3,0,0,0,281.5,1.3,0,0.2,0.1,0.3,1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.4,0,1,0,0,0.5,8.5,0.1,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0.1,0,1,0.2,0,0,1022.5,9.5,0,6.1,44.5,0,8.9,124.8,0,1518.2
"DOM_B05_06",0,0,1164.2,0,67.3,0,0,0,0,14960.4,9295.8,1653.6,0,0.5,77.6,0,0,1.7,0,0,0,53.2,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1039.1,0,0,20462.9,0,49821.9
"DOM_B07_08",22.6,17.2,3.6,145.2,620.3,81,4.3,0.2,11.9,19,226.3,0.7,2.3,1443.7,1091.5,1.4,3.6,6.6,9.2,7.8,0.1,42,338.7,4.5,2132.2,5.8,3.5,0,0,2.1,0,32.9,0,0,0,0,0.6,0.1,0.2,2.5,0.1,0.1,0.1,0,0,0,0,0,44.1,209.4,0,0,910.4,0,7447.8
"DOM_B09",0,0,1008.9,22.9,10.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.1,0,0,0,0,0,0,0,0,5308.7,0,0,0,2.6,0,6428.6
"DOM_C10T12",1751.9,30.7,5.3,10,3.5,7616.8,293,1.1,39.4,6,128.5,51.4,16.3,14.2,20.5,13.4,32.1,13,8.7,26.7,1.5,12.5,7.7,2,34.6,295.4,36.2,2.1,2.5,6.4,0.2,961.2,12.6,4.2,7.6,25.1,10.3,28.1,31,44.6,27.3,70.5,38.5,12.2,0,68550.9,71.2,0.4,162,1551.5,0,413.5,3924.6,0,86430.8
"DOM_C13T15",40.7,6.1,0.5,2.3,1.2,126.8,4079.1,3.4,190.5,11,48.3,1.2,93.8,43.9,49.7,41.3,167.8,45.4,25.9,1181.4,14,388.4,9.1,4.3,40,357.1,94.4,40.3,10.8,24.9,1.7,88.8,27.2,2.5,2.8,8.5,13.6,27.4,65,119.5,18.5,90.2,27.3,18.5,0,8591.9,25.1,0.1,47,426.2,0,267.3,7390.1,0,24402.4
"DOM_C16",19.2,0.1,5.1,27,42.7,36.2,15.2,240.5,17.7,2.9,15.9,2.5,9,48.9,18.5,26.7,208.8,27.7,14.3,48.5,25.8,703.1,0.1,0.3,619.5,863.6,0.9,0.2,1.9,1.7,0.6,0.7,0.6,4.2,0.2,1.3,5,1.2,1.6,0.8,0.5,3.9,1.6,0.9,0,336.2,4.7,0,9.1,76.1,0,13.6,217.1,0,3724.4
"DOM_C17_18",44.5,0.4,0.6,1.3,0.9,626.9,171.3,4.7,2088,12.4,244.3,34.1,120.8,247.5,35.7,85.1,387.6,144.3,51.8,214.3,9.6,212.4,7.9,3.5,58.8,437.9,120.3,35.2,8.8,109.5,30,137.1,100.6,12.2,6.8,216.2,496.7,401,496.6,284.7,106,105.4,42.2,51.7,0,2304.5,8.3,111.7,29.4,223.1,0,34.3,1120,0,11838.9
"DOM_C19",391.3,118.6,181.5,282.3,75.8,623.8,107.6,25.5,156.9,1020.8,659.8,26.6,116.2,535.8,528.2,80.3,54.5,65.6,37.7,110.2,9,133.5,825.3,48.6,789.9,150.5,5497.1,50.6,671.7,58.2,33.4,300.5,22.1,273,2.6,5.2,250.8,139,105.9,504.4,30.8,111.1,30.7,67.1,0,10100.7,0.6,0,23,592.7,0,160.9,1630,0,27818.1
"DOM_C20",967.7,50.2,1326,104.5,236.1,1089.9,568.2,30.1,557.3,796.9,5072.8,555.2,2457.4,708,325.7,227,650.8,339.9,237.1,520.5,13.2,488.6,1552,155.6,1015.5,510.2,165.6,1.1,47.1,115.1,3.7,397.7,94.7,10,23,18,707.9,306.1,336,53.3,49.4,161.4,101.3,286,0,12599.2,14.8,2.6,76.9,905.3,0,43,3187.6,0,40263.3
"DOM_C21",57.7,0.4,8.6,1.1,2.5,92.4,5.5,0.3,11,5.9,367,2250.3,16.8,5.7,2.4,4.2,28.6,11.7,8.4,35.6,0.6,12,10.6,1.2,9.5,53.4,3.2,0.9,1.1,6.5,0.5,4.4,3.5,11.3,0.9,4.2,55.5,28.2,20.4,197.9,3.1,540.2,7.7,4.7,0,5791.2,11.4,300.9,41.4,133.9,0,42.1,1735.3,0,11953.7
"DOM_C22",102.3,0.3,9.9,17.7,1.6,789.9,165.3,5.8,155.3,25.4,142.2,13.4,268.4,46.1,20.5,105.3,797.2,393.5,97.9,1919.7,14.6,357.7,6.7,7.5,954,427.8,179,5.8,109.3,27.8,1.2,114.2,11.2,4.6,7.4,4.7,31.4,94.8,107.2,13.9,9.4,57.4,8.4,42.7,0,2029.8,0.9,0.2,109.6,225.9,0,4.3,2835.6,0,12882.8
"DOM_C23",19.6,1,2.4,33.7,111.7,590,12.5,6.4,18.1,5.6,51.9,10.5,20.1,1139,41.5,106.9,336.4,167.1,40.6,394.9,23.2,153.3,2.1,29.1,5742,210.8,89.8,1.3,17.3,8.2,10.5,83.3,18.2,1.8,0.3,2.1,58.7,5.2,24.9,47.1,17,32.2,5.1,27,0,3440.5,0.8,0,39.6,290.2,0,1.4,1745.9,0,15238.6
"DOM_C24",34.6,0.4,31.1,12.5,253.9,81.4,18.8,2.3,22.9,3.5,59.8,2.6,160.6,138.8,5753.9,2746.8,928.3,2047.4,1087.1,1887.2,140.1,643.7,6.4,41.5,4250.5,99,20.3,0.8,5.3,2.5,0.8,5.7,85.3,2.8,7.3,6,119.8,8.5,15.6,17.4,2.3,2.6,1.1,3.1,0,331.8,2.6,0.1,229.4,501,0,1.1,4799.6,0,26627.6
"DOM_C25",78,0.7,9.1,17.1,62.9,223.1,50.7,7.2,16.2,100.4,55.9,1,108,40,231.5,780.9,436.5,443.5,287.2,1374.9,40.5,218.4,28.3,44.1,1758.5,366.2,96.5,1.1,8.8,21,41.8,33.7,28,28,2,110,69.5,182.1,125.3,45.9,15.9,14.8,9.8,57.3,0,2249.1,5.2,0.1,545.4,269.1,0,2.7,3825.3,0,14569.3
"DOM_C26",17,2.2,14.7,5.9,6,76.3,131.2,1.2,39.2,21,73.6,6.6,78.7,49,47.9,279.7,730.9,1287.1,635.8,3707.3,48.8,953.9,66.9,9.3,373,3234.1,107,2.4,14.5,68.2,37.7,40.3,194.6,1339.8,45.4,42.9,214.8,289.1,477.5,322.6,109.1,872.1,24.6,13.2,0,7853.5,24.7,2.3,3529.7,2028.3,0,138.1,40276.6,0,69966.6
"DOM_C27",6.2,1.7,4,7.2,2.9,23.7,31.5,0.6,16.2,9.4,15.2,1.2,34.1,9.7,52.3,85.5,1473.8,1209.2,230.6,1479.2,35.8,121.1,24.4,3.1,648.7,238.6,26.1,1.4,9.2,5,1.8,13,14.4,170.2,2.7,6.5,77.4,12.9,31.5,39.5,7.4,40.6,4,5.1,0,2070,3.5,0.1,1235.2,264.5,0,26.2,9587.7,0,19421.9
"DOM_C28",13.9,2.4,5.5,43,15.4,54.5,34.9,4,19.6,47.1,22.8,1.8,36.2,24.6,71.2,120.2,429.3,183,437.7,556.1,34.1,129.8,18.6,11.2,308.7,162.4,107,11.2,10.7,24.8,3,6.7,13.2,10.2,2.6,12.9,20.7,15.8,41.1,18.9,6.7,8.7,8.2,13,0,648.5,7.5,0.1,4539.9,234.9,0,3.9,4116.1,0,12674.3
"DOM_C29",54.4,0.4,3.2,147.9,4.8,229.2,118.2,4.1,49.9,10.2,70.4,2,64.4,105.6,203.3,120.8,282.2,221.9,115.6,5065.1,28.9,119.8,15.9,15.3,185.8,778.1,1291.3,31,99.6,87.6,7.6,68.7,39.6,67.4,8.5,73.4,54.3,96.4,173.9,61.7,43.3,49.3,36.2,78.7,0,17740.9,5.8,0.1,6354.4,926.9,0,37.9,29699.4,0,65151.6
"DOM_C30",0.6,0.4,0.1,0.9,0.5,4,1.4,0.1,0.8,0.9,1.3,0.1,1.5,3,18,9.3,35.3,19.6,8.4,327.9,224.9,11.1,0.5,0.4,21.7,10.4,3.8,0.3,48.6,0.5,1.5,12.7,0.5,1.2,0.1,0.8,1.3,1.1,1.5,3.7,0.4,1.1,0.4,1.3,0,271.5,0.3,0,748.3,12.9,0,0.6,1217.2,0,3034.6
"DOM_C31T33",63.2,1.1,70.3,74,10.7,149.5,286.3,7.9,64.9,16.3,114.4,8.2,56.9,102.7,172,76.2,386.7,142.1,53.9,359.8,30.2,498.1,10.3,66.2,439,373.9,559.7,23.6,55.8,60.2,3.7,70.4,34.7,69.3,8,143.3,110,57.3,86.2,162.8,42.6,278.2,56.7,51.3,0,5276.6,13.8,0.7,825.8,107.6,0,205.1,4513.9,0,16452.2
"DOM_D",354.1,4.3,37,356.7,16.2,850.1,323.6,29.9,307,7.6,361.4,25.1,278,545.1,875.6,193.3,190.2,172.5,86.4,409.7,28.1,156.5,1196.3,332.3,179.5,1416.6,220.9,5.4,14.6,121.9,11.9,1093.2,84.8,108.3,13.9,123.2,954.6,134.8,188.5,780.4,238.3,378.5,106.9,134.4,0,7999.8,18.2,0,0.2,0.4,0,0,205.8,0,21672.5
"DOM_E",87,4.9,11.6,13.2,1.9,410.5,54.1,1.2,41.9,6.5,64.3,3.6,34,67.8,34.6,32.3,44.2,19.2,18.5,44.8,1.3,31.2,6.4,25.8,158.5,19.8,123.6,21.6,25.3,24,0.6,264.4,33.6,2.7,5.4,24.6,44.3,62.8,43.7,99.1,109.7,154.7,54,42.3,0,1087.9,180.6,0,333.1,1.3,0,1,20.4,0,3999.5
"DOM_F",96.2,2,62.8,77,31.3,187.6,22.5,0.7,7.7,53.8,52.1,0.9,15.8,31.9,13.8,16.8,74.3,56.7,7.6,46.2,55.4,21.3,30.5,17.8,6695.5,72.1,90,52.7,4.3,5,3,100,5.9,1.6,4.1,59.5,1093.2,26.4,35.1,201.7,136.6,138.6,8.4,5.2,0,1.5,47.1,3.7,97480.4,0,0,0.6,0.4,0,107255.3
"DOM_G",2567.9,95.2,783.9,267.1,317.1,10507.6,2560.6,422.9,1516.8,1636.2,3823.1,1506.4,1557.3,1359.5,1947.9,1299.9,8094.2,1563.8,974.6,4696.6,304.1,1456.1,1232.4,164.9,5309.7,2199.4,2709,72.2,418.4,192.7,51.4,1048.5,195.4,270.8,28.6,208.5,883,531.7,627.2,707.5,178.1,732.8,150.5,294,0,53447.7,74.9,165.7,7233,2671.1,0,509,23534.7,0,155101.6
"DOM_H49",378.2,14.5,143.4,84.8,166.6,1537.7,255.9,78.8,219.5,392,679.5,142.3,229.1,328.5,547.8,274.7,951.2,294.6,174.2,2020.9,49.4,237.2,221.7,29.1,1209.7,420.6,765.7,16.5,113.3,45,11.7,144.2,42.6,346.1,7.6,98,166.1,150.8,165,261.8,52.6,180.8,30.6,83.9,0,34699.7,27.3,13.7,3353.2,538.9,0,789,8751.7,0,61937.3
"DOM_H50",16,0.1,2.1,4.5,9.1,62.4,19.1,2.5,12.5,15,35.5,7.1,13.1,13.1,24.7,14.6,129.7,20.1,12.1,92.3,3,14.3,1.2,1.4,43.1,5.2,15,3.4,3.9,0.7,0.6,8.6,2.8,5.1,0.3,2,6.6,5.8,6.5,1.1,1.7,4.1,1.4,2.5,0,6.4,1.3,1.2,90.2,311.7,0,204.7,333.4,0,1594.8
"DOM_H51",36.9,3.3,17.4,7.8,9.7,137.5,65.3,4.7,34.6,36.3,89.1,19.1,38.1,29.7,69.1,41.4,478.8,65,34.6,233.5,10.4,44.1,25.1,3.6,132.9,72.2,65.6,5.1,34,8.4,1.4,15.6,5.9,9.2,1,12.4,17.9,19.1,19.6,20.3,4.6,12.8,3.4,6.9,0,1095.6,1.9,2,305.2,793.8,0,562.1,422.6,0,5186.5
"DOM_H52",63,41.7,22,11,13.6,234.7,77.4,12.7,37.8,56.7,100.6,25.5,57.3,56,89.7,63.9,257.3,97.4,37.3,401.9,21.3,72,31,5.8,180.7,338,294.4,52.9,452.6,66.8,3.4,23.2,6.8,6.2,2.7,17.3,22.4,14.8,38.6,30.3,9.4,14.3,4.3,8,0,3192.9,9.4,2,356.1,77.8,0,8.7,1173.9,0,8295.7
"DOM_H53",0.1,0,0.2,1.8,0.1,5.4,3.4,0.1,6.5,0.1,2.6,2,3.4,2.9,0.4,1.8,26.3,2.9,1.2,6.6,0.5,4.4,1,0.5,8.4,22.7,5.3,0.1,1.3,2.3,2.9,5.2,1.9,27.4,0.6,251.2,27.2,19.8,7.9,276.4,23.7,14.8,8.3,1.3,0,620.6,2.5,0,0.8,0.1,0,10.7,1.3,0,1418.8
"DOM_I",4,7.3,99.5,10.9,6.7,88,96.7,2.3,20.5,8.2,108.8,24.3,28.1,26.4,22,47.6,180.2,81.3,31.7,269,6.3,62,21,9.7,243.8,61.4,323.8,14.3,136.7,19.1,3.8,18.5,34,16.9,8.4,117.7,38.8,146.6,164.1,655.1,85.7,118.7,15.9,19.5,0,23741.9,149.7,47.7,259.8,1.5,0,3929.8,31.6,0,31667.1
