"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",2435.5,28.4,9.2,3.2,0.1,786.2,69.7,25.5,6.3,1.4,7.5,3.9,6.1,1.3,0.7,0.6,0.9,0.5,0.5,0.9,0.2,4.9,1.7,0.4,15,70.8,4.5,1.7,1.7,2.3,0.2,80.3,1.9,3.3,0.8,4.6,7.4,5.7,5,23.8,11.2,20.8,6.9,6.7,0,2221.7,0.9,11.5,78.4,1121.4,0,0.7,291.5,0,7396
"DOM_A03",18,288.8,1.4,0.4,0,41.2,0.9,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0,0.5,0.1,0,0.8,5.5,0.5,0.4,0.3,0.2,0,19.1,0.3,0.4,0.1,0.4,0.4,0.6,0.4,1.4,1.2,1.7,0.4,0.6,0,487.1,0.4,0.7,5.9,257.9,0,0.1,44.1,0,1184.4
"DOM_B05_06",2,0.9,12.4,1.2,0,0.4,0.4,0.1,0.3,88,1.2,0.1,0.1,0.8,0.4,0.1,0.1,0.1,0.1,0.1,0,0.1,8.4,0,1.1,1.5,1.1,0.2,0.3,0.2,0,0.2,0.1,0.2,0,0.2,0.6,0.3,0.2,0.7,0.4,0.4,0.1,0.1,0,4.6,0,0,7,4.6,0,0,391.4,0,532.6
"DOM_B07_08",4.3,1.3,4.7,42.7,0.1,0.6,0.2,0.1,0.8,1.4,6.8,0.3,0.2,26.4,37.2,0.7,0.2,0.3,0.2,0.1,0,0.8,1.1,0.1,28.4,0.9,0.4,0,0,0.3,0,0.2,0,0.1,0,0.1,0.5,0.2,0.1,0.9,0.2,0.2,0.1,0.2,0,16.5,0,0.1,2.5,50.5,0,0,28.1,0,260.7
"DOM_B09",0,0.2,3,0.3,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.2,0,4.8
"DOM_C10T12",262.9,34.4,1.4,0.6,0,86.3,8.8,0.2,0.9,0.4,3.8,1.5,0.6,0.3,0.2,0.1,0.3,0.1,0.1,0.2,0,0.5,0.2,0.1,1,14.2,0.9,0.8,0.7,0.7,0.1,86.8,0.6,0.5,0.2,1,0.7,1.4,1,7.7,6.7,15,2.6,2.5,0,799.7,0.2,0.7,2.2,57.6,0,1.2,127.8,0,1538.6
"DOM_C13T15",5.4,5.4,2.3,0.7,0,1.2,164.2,0.4,0.8,0.2,0.6,0.3,1.1,0.4,0.2,0.3,0.4,0.2,0.2,0.9,0.1,3.9,0.2,0.1,2.6,7.6,1.2,0.3,0.4,0.4,0.2,1.3,0.5,0.7,0.1,0.9,0.5,1,1.2,4.9,1.4,5,1.1,2.4,0,367.2,0.2,0.4,2.8,61.3,0,0.9,176.3,0,831.9
"DOM_C16",4.6,1.4,0.7,0.7,0,0.7,0.5,26.2,2.2,0.1,0.3,0.1,0.3,0.9,0.2,0.4,0.2,0.2,0.2,0.6,0.2,16.9,0.2,0,24.5,2.8,0.4,0.1,0,0.4,0,0.2,0.2,0.2,0.1,0.1,1.3,0.6,0.4,0.6,0.6,0.3,0.3,1.1,0,15.2,0,0,2.2,7.2,0,0.1,12.9,0,129.6
"DOM_C17_18",2.2,1,0.6,0.6,0,4.4,2.5,0.6,22,0.2,1.4,0.7,0.8,1.2,0.1,0.2,0.6,0.4,0.2,0.2,0,1.2,0.2,0.1,0.9,9.7,0.7,0.1,0.2,0.5,0.3,0.8,8.9,1.8,0.8,4.1,0.7,4,2.2,3.9,3.9,1.8,0.9,1.3,0,32.1,0,0.2,1.1,4.8,0,0.1,3.6,0,130.9
"DOM_C19",24.1,15.3,8.7,6.2,0.1,1.2,1.5,0.5,0.8,10.7,4.7,0.2,0.9,1.7,1,0.3,0.3,0.3,0.2,0.3,0.1,0.9,3.5,0.3,6.1,11,25.3,4.4,7.5,2,0.5,0.8,0.4,1.4,0.3,1.7,1.1,1.6,1.8,5.7,2,2.2,0.5,1.3,0,82.7,0,0.1,1.1,8.7,0,0.3,11.5,0,265.6
