"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",28553.8,83.7,945.9,0,0,13781.5,135.4,67.5,1.9,0,158.1,46.3,1.8,0,0,0,0,0,0,0,0,2.8,0,0,11249.6,29308.7,0,0,0,0,0,1590,0.1,0,0,0,0.3,72.3,0,0,0.6,0.1,0,0.2,0,31980.4,0,0,9553.2,1896.2,0,2.4,811.4,0,130244.1
"DOM_A03",2.5,106.2,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.3,0,0,0,0,0,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3621.2,0,0,0,44.7,0,0.2,0.6,0,3937.3
"DOM_B05_06",16,0.2,356.6,0.6,0.6,15.9,17.4,4.1,2.1,3040.3,0.5,0.1,1401.9,1790.2,27.2,10.8,0,0,0.3,0.5,0,5.6,3.3,0.7,28.3,7947.9,7.4,0.1,1,0.1,0.1,2.4,3.7,11.8,6.6,0.5,2,1.3,0.3,10.1,23.5,3.2,0.6,10,0,49.4,0,9.2,355.5,898.5,0,2.6,27032.3,0,43103.3
"DOM_B07_08",0,0,0.7,17.7,1.9,6.7,6.3,0,18,0,62.2,3,0.1,556.6,14.7,5.9,0.1,0.2,0.4,77.8,5.1,2.3,121.4,0.3,141.3,8.2,0,0,0,0,0,0,0,0.9,0.7,0,0,0,0,19.2,0,0.2,0,0,0,32.5,0,0,0,47.2,0,0,18.4,0,1170.1
"DOM_B09",0,0,57.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,58.2
"DOM_C10T12",3.1,11,188,0,0,3507.7,0.4,4.9,28.9,0,82.4,19.8,0.2,23.2,0,0,0,0,0,5.7,0.3,1.5,6.3,1,0.8,7970.2,1.6,19,5.4,13.5,0.7,820.7,210.8,27,12.3,24.6,59.9,26.8,13.4,103.7,105.7,353.7,24.9,826.3,0,34545.9,0,0,0,433.5,0,11.2,574.3,0,50070.7
"DOM_C13T15",0,0,1,0.2,0,0.3,1408.5,2.5,0.4,0,0.1,0,0.2,1.3,0.5,0.7,0,0,0.1,0.3,0,2.5,0.2,0.9,0.2,104.1,11.1,0.2,0.1,0.5,0,0.6,0.3,0.1,0.1,0.4,0.6,2.4,0.5,0.6,0.2,9.4,0.1,3.7,0,10733.1,0,0,5.8,141.8,0,7.5,1046.8,0,13489.8
"DOM_C16",8.6,0,0.3,0.4,0,1.6,8.9,162.6,34.5,0,2.5,0.3,6.3,20.3,4.5,6.1,0.2,0.4,1.6,3.8,0.2,67.3,20.7,1.2,294,38.6,0.2,0,0.5,0.8,0,0,3.3,2.2,1.6,1.4,84.5,17.8,4.5,147.9,45.4,1.2,2.2,35.3,0,769.9,0,0,199.3,25.4,0,0.3,62.3,0,2091.1
"DOM_C17_18",0,0.1,0.2,0,0,1.9,0.6,0.6,3.2,0,0.5,0.2,0.1,5,0.7,1,0,0,0.1,0.3,0,0.4,1.4,0.4,0.1,28.6,1.9,0.1,0.2,1.3,4,0.1,54.7,14.6,10.4,2.8,4.4,7.7,1.2,9,8.1,17.2,1.8,25.3,0,534.3,0,0,0,3.1,0,0.7,0.5,0,748.8
"DOM_C19",0,0,152,0.4,0.1,1.6,32.6,1.6,2.4,24.8,0.1,0,0.2,3.9,3.8,2,0.1,0,0.1,0,0,1.5,20.8,10,1.3,112.1,177.9,4.8,6.8,0.3,0.8,0.3,22.5,257.3,144.5,2.6,50.6,3.7,0.7,2.1,8.5,10.8,1.4,5.4,0,1655.4,0,0,0,-408,0,2.4,1602.9,0,3925.1
"DOM_C20",6.1,0.2,32.2,0,0,3.4,25.9,6.3,15.5,0,0.7,0.1,1.4,9.4,1.8,1.6,0,0,0.1,0.3,0,2.3,4.3,1.9,0.3,27.2,4.1,0,9,0.9,0,0.7,13,10.2,9.3,0.3,0.4,7,1.5,0.2,240.3,14.7,3.6,32.5,0,724.6,0,0,0.1,-19.5,0,0.3,66.2,0,1260.3
"DOM_C21",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0,0,0,0,0,0.1,1,0,0,0,26.1,0,485.6,0,0,0,0.8,1,0,516.9
"DOM_C22",0.4,0.1,4.6,0,0.1,38.6,14,1.6,0,0,0,0,1.3,130.2,0,0,0,0,0,0,0,16.3,4.5,3,58.9,544.7,180.5,0.2,1.9,13.8,0.4,0.3,28.7,95.8,58.6,9.1,26.7,4.6,0.8,93.3,134.1,23.3,6.7,268.2,0,1540.4,0,0,0.2,32.4,0,0,70.4,0,3408.6
"DOM_C23",0,2.2,143.2,29.6,1,238.1,228,107.7,0,0.1,1.1,0.4,11.4,1305.5,197.4,154.5,2.5,5.4,37.6,36.9,1.2,151,161.9,27.6,2413.5,1521.7,0,0,0,0.1,0.7,0.8,4.6,2.6,1.6,4.9,0.1,6.8,11.1,2298.2,26.8,39.9,2.8,230.1,0,3735.7,0,586.2,3.3,388.7,0,0,5,0,14129.6
"DOM_C24",0,0,300.2,0.6,0.1,0,79.4,18.2,1.1,0,0.7,0.1,2.3,13.2,33.8,25.1,0,0.7,0,0,0,162.9,0.1,3.2,3.1,42.5,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,94.3,0,0,102.8,0,885.2
"DOM_C25",6.6,0,5.1,7.3,0.1,0.3,0.2,2.8,0,0,0,0,0.5,4.6,1,2.6,0.1,0.1,0.9,0.6,0,8.8,0.3,1.4,12.1,73.3,0.4,0,0,0.7,0,0,0.3,59,34.7,0.2,0.1,0.6,0.4,0.3,7.3,0.1,0.2,11.4,0,583.6,0,0,111.5,6.6,0,0,15.4,0,961.8
"DOM_C26",0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,3.4,0,0,31.6,0,0,0,0.1,0,35.7
"DOM_C27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,20,-0.1,0,0,0.2,0,23.2
