"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",2811.2,0.8,2.7,1.4,3.2,8839.7,34,27,21.4,14,63.9,15.6,68.3,7.8,10.5,11.9,95.6,6.7,12,3.4,8.1,18.4,17.8,5.6,98.2,245.8,45.1,17.7,24,34.6,2.5,283.8,8.4,8.2,5.6,10.5,25.8,47.3,192.2,114.8,4,182.8,28.1,26.8,0,3631.7,0.4,160.4,236.7,124,0,134.9,11115.4,0,28910.4
"DOM_A03",16.4,6,0,0,0,136.5,0.1,0,0.3,0.9,2.8,2.2,0.1,0,0,0,0,0,0,0,0,0,0.1,0.4,0.2,3.2,0.1,0.4,0,0.1,0,26.6,0.1,0,0,0.1,0.2,0.2,0.2,1.7,0.2,14.5,1.1,0.9,0,185.4,0,0.1,0.1,3.6,0,2.8,284.1,0,692
"DOM_B05_06",98.5,0,164.4,5.5,140.9,49.7,5.8,1.8,18.1,2696,458.8,4.3,7.4,26.8,76.8,6.2,2.7,4.7,5.2,2,1.6,13.1,599.3,5.6,123.5,99.2,9.9,0.6,0.2,9.1,0.7,53.8,1.5,6.3,2.5,23.2,78.4,35.6,14.2,28.1,30.2,48.2,25.8,25.5,0,809.2,0,0.5,790.7,-48.2,0,0,7055.6,0,13619.6
"DOM_B07_08",26.2,0.4,7.9,99.6,93.9,3.6,2.4,0,4.1,0,143.7,0.5,2.4,288.6,54.3,2.6,0,0,1.8,0,4.3,8.6,0,0.9,305.8,7.6,0,0,0,0,0,0,0,0,0.3,0,8.3,4.9,5.3,38,0.4,0,0,0,0,43.9,0,0,0,3.1,0,0,84.7,0,1248.1
"DOM_B09",0,0,440.3,8,364.5,0,2.5,0,0,0,0,0,0,0,117.8,0,0,0,0,0,0.9,2.7,0,0,302.3,0,0,0,0,0,0,0,0,0,0.4,0,6.7,7.2,2.6,0,0,0,0,0,0,0,0,0,2186.5,0,0,0,1568.2,0,5010.8
"DOM_C10T12",1937.3,9.4,3.9,12.9,16,7012.1,22.6,1.6,50.5,108.5,246.4,272,29.8,39.5,7.4,16.8,122,8.9,18.3,5.5,5.7,30.9,23.5,47,97,390.7,17.9,14.1,8.2,13.7,5.7,2653.5,20.6,17.2,23.2,126,18.2,226.8,64.4,164.8,41.4,787.9,412.6,68,0,21983.2,0,13.4,186.8,281.1,0,224.7,20348.4,0,58257.7
"DOM_C13T15",11.5,17.2,0.9,0.1,0.2,41.6,539.4,3.1,85.8,0.1,27.4,5.9,71.3,17,1.7,20.4,1.4,2.4,7.7,19.9,4.7,129.1,1.3,1.9,17.3,33,2.9,1.5,0.5,7,2.5,17.5,2.7,0.6,0.6,5,3.8,4.5,12.9,20.4,1.7,52.1,5.6,15.2,0,1917.1,0,0,200.6,22.9,0,15.5,784.8,0,4160.2
"DOM_C16",35.3,0.4,1.2,1.9,3.8,43,3.8,308.6,28.7,3,22.9,14,21.5,19.3,9,33.9,13.8,7.7,23.9,9.9,21.2,176.3,9.1,10.2,914.3,67.6,11.7,3.7,7.6,13.5,0.9,9.6,6.4,5.9,3.7,9.6,99.4,28.2,66,21.2,7.2,11.8,3.6,36.9,0,432.3,0,6.3,138.1,12,0,4.2,358.2,0,3102.4
"DOM_C17_18",30.9,6,3.2,9.8,25.5,787.5,32,9.1,2675.5,8.3,131.3,66.6,66,41.3,30.6,92.2,75.4,23.2,76.1,22.8,20.3,124.2,36,45.7,141.6,809.2,79.6,13.9,27,43.5,11.4,109.2,1148.1,77.3,73.2,244.8,139,572.7,290.2,307.8,183.1,580.3,53.4,55.3,0,1999.8,40,62.9,227.1,50.2,0,31.2,3409.5,0,15221
"DOM_C19",163.2,16.8,2.6,12.6,20.9,69.5,10.5,8.4,23.4,457.3,1684.3,7.4,18.4,36.4,27.2,30.8,34.8,102.2,21,12,10.6,84.1,166.5,60.4,317.2,463.2,1469.3,264.6,785,50.8,27.5,26,5.8,12.5,16.6,42.5,79.7,96.7,376,107.2,44,42.2,44.1,49.3,0,4392.1,0.2,7.9,138.9,85.7,0,85.8,6566.6,0,18678.9
"DOM_C20",377.7,4.1,12.9,15.6,23.9,298.7,298,33.6,283.4,268.1,7303.7,293.3,995.2,138.5,37.6,111.2,171.7,79.7,77.5,46.7,33.2,281.4,72.9,66.7,491.4,407.8,133.5,26.7,61.7,11.7,5.3,36.9,23.9,22.2,13.3,48.9,93.7,244.1,127.8,91.1,36.8,220.6,22,127,0,3108.5,0.6,127,327.6,139.3,0,37.4,23621.6,0,40933.8
"DOM_C21",47.6,0.3,0.9,1,1.7,90.1,6.6,4.3,14.6,5.6,70.1,184.4,11.1,8.2,4.3,12.5,81.2,5.3,17.5,4.8,4.4,19.4,4.3,2.7,61.7,97.1,5.9,3.3,1.6,2.3,1.1,12.7,7.2,11,2.7,10.1,7.8,113.6,8.2,56.4,7.7,511.5,3.8,3.6,0,1230.4,0.4,2084.6,168.8,28.6,0,10.3,2155.2,0,7210.5
"DOM_C22",73.8,0.2,0.8,0.6,1.3,309.4,46.2,59.5,197,5.8,173.4,25.9,291.2,106.4,15.2,132.7,56.5,74.8,225.7,170.9,75.8,253.2,7,8.4,853.9,367,174.9,1.7,2.9,3.2,1,11,12.9,8.2,5.9,45.6,85.7,91.2,79,32.5,10.7,104,8.9,31,0,864.9,0.1,10.2,273.6,34.1,0,1.1,2336,0,7762.9
"DOM_C23",42.7,0.2,0.7,4.8,15.1,204,4,20.5,8.1,2.6,35.3,11.9,18.3,488.3,20.4,58.4,47.5,36.1,26.4,14.2,20.3,48.9,18.4,5.6,3040,68.8,6,1.8,2.7,2.1,0.5,26.5,6.7,5.4,1.8,21.5,138.8,40.6,18.9,38.2,10.4,30,15.8,17,0,711,0.2,8.7,132.2,25.8,0,1.2,1059,0,6584.4
"DOM_C24",0.5,0,0,0,0,0,1.1,5.7,21.5,0,26.5,0,28,79.9,743.5,1755.2,153.4,279.8,456.9,195.3,86.8,169.1,0,19.7,424.3,57.4,0,0,0,0,0,0,0,0,0,0,98.4,9.1,0,3.7,11.4,0,0,1.7,0,0,0,0,0,21.3,0,0,3850.8,0,8501.1
"DOM_C25",145.4,4.3,8.4,8.4,25,475.8,29,64.4,72.5,23.6,246.7,21.2,37.8,47.3,72.4,1110.6,177.2,40.6,1501.4,265.7,411.1,618.7,68.2,129.6,3019.8,363.8,69.5,32,63.3,29.3,5.5,28.6,12.2,41,17.1,39.6,100.4,234.6,70.2,364.6,43.7,52.8,14.7,25.2,0,1150.4,0.2,195.6,1307.4,53.4,0,4.6,3688.5,0,16633.1
