"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",241.9,1.7,2.1,0.6,0.7,1540.3,17.5,351.6,122.2,4.3,8.9,1,1.6,4.8,1.6,19.3,3.2,1.6,4,0.9,3.7,8.3,11.9,1.7,88.3,176.2,4.5,5.8,1,7,0.6,38,18.2,20.5,8.9,4.2,17.7,31.9,29.8,25.2,8.2,34.1,6.1,4.8,0,1436.4,0,0,50.5,107.1,0,20.3,48.3,0,4549.2
"DOM_A03",3.7,174,6.7,0.5,0.4,1453.9,0.5,1.5,1.8,0.1,1.4,0.3,0.3,1,1,1.5,0.7,0.6,3.5,0.3,2.5,2,1.6,0.4,3.1,9.5,1.4,13,0.4,1.3,0.7,93.1,4.2,1.7,2,1.5,0.6,2.4,2,2.3,2.5,41.4,1.2,0.2,0,223,0,0.1,19.2,85.3,0,3,1246.3,0,3421.8
"DOM_B05_06",36.3,45,186.9,21.4,87.7,95.7,3,22,55.7,2182.4,86.9,2.3,4.9,72.2,119.3,39.3,9.2,20,109,5.5,108.2,31.8,80,20.5,170.8,236.2,251.3,557.9,91.7,100.6,24.9,11.9,8.7,59,8.1,18.5,101.6,30.6,36.9,73.1,17.3,51.8,8.4,10.4,0,1047,0,0.4,1965.1,634.8,0,23.2,48988.5,0,57973.8
"DOM_B07_08",2.9,1.5,15,24.9,10.6,10.5,0.2,1.9,5.6,0.3,52.9,2.3,0.6,54,41.8,1.2,0.5,0.4,3.2,0.2,8,2,0.2,1.1,57.6,2.7,5,2.6,0.2,0.9,1.5,0.4,2.3,1.3,0.3,0.4,7.6,0.9,0.8,5.1,0.3,1.8,4.8,0.2,0,21.3,0,0.2,215.9,9.6,0,0.1,359.8,0,945.4
"DOM_B09",1.9,25.6,2410.8,34.7,309.8,1.2,0,0.2,5.2,432.7,10.2,0,0.3,9.5,9.5,0.7,0,0,0.2,0,0,0,45,1.5,161.7,1.5,7.6,5.5,0,6.6,0,0.4,0,0,0.1,0.1,7.5,1.3,0.7,2.5,0.4,1.9,0.9,0.4,0,0,0,0,0,0,0,0,435.1,0,3933.3
"DOM_C10T12",520.2,562.9,2.1,0.2,2.6,4031.5,17.7,1.9,1.4,1.4,30.1,1.6,0.8,4.8,2.8,1.4,1.5,1.1,2.2,0.4,1.9,4.8,2.7,0.5,5.9,56.9,0.8,56.8,0.3,0.8,0.2,1003.3,6.8,5.4,3.4,1.7,4,10.6,6.8,46.2,16.6,263.3,1.7,0.6,0,9018.8,0,0.6,8.4,475.2,0,85.9,2067.3,0,18347
"DOM_C13T15",1.2,5.7,17.3,0.6,2,8,25.9,1.6,2.1,0.8,2.1,0.1,1.6,1.3,2.3,2.3,1.2,1,4.5,0.8,4.6,19,2.3,5,23.5,18.1,2.5,8.7,0.5,3.6,0.6,6.5,5.9,3.4,0.8,1,5.3,9.5,6.4,6.1,2.3,27.3,17.7,6.4,0,401.4,0,0.5,34.7,16.4,0,8.9,74,0,805.3
"DOM_C16",2.9,5,14.8,1.5,7,23.4,1.3,411.6,38.8,3.8,14.3,0.1,2,8.3,7.7,8.6,2.9,2.9,10.5,2.4,13.7,96.5,6.8,24.3,1146.3,153.6,6.9,10.2,2.1,7,1.2,5.8,3.8,8.1,2.6,4.9,278.2,10.7,6.5,7.9,13,15.5,32.3,6.5,0,130.3,0.2,1.5,171.4,70.7,0,4.4,317.4,0,3130.4
"DOM_C17_18",11.5,44.2,12.7,2.6,5.9,122.8,3.1,7.6,674.5,80.5,19.1,3.8,10.6,17.8,7,3.9,1.5,5.7,7.9,1.6,6.7,12,3.7,7.3,35,445.1,18.7,9.1,1.5,13.9,69.7,37.3,785.1,5.5,1.4,4.2,34.9,134.9,35.8,84.6,31.9,46.8,54.7,42.1,0,329.4,0.1,1.3,11,122.8,0,12.2,1167.3,0,4610.7
"DOM_C19",33.8,47.7,29.1,11.7,54.8,27.7,1.3,3.9,14.9,509.6,51,1.2,1.7,53.6,46.6,7.5,0.2,13,4.4,1.3,4,8.3,13.5,18.4,92.6,222.4,273.2,641.2,107,94.7,3.9,7,3.6,13.5,1.4,5.6,109.7,15.7,19.7,29.3,15.5,48.5,2.3,5.6,0,1102.4,0.3,0.9,1.7,154.4,0,26.6,1778.3,0,5736.2
