"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",2774.4,16.1,1.5,0.6,0.5,7679.3,152.9,601.9,214.2,1.4,1,0.3,9.3,0.8,0.4,1.4,0.7,0.3,7.5,0.4,0.8,0.9,2.4,0.8,63.9,84.4,10.9,2.7,2.9,3.4,0.2,90.2,2.4,1.3,1.1,14,29.6,119.9,70.2,160.6,4.5,48.2,92.2,11.2,0,1060.3,3.5,9.3,107.7,95.7,0,76.8,1694.9,0,15332
"DOM_A03",27.7,652.1,1.2,1,0.9,962,2.1,0.8,2.2,1,0.9,0.5,0.7,0.6,0.4,0.6,0.1,0.3,0.3,0,0,2.1,1,0.6,5,46.4,1.4,0.7,10.6,0.5,0.1,56.1,5.6,1.4,0.8,39.2,9,7.4,8.7,5,1.5,4,2.1,1.1,0,191.6,0.1,61.8,2.1,28.9,0,8.8,304.2,0,2463.2
"DOM_B05_06",10.8,3.7,108,50.1,25.8,56.1,7.1,3.9,8.1,1105.5,97.6,0.5,3.2,39.1,82.2,10.5,0.2,0.4,3.5,0.3,0.3,2,367.1,4.1,249.8,205.2,9.5,4.1,15,2.4,0.1,7.2,7.1,0.8,0.1,3.7,41.5,17.1,7.1,12.3,20.8,33.7,1.7,3.3,0,133.6,0.1,2.2,522.8,20,0,1.8,624.5,0,3938.1
"DOM_B07_08",34.9,0.2,1.4,11.1,5.5,59.1,18.2,0.6,0.1,0.6,31.6,0.1,8.5,33.5,94.7,0.7,5.2,3.6,0.7,0,0,4.4,0.4,1.7,75.4,3.6,1.3,0.2,0,0.4,0,8,0.1,0,0,2.7,2.6,1.6,2.4,0.6,0.6,0.2,0.1,0.7,0,380.3,0,0.4,27.2,4.3,0,0.1,224.5,0,1054.2
"DOM_B09",1,0.1,104,70.1,33.7,20.4,6.8,1,1,38.8,7,0.4,1.6,2.2,34.2,14.3,0.2,0.2,3.5,0.4,0,1.8,5.3,0.6,23.3,45,0.3,0.1,0.8,0.2,0,1,0.3,0.2,0.1,0.9,4.8,10.4,6.2,7.8,5.5,1.9,0.6,0.6,0,7.4,0.2,0.9,108.7,0.3,0,0.5,19.4,0,595.8
"DOM_C10T12",251.2,107,11,17.8,5.9,1862,141,60.9,136.9,37.3,86.3,34.9,88.8,23.3,27,24.6,10.5,20.7,13,4,7.3,5.8,15,9.7,78.5,299.6,11.9,9.6,31.3,13,4.2,529.3,198.1,4.7,5.9,20,75.2,70.4,61.6,45.5,31.4,139.4,30.6,15.7,0,7674.3,2.1,25.1,78.6,118.5,0,264.6,10762.9,0,23603.7
"DOM_C13T15",10.5,7.5,2.1,1.8,0.7,14.8,104.6,2.9,5.4,4.3,1.4,1.8,3.8,1.5,5.1,2.4,7.6,0.6,1.2,1.4,1.2,9.4,2.5,0.7,42.3,76.6,3.3,1.5,7,1.5,0.1,3,4.1,0.8,0.4,3.1,30.4,7.2,6,10.8,7,7.4,2.7,14.3,0,847.5,0.6,1.9,7.3,13.2,0,47.6,400.9,0,1743.6
"DOM_C16",29.1,0.6,2,1.3,0.3,30.8,1,595.7,105.9,3.9,1.1,0.3,11.6,27.8,9.1,35.5,0.6,5.4,3.8,1.9,13.4,72.5,1.7,0.3,890.3,213.3,0.8,0.7,2.5,2,0.1,1.2,6.1,0.3,0.2,1,51.8,23.9,6.3,5.2,10.5,3.2,3.3,19.2,0,94.1,0.1,0.9,34.1,17.5,0,13,1077.2,0,3434.3
"DOM_C17_18",47.7,7,4,11.6,2,219.1,14.3,27.7,365.1,23,23.4,6.9,28.9,12.7,22.8,10.5,15.7,3.6,4.7,1.3,4,10.7,13.4,3.8,61.1,117.7,3.4,5.7,38.1,7.8,4.5,46.7,115.8,9.4,4.7,35.3,81.9,154.9,34.9,26,54.8,31.7,40,32.5,0,573.5,9.1,1.7,117.1,16.1,0,29.7,832.6,0,3370.7
"DOM_C19",244,92.1,56,71.5,16.4,120.9,15.6,26.9,50.3,116.7,15.7,1.4,12,32.1,44.2,20.5,6.3,4.6,10.6,2.3,7.4,13.3,43.6,22,439.4,194,440.2,47.8,838.7,30,0.9,21.6,82.9,7.2,7.2,28.3,54.5,46.4,54.9,56.6,37.1,56.7,31.4,29.4,0,1273,1.9,13.8,55.1,28.7,0,94.4,468.3,0,5486.7
