"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",12228.2,91.6,25.9,2.7,1.7,7411.2,1467.9,345,136,5.3,86.9,26.4,51.6,13.6,7.5,6.3,6.9,4.7,6.8,7.8,2.2,50.1,38.4,9.9,87.7,463.8,31.3,15.8,12.8,16.2,2.1,874.4,15.2,21.4,6,25.1,38.6,38.1,42.2,174.7,58.2,138.6,40.4,59.6,0,26011.1,10.4,88.5,1443.5,1109.8,0,5.2,517.2,0,53382.6
"DOM_A03",21.2,253.6,1.4,0.1,0.1,140.3,5,0.4,0.6,0.3,1.4,0.5,0.3,0.5,0.3,0.2,0.4,0.2,0.3,0.3,0.1,1.2,1.1,0.3,1.6,9.3,1.4,1.4,0.8,0.6,0.1,77.4,0.7,1,0.3,0.8,0.7,1.3,0.9,4.1,3.2,5.9,1.4,1.4,0,2269.4,1.5,1.8,19.7,36.3,0,0.4,44,0,2917.9
"DOM_B05_06",33.2,2.4,448.4,8.4,6.7,24.9,46.1,2,18.4,2162.9,164.5,3.8,5.9,59.7,70.9,5,2.4,2.3,3.6,3.1,1.7,4.4,1762.8,5.5,19.5,45.9,24.6,4.4,4.4,7.8,1.1,8.9,1.5,2.8,0.6,2.8,9.7,7,4.5,19,8.8,14.5,3.2,8.3,0,42.7,0,0.3,175.8,84.6,0,0.1,17.6,0,5369.5
"DOM_B07_08",7.8,0.9,3.9,8.6,1.1,2.1,2,0.1,2.1,1.5,28.9,0.7,0.5,89.5,103.2,1.7,0.4,0.8,0.8,0.4,0.1,2.3,4.8,1.4,54.8,1.9,0.8,0.1,0,0.6,0,0.5,0.1,0.1,0,0.1,1.1,0.4,0.3,2.5,0.2,0.4,0.3,0.6,0,21.3,0,0.1,10.1,2.6,0,0,103.4,0,468.1
"DOM_B09",2,0.4,86.5,3.8,3.7,0.5,0.2,0.1,0.5,8,1.6,0.1,0.1,2.6,1.6,0.5,0,0,0.1,0,0,0,12.8,0.4,9.4,0.4,1.2,0.2,0,0.6,0,0.1,0,0,0,0.1,0.7,0.2,0.1,0.5,0.1,0.1,0.1,0.1,0,0.9,0,0,83.8,0,0,0,1.8,0,226.1
"DOM_C10T12",1546.8,96.1,3.6,0.6,0.3,1170.9,122.3,1.5,10.5,2.2,49.7,15.8,6.7,4.4,3.2,2.2,2.9,1.8,2.4,2.2,0.6,5.8,6.7,3.9,9.8,140.1,9.2,11.1,7.3,6.2,0.8,1154.8,7.7,8.1,2.9,8.5,6.3,17.5,12.8,88.1,61.7,133.9,27,31.2,0,11991.6,4.4,7.5,52,115.9,0,13.6,1510.7,0,18503.7
"DOM_C13T15",48.5,13,9.3,1,0.5,25.3,3379.2,4.3,15.6,2.9,14.9,3.9,15.9,8.4,5.3,6.3,7.4,5.4,7.6,19,2.8,44.7,10.7,5.9,29.6,82.9,14.8,4.3,5,5.1,2.2,20.1,7.2,8.9,2.1,8.1,5.9,14.3,12.8,66.5,14.3,45.8,13.2,39.3,0,5938.9,3.5,5.4,123.6,224.8,0,10.1,9980,0,20346.8
"DOM_C16",43.4,7.8,4.4,1.3,0.4,16.2,27.2,263.9,45.8,0.3,7.8,1.5,6.5,17.3,4.1,7.7,4.1,4.9,5.8,13.4,6.2,277.2,11.3,2.3,313.8,45.6,5.5,1,0.6,5.5,0.5,5.8,3.6,2.8,0.8,1.8,28.3,9.6,6.5,12.2,8.3,5.1,4.4,24.3,0,257.4,0.5,0.4,82.5,18.3,0,0.6,20.6,0,1647.1
"DOM_C17_18",49.1,6.6,4.3,1.2,0.3,150.9,177.6,12.8,759.7,1.3,39.9,21.2,23.6,34.9,6.3,8,16.1,12.6,10.5,9.8,1.8,35.9,10.6,7.3,21.8,229.5,15.1,3.7,3.9,13.6,8.3,30.7,261.2,34.7,17.9,78.7,18.2,92.7,44.6,118.3,77.1,57.5,23.5,50.6,0,856.6,1,3.6,61.9,36.6,0,1.4,44,0,3608.8
"DOM_C19",412.2,101.2,55.6,13.2,4.3,40.7,120,8.2,23.3,130,153.9,8.3,22.6,63.2,40.5,11.3,8.8,9.3,9.9,12,3.8,22.3,204.5,31.1,117.2,257.8,655.1,186.6,263.1,57.3,13.5,28.9,9.9,23.9,6,26.2,19.4,40.1,36.1,141.9,37.9,53,14,47.4,0,1701.6,0.2,2,50.3,56.5,0,3.8,803.3,0,6163.4
"DOM_C20",702.3,12.2,31.3,7.8,2.4,63,658.6,22.1,112.7,24.1,725.3,88.7,339.4,75,34,25.8,38.1,34,23.3,32,7.7,65.5,25.1,25.9,80.4,91.7,16.5,4.9,4.4,7.3,1,19.3,19.9,5.5,3.3,7.9,21.7,37,28.1,51.2,24.5,169.2,12,68.5,0,974.7,1,4.8,56,54.6,0,1.3,339,0,5282.2
"DOM_C21",39.9,1.7,1.3,0.4,0.1,7.5,21.1,0.4,1.8,0.5,17.2,91,3.9,1.3,1.5,0.5,1.1,0.6,0.9,0.8,0.3,1.6,1.1,1,2.5,8,1.2,0.5,0.6,0.5,0.1,1.7,0.8,0.9,0.4,1.1,0.7,6.9,1.2,13.5,3.6,254.3,1.4,3.6,0,689.3,0.7,48.7,34,7.2,0,1.3,91.6,0,1373.8
