"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",1308.1,0.6,1,12.8,0,5928.7,84.5,114,0.4,0.1,14,6.1,14.5,0.3,1.3,0,0,0,0.1,0,0,159.5,0.3,0,2.6,1.2,0.3,0,0,0,0,797.7,0,0.1,0,0.6,0,0.1,0,17.2,0.9,4.1,0.7,42.2,0,6198.4,0,1.5,386.3,101.6,0,29.6,2445.8,0,17677.2
"DOM_A03",0.6,10.9,0,0.8,0,697.9,0.1,0,0.1,0,0.2,0,0,0,0.1,0.1,0,0,0.1,0,0,0.4,0.1,0,1.2,0.3,0.2,0,0.3,0,0,90.8,0.1,0.5,0,0.1,0,0.2,0.2,4.1,0.2,1.1,0.2,2.6,0,836.8,0,0,0.2,8.2,0,2.6,4.5,0,1665.8
"DOM_B05_06",35.7,5,63.1,101.5,9.5,95,4,2,5.3,2714.5,16,0.1,6.5,1358,146.6,10.7,0,0.4,1,0.2,0.1,3.2,380.2,21.8,13.4,6.5,85.4,0.6,6.5,4.2,0.7,9.6,0.7,1,0,0.8,0,4.6,2.1,19.3,1.4,1.6,0.5,8.6,0,63,0,0,12.4,72.3,0,2.2,450.7,0,5748.8
"DOM_B07_08",21.4,0.4,82.4,181.1,0.8,26.1,2.9,0.1,0.6,0.6,21.5,0.4,0.6,252.7,683.1,1.5,0.1,0.9,1.6,0.6,0.2,43.2,42.9,14.8,842.8,2.3,1.1,0,0.1,0.2,0,5.7,0.5,4.1,1.3,3.6,8.4,3.1,1.9,72.8,1.9,3.4,0.5,5.3,0,37.2,0,7.6,644.4,91.2,0,0.2,23218.7,0,26338.8
"DOM_B09",0.5,0,232.5,242.1,2.3,0.3,0.1,0,0.1,0.5,0.1,0,0.1,0.1,10.3,0.2,0,0,0.1,0.1,0,0,0.3,0,8.4,0.5,0.2,0,0.2,0.1,0,0.2,0.1,0.7,0,0.4,0.1,0.7,0.5,0.8,0.3,0.5,0.2,0.2,0,1.4,0,0,129.3,0,0,0,3.5,0,637.9
"DOM_C10T12",455.9,8.3,4.7,34.6,0.2,2601.8,30.5,1.4,17.4,1.2,53.8,7.3,15.5,1.9,4.8,3.7,0.1,0.4,6.9,1,0.3,38.4,4.3,1.2,28,12.8,3.8,0.2,4.8,1,0,2854.1,1.9,9.8,0.1,4.8,0.9,4.2,5.6,181,13.2,15.8,22.7,117.2,0,14976.2,0,17.9,75.4,123.8,0,128.8,4447.8,0,26347.5
"DOM_C13T15",17.6,18.1,3,9.2,0.1,43.6,1302.1,3.7,16,0.8,14.8,7,20.1,2.2,1.7,4.9,0.1,0.1,0.7,0.6,0.2,143.2,0.6,0.2,43.3,11.6,0.7,0,0.1,0.1,0,68.1,5.5,0.2,0,6.1,0.1,51.9,33.1,31.3,5.8,22.4,4.9,12,0,3052.2,0,0,56.4,28.7,0,83.8,1091.7,0,6220.5
"DOM_C16",7.8,1.1,0.4,29.4,0,6.2,2.3,139.2,8.2,0,4.8,0,5.1,2.4,2,1.8,0,0.2,0,9,3.2,154.4,0.2,0.1,523.5,0.6,0.1,0,0,0,0,1.6,0,0,0,3.3,20.8,2.1,0.3,45.8,0.3,1.3,0.2,14,0,3.4,0,0,3.9,5.6,0,4.4,87.4,0,1096.6
"DOM_C17_18",23.3,0.8,0.3,11.9,0,256,19.3,4.3,888.7,0.4,29.8,6.8,23.4,14.9,0.6,12.3,1.9,2.5,3.2,5.8,1.9,46.8,16.7,2.9,18.7,161.1,3.8,0,0.2,6,0.4,59.9,192.5,74.2,1.6,142.7,33.8,286,114.2,204.9,152.4,10.5,24.9,56.8,0,880.4,0,0.3,0,22.8,0,12.6,137.6,0,3972.9
"DOM_C19",36.3,106,59.6,1020.4,1.9,295.5,33.1,5.5,25.8,114.5,44.5,1.3,8.9,43.9,92.7,24.2,0.3,1.6,6.7,5.5,2,58.7,150.7,19.7,249.1,125.9,1763,12.6,132.8,90.2,15.3,81.4,3.8,17.3,0.4,24.5,1.3,96.8,43.6,401.1,34.1,37.1,11.9,25.7,0,1435.7,0,0,9,44.9,0,49.8,1976.4,0,8843
"DOM_C20",333.1,1.2,20.1,283.4,0.6,152.7,125.2,25.1,40.3,19.5,364.6,34.3,352.5,19.6,18.1,24.7,0.8,4.2,2.3,23.1,6.5,172.9,1,6.4,104.9,12.9,1.6,0,0.5,6.9,0,45.5,4.2,7.9,0.3,8.2,15.3,24.6,30.2,58.2,14.5,56.2,7.6,49.7,0,1295.4,0,0,0.5,18.5,0,9.8,579.8,0,4385.3
"DOM_C21",33.9,0,0.2,1.4,0,12.8,0.1,0.3,0.1,0.1,1.8,17.9,0.8,0.2,0.1,0,0,0,0.1,0,0,0.8,0.1,0,1.4,0.2,1.4,0,0,0.2,0.1,1.5,0.1,0.1,0,0.1,0.1,4.1,0.1,24,1.9,154.5,0.4,1.7,0,438.8,0,2.3,0,2.7,0,7.4,28.2,0,742
"DOM_C22",16.2,2.7,31.6,125.9,1,415.1,75.4,0.6,57.7,1.7,138.3,27.8,194.6,5,7.6,11.1,0.6,6.7,2.4,32.1,7.1,165.7,1.5,0.6,419.1,108.7,201.4,0.1,0.1,2.4,0.2,50.5,5.2,0.9,0,9.3,11.4,25.1,17.3,85.9,27.1,20.3,5,20.1,0,265.5,0,0,17.5,4,0,1.2,380.2,0,3007.4
"DOM_C23",20.4,0.5,3.4,189.1,0,141.7,1.6,0.2,2.7,0.2,32.1,6.9,4.2,125.5,12,2.1,0.2,0.5,3.8,12.3,3.1,67,9.8,32.7,2891.5,33.2,21.2,0.1,3.1,2.2,0.3,32.6,0.3,3.4,0,2.9,39.3,7.9,3.3,240.1,2.8,4.8,1.8,15.4,0,83.7,0,0,70.2,25,0,0.3,296.8,0,4454.2
"DOM_C24",14.3,0.3,9.6,53.1,0.2,20.8,4.7,1.2,7,1.3,68.6,3.5,29.3,16.7,1577.9,181.2,1.7,394.5,15.5,22.2,5.5,112.3,0.9,2.7,73.1,0.8,0.2,0,0,0.3,0,2.4,0.6,0.9,0.1,18.4,1.6,4.7,2.7,18.8,0.7,3.5,0.6,4.8,0,65.9,0,2.4,100.2,61.1,0,0.4,3480.4,0,6389.9
"DOM_C25",29.9,6.4,85.8,306.2,7.7,218.4,12.6,8.3,7.2,13,34.6,0.5,8.2,4.6,18.7,156.9,1.7,8.5,84.7,91.9,29,120.1,12.4,3.1,535.6,4.7,0.3,0,0.2,2.2,0,23,0.5,18.6,0,2.7,20.9,8.8,29.1,59.6,2.4,6.3,9.2,18.3,0,343,0,0,647.2,15.5,0,0.4,191.9,0,3210.7
"DOM_C26",0.3,0.2,0.1,0.2,0,0.3,0.1,0,1.1,0,0.2,0,0.2,0,0,0.1,2,0.3,0.2,0.1,0,0.1,0.3,0,2.1,0.2,0,0,0,0,0,0.3,0.4,11.3,0.4,0.3,0,0.8,0.5,1.2,0.4,1.3,0.1,2.2,0,88.4,0,0.7,39.3,0.8,0,1.2,9.4,0,166.9
"DOM_C27",0.1,0.3,3.3,7.6,0.2,15.2,1.3,0.1,1,0.8,1.6,0.3,2.9,0.7,30.8,20.3,0.7,11.6,7.1,11.8,3.2,7,21.1,0.6,111.2,0.6,0.1,0.3,0.1,0,0,9.6,0.2,22.1,0.1,1,0.8,0.9,0.8,6.5,3.7,10.4,4.8,7.9,0,248.2,0,0,256.3,5.3,0,3.5,132.8,0,976.6
"DOM_C28",0.7,15.1,15.9,39,0.9,65,13.6,1.4,3.4,1.4,1.8,0.2,5.4,6.6,2.4,18.9,1.4,2.8,103.6,4.4,1.6,331.3,3.2,0.4,41.8,3.5,0.3,0,0.3,0.1,0,0.6,0.5,2.3,0,26.9,0.5,5,6.6,21,7.7,23.1,4.5,4.5,0,86.4,0,0,588.8,3.8,0,0,349.3,0,1818
"DOM_C29",5.3,0.7,0.8,1.4,0,0.2,0,0,0.1,0.1,0.1,0,0,0.4,0.7,0.6,0,0,0.4,30.3,1.5,0,1,0.7,0.6,105.9,45.5,0.6,7.2,0.7,0.1,0.3,0,25,0,7,0,0.3,2.3,14.5,10.3,0.3,0,1.9,0,752.9,0,0,777.6,11,0,6,40.6,0,1854.8
"DOM_C30",0,16,0,0,0,4.8,0,0.1,0,0,0,0,0,0,0,3.1,0,0.5,0.7,18.3,15.6,0,0,0,0,2.8,21.6,0.8,26.8,0.9,0.3,0,0,1.9,0,0.1,0,0.6,3.7,4.9,0,0,0.2,0.2,0,234.3,0,0,216.1,0.6,0,0,16.3,0,591.3
