"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",3384.5,379.9,6.1,18.1,0.8,10866.1,82.7,164.3,42.5,54.4,174.2,65.1,71,50,104,42.8,120.6,26.3,6.6,103.8,19.6,68.8,41.5,13.5,390.1,1140.1,56,19.6,17.3,23.6,2.1,799.5,4.4,28.8,12.3,153.7,223.6,37.7,77.3,70.9,74.2,46.3,40.9,25.5,0,6235.4,5.3,252.3,1674.6,-30.8,0,29,1673.9,0,28990.8
"DOM_A03",61.8,186.1,0.9,3.5,0.1,588,31.3,16.5,14.6,7.6,110.3,1.8,41.6,24.2,7.2,4.2,28.9,4,1.5,7.4,1.1,64.3,2.8,3,26.6,267.1,2.9,1.8,1.3,2.6,0.6,77.6,0.7,2.9,1.6,20,5.6,16.2,13.1,4,4.1,5.7,12.2,10.9,0,2936.9,2.3,12.1,24.9,0.2,0,2.6,162.4,0,4831.3
"DOM_B05_06",0.4,0.1,0.3,0.6,0.2,1.5,0.3,0.1,0.1,360.8,1.5,0.1,0.1,30.8,59.5,0.1,0.4,0.2,0.1,0.1,0.1,0.1,28.1,0.1,13.4,27.4,1.4,0.4,0.5,0.2,0,0.4,0.1,0.1,0.1,0.6,0.6,0.1,0.4,0.2,0.3,0.2,0.3,0.3,0,5.3,0,0.2,7.9,-0.1,0,0.1,294.7,0,840.6
"DOM_B07_08",1.3,0.3,0.4,1.5,2.1,55.7,0.9,0.2,0.4,1.3,3,0.1,1.3,48.6,617.1,5.4,14.7,3.6,0.3,1,0.5,25.8,4.1,0.7,313.1,167.1,1.8,0.1,0.2,0.4,0,1.8,0.2,0.8,0.3,1.6,23.8,0.8,1.6,0.7,1.8,0.9,0.5,0.7,0,27.6,0.2,0.7,13.7,1.7,0,0.2,491.2,0,1843.9
"DOM_B09",1.3,0.4,6,7.5,1.2,0.7,0,0,0.2,29.6,1,0,0.1,1.5,2,0.2,0.1,0,0,0,0,0,8,0.2,10.1,0.6,0.5,0.1,0,0.2,0,0.1,0,0,0,0.1,0.3,0,0.2,0.3,0,0,0.1,0,0,0.6,0,0.1,0.7,0,0,0,115.6,0,189.8
"DOM_C10T12",1384.1,140.8,2.2,11.4,0.5,6249.4,194.9,100.4,60.7,197.4,415.3,69.1,147.5,98.8,55.1,71.7,708.3,334.5,86.3,542.1,68.4,142.8,13,8,266.3,2809.1,97.4,24.4,47.9,54.2,11.5,2591.7,3.7,16.2,77.2,210.2,143,105.8,261.5,168.4,55.6,138,239.6,41.4,0,24160.7,6.7,449.5,462.5,-7.8,0,95.8,3018,0,46651.3
"DOM_C13T15",21.7,28.2,0.3,0.8,0.2,106.5,1005.2,15.5,34.2,9.3,25.3,3.1,23.9,13.8,3.9,4.9,49.6,14,3.7,12.9,6.1,78.9,3.7,1,42.7,144.5,13.3,1.3,6,22.8,0.7,28.8,29.5,11.1,3,13.4,6.4,4.6,22.7,5,15.6,12.8,64,32.9,0,2889.4,2.2,17.7,55.9,-17.5,0,58.2,940.7,0,5894.5
"DOM_C16",5.6,4.1,2.2,2,0.1,14.1,4,36.6,8.8,5.2,3,3.8,1.5,16.5,1.6,2.9,7,2.6,1.3,1,1.7,111.2,0.6,0.2,291,10.8,9.1,0.6,0.3,1,0.1,1.7,0.4,1,0.2,1.5,48.4,0.5,1.9,3.7,0.6,0.4,0.8,10,0,109.8,0.4,0.7,11.6,-14.4,0,4,489.4,0,1223.3
"DOM_C17_18",5.9,2.1,2.9,1.5,0.1,95.3,14.8,5.1,292.4,7.5,36.4,3.3,5.6,9.4,2.8,11.9,31.5,13.2,4.8,3.4,2.2,9.8,10.3,3.2,21.5,96.3,6.9,0.8,2.9,6.2,0.8,9.6,173.4,56.4,31.5,76,9.8,15.1,35,14.9,44.2,5.1,22.1,16.6,0,179.9,0.6,108,72.6,-56.3,0,8.8,323.9,0,1858.1
"DOM_C19",110.1,37,20.3,66.1,2.2,192.1,83.5,19.3,24.5,913.9,131,57.5,72.7,139.5,181.4,44.9,56.3,26,28.6,19.1,8.1,21.4,345.1,22.1,323,486.6,987.3,267.7,350.4,64.1,4.8,38.4,6.3,23,11.7,177.8,71.8,24.9,41,43.4,51.7,26.2,10.2,67.5,0,1742.8,0.5,6.7,33.8,-7.8,0,32.3,972.3,0,8481.3
"DOM_C20",504.4,26.8,14.2,23.4,2.1,414.1,176.4,59,62.4,55.8,725.8,14.2,154.2,66.4,41.1,37,117.3,20.4,11,28.6,30.8,58.6,57.3,23.7,107.5,503.9,46.1,5.9,5.7,22.4,2.6,53.1,10.6,26.1,10.7,119.9,37.5,15.3,56.4,14.4,49,32.4,29.3,109.5,0,1132.5,1.6,41,136,-42.2,0,11.3,633,0,5896.5
"DOM_C21",75.9,1,0.1,0.6,0.1,17.5,7.7,1.5,1.9,1.8,23.8,29.2,7.9,2.2,1.8,1,5.7,0.5,0.3,1.3,0.4,2.5,1.5,1.2,18.5,75.6,0.8,0.3,0.6,0.6,1.3,2.3,15.3,2.2,1.8,4.8,2.3,1.1,2.9,1.7,1.9,88.5,2,3.2,0,373.2,0.7,4.8,8,-0.3,0,6.5,46.8,0,854.8
"DOM_C22",8.1,0.9,2,4.5,0.4,40.5,66.9,6.1,12.2,6.8,94.8,3.2,74.5,13.1,6.4,8.1,51.8,21.5,8.9,30.9,13.4,9.7,2.1,1.9,79,95.6,51,0.8,7.2,2.6,0.3,6.1,3.4,5.1,1.8,14.6,7.6,2.4,8.2,19.8,2.1,2.1,2.8,5.8,0,457.6,0.1,30.3,106.7,-92.3,0,0.6,472.7,0,1782.8
"DOM_C23",58,0.8,3.9,7.2,0.9,184.9,12.5,15.7,20.7,50.1,27.6,5.4,7.7,166.2,23.9,20.5,104.2,34.6,11.8,6.6,29.7,13.1,3.8,5.2,1083.7,152,16.1,1.3,2.1,3.1,0.4,16.4,0.5,5.3,0.7,20.2,109.8,14,24.5,15.1,6.4,3.7,4.5,5.7,0,116.3,0.3,67.8,144,-59.8,0,0.6,328.3,0,2897.8
"DOM_C24",3.6,0.9,0.4,13.9,1,27.5,7.5,8.6,13.6,8.1,6.6,0.7,9,10.9,387.6,191.9,100.2,82.6,77.8,52.5,115,38.3,11.7,4.9,982.4,113.7,55.3,1.6,0.9,20.8,0.3,11.7,0.2,8.7,0.9,10.9,46.6,4.2,18.9,41.9,8.7,3.8,4.4,10.2,0,26,0.1,0.8,102.5,-54.4,0,0.2,1652.9,0,4249.1
"DOM_C25",24.5,7,0.4,16.9,1.3,52.3,8.4,12.8,9.2,24.2,7.9,1.1,4.3,14.2,55.6,22.4,94.8,70.5,31.8,34.4,23.9,14.1,10.5,6,358.3,88.4,48,1.7,2.4,4.4,0.8,4.1,1.3,13,1.5,14.5,14.6,5.4,8.7,6.3,2.2,2.7,2.1,5.6,0,34.7,0.4,14.9,92.1,-46.3,0,0.4,365.1,0,1595.8
"DOM_C26",35.1,14.6,2.1,9.4,3.5,115.8,26.2,5.7,14.5,13.4,51.3,4.1,13.2,9.2,17.4,19.3,3035.3,207.2,17.3,85,166.2,37.9,48,16.2,260.7,674.9,82.3,15.8,13.4,23.2,13.9,43.2,17.5,206.9,41,179.4,47,29.8,212.4,17,40.6,27.4,35.2,264,0,582.6,1.8,43.3,1462.2,-457.5,0,15.3,11751.8,0,19613.1
"DOM_C27",46.9,11.5,0.4,18.1,0.9,29.4,14.8,3.1,2.2,7.7,14.5,0.8,4.9,12.7,5.7,7.3,99.6,282.3,21.6,256.6,119.3,9.5,115.1,8.5,78.4,247.1,237.8,11.3,2.1,40.1,1,22.1,7.1,17,1.7,19.7,12.6,6.1,29.2,3,12.7,6.4,22.3,47.3,0,325.2,0.5,9.5,1000.3,-269.5,0,6.8,1101.3,0,4092.2
"DOM_C28",2,0.4,0.2,1.8,1.9,7.7,1.7,0.5,0.9,1.5,1.7,0.3,2.3,1,2.2,1.1,12.6,4.9,2.9,2.5,2.1,3.3,5.2,1,12.4,42.1,6.6,2.6,0.6,2,0.2,2.3,0.2,2,0.3,4,2.8,0.8,5.6,0.8,2.1,1.1,2,4.6,0,108.5,0.2,2.5,352.7,-105,0,0.2,558.6,0,1074.7
"DOM_C29",3.1,0.7,0.3,1.1,0.4,18.6,4.7,1.3,1.8,2.6,4.3,0.6,2.7,3.8,4.4,3.9,27.9,6.3,2.3,7.2,14.8,3.7,20,3.7,13.7,439.2,10.4,0.7,1,23.4,0.4,8.3,0.5,6.1,1.5,10.8,4.6,2.1,9.8,3.3,12,5.6,3,9.3,0,850.5,0.7,17.3,805.1,-146.3,0,6.9,687.5,0,2927.6
"DOM_C30",1,0.2,0.2,0.4,0.1,6.6,1.4,0.4,0.6,0.9,1.5,0.3,0.9,1.5,1.1,0.7,13.1,2.4,0.6,1.7,48.7,1.5,8.3,1.6,5.6,273.6,4.3,0.6,16,13.4,0.2,3.6,0.2,2.8,0.6,4.3,3.7,1.9,4.4,1.2,6.3,2.4,2.1,4.9,0,535.3,0,2,650.2,-508.8,0,0.1,864.5,0,1991.2
"DOM_C31T33",7.1,3.4,3.5,9.2,1.6,46.1,16.2,15.5,11.8,5.4,11.4,1.3,3.7,14.5,8.8,11.5,51.9,17.2,2.5,4,11.2,64.7,11.2,4.1,40.6,208.4,32.6,6,12.9,36.8,0.6,27.3,5,10,3.7,36.2,21.9,5.7,33.8,4.5,17.5,7,43.7,23.1,0,780.4,0.9,14.7,225.3,-56.1,0,48.5,522.2,0,2451
"DOM_D",89,9.2,6.9,56.4,2.8,445.1,106.6,24.3,69.3,59.7,82.5,8.6,66.7,158.8,111.9,62.3,128,201.7,23.6,39.5,17.2,44.1,1499.5,69.2,69.1,986.1,162.4,6.5,16.1,37.5,3.4,311.3,33.5,113.6,31.6,163.1,77,80.6,195.8,69.2,171.1,157.4,43.7,154.2,0,3268.2,2.3,184.5,98.7,-1,0,1.3,88.6,0,9908.6
"DOM_E",29,1,0.2,1.4,0.4,90.1,11.6,1.8,5.8,2.8,9,1.6,7.4,14.8,14.1,3.3,7.7,2.8,1.3,1.7,1.1,4.4,50.8,16.4,51.7,55.2,9.1,2,2.1,9.5,0.7,131.2,7.3,4.5,5.3,23.4,17,15.2,32.3,1.7,20.6,50.2,12.5,62.7,0,424.1,9.7,5.1,16.9,-0.2,0,0.2,6.9,0,1257.4
"DOM_F",9,1.2,9.2,56.6,3.5,315.4,64.4,10.7,18.9,21.5,31.7,30.4,16,49.5,24.9,13.8,82.2,24.9,8.9,33.1,17.5,25.2,90.7,21.7,74.8,454.6,62.3,34.4,58,51.9,1.7,70.8,56.2,16.1,27.4,87.2,129.3,56.8,61.1,6.5,57.4,29.9,23.4,39.7,0,450.2,4.9,25.2,13201.6,-2.7,0,2.2,103.5,0,16165
