"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",4539.8,13,11.1,7.2,0,4980.2,143.5,600.1,199.6,0.3,24,8.4,29.1,8,4,1.7,0.8,0.8,3,2,0.9,67.4,1.4,2.4,33.5,678.6,14.7,0.1,0.1,13.6,0.1,32.9,0.7,0.2,0.3,3.6,7.7,9.6,8.8,30.1,2,19.5,1.1,41.1,0,6062,0.5,71.2,48.6,214.7,0,40.9,356.4,0,18341.2
"DOM_A03",1.7,13.5,0.1,0.2,0,95.8,0.7,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0.1,0,0.1,0.1,0.1,0.3,40.8,0.2,0,0,0.6,0,6.7,0.1,0,0,0.1,0.1,0.8,0.3,0.2,0.1,1.1,0.1,0.6,0,34.7,0.1,2.1,0.3,2.8,0,2.5,7.5,0,214.7
"DOM_B05_06",197.6,0.3,237.6,15.7,0.5,209.4,36.8,16.2,71.7,435.8,161,0.5,20.5,99.4,321.4,9.2,2.7,3.6,13.3,16,3.5,10.1,2557.7,23.8,9.2,31.6,11.4,0.2,0.2,4,0.3,2.9,1.5,2.7,0.6,4.8,72.1,6.4,2.9,4.4,3,4.4,1.1,6.6,0,745.3,1.9,20.7,5.7,103,0,0.7,522,0,6033.7
"DOM_B07_08",3.9,0,17.9,34.3,0,9.1,0.6,0.5,2.7,349.6,153.4,0.3,4.4,182.5,606.6,11.1,0.3,7.7,9.4,5.7,0.6,2.1,137.5,5.9,182.6,30,11.3,0,0,10.7,0.1,0.9,0.5,0,0,2.9,1.6,13.9,8.1,10.6,0.4,0.1,1.2,17.5,0,21.2,0,0,0.3,50.8,0,0,78.3,0,1988.8
"DOM_B09",0,0,34,6.4,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,133.2
"DOM_C10T12",963.5,9.9,3.8,2.4,0.1,4139.6,121.7,3,7.5,3.7,61,5.1,4.8,5.2,3.9,5.2,3.5,1.6,4,2.3,1.6,38.8,4.6,1.7,25,1753.1,12.5,3.2,2.5,91.1,0.9,904.4,3.3,3.3,1.5,33,7,28.5,39.2,62.7,39.2,63.9,26.1,85.4,0,13156.3,1.9,10.5,8.6,327.6,0,140,1399.4,0,23628.9
"DOM_C13T15",20.2,2.3,24.3,7,0.1,45.7,1765.5,6.8,12.3,2.5,16,3.8,70.4,15.6,14.4,8.3,5.4,4.9,11.2,186.2,6.4,241.8,8.9,5.1,42.6,215.4,11,0.9,0.8,10.7,3.1,11,4.6,1.4,0.4,11.9,7.1,27.6,15.8,136.3,3.5,6.3,19.1,130.9,0,3605.3,3,37.9,35.5,138.4,0,98.4,1962.1,0,9026.1
"DOM_C16",65.9,0.1,23.9,2.3,0,16.1,10.5,474.7,16.5,0.7,10.1,1,9.9,31.2,11.4,18.3,11.4,13.2,10.2,13.3,7.5,576.9,1.8,1.4,499.7,158.1,13.4,0.1,0.1,13.5,0.6,3.7,3.9,0.7,0.8,2.8,40.4,9,5.5,12.3,5.5,1.4,11,32,0,267.2,0.1,1.1,71.2,37.3,0,8.8,892.8,0,3421
"DOM_C17_18",16.1,0.6,4.4,5.2,0,251,60.3,49.4,872.2,1.3,38.6,24.8,26.2,70.2,12.2,11.3,11.9,10,10.8,11.7,2,54,4.4,2.7,31.7,552.9,19.3,0.8,0.9,28.4,8.7,13.2,382.7,12.7,3.8,106.7,23.9,181,55.1,81.1,124.8,18.1,17.1,71.6,0,517.4,0.7,0.8,3.6,51.3,0,13.8,665.5,0,4538.8
"DOM_C19",336.1,14.9,24.6,25.4,1.2,95.4,25.1,15.4,10,107.3,73.5,13.2,26.8,52.1,73.1,10.3,6.1,7.6,16.5,8.8,4,15.9,19.3,26.2,147.8,404.2,746.7,17.4,25.1,92.2,6.4,16.3,6.1,3.9,2.8,69,34.7,31.3,25.7,70.1,25.9,14.7,4.1,16.7,0,1010.4,0.9,1.8,7,31.4,0,56.4,330,0,4207.9
"DOM_C20",381.8,0.8,34.2,17.6,0,112.1,227.9,71.9,100.2,43,655.4,16.9,382.1,114.4,44.7,50.3,36.6,49.4,38.1,55.9,18.6,85.9,8.9,10.2,165,275.3,18.7,1.5,1.1,12.6,2.6,13.9,30.9,0.8,0.6,11.2,33.3,74.2,50,45.3,12.3,113.3,7.6,87.5,0,848.9,0.2,1.4,4.1,57.2,0,9.7,943.2,0,5379.4
"DOM_C21",1.8,0,0.3,0.6,0,3,2.3,0.2,0.4,0.2,5.2,174.1,0.7,0.3,1.6,0.2,0.2,0.2,0.3,1.3,0.7,0.5,0.4,0.1,0.9,4.6,0.3,0.1,0.1,0.4,0.1,0.4,0.2,0.2,0.1,0.2,0.3,12,0.6,13.9,1.1,128.9,0.8,0.5,0,641,0.8,363.2,2.9,12,0,10.3,73.6,0,1464
"DOM_C22",23.9,0.3,54.3,11.5,0,161.8,86.4,20.8,27,1.9,88.3,15,319.3,35.9,11.1,30,30.4,88.1,53.3,143.7,7.8,81.4,7.1,6.2,985.2,346.9,43,0.1,0.1,8.6,1.9,2.8,12,3.1,0.7,11.9,11.3,42.5,19.4,32.8,2.7,3.2,1.6,11.4,0,247.3,0.1,2.7,67.3,39.8,0,1,688.5,0,3893.7
"DOM_C23",61,1.3,14.7,8.7,0,122.1,28.6,33.7,8.1,1.8,36.1,5.4,71.2,375.6,68.4,45.1,83.3,61.1,33.9,26.8,5.6,49,11.4,7.4,1247.8,323.1,25.4,0.4,0.3,9.6,0.9,18.8,12.2,8.5,0.9,18.3,109.3,59.6,38.6,10.2,9,12.6,36.7,60.1,0,765.4,0.1,2.8,30.8,47.5,0,1.4,502.2,0,4512.9
"DOM_C24",11.1,0,43.1,76.9,0,29.3,15.1,17.7,5.7,2,19.2,1.5,55.5,65.9,1272.1,964.1,64.4,142.9,551.7,269.2,122.6,91.4,15.2,44.8,401.8,183.4,54.2,0.5,0.2,3.6,0.3,1.1,6.8,1.8,0.1,0.6,11.4,38.2,11,13.6,2.2,1,2.7,11.1,0,9.9,0,0,0,82.1,0,0,1714.6,0,6433.4
"DOM_C25",79.4,0.5,118.6,12.4,0,91.8,11,36.9,5.5,1.7,16.7,1.6,45,22.8,41,150.8,28.1,30.4,160.7,342.2,49.8,98,20.1,7,398.3,219.8,13.4,0.5,0.7,6.9,2.8,3.2,4,5.9,1.8,2.4,26.4,72.3,30.4,38.4,2.7,2.6,8.2,17,0,247.5,0.1,3.3,569.4,31.1,0,1.4,1127.4,0,4210
"DOM_C26",8,0.2,9.9,2.1,0,9.6,3.9,2.3,2.8,1.3,3.8,1.6,3.2,3,4.5,3.9,263.5,12,11.7,7.8,4.2,14,11,1.4,41.2,66.4,6.5,1.1,1.4,5.2,0.6,3.4,17.5,112.6,12.3,16,4.1,29,8.3,25.5,8.1,40.1,5.9,37.7,0,505.3,2.8,11,878.1,29.1,0,15.1,782.1,0,3051.9
