"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",924.4,0.7,0,1.1,0.1,3206.8,42.1,431.8,540.6,5.6,133.8,6.5,43.2,4.1,1.8,6,2.1,2.4,2.6,11.7,0.8,13.7,9.3,7.3,39,115.7,10.7,1.2,5.5,5.7,0.6,240.2,4.2,6.6,7.9,6.3,10.5,37.6,40.8,25.9,5.1,60.2,4.9,23.3,0,2468.9,1.9,7.1,437.1,-1.9,0,49.3,1271.4,0,10284.3
"DOM_A03",0.4,17.8,0,0,0,28.6,0.5,0.2,0.3,0.2,0.3,0.3,0.2,0.2,0.1,0.3,0.1,0.1,0.1,0.3,0,0.3,1.6,0.6,0.7,2,0.4,0.1,0.2,0.2,0,45.6,0.1,0.3,0.3,0.3,0.3,1.1,0.6,0.9,0.2,1.5,0.2,0.2,0,484.7,0.1,0.2,3.3,0,0,2.1,79.1,0,677
"DOM_B05_06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07_08",1.4,0,0,43.8,1.9,5.4,0.4,0.4,2,0.2,3.7,0.2,0.2,362.3,1.6,18,0.1,7.8,0.7,0.6,0,0.8,0.3,7,192,9,1.2,0.1,0.3,0.6,0,1,0.2,0.2,0.3,0.2,1,1.4,0.8,6.7,1,0.6,0.2,0.2,0,7.6,0,0.2,13,2.5,0,0.1,689.8,0,1388.9
"DOM_B09",0.3,0.2,0,4.6,0.8,0.2,0,0,0.4,12.3,0.9,0,0.1,2.4,1.3,0.5,0,0,0,0,0,0,2.4,0.3,6,0.1,0.7,0,0.1,0.5,0,0,0,0,0,0,0.4,0.3,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,35.7,0,70.9
"DOM_C10T12",925.5,11.9,0,1.5,0.2,2022.8,28.1,1.9,13.1,0.5,94.5,24.6,2.5,2.7,1.2,5.5,2.2,1.4,1.8,2.5,0.3,6,1.3,2.8,18.3,157.7,5.1,1,3.9,2.6,0.2,2066.1,7.6,1,4.2,2.6,8.8,24.1,11.5,17.4,6.7,309.8,5.2,1.7,0,10624.9,0,19,0,-2.4,0,216.1,3291.2,0,19959.1
"DOM_C13T15",16.9,3.8,0,1.6,0.1,8.4,2957.9,1.4,7.6,0.7,8.2,18.1,39.6,8.9,0.6,10.7,1,1.4,18.6,149,5.4,155.4,2.4,1.6,27.4,72.9,3.1,0.4,2.2,2.5,0.2,57.2,3.1,0.6,2.1,0.9,5.8,9.5,9.9,5.3,5.5,223.5,44.5,5.3,0,4593.2,0,0.7,15.2,-5.6,0,153.9,4206.9,0,12865.4
"DOM_C16",41.4,0.1,0,0.9,0.1,80.2,3.6,804.5,44.1,1.2,9.9,1.1,12.2,43.4,55,20.7,0.9,18.9,6.4,5,2,256.7,1.4,70.1,564.6,75.8,4.1,0.2,0.8,9.8,0.1,17.1,0.6,0.9,1.4,1.2,18,11.6,18.9,15.5,2.3,6.4,3.3,3,0,75,1.1,8.1,52.9,-5.1,0,10.7,1549.8,0,3927.6
"DOM_C17_18",29.4,1.9,0,2.8,0.2,347.6,30.9,22.6,1024.2,2.7,31.2,17.3,23.3,37.7,8.6,16,8,7.7,5.7,13.4,4.6,28.2,117.7,11.3,21.5,233.8,15.5,4.5,3.8,9.2,2.8,30.7,111.1,9.7,24,32.5,189,101.5,79.8,33.3,63.5,64.8,12.7,29,0,488.6,1.6,3.6,42.3,-1.7,0,26.2,1999.1,0,5425.4
"DOM_C19",154.7,29.8,0,21.3,1.1,64.1,25.4,21.1,36,177.5,117.8,7.9,28.4,74.9,5.6,38.7,4,7.8,8.7,12.4,1.3,34.7,121.4,39.1,213.8,345,763.2,20.2,499.1,32.4,5.6,14.5,5,4.8,8.2,20.4,5.2,55.1,63.3,114.4,24.6,149.5,18.1,18,0,1039,0.7,8.8,6.4,0.8,0,43,660.4,0,5173
