"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",3235.5,45.4,0,0,0,4536.5,91.2,531.3,102.4,1.7,3.4,0.4,1.6,2.2,0.4,0.1,0.9,0.9,1.2,0.6,0.4,114.4,1.3,0.9,52.7,207.7,8,0.5,0.3,1.7,0,15.5,0.4,0,2.4,1,0,44.6,13.2,0.4,0.7,2.4,1.9,9,0,5296.6,0,396.1,70.5,181.6,0,26.7,3653,0,18659.5
"DOM_A03",0,26.9,0,0,0,220,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,18,0,0,0,0,0,7.1,0,0,0,0,0,0.1,0,0,0,0,0.1,0.3,0,156.9,0,0.1,0,10.4,0,1,5.5,0,446.5
"DOM_B05_06",0,0,0.2,0,1.4,0,0,0,0,1125.6,0.1,0,0.1,0,1.7,0,0,0,0,0,0.3,0,622.6,3.7,0,0.7,88,0,0,0,0,5,0.8,0,0,0,0,1.2,0,0,9.7,0.4,6.9,3.3,0,124.8,0,0,39.6,25.6,0,0,48.2,0,2110
"DOM_B07_08",0.3,0.1,4.3,17.3,1.6,0.1,0.8,0.1,0.3,16.4,1.8,0,2.5,127.1,28.5,3,0,0,0,2.1,0.1,0.2,19.2,0.6,19,22.3,2.4,0,0,0,0,0.4,0.1,0,0,0,0,4.3,0,0,0,0,0.5,0.7,0,19.9,0,0,5.6,2.8,0,0,21.7,0,326
"DOM_B09",1.5,0.1,32.1,4.3,10.1,1.6,0.1,0.1,0.4,59.7,1.6,0,0.3,7,13.8,0.8,0,0.1,0.3,0,0,0.2,18.5,0.5,32,1,3,0,0,0.4,0,0.1,0,0,0,0,0.6,0.8,0.2,0.4,0,0.1,0.1,0,0,0,0,0,0,0,0,0,80.7,0,272.6
"DOM_C10T12",404.5,0.9,9.1,1.7,0.1,2510.4,49.8,25,11,6.3,16.5,14.1,4.7,15.7,10.8,17.3,15.3,40,16.2,51.3,6.1,20.1,11.1,36.4,119.9,540.1,40.6,3.8,8,55.4,10,1369.4,16,29.5,46.6,16.3,14.2,174.8,67.6,54.5,118.6,348.4,166.4,268.8,0,15600.6,0,119.8,0,355.8,0,92.8,1370.1,0,24302.5
"DOM_C13T15",19.3,0.1,11.2,0.4,0.4,23.9,548.3,28.5,7.3,9.2,12.6,0.6,58.4,21.6,21,15.2,16.1,29.7,29.5,69.9,6.9,107.5,23.1,8.6,98.3,526.9,67.4,0.6,0.8,12.4,2.2,9,29.8,6.4,9.1,2.4,7.5,72.5,16.6,68.6,5.2,123.6,5.4,62.4,0,2518.3,0,0,0.2,131.6,0,47.4,2288.9,0,7182.9
"DOM_C16",17.6,0.4,0.3,2.4,0.2,11.2,6.1,320.9,27.5,2.3,5.3,0.6,5.8,26,22.5,7.6,8.4,19.7,24.3,22.3,12.8,330.2,6.6,7,499.5,232.2,35.8,0.3,1,10.8,1.9,1.4,3.1,5.8,9.6,2.6,27.2,35.5,12.9,0.5,0.5,1.8,10.1,8.3,0,584.2,0,0,0.3,41.5,0,3.9,1360.7,0,3779.5
"DOM_C17_18",17.9,0.6,3.6,0.5,0.2,21.2,17.8,21.6,108.7,1.8,15.5,1.7,5.8,24.2,16.9,14.9,20.6,52.6,16.2,53.9,3.7,40.8,19,12.4,34.5,385,17.4,0.3,8.4,11.2,12.8,5.7,64.3,34.4,10,38.4,36.4,51.1,13.4,66,132.5,38,53.4,11.5,0,567.4,0,1.3,0,24.4,0,10.5,302.4,0,2422.5
"DOM_C19",360.1,0.5,15.4,8.4,9.3,59,18.6,23.2,11.3,15.9,102.5,1.1,29,49.4,389.7,23,2.4,13.4,17.5,55.7,9.5,15,205.8,15,276.6,923.6,735.7,10.9,28.8,21.5,3.9,3.9,6.2,11.7,19.3,10.2,11,80.3,25.8,24.4,1.9,9.4,12.5,35.3,0,3371.3,0,0,0,94.8,0,26.3,1006,0,8201.8
"DOM_C20",243.9,3.5,4.8,0.5,1.6,36.2,89.2,28.3,26.5,15.6,274.4,12.5,313.5,33.7,28.3,32.5,24.2,53.7,26.2,109.5,9.5,75.1,24.2,58.4,166,414.3,59.5,2,1.8,3.5,1.5,9.5,19.6,1.2,18.7,3.8,87.3,35.7,44.2,13.5,11.1,63.1,4.3,6.1,0,172.5,0,1.5,0,32.3,0,6.4,1061.6,0,3767.2
"DOM_C21",7.4,0,0.1,0,0,2.6,0.8,0,0,0,0,7.4,0,0,0.3,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0.4,0,0,0.2,0,0,7.6,0.2,0,0.1,241.5,0,0,0,232.1,0,109.2,0,6.2,0,1.2,107.8,0,725.4
