"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",15495.6,11.8,12.4,1.6,43.2,30561.7,207.4,2292.1,910.7,45.4,55.1,18,128.6,28.6,46,23.3,5.7,5.9,6.6,9.5,8.5,135.6,199.2,10.8,266.7,431.3,54.1,9.4,8.7,202.4,1.2,824.7,6.3,5.9,2.1,220.5,77.4,30.4,19.6,1099.4,125.9,245,27.7,148.2,0,53918.7,1.7,1183,512.8,1393.5,0,134.9,9280.8,0,120495.7
"DOM_A03",78.5,82.3,2,0.4,5.9,1705.9,1.2,2,1.5,8.5,3.5,0.6,1.1,4,6.6,5.1,1.5,0.9,1.5,3.5,1.3,1.9,6.6,0.8,17.7,36.8,5.6,4.2,1.3,11.9,0.1,228.2,1.3,0.8,0.4,5.4,3.1,4.5,1.8,38.6,6.1,15.6,1.3,2.6,0,2298.9,0.3,329.5,13.7,59.8,0,16.2,2412.4,0,7445
"DOM_B05_06",273.2,92.4,1349.6,20.1,2183.3,141.7,8.5,26.7,55.6,61405,595,7.9,20.9,174.9,1967.4,63.3,19.7,20.3,32.4,32.4,27.8,80.8,23207.6,64.7,641.2,4866.6,1846,68.2,309.1,505.4,9.4,27,10.9,30.6,7.8,206.5,140.7,144.9,83.8,349.1,41.7,52.5,121.2,21.7,0,2445.2,1,41.1,1813.9,2287.6,0,27.5,83298.9,0,191270.6
"DOM_B07_08",33.1,1.4,64.5,20.4,223.8,59.2,3.2,5.2,9.8,24.9,373.5,4.5,23.2,714.7,2697,102.4,7.1,16.3,19,19.5,23.9,517.3,46.9,48.2,1183.7,61.5,55.2,2.2,8.9,206.1,0.5,8.2,1.4,3.6,1.2,2.4,45.5,16,7.6,42.3,9.2,9.8,4.2,22,0,238.8,0.2,24.4,393.3,89.5,0,4.7,10708.6,0,18210
"DOM_B09",47,5.7,11780.2,6.7,54004.6,86,7.1,9.6,14.7,14447.3,47.2,5,17.3,55.3,86.8,46.5,32.7,18.2,33.1,32.2,20,49.9,239.7,26.6,866.8,240,288.5,10.3,41.3,123.7,2.6,21.7,9.5,29.6,15.3,25.7,173.9,239.2,56.1,203.1,43.8,41.9,25,11.4,0,468.5,0.4,36.8,40188.8,33,0,9,2031.1,0,126356.5
"DOM_C10T12",3772.2,67.2,22.8,2.9,83.9,15073.5,54.1,20.4,38.2,361.9,131.2,30.6,45,54,108.6,61.6,26.9,21.2,27,33.5,20.9,39.3,184.8,21.7,227.4,1065.3,99.4,9.8,28.2,236,3.3,3375.6,18.2,14.1,7.9,303.6,73.7,87.8,35.4,1759.9,376.1,839.7,35.5,98.2,0,117162.7,13.3,110.4,307.7,2457.2,0,318.5,9838.8,0,159207.4
"DOM_C13T15",32.4,25.2,10.6,2.2,45,92.1,748.4,6.8,12.9,46.7,19.8,5.6,94.6,24.9,44,22.3,11.8,8.5,18,47.1,17.4,140.3,58.9,8,193.1,107.2,31.4,2.6,2.7,29.3,12.1,39.1,2.1,7.7,0.9,3.4,18.1,31.8,14.4,357,19.4,72.3,20.1,43.5,0,8691.2,0.7,6.2,47.5,233.3,0,71.1,694.5,0,12296.1
"DOM_C16",101.6,1.1,8,1.4,16.4,110.5,2.7,856.6,134.2,15.3,38.4,6.8,10,177,59.8,100.8,6,28.7,11.2,17.2,21.1,1110,36.9,5.2,2626.4,120.6,34.7,2.8,2.9,144.8,0.2,6,2.1,3.9,0.7,1.8,875.6,14.7,10.5,53.6,17.8,10,8.6,58.2,0,983.2,0.1,6,47.9,141.7,0,15.3,5893.1,0,13960.1
"DOM_C17_18",252.8,35.1,12.7,2.6,33.5,2272.8,39.6,209.6,2955.7,70.3,176.1,70.5,119.8,282.9,65.3,100.8,41.1,54,33.5,32.9,18.8,172.3,118.6,48.6,253.3,2473.7,51,4.6,8.8,144.4,40.2,270.2,1233.4,55.5,77,363.5,474.1,292.1,118.9,1063.8,127.8,91.6,52.6,249.1,0,2742.6,0.5,29.9,102.4,232.7,0,49.2,3388.7,0,21211.4
"DOM_C19",2957.2,1047.6,889.7,191.3,2671.9,1016.2,104.1,284.8,304,23563.7,6030.5,84.2,551.1,943.2,3471.4,469.2,116.4,187.6,219.4,177.4,172.6,328.6,7033.9,546.4,5373.1,6291,9022.7,709.1,3328.7,4542.6,61.7,141.3,44.4,103.1,24,175,435.5,439.8,401.9,2509.2,142.8,307.4,73.3,143,0,16998.2,0.6,96.3,311.3,1935.9,0,142.7,101141.1,0,208258.4
