"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",1025.3,7.8,38.9,0,2.1,5740,164.5,1.4,12.4,289.7,47.6,1.9,41.6,0,0,0,0,0,0,0.1,0,1.7,0.2,0.1,300.8,572.5,0,0.5,0,0.1,0.3,354.2,5.8,3.4,0,0.1,10.6,0.2,44.9,101.1,86.7,13.7,49.9,2.4,0,6731.5,0,198.1,1257.7,1459.5,0,40.1,335.5,0,18944.6
"DOM_A03",38.8,0,0,0,0,67.5,0,0,0,0,1.8,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,7.7,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0.5,1.2,0.7,0,0,0,996,0,0,0,111.3,0,5.7,2.1,0,1251.6
"DOM_B05_06",0,0,0.2,0,0,0.3,0.1,0,0,20.6,1.2,0,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,2.3,0,0.3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,2391.2,0,0,0,-118.5,0,0,239262.5,0,241561
"DOM_B07_08",0.2,3.9,0.6,12,0,6,0.2,0,4.3,0,403.4,2.5,0.3,431.1,312.7,3,0,1.8,0,0.1,0,1.1,11.4,21.3,817,4.2,0,0,0,1.3,0.3,0.5,0.1,3.8,0.2,0,0,0.2,0.1,0.4,0.2,0.1,0.4,0.1,0,0,0,0,0,190.4,0,0,178.6,0,2413.7
"DOM_B09",0.1,0,1.4,0,0,3.2,0.7,0.1,0.5,108.8,11,0.1,0.8,1,1.6,1.3,0.1,0.9,0.6,0.3,0.1,0.3,0.7,0,0.3,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0,0,1.6,0,0,0,500.5,0,636.9
"DOM_C10T12",287.6,17.5,53.7,0,2.9,527.4,40.7,0,1.1,0,15.1,0.6,0,0,0,0,0,0,0,0,0,0,9.8,7.9,24.4,81.1,0,3,16.5,0,0,360.1,22.5,17.1,1.3,1.6,8.3,7.7,50.3,175.1,251.4,84.8,20.7,10.8,0,15880.7,0,0,0,2129,0,222.5,1985.1,0,22318.4
"DOM_C13T15",3.1,6,24.5,0,0.6,8.8,417.1,0.5,6.8,0.7,21,0.8,12.6,3.1,5.4,0.7,0.4,1.9,3,5.1,0.5,14.5,1.7,5.3,69.3,28.8,0.2,0.1,14.8,0.8,1.8,22,1.5,19.7,0.2,0.1,1.8,4.4,4.5,45.2,12.7,18,4.8,17,0,4080.1,0,0,143.2,488.9,0,42.3,477.7,0,6043.7
"DOM_C16",14.8,5.4,3.6,4.4,0.2,47.7,20.9,132.2,50.5,0.6,16.6,0.3,4.6,16.2,4.5,6.5,0.5,5.2,1.9,0.7,0.9,87.9,0.2,1.2,508.7,23.8,0.1,0,0.4,16.5,0.1,27.4,1.8,1.6,0,0,0.3,3.3,3.6,3.7,0.6,5.8,3.2,27.8,0,0,0,0,34.8,94.8,0,2.5,24.6,0,1212.8
"DOM_C17_18",3.6,0.4,29.1,0.7,1.1,61.3,8.8,2.5,157.9,44.1,84.9,4.4,8.2,9.2,2.3,1.5,0.8,3.7,1.9,0.9,0.4,8.7,20,15,9.1,98,1,0.1,1.9,9.8,1.1,22.8,105.2,14.4,5.1,15.3,4.5,91.7,32.6,136.8,61.3,44,27.8,33.4,0,2051.4,0,5,0,332.8,0,19.7,1053.3,0,4649.6
"DOM_C19",53.5,11.2,112.6,9.6,2,16.4,6.1,3.2,5.1,1451,601.9,7.4,13.2,31.3,22.3,4.5,0.2,2.8,4.9,0.7,0.7,4.8,304.9,17.4,182.3,46.1,78.4,3.4,344.6,18.9,1.5,23.9,3.3,50.9,0.3,0.8,0.3,4.3,21.1,84,59.7,33.4,3.5,12.2,0,1372.2,0,0,0,1536.8,0,135.9,21845.8,0,28551.4
