"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",183.6,0,0,0,0,712.2,8.5,7.4,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,1.8,0,0,0.9,13.3,4.9,0,0,0,0,68.5,0,0,0,0,0,0,0,2.7,0.6,1.8,0.1,0.1,0,1546.6,0,0,103.6,74.9,0,3.2,149.4,0,2884.3
"DOM_A03",0.7,6.5,0,0.2,0,112.1,0.3,0.1,0.1,0,0.2,0,0,0.3,0,0.1,0,0,0,0,0,0.1,0.5,0.1,1.3,0.2,0.3,0,0,0.1,0,3.8,0,0.3,0,0.1,0,0.2,0.1,1,0.2,0.1,0,0,0,104.3,0,0,3.6,8.6,0,0.3,75.5,0,321.6
"DOM_B05_06",0,0,1.7,3.4,0,2.4,0,0,0,7.6,21.3,0,0,10.4,0,0,0,0,0,0,0,0,0.8,0.1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,1.3,0,0,1.3,0,66.6
"DOM_B07_08",3.3,0.6,0.2,4.3,0,15.6,1.6,0.5,0.4,0.2,31.6,0.1,0.2,17.2,73.2,0.5,0,0.2,0.1,0,0.2,2.1,2.5,0.4,41.1,0.8,1.4,0,0.2,0.6,0,2.5,0.1,1.6,0.1,0.4,0.1,1.2,0.5,1.5,0.7,0.4,0,0.1,0,78.4,0,0.1,13.7,68.2,0,0.5,453,0,822.3
"DOM_B09",0,0,0.5,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,1,0,16.1
"DOM_C10T12",78.5,4.4,0,0.8,0,310.5,5.9,0.4,0.4,0.2,1,1.2,0.3,2.8,0.2,0.5,0,0.2,0.1,0,0.2,0.5,2.1,0.7,5.9,16.9,3.3,0,0.1,2.4,0,111.4,0.1,1.7,0.1,0.8,0.1,1.1,0.5,10.1,1.4,3,0.2,0.2,0,2637.4,0,0.2,22.6,98.6,0,6.3,364.3,0,3699.8
"DOM_C13T15",1.6,0,0,0,0,0.9,50.4,1.6,0,0,0,0,0,0.1,0,0,0,0,0.8,0,0,0.8,0.2,0.1,0.2,0.1,0.1,0,0,0,0,1.3,0,0.1,0,0,0,0.1,0.3,4.6,2.5,0.8,0.1,0.3,0,466.9,0,0,1.3,21.1,0,8.9,72.8,0,638.1
"DOM_C16",0,0,0,0,0,7.4,0.5,10.7,0.1,0,0,0,2.5,0,1,5.3,0,0,0,0,8.6,17,0,0,19.8,0,0.1,0,0,9.4,0,0,0,0,0,0.1,0,0.9,0,0.8,0.5,0.2,0,0,0,54.8,0,0,4.8,4,0,0.5,4.3,0,153.7
"DOM_C17_18",0.3,0.2,0,1.1,0,16,0.3,0.2,14.3,0.3,2,0.5,0.3,10.1,0,0,0,0,0.2,0,0,0.4,0.4,2.2,2,7.7,2.2,0.1,1.2,2.8,0,1.6,5.5,5,2.1,10.1,0.5,9.2,3.2,13.5,13.4,2.7,0.4,0.5,0,16,0,0,0,4.6,0,0.8,9.6,0,163.4
"DOM_C19",5.8,16.7,0.6,16.2,0.2,23.5,0.9,0.6,0.4,0.5,17.7,0.5,0.7,17.3,0.2,0.4,0,0.1,0.1,0,0.1,0.6,108,5,38.6,11.2,54.2,1.2,2.4,6.8,0,2.1,0.3,4.5,0.4,2.9,1.4,7.9,3.6,16.3,1.7,3.5,0.2,0.3,0,77.5,0,0,1.6,12.4,0,2.6,217.1,0,686.8
"DOM_C20",69.6,0.5,0.3,2.8,0,11.1,0.9,0.1,0.8,1.8,48.3,1.7,24.5,17.3,0.1,0.3,0,0,0.1,0,0,0.4,0.2,2.5,38.5,1.6,1.2,0,0.2,2.2,0,1.5,0,0.5,0.1,0.5,0.2,2,2.4,1.4,0.4,1.9,0,0.1,0,75.8,0,0,0.5,8.5,0,1.2,242.3,0,566.3
