"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",0.2,0,0,0,0,26.1,2.2,0,0,0,0,0.4,0.1,0,0,0,2.3,0,0.5,0,0.1,0.1,0,0,2.7,0.2,0,0.1,0,0,0,27.2,0.6,0.1,0.1,0.4,0.6,2.1,0.2,0.2,0.1,0.2,0.2,0.2,0,71.3,0,0,2.1,-2.8,0,0.7,15.6,0,154.1
"DOM_A03",0,2.6,0,0,0,5.9,0.6,0,0,0,0,0.2,0,0,0,0,2.2,0,0.2,0,0,0,0.2,0,0.1,0.3,0,0.1,0,0,0,35.6,0,0.1,0.1,0.4,0.1,0.4,0.1,0.3,0.1,0.1,0.8,0.9,0,72,0.1,0,0,0.9,0,0.3,4.7,0,129.6
"DOM_B05_06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07_08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",6.6,2.9,0,0,0,1198.1,5.7,0.1,2,4.3,100.9,80.6,0.8,0.6,0.8,1.7,50.5,1.1,9.9,1.1,2.6,12.1,0.7,0.7,11.2,21.9,1.1,99.9,1.6,10.2,4.7,1015,7.4,1.2,6.6,47,9.3,19.1,5.2,41.9,1.7,41.6,6,16.8,0,1941.2,1.2,5.5,42.5,64.8,0,170.5,2918.1,0,7996.9
"DOM_C13T15",0,0,0,0,0,0.4,110.6,0,4.1,0.1,0.3,0.1,0.4,0.1,0.3,0.1,6,0.1,0.9,2.4,0.8,9.5,0.1,0.3,20.6,49.5,2.1,2.6,0.2,3.3,0.2,5.6,2.9,1.7,0.2,0.3,0.7,11.2,6.6,4.6,2.2,6.1,2.7,6.1,0,447.4,0.2,0,1.5,10.3,0,48.1,168.7,0,942.3
"DOM_C16",0,0,0,0,0,1.1,0.1,26.3,6.1,0.2,0.5,0.1,0.1,1,0,1.4,9.6,1,1.7,0.5,2.7,52.2,0,0.1,79.4,1.6,0,1.4,0.1,3.6,0,0.5,0.9,0.1,0.3,0.3,0.9,3,0.8,0.3,1.9,0.6,0,0.6,0,8.2,0,0,2.7,1.9,0,4.5,48.4,0,266.8
"DOM_C17_18",0.1,0.1,0,0,0,13.9,3.3,0.2,223.9,0.6,4.8,3,2.7,1.9,0.8,13.9,113.8,13.4,22.2,4.4,5.6,36.4,0.3,2.8,14.3,432.6,1.4,3.1,1.1,13.5,4.7,23.3,44,14,41.8,59.6,6.3,126.5,32.9,26.7,42,14.5,11.3,8.1,0,263,0.1,0,15.5,15.7,0,24.7,1040,0,2749
"DOM_C19",3.2,3.5,0,0,0,24,1.7,0.2,6,884.6,2259.2,2.9,3.1,11.8,16.4,11.2,96.1,27.7,58.4,5.4,47.9,32.1,160.1,62.9,488.7,1514.7,328.6,4338.6,1068.6,157.9,19.5,105.6,60.5,25,211.6,120.3,58.2,136.2,161.9,159.5,21.2,42.8,9.6,22.5,0,381.9,0,0.1,28.5,204.9,0,32.7,14475.8,0,27893.7
"DOM_C20",1.5,0.6,0,0,0,75.5,24.9,2.3,115.1,23.9,2486.3,102.2,206.4,52.2,12,110.7,3667.2,55,149.3,12.2,34.1,278.1,7.1,53.9,271.3,432.3,5.3,53.6,8.5,105.4,4.1,34.9,126,26.7,32.7,73.1,42.9,393.1,153.8,57.6,46.3,212.9,11.5,98.5,0,503.1,0.3,1.2,126.4,161.6,0,92.1,32577.8,0,43123.4
"DOM_C21",0.2,0.1,0,0,0,20.6,0.7,0.1,1.1,5.7,18.8,679.5,0.5,0.5,1.6,1.3,25.3,0.8,6.2,0.5,1.5,25.7,0.9,0.5,6.7,8.4,0.7,9.5,2,10.6,0.1,3.7,3.1,0.5,1.4,1.3,0.8,26.4,4.5,24.7,0.5,334.7,1.1,13.2,0,223.9,0.4,89.4,32.2,49.4,0,55.1,6689.1,0,8385.3
