"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",557.6,0.8,0.2,1.1,0,545.3,4.3,193.3,185.9,4.4,56.6,3.6,41.3,4.3,6.2,10.6,4.8,3.6,6.4,16,1.1,13.5,34.1,2.2,49.9,130.7,16.7,0.3,0.5,8.3,0.4,33,2,0.8,2,3,17.9,15.5,41.6,5.8,3,6.7,2.7,6.1,0,1107.6,4.5,16.7,271.3,68.5,0,25.6,922.8,0,4461.3
"DOM_A03",0.1,0.2,0.1,0.6,0,1.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,1.4,0,0,0,0,0,0.4,0,0,0,0.1,0,0.4,0.1,0.1,0,0.1,0,0.5,0,2.9,0,0,0.1,0.1,0,0.8,2,0,12.6
"DOM_B05_06",1.1,0,0.4,0.6,0,0.4,0.3,0.3,1.7,7.5,0.2,0,0.2,2.1,11.3,0.3,0.1,0.2,0.2,0.6,0,0.1,32,0.2,5.3,1,0.8,0,0.1,0.6,0,0.1,0.1,0,0.1,0.2,0.9,0.7,0.2,0.3,0.1,0.1,0.1,0.1,0,5.3,0.1,0.7,4.7,1,0,0.2,26.3,0,108.9
"DOM_B07_08",7.5,0,0.3,7.1,0.1,2.1,1.6,0.6,2.4,23.8,2.9,0.3,1.5,46.5,68,0.8,0.3,0.5,0.6,0.8,0.1,0.2,42.8,1.2,54.6,4.4,2.1,0,0,1.9,0,0.1,0.1,0,0.1,0.1,12.6,3.7,2.5,0.7,0.3,0.1,0.1,0.1,0,13.5,0.1,0.5,6.9,6.4,0,0.2,51.9,0,375
"DOM_B09",3.2,0,3.5,10.7,32.1,0.6,0,0.1,4.5,60.9,0.1,0,0.2,5.1,5.9,0.4,0,0,0.6,0.1,0,0,31.8,1.1,11.7,1.1,1,0,0,15.8,0.1,0,0,0,0,0,24.7,2.4,0.5,0.2,0.4,0.2,0,0.1,0,0,0,0,0,0,0,0,1.4,0,220.6
"DOM_C10T12",87.5,0.6,0,0,0,201.4,0.1,0,0.4,0,14.5,0.1,0.3,0,0,0,0.1,0,0,0.1,0,1.1,0.1,4.7,0.5,51.3,24.2,0.3,0.2,40,0,99.4,5.2,0.1,0.4,0.2,0.2,0.8,2.8,14.1,7.7,17,3.2,9.7,0,3230.7,0,0,5.3,91.7,0,59.6,1003.4,0,4979.1
"DOM_C13T15",0.9,0,0,0.2,0,2.5,103.5,0.4,3.5,0.2,0.3,0.1,1.8,0.6,1.5,11.8,0.5,1.4,9.2,56.6,0.8,7.8,1.8,0.6,3.9,8.7,0.8,0,0.2,0.7,0.1,0.8,0.9,0.2,0.5,3.9,0.4,2.2,1.7,17.6,1.9,2.2,1.1,1.2,0,763.6,0.4,0.9,6,40.9,0,17.8,687,0,1771.6
"DOM_C16",17.3,0,0.2,0.9,0,13.7,4.3,195.8,19.5,2.9,8.2,0.6,13.5,11.1,9.7,14.7,5.4,9.9,11.1,17.4,1.1,63.5,30.1,1.9,140.7,73.2,13.8,0.1,0.2,7.3,0.2,5.7,1.5,0.6,1.8,1.2,10,13.6,13.7,6.7,3.9,4.4,1.1,35.3,0,173.6,0.8,11.6,90.5,22.4,0,5.8,625.8,0,1718.6
"DOM_C17_18",4.2,0,0,0.2,0,44.3,7.6,3.5,137.8,0.6,6.9,5.7,8,5.3,1.9,11.8,4.8,5.1,7,9,0.1,3.9,6.2,1.3,3.9,43.4,1.9,0.1,0.3,2.3,0.9,8.8,18.5,1.4,24.9,5.3,3.5,69.8,79.5,16.9,15.8,3.3,5.2,6.1,0,295.5,0.5,2.6,120.7,1.1,0,10.3,1004.9,0,2022.6
"DOM_C19",139.8,0.1,0.8,6.9,0.4,31.2,11.2,8.9,10.1,166.9,58.2,2.7,57.2,23.4,46.5,14.4,3.1,7.3,14.4,32.3,21.5,7.4,13.8,26.8,77.5,189,551.1,10.4,17.3,38.4,3.7,24.7,4.1,5.1,8.1,6.9,84.4,111.9,147.9,37.9,27.6,24.7,10,17.2,0,648,0.1,13.3,15.6,45,0,31.5,1014.8,0,3871.4
