"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",225.7,0.1,0.6,0.5,0,259.8,3.4,63.5,12.9,0,4.7,4.9,20.1,3.7,4.5,8.3,2,4.5,3.8,6.9,0.5,6.2,14.3,5.6,28.9,64.5,9.2,0.1,1.7,2.3,1.3,24.5,2.9,4.1,1.7,6.8,4.6,17.7,6.3,6.4,10.6,8.8,6,4.5,0,785.6,7.2,7.8,73.3,5.9,0,24,453.7,0,2227.2
"DOM_A03",0.1,0.7,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.1,0,0.1,0.4,0.1,0,0,0.3,0,1.5,0.3,0,0,0.1,0,0.2,0.1,0,0.2,0.1,0.6,0.1,0,6.8,0.9,0.1,0,0.1,0,0.8,2.6,0,17.1
"DOM_B05_06",0,0,0.3,0.2,0,1.2,0.1,0.1,3.3,0,3.5,1.3,0.3,2.2,11.8,0.4,0,0.1,0.1,0.4,0,0.1,101.8,0.8,1,3.4,0.3,0,0,0.6,0,0.6,0,0.1,0.1,0.2,0.4,1.2,0.2,0.2,0.3,1.5,0.3,0.1,0,0.5,0,0,1.8,0.3,0,0,3.9,0,145.2
"DOM_B07_08",0.5,0,0,2.4,0,2.4,0.1,0.1,1.3,0,6.5,2.5,0.1,21.8,22.1,2.3,0.1,1.1,0.1,0.2,0,0.6,0.8,2.1,29,3,1.1,0,0,1.1,0.1,1.3,0.1,0.1,0,0.6,0.9,2.8,0.6,1.1,0.3,2.7,0.5,0.1,0,1,0,0,5.7,0.4,0,0,99.9,0,219.6
"DOM_B09",0,0,0.2,0.4,0.1,0,0,0,0.1,0,0.1,0,0,0.4,0.9,0.1,0,0,0,0,0,0,1,0,1.6,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,6.1
"DOM_C10T12",90.9,1.2,0.1,0.8,0,237.7,0.2,0.7,1,0,11.5,4.9,0.4,0.7,0.2,2.9,0.4,1.1,0.8,0.5,0,2.3,2.6,0.7,5.1,47,2.2,0.1,1.9,1.4,0.1,157.7,1.2,0.2,1.2,10.1,4.6,6,5.1,2.8,43,25.9,10.8,1.5,0,1307.4,0.1,0,0,7,0,43.6,401.3,0,2448.8
"DOM_C13T15",0.7,0,0.1,0.2,0,1.6,123.8,1.7,1.7,0,3.8,3.7,27.2,1.5,0.8,1.9,0.3,1.8,0.9,17.8,0.1,4.6,1.2,2.1,3.3,11,1.2,0,0.2,1.4,0.6,3.1,0.9,0.4,0.4,0.9,2.1,9.3,2.2,2.2,2.6,13.1,4.6,0.8,0,318.3,0,5.8,14.8,2.7,0,22.2,395.1,0,1017
"DOM_C16",4.8,0,0.3,0.2,0,2.4,0.5,33,3.3,0,2.7,2.7,3.2,2,2.9,20.3,0.6,4.6,3.7,10.3,0.2,28.9,5.4,2.2,32.3,12.8,3.2,0,0.4,0.6,0.1,1.6,0.5,0.4,0.4,1.7,1.7,14.7,1,2.3,1.3,1.8,0.7,0.5,0,38.2,0,1,27.2,1,0,2.3,699.5,0,981.2
"DOM_C17_18",2.5,0.1,0,0.4,0,29.3,1.3,2.5,234.4,0.1,5,99.2,8.3,8,1.7,4.4,2.3,15.9,3.4,10.6,0.3,6.2,4.3,6.5,3.9,80,2.7,0.1,0.6,5.4,0.7,10.4,25.1,5.2,3.7,20.5,1.8,55.3,8.7,9.8,9.3,5.7,9.4,4.2,0,80.1,0.1,1,3.6,3,0,9.8,693.3,0,1499.9
"DOM_C19",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1,0.1,0,0.1,0.4,0.4,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0.4,0.1,0,0,0,0,0,0,1.1,0,0,0.1,0,0,0,0.2,0,4.2
